"",weight,が良く,の良い,がよく,のよい,が良いです,もよく,が悪い,も良いです,も良く,が悪く,がいいです,も良好です,が良い,が良いので,がよい,が悪いと,がいい,は良好です,もいいです,は良く,の悪い,は良い,がいいので,もいい,も良い,が良くて,が悪いです,はいいと,が良いと,も良いので,は良いです,のある,はいいですね,が良くない,がいいと,が感じます,の高い,を考えると,が良いのか,も悪くなく,は良いと,が悪いので,が高い,があります,はいいです,もよい,もいいですね,がよいです,といい,も満足しています,は感じです,も良いと,も気に入っています,が違います,もいいし,もある,は悪いです,も良いですね,も高く,にありません,はありません,があり,も良好,がイマイチ,にある,は良いのですが,がいいですね,もあります,が高いので,も良くて
操作性,6.5174293388359e-24,8,4,3,0,4,5,6,9,12,0,3,3,4,2,2,0,1,6,3,2,1,2,2,5,8,0,2,9,2,1,6,0,1,1,0,0,0,3,0,1,10,0,3,0,4,0,0,1,1,2,3,6,0,0,0,0,3,0,0,3,11,1,2,1,1,4,1,0,0,0
相性,6.48251924484337e-24,1,1,0,0,2,0,0,3,3,0,0,0,2,1,1,0,0,0,2,2,0,0,0,0,0,0,0,2,2,0,0,0,0,0,2,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
ホールド感,6.39602018121609e-24,5,3,1,0,2,5,5,4,6,3,1,2,3,3,0,0,1,9,3,1,0,7,1,3,1,1,0,0,1,4,14,0,0,2,1,1,0,0,0,1,4,0,1,1,2,0,0,1,2,2,3,0,0,0,0,1,1,0,0,2,9,2,0,1,0,3,0,0,0,0
写り,6.32512372884777e-24,4,7,0,1,1,1,2,0,4,0,1,0,4,1,0,1,5,1,0,2,0,3,2,3,2,2,0,2,2,0,4,0,4,0,1,0,0,0,0,1,5,0,0,0,7,1,0,0,0,1,1,2,0,4,0,0,0,0,1,2,6,0,0,0,2,1,0,1,0,2
携帯性,6.22271819962564e-24,2,11,0,0,5,6,3,2,12,2,1,0,6,1,3,2,1,3,1,4,0,3,5,0,1,1,1,0,1,1,3,0,0,0,1,0,0,3,0,1,12,2,1,0,10,0,1,0,1,0,2,2,0,0,4,0,5,0,1,1,11,0,0,0,0,5,0,0,1,0
重量バランス,6.21417135092075e-24,3,0,2,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
色,6.20482567130171e-24,0,0,0,0,0,0,2,0,1,1,1,0,1,1,0,0,2,1,0,0,0,2,1,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,3,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
デザイン,6.1709106025614e-24,3,1,1,0,2,1,0,2,7,0,0,0,7,2,1,0,1,1,3,0,0,2,0,2,2,0,0,6,1,0,2,1,0,0,1,0,0,0,0,1,11,0,0,0,3,0,0,0,1,1,5,4,3,0,3,0,0,0,0,0,0,0,0,0,0,2,4,0,0,1
視認性,6.09332312290321e-24,0,2,1,0,0,0,1,0,2,2,1,0,2,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
描写,6.07176731502735e-24,1,2,0,0,0,0,0,3,6,0,1,1,0,2,0,0,1,0,1,3,0,1,1,1,1,2,0,0,4,1,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,3,0,0,0,0,4,0,0,0,5,0,0,0,0,0
ホールド性,5.97633354830933e-24,4,0,1,0,2,0,2,0,0,1,0,0,1,1,0,0,1,3,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
もち,5.92926207241798e-24,0,0,0,0,1,0,7,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1,2,2,1,0,1,0,2,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
感度,5.7765146350884e-24,2,1,0,0,0,0,2,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
質,5.54389936046169e-24,1,4,0,1,1,0,2,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
反応,5.39518594270957e-24,1,2,1,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
見た目,5.33474994301212e-24,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,2,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
音,5.24328725673487e-24,0,0,0,0,0,0,1,0,1,1,2,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0
シャッター音,5.12290703280371e-24,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0
取り回し,5.04435807532831e-24,0,0,1,1,1,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
画質,5.01717469668749e-24,6,2,1,1,6,11,12,5,14,0,6,2,24,5,1,4,9,2,9,7,2,7,1,4,10,2,4,11,13,0,13,0,2,1,1,0,0,2,1,3,19,2,0,1,11,0,1,0,3,11,2,6,3,2,2,0,3,0,0,3,18,1,1,1,3,4,1,0,0,4
描写力,4.9869701303789e-24,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,1,4,3,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,1,0,3,0,0,0,2,0
操作感,4.98452889723404e-24,0,0,0,0,0,2,0,0,0,0,0,1,1,0,1,0,2,2,1,1,0,1,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
出来,4.98099937629777e-24,0,5,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ボケ味,4.96140087895992e-24,0,0,0,0,1,0,0,2,1,0,0,2,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
精度,4.95419502897124e-24,2,2,0,0,0,0,2,1,1,0,0,0,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,1,0,1,0,2,0,4,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,1,0,0,1,1,0,0,0,3,0
ヌケ,4.93549777447098e-24,2,5,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
感触,4.85033464753232e-24,1,0,0,0,2,1,0,1,0,0,0,0,2,0,1,0,1,0,3,0,0,0,0,0,2,1,1,0,1,1,6,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,1,0,0,0,1,0,0,0
配置,4.72583132052486e-24,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
位置,4.70191234377772e-24,0,0,0,0,0,1,5,0,0,3,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0
性能,4.38508096660042e-24,0,5,0,0,0,0,0,0,3,0,0,0,2,1,4,0,2,0,0,0,0,1,1,0,0,2,0,3,1,0,0,0,0,0,0,1,1,12,0,0,3,0,2,2,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0
画像,4.29016922155209e-24,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3,3,0,0,0,0,0,1,0,0,0
解像度,4.25227448227791e-24,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,2,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,2,0,0,0,0,5,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,7,0,2,1,1,0,0,0,0,1,2,0
補正,4.17862154082229e-24,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,7,2,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0
色合い,4.16403111904434e-24,0,1,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
天気,4.13438884627942e-24,0,15,0,1,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
切れ,4.11316232319728e-24,3,4,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,4,0,0,0,0,0,0,0,0
条件,4.00705086699639e-24,0,2,0,0,0,0,2,0,0,0,0,0,1,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AF精度,3.94181297396765e-24,0,1,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0
質感,3.9179727305735e-24,5,1,1,0,2,2,1,2,5,0,1,2,4,0,1,0,4,1,5,0,0,0,0,0,6,1,0,2,1,0,4,2,1,0,0,1,5,0,0,1,4,0,9,3,5,0,0,0,4,1,4,3,2,1,0,0,0,0,4,0,2,4,0,0,1,1,2,2,0,0
ボケ,3.91459069671519e-24,0,0,0,0,1,0,0,1,4,0,0,0,1,0,0,0,2,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
音質,3.9061327616305e-24,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0
電池持ち,3.89778566803441e-24,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
カメラ,3.78410524104715e-24,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,2,0,1,0,1,0,0,0,1,0,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,2,0,0
感じ,3.71251552526605e-24,0,0,0,0,1,0,0,1,0,0,2,0,4,0,0,0,1,0,2,1,0,0,0,0,0,0,0,1,0,0,3,0,1,0,0,0,0,0,0,0,1,0,0,5,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,6,1,0,0,1,0,1,2,0,0
ボケ具合,3.57750053843796e-24,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
コントラスト,3.55679714622103e-24,0,1,1,0,0,0,0,0,1,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,2,0
レンズ,3.5566703225294e-24,1,5,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,2,1,0,3,1,1,0,3,2,0,10,0,1,0,1,1,0,0,0,0,2,0,0,0,4,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,8,5,0,0,6,0,2,0,0,0
フィーリング,3.5496271824931e-24,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ホールド,3.4719130744211e-24,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
大きさ,3.39634106259255e-24,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,2,1,0,0,0,0,0,8,0,0,1,0,0,0,2,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0
液晶,3.38963607251757e-24,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,7,0,0,0,0,1,0,0,0,0,2,0,0,1,1,0,0,0,2,1,2,1,1,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0
バッテリー,3.38593901752398e-24,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,5,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,3,1,0,0,9,0,0,0,0,0,0,0,0,0
AF,3.34961416377338e-24,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,1,6,1,0,0,1,0,0,1,0,0
グリップ感,3.30954787547777e-24,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
重さ,3.27795514308973e-24,0,0,0,0,0,0,0,0,2,0,1,0,3,0,1,0,2,0,2,0,0,0,0,0,3,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,4,0,0,1,0,0,1,0,0
キレ,3.23459958965551e-24,0,2,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
コストパフォーマンス,3.10807279978626e-24,1,5,0,0,0,1,0,0,1,0,0,0,5,0,3,0,1,0,0,0,0,0,1,1,0,0,0,1,2,0,4,0,3,0,0,0,36,10,0,0,8,0,14,0,1,0,3,0,1,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0
解像感,3.08134547888237e-24,0,0,0,0,0,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,1,0,0,0,1,0,2,4,0,0,0,0,3,0,1,1,0,0,0,0,0,0,0,0,0,8,0,0,0,1,0,3,0,0
・画質,3.0566190562872e-24,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
気分,3.03597114384859e-24,0,1,0,0,2,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ファインダー,3.00855588428018e-24,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
動画,2.95841501181641e-24,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
撮影,2.89930968413924e-24,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
グリップ,2.81992150084379e-24,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
トータルバランス,2.8174087796344e-24,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
・操作性,2.79943418107176e-24,1,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0
機能性,2.73939688096442e-24,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,1,0,0,0,0,0,1,0,0,3,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
表現力,2.68356221677022e-24,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,2,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
ホールディング,2.67223673475265e-24,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
画角,2.54906822120861e-24,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
作り,2.52705699330837e-24,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
