"",weight,が良く,の良い,がよく,が悪い,も良く,が良いです,もよく,のよい,も良いです,が良い,が悪く,がいいです,がよい,がいい,が良いので,も良好です,もいいです,が悪いと,は良好です,は良く,は良いです,が良いと,がいいので,は良い,もいい,も良いので,も良い,の高い,が良くて,は良いと,が悪いです,のある,はいいと,はいいですね,はありません,の悪い,も良いと,が感じます,はいいです,が高い,が良くない,がいいと,があります,も悪くなく,も高く,も満足しています,が悪いので,は悪いです,は感じです,といい,があり,にありません,も気に入っています,もいいですね,が良いのか,は良いのですが,もありません,が違います,が高いので,がよいです,が高く,が高いです,がイマイチ,は最高です,もある,もよい,がいいですね,もいいし,も良好,にある,も良いですね,もあり,はいい,もあります,はよく,も良いし,は高いです,は思います,がよいと,は高い,は落ちますが,は抜群です,は満足しています,はよいです,もあって,がなります,もなく,に満足しています,を考えて,も良くて
ホールド感,1.24327554803826e-25,5,3,1,5,6,2,5,0,4,3,3,1,0,1,3,2,3,0,9,1,14,1,1,7,3,4,1,0,1,4,0,0,0,0,9,0,0,1,2,1,2,1,1,1,0,2,0,1,3,2,2,2,0,0,0,3,5,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,2,0,0,0,1,4,3,0,0,4,0,2,3,0,0,0,0,0
操作性,1.231975318694e-25,8,4,3,6,12,4,5,0,9,4,0,3,2,1,2,3,3,0,6,2,6,2,2,2,5,1,8,0,0,10,2,0,9,1,11,1,6,0,4,3,1,0,0,1,0,2,0,3,3,1,1,3,0,0,0,4,1,0,0,1,1,0,1,1,0,0,1,0,2,1,0,0,2,0,1,1,1,11,1,0,0,6,1,4,0,0,2,1,2,0
気持ち,1.22383385661953e-25,0,13,1,0,0,2,0,3,0,7,0,9,2,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
写り,1.21703013428182e-25,4,7,0,2,4,1,1,1,0,4,0,1,0,5,1,0,0,1,1,2,4,2,2,3,3,0,2,0,2,5,0,0,2,4,6,0,2,0,7,0,0,1,0,1,1,1,0,0,1,0,0,2,0,0,0,1,8,4,0,0,0,0,0,4,0,1,0,0,0,2,0,0,1,1,0,1,0,4,2,0,0,0,3,0,0,0,0,2,0,2
もち,1.1928651123368e-25,0,0,0,7,0,1,0,0,1,1,0,0,1,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,1,2,0,2,2,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
デザイン,1.1657996180418e-25,3,1,1,0,7,2,1,0,2,7,0,0,1,1,2,0,3,0,1,0,2,1,0,2,2,0,2,0,0,11,0,1,6,0,0,0,4,0,3,0,0,1,0,1,0,1,0,0,5,1,0,0,3,0,0,2,1,0,0,0,0,0,0,2,0,0,4,3,0,0,0,0,0,0,1,2,0,11,0,0,0,0,2,1,1,0,0,0,0,1
携帯性,1.15807394647706e-25,2,11,0,3,12,5,6,0,2,6,2,1,3,1,1,0,1,2,3,4,3,1,5,3,0,1,1,0,1,12,1,0,0,0,11,0,2,0,10,1,0,1,0,1,1,0,2,5,2,1,0,1,0,1,0,5,1,0,1,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,1,0,12,1,0,3,17,2,3,0,0,1,0,2,0
描写,1.13128837732407e-25,1,2,0,0,6,0,0,0,3,0,0,1,0,1,2,1,1,0,0,3,5,4,1,1,1,1,1,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,1,0,0,0,5,0,0,1,0,1,0,1,5,0,0,0,0,2,0,0,1,1,0,0,0
視認性,1.11307349916132e-25,0,2,1,1,2,0,0,0,0,2,2,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0
色,1.09574642383055e-25,0,0,0,2,1,0,0,0,0,1,1,1,0,2,1,0,0,0,1,0,0,0,1,2,2,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
重量バランス,1.09528826104909e-25,3,0,2,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ホールド性,1.05931662972547e-25,4,0,1,2,0,2,0,0,0,1,1,0,0,1,1,0,0,0,3,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
感度,1.04044809501945e-25,2,1,0,2,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
感触,1.03718773906594e-25,1,0,0,0,0,2,1,0,1,2,0,0,1,1,0,0,3,0,0,0,6,1,0,0,0,1,2,0,1,1,1,1,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
見た目,1.03040959475722e-25,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
質,1.02409899372687e-25,1,4,0,2,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
画質,9.99931073073951e-26,6,2,1,12,14,6,11,1,5,24,0,6,1,9,5,2,9,4,2,7,13,13,1,7,4,0,10,0,2,19,4,0,11,2,18,2,6,0,11,0,1,1,1,3,0,11,2,3,2,3,1,3,3,1,1,4,6,2,0,0,0,0,1,7,0,0,1,2,1,3,0,1,3,0,2,2,0,28,0,0,5,1,8,2,0,0,5,4,0,4
性能,9.9693607317804e-26,0,5,0,0,3,0,0,0,0,2,0,0,4,2,1,0,0,0,0,0,0,1,1,1,0,0,0,1,2,3,0,0,3,0,1,0,0,1,0,2,0,0,2,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,4,0,0,1,0,0,0,0,1,0,2,2,0
描写力,9.78144188453566e-26,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,2,1,0,0,0,0,0,1,0,4,0,3,2,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,2,0,1,0,0,0,0,0,0,0,1,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0
精度,9.68332137681311e-26,2,2,0,2,1,0,0,0,1,2,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,2,0,1,0,2,0,0,1,0,1,0,2,0,0,4,0,0,1,0,3,0,0,0,0,0,0,0,0,0,1,0,1,0,3,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0
反応,9.60809643518344e-26,1,2,1,2,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
操作感,9.31695639367084e-26,0,0,0,0,0,0,2,0,0,1,0,0,1,2,0,1,1,0,2,1,1,0,0,1,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
シャッター音,9.24707696515023e-26,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
音,9.07912388922263e-26,0,0,0,1,1,0,0,0,0,0,1,2,2,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0
取り回し,8.97327076990242e-26,0,0,1,0,2,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ボケ味,8.96637238458135e-26,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,2,2,0,0,0,0,0,2,0,1,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
ヌケ,8.60666770428552e-26,2,5,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
位置,8.38529937575489e-26,0,0,0,5,0,0,1,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
出来,8.27421142386329e-26,0,5,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
解像度,8.17071216072844e-26,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,2,0,1,1,0,0,1,0,0,1,5,0,0,1,2,0,0,2,0,0,0,0,6,0,0,0,0,7,0,1,0,0,0,1,0,0,0,0,0,0,1,2,0,8,2,0,0,0,0,0,0,1,0,1,1,0,1,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0
コストパフォーマンス,8.14154583653939e-26,1,5,0,0,1,0,1,0,0,5,0,0,3,1,0,0,0,0,0,0,4,2,1,0,1,0,0,36,0,8,0,0,1,3,0,0,2,0,1,14,0,0,0,0,4,0,0,0,0,1,0,0,0,3,0,0,0,0,2,0,4,4,0,9,0,0,0,0,0,0,0,0,0,0,0,0,4,2,2,2,0,2,0,0,0,0,0,0,1,0
画像,7.88344678687807e-26,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,3,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
配置,7.8162746619466e-26,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
AF精度,7.73908526644314e-26,0,1,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,2,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
色合い,7.69878956595584e-26,0,1,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,1,0,1,0,0,0
感じ,7.67234768418942e-26,0,0,0,0,0,1,0,0,1,4,0,2,0,1,0,0,2,0,0,1,3,0,0,0,0,0,0,0,0,1,0,0,1,1,6,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,2,0,0,1,0,0,1,0,4,0,2,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,0
ボケ,7.6385613095603e-26,0,0,0,0,4,1,0,0,1,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
コントラスト,7.63182281281424e-26,0,1,1,0,1,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,5,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
質感,7.58368068604347e-26,5,1,1,1,5,2,2,0,2,4,0,1,1,4,0,2,5,0,1,0,4,1,0,0,0,0,6,5,1,4,0,2,2,1,2,0,3,1,5,9,0,0,3,1,4,1,0,0,4,4,4,0,2,0,0,1,0,1,0,0,6,2,0,4,0,0,2,0,0,1,0,3,0,2,0,0,2,2,0,2,1,0,0,1,0,1,1,1,0,0
大きさ,7.57707429628222e-26,0,0,0,0,1,2,0,0,0,0,0,1,0,1,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,1,0,1,1,0,2,0,1,0,2,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0
切れ,7.54190135846788e-26,3,4,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
補正,7.4366195364381e-26,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,7,0,2,1,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,4,0,0,0,0,1,3,0,0,0,0,0,0,1,0,3,0,0,0
カメラ,7.36392040028925e-26,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,1,1,0,0,1,1,6,0,0,0,3,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,3,0,0,0,1,0,0,0,0,0,1,0,0
天気,7.08021857672696e-26,0,15,0,0,0,0,0,1,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
条件,7.01576484999776e-26,0,2,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
音質,6.98374261159658e-26,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ホールド,6.87773140717483e-26,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
レンズ,6.82530363440458e-26,1,5,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,10,2,0,1,3,0,1,0,1,2,0,0,3,1,8,2,0,1,4,0,0,1,0,0,0,0,0,0,1,1,5,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0,6,0,0,0,0,1,0,1,6,1,1,0,0,1,2,0,2,1,1,0,0
値段,6.79053738579496e-26,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,1,0,0,1,1,1,0
電池持ち,6.78007774389342e-26,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
重さ,6.7796745009841e-26,0,0,0,0,2,0,0,0,0,3,0,1,1,2,0,0,2,0,0,0,2,0,0,0,0,0,3,0,0,0,0,1,0,0,1,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,3,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0
液晶,6.68844343044037e-26,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,7,0,0,1,0,0,0,0,0,2,1,0,0,0,1,0,1,1,1,0,0,0,1,0,0,1,0,0,2,2,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,5,0,1,0,0,0,1,0,0,0,0,0,0
バッテリー,6.6601847366851e-26,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,5,0,0,1,0,0,0,0,0,1,0,0,0,1,9,0,0,0,0,1,0,1,0,0,0,0,0,3,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0
