"",weight,バランス,色乗り,持ち,使い勝手,レスポンス,発色,色のり,評判,気持ち,操作性,相性,ホールド感,写り,携帯性,重量バランス,色,デザイン,視認性,描写,ホールド性,もち,感度,質,反応,見た目,音,シャッター音,取り回し,画質,描写力,操作感,出来,ボケ味,精度,ヌケ,感触,配置,位置,性能,画像,解像度,補正,色合い,天気,切れ,条件,AF精度,質感,ボケ,音質,電池持ち,カメラ,感じ,ボケ具合,コントラスト,レンズ,フィーリング,ホールド,大きさ,液晶,バッテリー,AF,グリップ感,重さ,キレ,コストパフォーマンス,解像感,・画質,気分,ファインダー
も良好です,3.47273720362946e-25,0,1,1,1,2,0,1,0,0,3,0,2,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,2,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
が良いので,3.36199976821938e-25,2,0,2,3,1,1,0,6,0,2,1,3,1,1,0,1,2,0,2,1,0,1,0,0,0,0,0,1,5,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
がよい,3.33988641978843e-25,3,0,6,6,0,0,0,0,2,2,1,0,0,3,0,0,1,0,0,0,1,0,0,0,0,2,0,0,1,0,1,0,0,1,0,1,0,0,4,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,3,0,1,0,0
が悪いと,3.25190612919543e-25,4,1,6,1,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,1,1,0,0,1,0,0,4,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
は良好です,3.20205687560884e-25,3,1,0,5,0,1,0,0,0,6,0,9,1,3,1,1,1,0,0,3,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
がいい,3.19850681583337e-25,4,0,10,1,1,3,0,3,9,1,0,1,5,1,0,2,1,0,1,1,1,0,0,0,2,0,0,0,9,0,2,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0,4,2,0,0,0,1,0,0,1,0,0,1,0,0,0,1,2,0,1,0,2,1,0
もいいです,3.04275859391302e-25,0,0,6,1,1,1,0,0,0,3,2,3,0,1,1,0,3,0,1,0,1,0,0,0,2,0,0,0,9,0,1,0,3,1,0,3,0,1,0,1,0,0,0,0,0,0,0,5,0,1,0,0,2,1,0,0,1,0,1,1,1,0,0,2,0,0,0,0,0,0
は良く,2.92100674173401e-25,3,0,2,1,1,0,0,1,0,2,2,1,2,4,0,0,0,2,3,0,0,0,0,0,0,1,0,0,7,1,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
の悪い,2.87912310249042e-25,0,0,0,0,0,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,4,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
は良い,2.83841967574069e-25,2,0,4,1,1,0,1,0,0,2,0,7,3,3,0,2,2,0,1,1,0,0,0,0,0,0,0,0,7,1,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
がいいので,2.78603180551849e-25,0,0,6,1,1,0,0,2,1,2,0,1,2,5,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
もいい,2.72288135026849e-25,2,0,0,1,0,1,0,2,0,5,0,3,3,0,0,2,2,0,1,0,0,1,0,0,1,0,1,0,4,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,3,0,1,0,0,0,3,0,0,0,1,0,0,0,0
が良くて,2.58713481872554e-25,1,1,2,1,1,0,0,0,0,0,0,1,2,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
はいいと,2.57992466304138e-25,4,0,0,3,0,0,0,0,0,9,2,0,2,0,0,0,6,0,0,0,2,0,0,0,0,0,0,1,11,0,0,1,0,1,0,0,0,1,3,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,3,0,0,1,0,0,0,0,0,0,1,0,1,0,0
が悪いです,2.57395119038856e-25,2,0,10,2,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,2,1,0,0,1,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
も良い,2.55087695153637e-25,1,0,4,1,1,0,0,1,0,8,0,1,2,1,0,1,2,0,1,0,0,0,0,0,0,0,1,0,10,0,2,0,0,0,0,2,0,0,0,1,1,0,1,0,0,0,0,6,1,0,1,0,0,2,0,1,1,0,0,0,0,0,2,3,0,0,0,1,0,1
が良いと,2.54556270427551e-25,9,0,2,6,0,0,0,0,0,2,2,1,2,1,2,0,1,0,4,0,1,1,0,0,0,1,0,0,13,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0
も良いので,2.50436453000868e-25,3,0,4,0,0,0,0,0,0,1,0,4,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0
のある,2.45969314999216e-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,1,0,0,0,0,2,7,0,0,7,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,5,0,6,0,0,0
は良いです,2.4209574450369e-25,5,1,10,10,1,2,1,0,0,6,0,14,4,3,0,0,2,0,5,2,1,0,0,0,0,0,0,0,13,1,1,1,0,1,0,6,0,0,0,2,1,0,0,0,0,0,1,4,1,0,0,2,3,0,0,10,1,5,2,7,5,2,1,2,0,4,1,0,0,1
はいいですね,2.37832060266009e-25,2,0,2,0,0,0,0,0,0,1,0,0,4,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,2,3,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,1,0,0,1,0,1,0,0,3,0,1,0,0
がいいと,2.36444402294091e-25,4,0,2,3,0,0,0,0,0,0,2,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
が良くない,2.36274748341498e-25,1,0,5,1,0,1,0,0,1,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
が感じます,2.34022917216236e-25,3,0,2,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
を考えると,2.33572375022974e-25,8,0,0,4,0,0,0,0,0,3,0,0,0,3,1,0,0,0,1,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,1,0,10,0,0,0,0
の高い,2.3354331805419e-25,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,5,0,0,0,0,0,1,5,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,36,1,0,0,0
が良いのか,2.33106650542882e-25,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
も悪くなく,2.31924857583001e-25,1,0,0,1,0,1,1,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
はいいです,2.26994329998185e-25,0,1,1,3,0,1,0,0,0,4,1,2,7,10,0,0,3,0,0,0,0,0,0,0,1,0,0,0,11,1,0,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,1,5,0,1,0,3,0,0,0,4,2,0,2,1,0,0,0,2,0,1,0,0,0,0
が悪いので,2.2461453462253e-25,1,0,5,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
が高い,2.23956940129512e-25,2,0,0,0,0,0,0,0,0,3,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,2,0,6,0,0,0,0,0,1,9,0,0,0,1,0,0,5,0,0,0,0,0,1,0,0,0,0,14,2,0,0,0
があります,2.2314385972395e-25,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,2,1,0,0,0,0,1,1,0,3,1,0,0,0,5,0,0,0,0,1,0,1,0,0,0,2,0,0,4,0,0,0
もよい,2.19884731475155e-25,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
は良いと,2.1977961195904e-25,8,0,8,5,1,0,1,0,0,10,1,4,5,12,0,1,11,0,0,0,1,0,0,2,0,0,0,0,19,1,1,0,0,2,0,1,0,0,3,0,0,1,1,0,0,0,0,4,0,0,0,1,1,0,0,2,0,1,1,2,1,0,0,0,0,8,1,0,0,2
もいいですね,2.19246735050476e-25,0,1,2,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
は感じです,2.17023536463318e-25,0,0,2,0,0,1,2,0,0,3,0,3,1,2,0,1,5,1,0,0,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,4,1,0,0,0,0,0,1,1,0,0,1,2,4,0,0,0,0,0,1,0,0,0
も良いと,2.16279061797568e-25,11,0,1,1,0,0,1,0,0,6,0,0,2,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,2,0,1,0,0,0,1,0,1,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,1,1,0,2,0,0,0,2,1,0,0,0
も満足しています,2.13993837502558e-25,1,0,1,0,0,4,0,0,0,2,0,2,1,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,11,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0
といい,2.13760534893925e-25,0,2,0,0,0,2,0,0,0,1,0,2,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,4,0,0,0,0,0,1,0,1,0,0,1,2,0,0,0,0,0,1,3,0,0,0
がよいです,2.13739512307487e-25,0,0,1,5,0,0,0,1,2,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
も気に入っています,2.11292536809729e-25,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,2,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
が違います,2.10645412680081e-25,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0
もいいし,2.08213603704834e-25,0,0,0,1,0,2,1,0,0,0,0,0,0,4,0,1,3,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
もある,2.05008699198002e-25,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
は悪いです,2.04559404781169e-25,1,0,6,0,0,1,0,0,0,3,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0
も良いですね,2.03491373397115e-25,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
にありません,1.99435051054127e-25,0,0,1,1,0,0,0,0,0,3,0,2,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
も高く,1.98356498865189e-25,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,7,0,0,0,0,0,0,4,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
はありません,1.97936980945497e-25,0,0,9,4,1,1,0,0,1,11,1,9,6,11,0,0,0,0,4,1,0,0,0,0,0,0,0,0,18,2,0,0,1,1,0,2,0,0,1,3,2,1,0,0,0,0,1,2,0,2,1,6,6,0,0,8,0,1,2,1,9,6,1,1,0,0,0,0,0,0
があり,1.9471362173972e-25,0,0,0,0,0,1,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,4,0,0,4,2,0,0,1,1,0,1,5,0,0,1,0,0,1,0,4,1,0,8,0,0,0
にある,1.93289860870947e-25,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,3,3,1,0,0,1,0,0,1,8,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,6,0,0,0,2,0,1,0,1,0,0,0,0,0,0
も良好,1.9251660474381e-25,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
がイマイチ,1.92080301170612e-25,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
は良いのですが,1.91499634549506e-25,0,0,1,0,1,0,1,0,0,4,0,3,1,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
がいいですね,1.86341163540217e-25,1,0,0,4,0,0,0,0,1,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
もあります,1.8582397651326e-25,0,0,2,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,2,2,0,0,0,0,0,1,0,0,1,0,1,0,0,3,0,0,0
も良くて,1.85559054020267e-25,0,1,0,0,2,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
が高いので,1.84922112002452e-25,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
もありません,1.83574604282997e-25,0,0,0,1,0,1,0,0,0,1,0,5,8,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,6,1,0,0,3,1,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0
はよく,1.78732676045268e-25,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
で満足しています,1.76930422289393e-25,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
は落ちますが,1.76497447837252e-25,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,1,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
も良いし,1.75303122614576e-25,0,1,3,0,0,0,0,0,0,1,0,0,1,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
を考えて,1.74028177719903e-25,2,0,0,1,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
はいい,1.73716748608464e-25,1,0,1,0,1,0,0,0,0,2,0,2,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
がよいと,1.72760441294547e-25,0,0,0,1,0,0,0,0,0,1,1,3,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0
がなります,1.72155298421481e-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0,2,0,0,0,0,1,0,0,0,0,0,0
が好きです,1.72016978138785e-25,1,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
になり,1.71722199151761e-25,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
