"",weight,が良く,の良い,がよく,も良く,が悪い,もよく,が良いです,も良いです,のよい,が良い,が悪く,がいいです,がよい,がいい,が良いので,の高い,もいいです,も良好です,が高い,は良いです,は良好です,が悪いと,は良く,が良いと,も良い,がいいので,も高く,は良い,もいい,は良いと,も良いので,のある,が高く,が高いです,が高いので,が良くて,が悪いです,はいいですね,はいいと,も良いと,はありません,の悪い,が感じます,があり,はいいです,は感じです,がいいと,が良くない,があります,も悪くなく,といい,も満足しています,は高い,は良いのですが,が悪いので,は最高です,は悪いです,もありません,にありません,も気に入っています,が違います,もいいですね,も高い,を考えると,が良いのか,もあり,がよいです,にある,がいいですね,がイマイチ,もある,が高いと,も良好,は高く,もいいし,が低い,は思います,もよい,も良いですね,は落ちますが,も良いし,がよいと,はいい,は抜群です,もあります,がある,はよく,はよいです,もなく,に満足しています,はよいと,はあり,を考えて,も含めて,もあって,は満足しています,は高いと,に優れ,がなります,もいいと
精度,6.42769087618391e-26,2,2,0,1,2,0,0,1,0,2,0,0,1,0,1,1,1,0,4,1,0,0,0,0,0,0,3,0,0,2,2,0,0,1,3,0,0,0,1,2,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
描写,6.38946130298114e-26,1,2,0,6,0,0,0,3,0,0,0,1,0,1,2,0,1,1,0,5,0,0,3,4,1,1,0,1,1,0,1,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,5,0,0,3,0,0,0,0,0,5,1,0,0,0,0,1,0,0,0,1,0,1,0,0,4,0,2,0,2,0,0,1,2
視認性,6.22552839444568e-26,0,2,1,2,1,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
感度,6.0059971371799e-26,2,1,0,0,2,0,0,0,0,0,1,0,0,0,1,2,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
色,6.00471060606465e-26,0,0,0,1,2,0,0,0,0,1,1,1,0,2,1,0,0,0,0,0,1,0,0,0,1,1,0,2,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
ホールド性,5.99803989518487e-26,4,0,1,0,2,0,2,0,0,1,1,0,0,1,1,0,0,0,1,2,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
画質,5.88905742708029e-26,6,2,1,14,12,11,6,5,1,24,0,6,1,9,5,0,9,2,0,13,2,4,7,13,10,1,0,7,4,19,0,0,0,0,0,2,4,2,11,6,18,2,0,1,11,2,1,1,1,3,3,11,0,4,2,7,3,6,3,3,2,1,0,2,1,1,0,3,1,1,0,0,1,2,2,1,28,0,0,5,2,0,3,1,0,0,2,2,5,4,1,8,0,1,0,8,0,0,0,2
質,5.75693859464676e-26,1,4,0,1,2,0,1,0,1,0,1,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
重量バランス,5.75040166460288e-26,3,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
感触,5.68310632268629e-26,1,0,0,0,0,1,2,1,0,2,0,0,1,1,0,0,3,0,0,6,0,0,0,1,2,0,0,0,0,1,1,1,0,0,0,1,1,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
解像度,5.64394501668948e-26,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,5,0,0,6,1,0,2,1,0,1,0,7,1,0,0,0,2,8,2,2,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,1,4,0,4,1,0,1,1,0,0,0,0,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0
描写力,5.63336232793958e-26,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,2,0,1,0,1,0,4,1,0,2,0,0,3,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,1,0,3,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0
見た目,5.58116756922803e-26,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0
操作感,5.43160834125955e-26,0,0,0,0,0,2,0,0,0,1,0,0,1,2,0,0,1,1,0,1,2,0,1,0,2,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0
コストパフォーマンス,5.41191220592456e-26,1,5,0,1,0,1,0,0,0,5,0,0,3,1,0,36,0,0,14,4,0,0,0,2,0,1,4,0,1,8,0,0,4,4,2,0,0,3,1,2,0,0,0,0,1,0,0,0,0,0,1,0,2,0,0,9,0,0,0,0,0,3,3,10,0,0,0,0,0,0,0,6,0,0,0,0,2,0,0,0,0,2,0,2,0,0,0,0,0,0,2,0,1,2,0,0,24,2,0,1
性能,5.3934788556427e-26,0,5,0,3,0,0,0,0,0,2,0,0,4,2,1,1,0,0,2,0,0,0,0,1,0,1,0,1,0,3,0,0,1,0,0,2,0,0,3,0,1,0,1,0,0,1,0,0,2,0,2,0,0,0,0,0,0,0,1,0,0,0,0,12,0,0,0,1,1,0,1,1,0,1,0,3,4,0,0,1,0,0,0,0,0,1,1,0,0,2,0,0,2,0,0,0,2,1,1,2
コントラスト,5.18486927503523e-26,0,1,1,1,0,0,0,0,0,1,0,3,0,0,0,11,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
反応,5.15173338982946e-26,1,2,1,0,2,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
質感,5.09629312262216e-26,5,1,1,5,1,2,2,2,0,4,0,1,1,4,0,5,5,2,9,4,1,0,0,1,6,0,4,0,0,4,0,2,6,2,0,1,0,1,2,3,2,0,1,4,5,4,0,0,3,1,4,1,2,1,0,4,0,0,0,2,1,0,0,0,0,3,0,1,2,0,0,2,0,0,0,1,2,0,0,1,0,0,0,0,2,1,0,1,1,1,0,1,0,3,0,0,2,0,1,1
ボケ味,5.07807623293168e-26,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,2,0,2,2,0,0,0,0,0,1,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
シャッター音,4.95867595279115e-26,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
音,4.90088314019226e-26,0,0,0,1,1,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0
取り回し,4.7729240466468e-26,0,0,1,2,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
満足度,4.63173503267179e-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,2,16,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,13,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,6,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0
ヌケ,4.59357150921349e-26,2,5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
解像感,4.54097257470305e-26,0,0,0,2,1,1,0,1,0,0,1,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,6,2,2,0,0,0,0,0,1,0,0,0,8,0,1,0,0,4,0,3,0,1,1,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,3,2,0,0,1,1,0,0,0,0,1,0,2,1,0,0
位置,4.53136386180776e-26,0,0,0,0,5,1,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
AF精度,4.51699899461978e-26,0,1,0,1,2,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
出来,4.46009280074845e-26,0,5,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
画像,4.45461904040517e-26,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,2,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,3,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0
ボケ,4.30831053091693e-26,0,0,0,4,0,0,1,1,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,1,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
色合い,4.29254617673613e-26,0,1,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,2,1,0,0,0,0,0
感じ,4.26569875109668e-26,0,0,0,0,0,0,1,1,0,4,0,2,0,1,0,0,2,0,0,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,6,0,0,1,0,0,0,0,5,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,0,0,0,0,0,0,3,0,0,0,1,0
使用頻度,4.23785665572414e-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,11,0,0,0,0,0,0,0,1,0,0,0,0,0,2,4,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
カメラ,4.15328601173022e-26,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,6,0,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,1,2,2,0,0,0,1,1,1,0,0,0,0,1,0,0,0
切れ,4.1445388790885e-26,3,4,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
配置,4.123958553828e-26,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
完成度,4.01425662067633e-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,11,0,0,0,0,0,0,0,3,0,0,0,0,0,4,1,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0
液晶,3.96161935043989e-26,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,7,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,2,0,0,1,0,2,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
