"",weight,色のり,色乗り,評判,発色,重量バランス,レスポンス,気持ち,バランス,出来,ホールド性,反応,質,相性,携帯性,ヌケ,ホールド感,持ち,視認性,音,感度,取り回し,配置,使い勝手,写り,位置,色,見た目,描写,操作感,ボケ味,操作性,天気,電池持ち,精度,デザイン,カメラ,描写力,シャッター音,切れ,色合い
が感じます,1.00751477689118e-23,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,1,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
も満足しています,1.00587178584607e-23,0,0,0,4,0,0,0,1,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,1,0,1,1,0,0,0,2,0,0,0,1,0,0,1,0,0
が高い,1.00456422911592e-23,0,0,0,0,0,0,0,2,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,1,1,0,0,0
が良くなりました,9.98176913339479e-24,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
も良いので,9.96373129599307e-24,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,4,4,0,0,0,0,0,0,0,0,0,1,1,1,2,1,0,0,2,0,0,0,0,0,0
も良いですね,9.86527301421044e-24,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
は良いです,9.79854753534118e-24,1,1,0,2,0,1,0,5,1,2,0,0,0,3,0,14,10,0,0,0,0,0,10,4,0,0,0,5,1,0,6,0,0,1,2,2,1,0,0,0
にありません,9.7804869529979e-24,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,1,1,0,0,0,0,1,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
はもの,9.64612397178898e-24,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
になります,9.54851987707639e-24,0,0,0,3,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,1,7,0,0,0,0,0,0,1,3,0,0,0,1
のある,9.33670954220665e-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,4,0,7,0
もありません,9.28657268797568e-24,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,5,0,1,0,0,0,0,1,8,0,0,0,0,0,3,1,0,0,1,1,1,1,0,0,0
も良い,9.07266498343656e-24,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,4,0,0,0,0,0,1,2,0,1,0,1,2,0,8,0,1,0,2,0,0,1,0,1
はありません,9.04332263965521e-24,0,0,0,1,0,1,1,0,0,1,0,0,1,11,0,9,9,0,0,0,0,0,4,6,0,0,0,4,0,1,11,0,1,1,0,6,2,0,0,0
は違いますが,9.0235682828083e-24,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
が違います,9.00368709447178e-24,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1
が良くない,8.91126338923973e-24,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,2,5,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
はいいです,8.90560256327636e-24,0,1,0,1,0,0,0,0,1,0,0,0,1,10,0,2,1,0,0,0,0,0,3,7,0,0,1,0,0,3,4,0,0,0,3,3,1,0,0,0
は思います,8.83639713477143e-24,0,1,0,2,0,0,0,0,1,1,0,0,0,12,0,4,0,1,0,1,0,1,1,4,0,1,0,5,0,2,11,0,0,0,11,3,0,0,0,3
は良いと,8.76816980756466e-24,1,0,0,0,0,1,0,8,0,0,2,0,1,12,0,4,8,0,0,0,0,0,5,5,0,1,0,0,1,0,10,0,0,2,11,1,1,0,0,1
は落ちますが,8.67450098884717e-24,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
が悪いです,8.6578086129752e-24,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,10,1,0,1,0,0,2,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0
も良いと,8.59980558745457e-24,1,0,0,0,0,0,0,11,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,6,0,0,2,4,0,0,0,0,1
もあります,8.560533271979e-24,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0
も好きです,8.50556281907185e-24,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0
は満足しています,8.49421414201745e-24,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,1,3,0,0,0,2,0,0,1,0,0,0,2,0,0,0,0,0
は良いのですが,8.3988523392694e-24,1,0,0,0,0,1,0,0,0,0,0,0,0,5,0,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,2,0,0,0,0,0
が悪いので,8.35306275581718e-24,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
も良好,8.34415837335161e-24,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0
は最高です,8.31410824635245e-24,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,2,4,0,0,0,1,0,1,1,0,0,0,2,0,0,0,0,1
が薄い,8.30649769189705e-24,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
がなります,8.28914217910532e-24,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
も悪くないです,8.20620766954751e-24,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
もあって,8.1570231414289e-24,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
が違う,8.12874346816324e-24,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,4
が良いとは,8.12150343268837e-24,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
にあり,8.10134799264723e-24,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,4,2,0,0,0,1,0,2,0,0,0,0,0,1,1,0,0
がいいですね,8.095668199472e-24,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,4,0,0,2,0,0
は悪いです,8.08796633641448e-24,0,0,0,1,0,0,0,1,0,0,0,0,0,5,0,1,6,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
もなく,8.02321741743231e-24,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,2,0,0,1,0,0,0,0,0,1
が好きです,7.97684816102392e-24,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,6,0,0,1,0,1
が良かったので,7.91914007292085e-24,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
に満足しています,7.87666493696796e-24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0
が悪いのと,7.86220593545888e-24,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
は良かったです,7.84867701874617e-24,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
も高く,7.83851511775277e-24,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
も含めて,7.79705783988254e-24,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,1,0,0,0,2,0,0,0,0,2
がよいので,7.67238493960297e-24,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
は良いですが,7.67058633255369e-24,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,2,1,0,0,0,0
にあります,7.65174972378153e-24,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
もありますが,7.6006618172883e-24,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,1
を上げる,7.5323351672127e-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
を考えて,7.52438714686414e-24,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
はいいですね,7.46373154114921e-24,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,1,0,0,0,1,1,0,0,0,0,1,3,0,0,0
もいいので,7.4020022673571e-24,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
もあり,7.40017903273122e-24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0
も良いし,7.35303605692265e-24,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0
がイマイチ,7.34417708563805e-24,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
もきれいで,7.32922994616474e-24,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0
はありますが,7.31658781952395e-24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,3,0,0,0,4,1,0,0,0,2
も上々です,7.29511765215182e-24,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
に優れ,7.23919720098837e-24,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
がよくない,7.20550279548845e-24,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
で撮れます,7.10736788971362e-24,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
が悪いという,7.09820954805803e-24,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
は好みです,7.0849528854711e-24,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0,1
が高いので,7.04656378120511e-24,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0
をします,7.02783604038463e-24,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0
は良いようです,7.0256893075023e-24,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
はします,7.01280632437917e-24,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,3,2,0,2,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,3,2,0,0,0,1
は高い,7.00326429826881e-24,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
はよいです,6.94246376329105e-24,0,0,0,0,0,0,0,1,0,0,0,0,1,3,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,1
は持てます,6.88523505179687e-24,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
はいい,6.77314600292529e-24,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,1,1,0,0,2,0,0,0,0,2,0,1,0,0
で買いました,6.75910065994967e-24,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
が良いという,6.74786714899876e-24,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
は良いので,6.74162487239435e-24,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
は写ります,6.73239375726224e-24,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
は出ます,6.72447938462367e-24,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
がなる,6.70661551702399e-24,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
は感じました,6.69874283535732e-24,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
はありませんでした,6.67738503059976e-24,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0
がありません,6.66022536216751e-24,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
がよくて,6.65973336366163e-24,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
もいいですし,6.64296056686976e-24,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
も好み,6.63162480049669e-24,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
が楽しめる,6.58657124604879e-24,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0
も抜群です,6.58365787976133e-24,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0
が良いし,6.55819998843475e-24,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
がよいと,6.539603888712e-24,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
にはあります,6.52221629959004e-24,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0
が気に入りました,6.47331508017617e-24,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,0,0,0,5,0,0,0,0,1
