"",weight,が良く,の良い,がよく,のよい,が良いです,もよく,が悪い,も良いです,も良く,が悪く,が良い,がいいです,がよい,も良好です,が良いので,がいい,が悪いと,は良好です,もいいです,は良く,がいいので,は良い,のある,はいいと,の悪い,もいい,は良いです,が良くて,が悪いです,を考えると,も良いので,が良いと,が高い,も良い,の高い,は良いと,も高く,はいいですね,がいいと,が感じます,が良くない,が高く,が高いので,が悪いので,も悪くなく,があります,はありません,も良いと,はいいです,が良いのか,は悪いです,は感じです,があり,もいいですね,も満足しています,といい,も気に入っています,がよいです,が違います,が高いです,にありません,もよい,もいいし,になります,がイマイチ,も良いですね,は良いのですが,もある,がいいですね,もありません,は高い,も良好,もあります,はよく,にある,もあり,は最高です,を考えれば,も良いし,は落ちますが
評判,6.90232996837195e-22,0,14,1,3,0,0,0,0,0,0,1,0,0,0,6,3,0,0,0,1,2,0,0,0,3,2,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ホールド感,6.73936088115167e-22,5,3,1,0,2,5,5,4,6,3,3,1,0,2,3,1,0,9,3,1,1,7,0,0,0,3,14,1,0,0,4,1,1,1,0,4,0,0,1,1,2,1,0,0,1,1,9,0,2,0,1,3,2,0,2,2,0,1,0,0,2,0,0,0,1,0,3,1,0,5,0,0,0,0,0,1,0,1,0,0
デザイン,6.50403717983687e-22,3,1,1,0,2,1,0,2,7,0,7,0,1,0,2,1,0,1,3,0,0,2,1,6,0,2,2,0,0,0,0,1,0,2,0,11,0,0,1,0,0,0,0,0,1,0,0,4,3,0,0,5,0,0,1,1,3,0,0,0,0,0,3,1,0,0,2,0,4,1,0,0,0,1,0,0,2,0,2,0
相性,6.49932602857061e-22,1,1,0,0,2,0,0,3,3,0,2,0,1,0,1,0,0,0,2,2,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,1,0,0,2,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
気持ち,6.44043017301883e-22,0,13,1,3,2,0,0,0,0,0,7,9,2,0,0,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
視認性,6.21894171989099e-22,0,2,1,0,0,0,1,0,2,2,2,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
もち,6.21578131976669e-22,0,0,0,0,1,0,7,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,2,0,0,1,1,2,1,0,1,0,0,0,1,0,2,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
写り,5.99571747731514e-22,4,7,0,1,1,1,2,0,4,0,4,1,0,0,1,5,1,1,0,2,2,3,0,2,0,3,4,2,0,0,0,2,0,2,0,5,1,4,1,0,0,0,0,0,1,0,6,2,7,0,0,1,0,0,1,0,0,0,4,0,2,1,0,3,0,0,1,0,0,8,0,0,1,0,2,0,4,2,1,0
重量バランス,5.91358121908668e-22,3,0,2,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
描写,5.84435104422028e-22,1,2,0,0,0,0,0,3,6,0,0,1,0,1,2,1,0,0,1,3,1,1,0,0,0,1,5,2,0,1,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,7,0,0,0,3,0,0,0,0,0,1,5,0,1,0,0,0
感度,5.83800031867442e-22,2,1,0,0,0,0,2,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ホールド性,5.79659316825435e-22,4,0,1,0,2,0,2,0,0,1,1,0,0,0,1,1,0,3,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
色,5.76135095029667e-22,0,0,0,0,0,0,2,0,1,1,1,1,0,0,1,2,0,1,0,0,1,2,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3,0,0,0,0,0,1,5,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
質,5.66157495981743e-22,1,4,0,1,1,0,2,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
精度,5.52764151653391e-22,2,2,0,0,0,0,2,1,1,0,2,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,2,0,4,0,1,2,3,0,0,0,0,0,3,0,0,1,1,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0
画質,5.49477622737334e-22,6,2,1,1,6,11,12,5,14,0,24,6,1,2,5,9,4,2,9,7,1,7,0,11,2,4,13,2,4,2,0,13,0,10,0,19,0,2,1,0,1,0,0,2,3,1,18,6,11,1,3,2,1,1,11,3,3,0,2,0,3,0,2,5,1,0,4,0,1,6,0,1,0,2,3,1,7,2,2,5
感触,5.31707310018027e-22,1,0,0,0,2,1,0,1,0,0,2,0,1,0,0,1,0,0,3,0,0,0,1,0,0,0,6,1,1,1,1,1,0,2,0,1,0,0,0,0,0,0,0,0,0,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0
描写力,5.26381663166988e-22,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,2,1,4,0,0,0,1,0,0,1,0,0,1,0,0,1,0,3,0,1,0,1,2,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,3,1,0,0,0,1
見た目,5.2574134517459e-22,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,2,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
反応,5.16763587468622e-22,1,2,1,0,0,1,2,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
音,5.10051717529205e-22,0,0,0,0,0,0,1,0,1,1,0,2,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
操作感,5.00168385583568e-22,0,0,0,0,0,2,0,0,0,0,1,0,1,1,0,2,0,2,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ボケ味,4.94210574147079e-22,0,0,0,0,1,0,0,2,1,0,0,0,0,2,0,0,0,0,3,0,0,0,2,0,0,2,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0
性能,4.93792792050396e-22,0,5,0,0,0,0,0,0,3,0,2,0,4,0,1,2,0,0,0,0,1,1,0,3,0,0,0,2,0,12,0,1,2,0,1,3,0,0,0,1,0,1,0,0,0,2,1,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,5,0,1
解像度,4.93487553504949e-22,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,2,0,0,1,0,1,2,0,0,0,1,0,1,0,0,0,6,1,5,0,7,0,0,0,0,8,2,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1
シャッター音,4.9221472847869e-22,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0
質感,4.85106873022108e-22,5,1,1,0,2,2,1,2,5,0,4,1,1,2,0,4,0,1,5,0,0,0,2,2,0,0,4,1,0,0,0,1,9,6,5,4,4,1,0,1,0,6,0,0,1,3,2,3,5,0,0,4,4,0,1,4,2,0,1,2,0,0,0,0,0,0,1,0,2,0,2,0,2,0,1,3,4,0,0,1
取り回し,4.799152487129e-22,0,0,1,1,1,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
出来,4.72079237061623e-22,0,5,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ヌケ,4.64099063666796e-22,2,5,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
位置,4.5546400123666e-22,0,0,0,0,0,1,5,0,0,3,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0
配置,4.3770364428847e-22,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
AF精度,4.36535476450541e-22,0,1,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,2,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
コントラスト,4.32635323870991e-22,0,1,1,0,0,0,0,0,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,11,0,5,0,0,1,0,1,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
補正,4.21663603432514e-22,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,2,0,0,7,0,0,0,0,0,0,1,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0,0,0,0,0,4,0,0,0,0
コストパフォーマンス,4.17423543462298e-22,1,5,0,0,0,1,0,0,1,0,5,0,3,0,0,1,0,0,0,0,1,0,0,1,0,1,4,0,0,10,0,2,14,0,36,8,4,3,0,0,0,4,2,0,0,0,0,2,1,0,0,0,0,3,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,9,3,0,0
切れ,4.09455346813275e-22,3,4,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
色合い,4.01587669924806e-22,0,1,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
画像,3.99941570927914e-22,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,3,1,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0
天気,3.88604811615535e-22,0,15,0,1,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ボケ,3.87006269663062e-22,0,0,0,0,1,0,0,1,4,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
条件,3.83818440573008e-22,0,2,0,0,0,0,2,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
レンズ,3.8265478099054e-22,1,5,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,3,2,3,10,1,0,0,0,2,0,1,0,2,0,1,1,1,0,0,0,0,0,0,8,0,4,0,0,1,5,0,0,1,0,0,0,0,1,0,0,3,0,0,0,1,2,1,1,0,0,1,6,0,0,0,0,0
音質,3.77745017587894e-22,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
解像感,3.72785767798057e-22,0,0,0,0,0,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,2,0,1,1,0,0,0,0,0,2,0,0,0,4,0,1,0,0,0,1,8,0,0,3,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1,0,3,0,0,3,0,0,0,0
液晶,3.69795554085117e-22,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,7,0,1,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,2,0,0,1,2,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,2,0,1,0,0,0
電池持ち,3.69069928940478e-22,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
カメラ,3.627114076223e-22,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,6,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,2,0,0,2,0,0,0,0
ホールド,3.61153120558393e-22,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
バッテリー,3.54172186127578e-22,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,5,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,9,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
重さ,3.5247074730834e-22,0,0,0,0,0,0,0,0,2,0,3,1,1,0,0,2,0,0,2,0,0,0,1,0,0,0,2,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,1,0,2,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,3,0,0,0,0
AF,3.46927850851044e-22,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0
フィーリング,3.44883406445828e-22,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ボケ具合,3.44710284622049e-22,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
大きさ,3.42113134513623e-22,0,0,0,0,2,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,2,0,0,8,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
キレ,3.39692173092451e-22,0,2,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
グリップ感,3.31503214632202e-22,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
使用頻度,3.24522971566616e-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11,0,10,0,1,0,0,0,0,2,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0
機動性,3.18368904980978e-22,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,0
機能性,3.08964525656951e-22,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,0,0,1,0,0,1,0,0,3,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
・画質,3.05759990283611e-22,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
