"",weight,バランス,色乗り,色のり,評判,レスポンス,持ち,発色,使い勝手,携帯性,気持ち,写り,操作性,重量バランス,ホールド感,相性,描写,ホールド性,色,デザイン,反応,視認性,感度,出来,質,音,ヌケ,見た目,取り回し,ボケ味,もち,配置,位置,画質,シャッター音,操作感,天気,描写力,精度,条件,感触,切れ,画像,カメラ,電池持ち,性能,感じ,色合い,補正,ボケ,レンズ
が悪い,2.48808521568923e-21,6,0,0,0,6,36,2,7,3,0,2,6,1,5,0,0,2,2,0,2,1,2,0,2,1,0,0,0,0,7,0,5,12,0,0,0,0,2,2,0,0,1,0,0,0,0,0,0,0,1
がいいです,2.40542105546584e-21,3,2,1,0,0,6,0,12,1,9,1,3,1,1,0,1,0,1,0,1,1,0,0,0,2,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
も良好です,2.38106819632909e-21,0,1,1,0,2,1,0,1,0,0,0,3,1,2,0,1,0,0,0,0,0,1,0,0,0,0,1,0,2,0,0,0,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
が良い,2.22565068497421e-21,14,1,0,1,8,24,0,17,6,7,4,4,0,3,2,0,1,1,7,0,2,0,1,0,0,0,0,0,0,1,0,0,24,0,1,2,0,2,1,2,1,1,0,0,2,4,0,0,1,1
の悪い,2.22078619436289e-21,0,0,1,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,1,0,1,0,0,0,0,0,1,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2
が悪いと,2.14728430989616e-21,4,1,0,0,0,6,0,1,2,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0
が良いので,2.11966944652323e-21,2,0,0,6,1,2,1,3,1,0,1,2,0,3,1,2,1,1,2,0,0,1,0,0,0,0,0,1,0,0,0,0,5,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0
は良好です,2.1119124765746e-21,3,1,0,0,0,0,1,5,3,0,1,6,1,9,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
がよい,2.1022956675448e-21,3,0,0,0,0,6,0,6,3,2,0,2,0,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,1,0,0,1,0,1,1,0,1,1,1,0,0,0,0,4,0,0,1,0,0
もいいです,1.87242030859416e-21,0,0,0,0,1,6,1,1,1,0,0,3,1,3,2,1,0,0,3,0,0,0,0,0,0,0,2,0,3,1,0,1,9,0,1,0,0,1,0,3,0,1,0,0,0,2,0,0,0,0
は良い,1.85629192304466e-21,2,0,1,0,1,4,0,1,3,0,3,2,0,7,0,1,1,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,7,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1
がいい,1.8398507896827e-21,4,0,0,3,1,10,3,1,1,9,5,1,0,1,0,1,1,2,1,0,0,0,0,0,0,0,2,0,0,1,0,0,9,0,2,0,0,0,0,1,0,0,0,0,2,1,0,1,2,1
がいいので,1.83502524907044e-21,0,0,0,2,1,6,0,1,5,1,2,2,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0
の高い,1.7350820220107e-21,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
は良く,1.7333079215236e-21,3,0,0,1,1,2,0,1,4,0,2,2,0,1,2,3,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,7,0,1,0,1,0,0,0,0,0,0,0,0,1,0,2,0,1
もいい,1.72353134388806e-21,2,0,0,2,0,0,1,1,0,0,3,5,0,3,0,1,0,2,2,0,0,1,0,0,0,0,1,0,2,0,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,3
が良いのか,1.71187381418276e-21,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
が良くて,1.65181095784516e-21,1,1,0,0,1,2,0,1,1,0,2,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0,0,1
も良いので,1.63527390283395e-21,3,0,0,0,0,4,0,0,1,0,0,1,0,4,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0
が悪いです,1.62067549386434e-21,2,0,0,0,0,10,0,2,1,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,2,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
もよい,1.59944061283733e-21,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
は良いです,1.57633805196452e-21,5,1,1,0,1,10,2,10,3,0,4,6,0,14,0,5,2,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,13,0,1,0,1,1,0,6,0,2,2,0,0,3,0,0,1,10
もいいですね,1.56821513841407e-21,0,1,2,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
がいいと,1.54916433848825e-21,4,0,0,0,0,2,0,3,1,0,1,0,0,1,2,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
を考えると,1.54759044188003e-21,8,0,0,0,0,0,0,4,3,0,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,1,0,0,0,0,12,0,0,1,0,0
が良くない,1.54609157245724e-21,1,0,0,0,0,5,1,1,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
はいいと,1.54107262320597e-21,4,0,0,0,0,0,0,3,0,0,2,9,0,0,2,0,0,0,6,0,0,0,1,0,0,0,0,1,0,2,0,1,11,0,0,0,0,1,0,0,0,0,1,0,3,1,0,0,0,3
が感じます,1.50980492867739e-21,3,0,0,0,0,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1
がよいです,1.50530728905187e-21,0,0,0,1,0,1,0,5,0,2,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
は感じです,1.49491964711007e-21,0,0,2,0,0,2,1,0,2,0,1,3,0,3,0,0,0,1,5,0,1,0,0,0,0,0,0,0,0,1,0,1,2,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1
も悪くなく,1.48382848714221e-21,1,0,1,0,0,0,1,1,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
が良いと,1.47595085660251e-21,9,0,0,0,0,2,0,6,1,0,2,2,2,1,2,4,0,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0,13,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,2
もいいし,1.46655450352756e-21,0,0,1,0,0,0,2,1,4,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
が高い,1.45621543910623e-21,2,0,0,0,0,0,0,0,1,0,0,3,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,1,0,2,0,0,0,0,0
は良いと,1.44424522203123e-21,8,0,1,0,1,8,0,5,12,0,5,10,0,4,1,0,0,1,11,2,0,0,0,0,0,0,0,0,0,1,0,0,19,0,1,0,1,2,0,1,0,0,1,0,3,1,1,1,0,2
もある,1.40139668833822e-21,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1
があります,1.38516358159997e-21,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,1,1,1,0,0,2,5,0,0,1,0
も気に入っています,1.38444590049867e-21,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0
も良いと,1.36705880660879e-21,11,0,1,0,0,1,0,1,2,0,2,6,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,2,0,1,0,1,0,0,0,0,1,1,0,0
も良いですね,1.3454585897632e-21,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
といい,1.34314448343778e-21,0,2,0,0,0,0,2,0,1,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1
にある,1.33371114147632e-21,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,8,3,0,1,0,3,1,0,0,0,0,0,0,1,1,0,0,0,6
はいいです,1.32175401908507e-21,0,1,0,0,0,1,1,3,10,0,7,4,0,2,1,0,0,0,3,0,0,0,1,0,0,0,1,0,3,0,0,0,11,0,0,0,1,0,0,0,0,0,3,0,0,0,0,1,0,4
が悪いので,1.31921027270326e-21,1,0,0,0,0,5,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
は悪いです,1.30299198370311e-21,1,0,0,0,0,6,1,0,5,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
も良くて,1.30283336467607e-21,0,1,0,0,2,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
も良い,1.28917586063859e-21,1,0,0,1,1,4,0,1,1,0,2,8,0,1,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,2,0,0,0,0,2,0,1,0,1,0,0,1,0,1,1
のある,1.25858152690853e-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,1,7,0,0,0,0,0,0,7,0,0
は良いのですが,1.25648627093184e-21,0,0,1,0,1,1,0,0,5,0,1,4,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
があり,1.24195850578759e-21,0,0,0,0,0,0,1,0,0,1,0,1,0,2,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,1,0,0,1,0,1,2,5
はありません,1.2220833043724e-21,0,0,0,0,1,9,1,4,11,1,6,11,0,9,1,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,18,0,0,0,2,1,0,2,0,3,6,1,1,6,0,1,0,8
はいいですね,1.21370423183867e-21,2,0,0,0,0,2,0,0,0,0,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,2,0,0,0,3,0,0,0,0,0,1,0,0,1,0,2,0,1
にありません,1.21091731358013e-21,0,0,0,0,0,1,0,1,1,0,2,3,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,1
で満足しています,1.18550242024633e-21,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,2,2,0,1,3,1,0,0,0
が良いとは,1.18059047292119e-21,0,0,1,0,0,1,0,2,3,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
もあります,1.17701708635235e-21,0,0,1,0,0,2,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0
を考えて,1.17121483195343e-21,2,0,0,0,0,0,0,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
が良くなりました,1.16748031604455e-21,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
も満足しています,1.16549115839626e-21,1,0,0,0,0,1,4,0,0,0,1,2,0,2,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
もありません,1.15125496120883e-21,0,0,0,0,0,0,1,1,1,0,8,1,0,5,0,0,1,0,1,0,1,0,0,0,0,0,0,0,3,0,0,0,6,0,0,0,1,1,0,0,0,1,1,0,0,1,0,2,0,1
も良好,1.14489026740464e-21,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
がいいですね,1.13992639280278e-21,1,0,0,0,0,0,0,4,0,1,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,2
がイマイチ,1.13673461792988e-21,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
は最高です,1.12289434823811e-21,0,0,0,0,0,1,2,2,1,0,4,1,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,7,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,2,0
がよいと,1.11737871893518e-21,0,0,0,0,0,0,0,1,1,0,2,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
は良いようです,1.1155079157278e-21,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
が悪いのと,1.10932396666016e-21,0,0,0,0,1,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
がなります,1.10077865743866e-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,4,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2
が違います,1.09881157021963e-21,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
が好きです,1.09780218326267e-21,1,0,0,0,0,0,6,0,0,0,0,1,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0
はいい,1.09620484682093e-21,1,0,0,0,1,1,0,0,0,0,1,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
も好きです,1.08820154275089e-21,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
がよいので,1.08505360654717e-21,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
も良いし,1.08495653890747e-21,0,1,0,0,0,3,0,0,1,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
は落ちますが,1.08294856123863e-21,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
もあって,1.06087626954255e-21,0,0,0,0,0,0,1,0,0,0,0,0,0,3,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0
が悪いのが,1.05411861657966e-21,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
も抜群です,1.0501530159277e-21,0,0,0,0,0,0,0,0,7,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0
は満足しています,1.04916830578301e-21,0,0,0,0,0,0,0,1,2,0,3,1,0,0,0,2,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
をします,1.04403736290348e-21,0,0,0,0,0,0,2,0,0,0,17,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
にあり,1.04351721784671e-21,0,0,0,0,0,1,0,0,1,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3
は方だと,1.04143702444472e-21,0,0,0,0,0,3,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
がよければ,1.0411669359042e-21,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
は抜群です,1.03698587840597e-21,1,0,0,0,0,1,0,0,17,0,0,6,0,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
で決めました,1.02986911772063e-21,1,0,0,0,1,1,0,0,1,0,0,2,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1
はよく,1.02618232281053e-21,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
がよくない,1.02392098073409e-21,0,0,0,1,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
は思います,1.02290850412776e-21,0,1,0,0,0,0,2,1,12,0,4,11,0,4,0,5,1,1,11,0,1,1,1,0,0,0,0,0,2,0,1,0,28,0,0,0,0,0,0,0,0,1,3,0,4,0,3,3,0,6
が悪いという,1.02182495830115e-21,0,0,0,0,0,3,0,0,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
はもの,1.02138829399849e-21,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
は良いですが,1.01416228201505e-21,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
は違いますが,1.01261536262078e-21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
も含めて,1.00395405014472e-21,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2
はよいです,1.00241732847916e-21,1,0,0,0,0,3,0,0,3,0,0,4,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2
も高く,9.98142277333492e-22,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
もきれいで,9.98062205303201e-22,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
に満足しています,9.94976846367265e-22,0,0,1,0,0,1,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0,0,0,0,0,1,0,2,0,0,0,0,1
もいいので,9.94588551487775e-22,0,0,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
は良いので,9.93511062432309e-22,0,0,0,0,0,0,0,1,2,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
は感じますが,9.89091585212147e-22,0,0,0,0,0,1,0,0,4,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
を考えれば,9.88067907979528e-22,5,0,0,0,0,0,0,0,3,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0
がありません,9.78218061469819e-22,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
が薄い,9.76263639900738e-22,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
