"",weight,バランス,色乗り,持ち,使い勝手,レスポンス,発色,色のり,評判,気持ち,操作性,相性,ホールド感,写り,重量バランス,携帯性,色,デザイン,視認性,描写,ホールド性,もち,感度,質,反応,見た目,音,シャッター音,取り回し,出来,描写力,画質,操作感,精度,ボケ味,ヌケ,感触,配置,位置,性能,画像,解像度,補正,色合い,天気,切れ,条件,AF精度,質感,音質,ボケ,電池持ち,カメラ,感じ,コントラスト,ボケ具合,レンズ,フィーリング,ホールド,大きさ,バッテリー,液晶,AF,グリップ感,重さ,キレ,コストパフォーマンス,解像感,・画質,気分,動画
もいい,7.47471700843345e-23,2,0,0,1,0,1,0,2,0,5,0,3,3,0,0,2,2,0,1,0,0,1,0,0,1,0,1,0,0,0,4,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,3,0,1,0,0,0,3,0,0,0,1,0,0,0,0
も良い,7.14252792530573e-23,1,0,4,1,1,0,0,1,0,8,0,1,2,0,1,1,2,0,1,0,0,0,0,0,0,0,1,0,0,0,10,2,0,0,0,2,0,0,0,1,1,0,1,0,0,0,0,6,0,1,1,0,0,0,2,1,1,0,0,0,0,0,2,3,0,0,0,1,0,0
が良くて,7.11041728762783e-23,1,1,2,1,1,0,0,0,0,0,0,1,2,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
が悪いです,7.09017003227895e-23,2,0,10,2,0,0,0,0,0,2,0,0,0,0,1,0,0,1,0,0,2,1,0,0,1,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
はいいと,7.08777030128239e-23,4,0,0,3,0,0,0,0,0,9,2,0,2,0,0,0,6,0,0,0,2,0,0,0,0,0,0,1,1,0,11,0,1,0,0,0,0,1,3,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,3,0,0,1,0,0,0,0,0,0,1,0,1,0,0
が良いと,6.99418519744556e-23,9,0,2,6,0,0,0,0,0,2,2,1,2,2,1,0,1,0,4,0,1,1,0,0,0,1,0,0,1,0,13,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0
も良いので,6.88992920656881e-23,3,0,4,0,0,0,0,0,0,1,0,4,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0
は良いです,6.8492096169914e-23,5,1,10,10,1,2,1,0,0,6,0,14,4,0,3,0,2,0,5,2,1,0,0,0,0,0,0,0,1,1,13,1,1,0,0,6,0,0,0,2,1,0,0,0,0,0,1,4,0,1,0,2,3,0,0,10,1,5,2,5,7,2,1,2,0,4,1,0,0,0
のある,6.77778213577884e-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0,1,0,0,0,0,2,7,0,0,7,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,5,0,6,0,0,0
はいいですね,6.54446791716939e-23,2,0,2,0,0,0,0,0,0,1,0,0,4,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,3,2,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,1,0,1,0,0,1,0,0,3,0,1,0,0
が良くない,6.50960705285759e-23,1,0,5,1,0,1,0,0,1,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
がいいと,6.50250538111206e-23,4,0,2,3,0,0,0,0,0,0,2,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
が感じます,6.49320511255871e-23,3,0,2,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
の高い,6.44816624796377e-23,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,5,0,0,0,0,0,1,5,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,36,1,0,0,0
を考えると,6.43479292426614e-23,8,0,0,4,0,0,0,0,0,3,0,0,0,1,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,1,0,10,0,0,0,0
が良いのか,6.41526431975775e-23,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
も悪くなく,6.37430795815306e-23,1,0,0,1,0,1,1,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
は良いと,6.21707824884349e-23,8,0,8,5,1,0,1,0,0,10,1,4,5,0,12,1,11,0,0,0,1,0,0,2,0,0,0,0,0,1,19,1,2,0,0,1,0,0,3,0,0,1,1,0,0,0,0,4,0,0,0,1,1,0,0,2,0,1,1,1,2,0,0,0,0,8,1,0,0,0
が悪いので,6.18931941775073e-23,1,0,5,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
が高い,6.18009500504809e-23,2,0,0,0,0,0,0,0,0,3,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,2,0,6,0,0,0,0,0,1,9,0,0,0,1,0,5,0,0,0,0,0,1,0,0,0,0,0,14,2,0,0,0
があります,6.11030958651217e-23,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,2,1,0,0,0,0,1,1,0,3,0,1,0,0,5,0,0,0,0,1,0,0,1,0,0,2,0,0,4,0,0,1
はいいです,6.09882629980418e-23,0,1,1,3,0,1,0,0,0,4,1,2,7,0,10,0,3,0,0,0,0,0,0,0,1,0,0,0,1,1,11,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,1,5,1,0,0,3,0,0,0,4,2,0,2,0,1,0,0,2,0,1,0,0,0,1
もよい,6.04948450105194e-23,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
もいいですね,6.04528998113216e-23,0,1,2,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
がよいです,5.88791394781257e-23,0,0,1,5,0,0,0,1,2,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
といい,5.87468438237241e-23,0,2,0,0,0,2,0,0,0,1,0,2,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,1,1,0,0,1,0,2,0,0,0,0,1,3,0,0,0
も満足しています,5.87343880187453e-23,1,0,1,0,0,4,0,0,0,2,0,2,1,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0
は感じです,5.85824155730461e-23,0,0,2,0,0,1,2,0,0,3,0,3,1,0,2,1,5,1,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,4,0,1,0,0,0,1,0,1,0,0,1,4,2,0,0,0,0,0,1,0,0,1
も良いと,5.85605923046956e-23,11,0,1,1,0,0,1,0,0,6,0,0,2,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2,0,0,1,0,0,0,1,0,1,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,1,0,1,2,0,0,0,2,1,0,0,1
も気に入っています,5.80737947836343e-23,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,2,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
が違います,5.7920724672129e-23,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0
もいいし,5.74145808084608e-23,0,0,0,1,0,2,1,0,0,0,0,0,0,0,4,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
もある,5.64491492661851e-23,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
は悪いです,5.62193889344325e-23,1,0,6,0,0,1,0,0,0,3,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0
も良いですね,5.60615588084603e-23,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
も高く,5.48404672696277e-23,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,7,0,0,0,0,0,0,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
にありません,5.48077691912631e-23,0,0,1,1,0,0,0,0,0,3,0,2,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
はありません,5.41488148173679e-23,0,0,9,4,1,1,0,0,1,11,1,9,6,0,11,0,0,0,4,1,0,0,0,0,0,0,0,0,0,2,18,0,1,1,0,2,0,0,1,3,2,1,0,0,0,0,1,2,2,0,1,6,6,0,0,8,0,1,2,9,1,6,1,1,0,0,0,0,0,0
があり,5.36442254523405e-23,0,0,0,0,0,1,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,4,0,0,4,0,2,0,1,1,1,0,5,0,0,1,0,0,1,0,4,1,0,8,0,0,0
も良好,5.29393604169678e-23,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
がイマイチ,5.28457887886275e-23,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
にある,5.26624442555969e-23,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,3,3,1,1,0,0,0,1,8,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,6,0,0,0,0,2,1,0,1,0,0,0,0,0,1
は良いのですが,5.22816091219535e-23,0,0,1,0,1,0,1,0,0,4,0,3,1,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1
がいいですね,5.12941137275461e-23,1,0,0,4,0,0,0,0,1,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
もあります,5.11064802311459e-23,0,0,2,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,2,2,0,0,0,0,0,1,0,0,1,0,1,0,0,3,0,0,1
が高いので,5.10720714071234e-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
も良くて,5.09391903939075e-23,0,1,0,0,2,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
もありません,5.03453633561161e-23,0,0,0,1,0,1,0,0,0,1,0,5,8,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,6,0,1,3,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0
はよく,4.9107414721285e-23,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
で満足しています,4.8658787378486e-23,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
は落ちますが,4.86129429011439e-23,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
も良いし,4.82075709569322e-23,0,1,3,0,0,0,0,0,0,1,0,0,1,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
を考えて,4.78855367378355e-23,2,0,0,1,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
はいい,4.76913459873006e-23,1,0,1,0,1,0,0,0,0,2,0,2,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
がよいと,4.74715242321625e-23,0,0,0,1,0,0,0,0,0,1,1,3,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0
がなります,4.74118694995172e-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0,2,0,0,0,0,1,0,0,0,0,0,0
になり,4.73200078161441e-23,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
が好きです,4.73047939418467e-23,1,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
