"",weight,色のり,色乗り,評判,重量バランス,発色,出来,レスポンス,気持ち,相性,写り,ホールド感,ホールド性,反応,配置,質,音,使い勝手,ヌケ,感度,取り回し,バランス,視認性,持ち,デザイン,位置,カメラ,見た目,描写,電池持ち,ボケ味,操作感,天気,携帯性,切れ,色,レンズ,補正,感触,描写力,感じ
が良いと,1.99103228952423e-21,0,0,0,2,0,1,0,0,2,2,1,0,0,0,0,1,6,0,1,0,9,0,2,1,0,1,0,4,0,0,0,0,1,0,0,2,1,1,0,0
にある,1.93983123610441e-21,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,8,0,0,5,0,0,1,0,0,0,0,6,0,0,3,1
が良くて,1.92344567432834e-21,0,1,0,0,0,0,1,0,0,2,1,0,0,0,0,0,1,1,0,0,1,0,2,0,0,1,0,2,0,0,0,0,1,0,0,1,0,1,0,0
は良いです,1.90742589118438e-21,1,1,0,0,2,1,1,0,0,4,14,2,0,0,0,0,10,0,0,0,5,0,10,2,0,2,0,5,0,0,1,0,3,0,0,10,0,6,1,3
は感じです,1.89686217380499e-21,2,0,0,0,1,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,1,2,5,1,0,0,0,0,0,0,0,2,0,1,1,1,0,0,0
を考えると,1.88812943665974e-21,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,8,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,1,1,1,0
のある,1.88019377488115e-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,7,0,0,7,1,4,0
はいいと,1.865836322363e-21,0,0,0,0,0,1,0,0,2,2,0,0,0,0,0,0,3,0,0,1,4,0,0,6,1,1,0,0,0,0,0,0,0,0,0,3,0,0,0,1
があり,1.86544852632749e-21,0,0,0,0,1,1,0,1,0,0,2,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,5,1,0,0,1
がよいです,1.86367671627402e-21,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
も良くて,1.85260859461601e-21,0,1,0,0,0,0,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
がいいと,1.78339969617738e-21,0,0,0,0,0,1,0,0,2,1,1,0,0,0,0,0,3,0,0,1,4,0,2,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
があります,1.78260192890976e-21,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,5
も良いので,1.78207605660257e-21,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,1,1,0,2,1,0,1,0,0,0,0,1,0,0
は思います,1.75356994301177e-21,0,1,0,0,2,1,0,0,0,4,4,1,0,1,0,0,1,0,1,0,0,1,0,11,0,3,0,5,0,2,0,0,12,0,1,6,3,0,0,0
といい,1.75259943315562e-21,0,2,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
も満足しています,1.74747390523951e-21,0,0,0,0,4,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
もある,1.72244603895417e-21,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,1,0,1,1,0,0,0
が悪いです,1.68448095002217e-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,2,1,10,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
が良くなりました,1.67709297176237e-21,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
も良いですね,1.67428745428809e-21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
にありません,1.66101527594272e-21,0,0,0,1,0,0,0,0,0,2,2,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
も気に入っています,1.64438865519219e-21,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,3,0,0,0,1,1
はいいです,1.63145778146548e-21,0,1,0,0,1,1,0,0,1,7,2,0,0,0,0,0,3,0,0,0,0,0,1,3,0,3,1,0,0,3,0,0,10,0,0,4,1,0,1,0
はありません,1.61136594012332e-21,0,0,0,0,1,0,1,1,1,6,9,1,0,0,0,0,4,0,0,0,0,0,9,0,0,6,0,4,1,1,0,0,11,0,0,8,1,2,2,6
は最高です,1.60756353833993e-21,0,0,0,0,2,0,0,0,1,4,0,0,0,0,0,0,2,0,0,0,0,0,1,2,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,2
は良いのですが,1.60661597810379e-21,1,0,0,0,0,0,1,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
が感じます,1.5530720740814e-21,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
は違いますが,1.52531828769499e-21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
は良いと,1.5235206707417e-21,1,0,0,0,0,0,1,0,1,5,4,0,2,0,0,0,5,0,0,0,8,0,8,11,0,1,0,0,0,0,1,0,12,0,1,2,1,1,1,1
も良いと,1.51324981619578e-21,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,11,0,1,4,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0
も良好,1.50734718552229e-21,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
もあります,1.50593086123655e-21,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,2
は悪いです,1.50148519846477e-21,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,6,0,0,0,0,0,0,0,0,0,5,0,0,0,1,1,0,0
が良くない,1.49906320372447e-21,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
もありません,1.47804641993889e-21,0,0,0,0,1,0,0,0,0,8,5,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,3,0,0,1,0,0,1,2,0,1,1
が良いとは,1.46212311144624e-21,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0
が高い,1.45641524499214e-21,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
は良いですが,1.44628394986919e-21,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
は満足しています,1.43118240914264e-21,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,1,0,0,0,0,1,0,2,0,0,0,2,0,0,0,0,2,0,0,1,0,0,0,0
が違います,1.41063972694086e-21,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
はもの,1.3909731224457e-21,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
も好きです,1.37627720903113e-21,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
がよいので,1.37386764601488e-21,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
もあり,1.37184591844848e-21,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,4,0,1,4
が薄い,1.37141051012969e-21,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
が良かったので,1.36217683402172e-21,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
は落ちますが,1.35785601298359e-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0
に満足しています,1.35739062980817e-21,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,0
も良いし,1.35140072229204e-21,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
が悪いので,1.3405852758531e-21,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
もあって,1.32729943161936e-21,0,0,0,0,1,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,3
もいいので,1.31895095606831e-21,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
が悪いのと,1.30296308975761e-21,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
が好きです,1.29851075364489e-21,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8
がなります,1.27401683912917e-21,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1
をします,1.27086465594679e-21,0,0,0,0,2,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0
は良かったです,1.26394250987256e-21,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
がいいですね,1.26357760475518e-21,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1
はいい,1.24920516829197e-21,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
にあります,1.23076748529032e-21,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
にあり,1.21428659637301e-21,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,1,0,0,3,0,0,1,0
も上々です,1.21073046214679e-21,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
もきれいで,1.20834580792015e-21,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0
もいいと,1.19987438938815e-21,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0
がよくない,1.19876674581679e-21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
もなく,1.17449910158826e-21,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,3,0,0,0
はありませんでした,1.17372700113754e-21,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
が良いという,1.17239693691862e-21,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
はよく,1.16905912461286e-21,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
も抜群です,1.16341381768345e-21,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,0,0,0,0,1,0,0
はいいですね,1.16061362286521e-21,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,1,0,0,0,1,0,0,0,0,1,1,2,0,3,1
がなる,1.16000520340311e-21,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0
が楽しめる,1.15696343801777e-21,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0
になり,1.15297777310888e-21,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3
を考えて,1.14451464569669e-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
は良いようです,1.13986210663394e-21,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
も含めて,1.13894311900992e-21,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,2,0,0,1,0,0,0,0,2,0,0,0,0
は出ます,1.13885665254914e-21,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
は好みです,1.12858897060083e-21,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
が気に入りました,1.11960948811235e-21,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,1
をすると,1.11515264404873e-21,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,1,0,0,0
もいいですし,1.11195981761683e-21,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
が思います,1.11041278748481e-21,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1
で決めました,1.11016167379145e-21,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,6,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0
は感じました,1.10926711077462e-21,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
がよいと,1.1044537037214e-21,0,0,0,0,0,0,0,0,1,2,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
で撮れます,1.10322333329389e-21,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
も悪くないです,1.10068040908586e-21,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
がよくて,1.0979600724912e-21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
にない,1.09585053292743e-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,0,0,0,0,0,0,1,0,0,0,1,0
で買いました,1.09217531637454e-21,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
を上げて,1.09176251119101e-21,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
は良いので,1.09106732803031e-21,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0,1,1,0,0,0,0
に優れ,1.09053119036159e-21,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0
もありますが,1.08564678111865e-21,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,6
にはあります,1.08216226093923e-21,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0
は悪くない,1.07988485490177e-21,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
が最高です,1.07308623427661e-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,1,0,0
が良いし,1.07020906425069e-21,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
も最高です,1.06554300011273e-21,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0
はいまいち,1.06517375157753e-21,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
が甘い,1.05717025145857e-21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
はありますが,1.05625685609755e-21,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,4,0,1,0,1,0,1,0,0,0,0,0,2,0,0,0,6
も好み,1.05446608891008e-21,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
