"",weight,が良く,の良い,がよく,も良く,が悪い,もよく,が良いです,も良いです,のよい,が良い,が悪く,がいいです,がよい,が良いので,がいい,の高い,は良いです,もいいです,が高い,も良好です,は良好です,が悪いと,は良く,が良いと,も高く,がいいので,は良い,も良い,は良いと,が高く,もいい,も良いので,のある,が高いです,が高いので,が良くて,が悪いです,はいいと,も良いと,はいいですね,はありません,はいいです,の悪い,が感じます,がいいと,は感じです,が良くない,といい,は高い,も悪くなく,は良いのですが,があり,も満足しています,が悪いので,は悪いです,があります,にありません,は最高です,もありません,も気に入っています,も高い,もいいですね,が違います,が良いのか,がよいです,を考えると,が高いと,は高く,がいいですね,もあり,にある,がイマイチ,が低い,もある,も良好,もいいし,は落ちますが,は思います,も良いですね,は抜群です,がよいと,はいい,もよい,も良いし,はよいです,は高いと,はよいと,はよく,も含めて,はあり,がある,もなく,を考えて,もあります,は満足しています,もいいと,がなります,に優れ,もあって,にあり
携帯性,3.69444080092627e-23,2,11,0,12,3,6,5,2,0,6,2,1,3,1,1,0,3,1,1,0,3,2,4,1,1,5,3,1,12,0,0,1,0,0,1,1,1,0,2,0,11,10,0,0,1,2,0,1,0,1,5,0,0,2,5,0,1,1,1,0,0,1,0,0,0,3,1,0,0,0,0,0,0,0,0,4,3,12,0,17,1,0,0,1,3,0,2,0,0,0,0,1,2,0,2,1,0,3,0,1
相性,3.67440951802189e-23,1,1,0,3,0,0,2,3,0,2,0,0,1,1,0,0,0,2,0,0,0,0,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
色のり,3.64895739051718e-23,1,1,2,0,0,6,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
デザイン,3.62897454620922e-23,3,1,1,7,0,1,2,2,0,7,0,0,1,2,1,0,2,3,0,0,1,0,0,1,0,0,2,2,11,0,2,0,1,0,0,0,0,6,4,0,0,3,0,0,1,5,0,1,0,1,2,0,1,0,0,0,0,2,1,3,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,3,0,11,0,0,0,0,0,2,1,0,3,1,2,5,0,0,0,0,2,5,0,0,1,0
評判,3.58232684851396e-23,0,14,1,0,0,0,0,0,3,1,0,0,0,6,3,3,0,0,0,0,0,0,1,0,0,2,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
気持ち,3.46010595316107e-23,0,13,1,0,0,0,2,0,3,7,0,9,2,0,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
精度,3.41418560729353e-23,2,2,0,1,2,0,0,1,0,2,0,0,1,1,0,1,1,1,4,0,0,0,0,0,3,0,0,0,2,0,0,2,0,1,3,0,0,1,2,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,3,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
もち,3.38159111522383e-23,0,0,0,0,7,0,1,1,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,2,2,0,2,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
描写,3.36909051932485e-23,1,2,0,6,0,0,0,3,0,0,0,1,0,2,1,0,5,1,0,1,0,0,3,4,0,1,1,1,0,0,1,1,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,5,0,0,3,0,0,0,5,0,0,0,1,1,0,0,0,0,1,2,4,0,1,0,0,2,2,1,0,0,0
視認性,3.27878999779223e-23,0,2,1,2,1,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
感度,3.16684767105588e-23,2,1,0,0,2,0,0,0,0,0,1,0,0,1,0,2,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ホールド性,3.15331663700729e-23,4,0,1,0,2,0,2,0,0,1,1,0,0,1,1,0,2,0,1,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
色,3.14358983365167e-23,0,0,0,1,2,0,0,0,0,1,1,1,0,1,2,0,0,0,0,0,1,0,0,0,0,1,2,1,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0
画質,3.13151601739279e-23,6,2,1,14,12,11,6,5,1,24,0,6,1,5,9,0,13,9,0,2,2,4,7,13,0,1,7,10,19,0,4,0,0,0,0,2,4,11,6,2,18,11,2,0,1,2,1,3,0,3,4,1,11,2,3,1,3,7,6,3,0,1,2,1,0,2,0,2,1,1,3,1,1,0,1,2,5,28,0,1,0,3,0,2,2,0,1,2,1,8,0,5,0,0,8,2,0,0,0,1
質,3.03219359458512e-23,1,4,0,1,2,0,1,0,1,0,1,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
解像度,3.01851808444657e-23,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,5,1,0,6,0,0,2,1,0,7,0,1,1,0,8,0,0,2,2,2,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,4,0,1,0,0,4,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,0,0,0,0
重量バランス,3.01678150955911e-23,3,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
感触,3.00555181062548e-23,1,0,0,0,0,1,2,1,0,2,0,0,1,0,1,0,6,3,0,0,0,0,0,1,0,0,0,2,1,0,0,1,1,0,0,1,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
描写力,2.94847917544385e-23,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,2,1,0,1,1,0,0,4,0,2,0,0,0,0,3,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,1,0,1,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
見た目,2.91839482590808e-23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0
コストパフォーマンス,2.8879003306761e-23,1,5,0,1,0,1,0,0,0,5,0,0,3,0,1,36,4,0,14,0,0,0,0,2,4,1,0,0,8,4,1,0,0,4,2,0,0,1,2,3,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,9,0,0,3,3,0,0,0,10,6,0,0,0,0,0,0,0,0,0,0,2,0,2,2,0,0,0,0,24,2,0,2,0,0,0,1,0,0,1,0,2,0,0
性能,2.86222355705227e-23,0,5,0,3,0,0,0,0,0,2,0,0,4,1,2,1,0,0,2,0,0,0,0,1,0,1,1,0,3,1,0,0,0,0,0,2,0,3,0,0,1,0,0,1,0,1,0,2,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,12,1,1,1,0,1,0,3,1,0,0,1,4,0,0,0,0,0,0,0,2,0,1,0,0,1,0,2,0,0,2,1,1,0,0
操作感,2.84420624167222e-23,0,0,0,0,0,2,0,0,0,1,0,0,1,0,2,0,1,1,0,1,2,0,1,0,0,0,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1
質感,2.78414248320999e-23,5,1,1,5,1,2,2,2,0,4,0,1,1,0,4,5,4,5,9,2,1,0,0,1,4,0,0,6,4,6,0,0,2,2,0,1,0,2,3,1,2,5,0,1,0,4,0,4,2,1,1,4,1,0,0,3,0,4,0,2,0,0,1,0,0,0,2,0,2,3,1,0,1,0,0,0,1,2,0,0,0,0,0,0,1,2,0,0,3,1,1,1,0,2,0,1,1,0,0,0
コントラスト,2.76496685266325e-23,0,1,1,1,0,0,0,0,0,1,0,3,0,0,0,11,0,0,5,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
反応,2.69970846077994e-23,1,2,1,0,2,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ボケ味,2.66616620550294e-23,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
シャッター音,2.61713472255762e-23,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
音,2.56740199629755e-23,0,0,0,1,1,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0
取り回し,2.51318366840064e-23,0,0,1,2,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
満足度,2.48142274910525e-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,7,0,0,0,0,0,0,0,0,0,0,2,0,0,0,16,2,0,0,0,0,0,1,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,3,6,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ヌケ,2.41657194943804e-23,2,5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
位置,2.40940580394923e-23,0,0,0,0,5,1,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2
解像感,2.39551314682007e-23,0,0,0,2,1,1,0,1,0,0,1,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,1,2,0,0,6,2,0,0,0,0,1,0,0,0,0,0,0,1,0,3,1,0,1,8,0,0,0,4,0,0,0,0,3,0,0,0,0,0,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,1,0,3,0,0,0,1,1,0
AF精度,2.38885793280215e-23,0,1,0,1,2,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,2,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
画像,2.34778645169791e-23,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,3,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0
出来,2.34382002741958e-23,0,5,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
使用頻度,2.26963537357731e-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,11,0,0,0,0,0,1,0,0,0,0,2,0,0,0,4,3,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
色合い,2.25583883101936e-23,0,1,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,2,1,1,1,0,0,0,0,0,0,1,0
ボケ,2.25229546206026e-23,0,0,0,4,0,0,1,1,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
感じ,2.23545277750407e-23,0,0,0,0,0,0,1,1,0,4,0,2,0,0,1,0,3,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,2,1,1,0,0,0,0,1,0,0,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,2,0,0,1,0,3,0
カメラ,2.18678457923523e-23,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,6,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,1,0,2,0,0,0,1,1,0,0,1,2,0,0,2,0,0,0,0,0,0
切れ,2.16397316591736e-23,3,4,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
完成度,2.15992656524757e-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,11,0,0,0,0,0,3,0,0,0,0,4,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
配置,2.15380103933188e-23,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
液晶,2.10512070085608e-23,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,2,0,2,1,0,1,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
