"",weight,が良く,の良い,がよく,も良く,が悪い,もよく,が良いです,も良いです,のよい,が良い,が悪く,がいいです,がよい,が良いので,の高い,がいい,は良いです,が高い,もいいです,も良好です,は良好です,が悪いと,は良く,が良いと,も高く,がいいので,は良いと,は良い,も良い,が高く,もいい,も良いので,のある,が高いです,が高いので,が良くて,が悪いです,はいいと,も良いと,はいいですね,はありません,はいいです,の悪い,が感じます,がいいと,が良くない,は感じです,といい,も悪くなく,は高い,は良いのですが,も満足しています,があり,が悪いので,は悪いです,があります,にありません,は最高です,もありません,が違います,も気に入っています,も高い,もいいですね,が高いと,がよいです,は高く,を考えると,が良いのか,にある,がいいですね,が低い,もあり,もある,も良好,もいいし,は落ちますが,は思います,がイマイチ,も良いですね,は抜群です,がよいと,はよいです,も良いし,もよい,はいい,は高いと,はよいと,はよく,はあり,も含めて,を考えて,もなく,がある,にあり,もいいと,は満足しています,がなります,に優れ,もあります,が違う
携帯性,3.40580678515352e-23,2,11,0,12,3,6,5,2,0,6,2,1,3,1,0,1,3,1,1,0,3,2,4,1,1,5,12,3,1,0,0,1,0,0,1,1,1,0,2,0,11,10,0,0,1,0,2,1,1,0,5,0,0,2,5,0,1,1,1,0,0,0,1,1,0,0,3,0,0,0,0,0,0,0,4,3,12,0,0,17,1,3,1,0,0,0,2,0,0,0,2,1,0,1,1,2,0,3,0,0
相性,3.37991715158062e-23,1,1,0,3,0,0,2,3,0,2,0,0,1,1,0,0,0,0,2,0,0,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
デザイン,3.37280423911378e-23,3,1,1,7,0,1,2,2,0,7,0,0,1,2,0,1,2,0,3,0,1,0,0,1,0,0,11,2,2,0,2,0,1,0,0,0,0,6,4,0,0,3,0,0,1,0,5,1,1,0,2,1,0,0,0,0,0,2,1,0,3,0,0,0,0,1,0,0,0,4,0,0,0,0,3,0,11,0,0,0,0,1,2,0,0,0,3,1,5,2,0,0,0,0,5,2,0,0,0,0
色のり,3.36383580852121e-23,1,1,2,0,0,6,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
評判,3.30567172625314e-23,0,14,1,0,0,0,0,0,3,1,0,0,0,6,3,3,0,0,0,0,0,0,1,0,0,2,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
気持ち,3.19147453228325e-23,0,13,1,0,0,0,2,0,3,7,0,9,2,0,0,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
精度,3.14948305539096e-23,2,2,0,1,2,0,0,1,0,2,0,0,1,1,1,0,1,4,1,0,0,0,0,0,3,0,2,0,0,0,0,2,0,1,3,0,0,1,2,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,3,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
描写,3.11151935339397e-23,1,2,0,6,0,0,0,3,0,0,0,1,0,2,0,1,5,0,1,1,0,0,3,4,0,1,0,1,1,0,1,1,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,5,0,0,0,3,0,0,0,5,0,0,0,0,0,0,1,1,0,0,1,4,2,0,1,0,0,2,2,1,0,0,0
もち,3.10801446362208e-23,0,0,0,0,7,0,1,1,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,2,2,0,2,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
視認性,3.02098102578687e-23,0,2,1,2,1,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
感度,2.9238170876574e-23,2,1,0,0,2,0,0,0,0,0,1,0,0,1,2,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
色,2.91322751259212e-23,0,0,0,1,2,0,0,0,0,1,1,1,0,1,0,2,0,0,0,0,1,0,0,0,0,1,1,2,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1
ホールド性,2.90778034551516e-23,4,0,1,0,2,0,2,0,0,1,1,0,0,1,0,1,2,1,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
画質,2.85431179843205e-23,6,2,1,14,12,11,6,5,1,24,0,6,1,5,0,9,13,0,9,2,2,4,7,13,0,1,19,7,10,0,4,0,0,0,0,2,4,11,6,2,18,11,2,0,1,1,2,3,3,0,4,11,1,2,3,1,3,7,6,2,3,0,1,0,0,2,2,1,3,1,1,1,0,1,2,5,28,1,0,1,0,2,2,0,3,0,1,2,8,1,0,5,0,1,2,8,0,0,0,3
質,2.82735759850417e-23,1,4,0,1,2,0,1,0,1,0,1,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
解像度,2.79821097166922e-23,0,0,0,1,1,1,0,0,0,1,0,0,0,0,5,0,1,6,0,0,0,2,1,0,7,0,0,1,1,8,0,0,2,2,2,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,2,0,0,0,4,0,0,0,0,4,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,1,1
重量バランス,2.78360364387868e-23,3,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
感触,2.77270635188578e-23,1,0,0,0,0,1,2,1,0,2,0,0,1,0,0,1,6,0,3,0,0,0,0,1,0,0,1,0,2,0,0,1,1,0,0,1,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
描写力,2.72482808574287e-23,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0,2,1,1,0,1,0,0,4,0,2,0,0,0,0,3,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,0,3,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
コストパフォーマンス,2.67172522436299e-23,1,5,0,1,0,1,0,0,0,5,0,0,3,0,36,1,4,14,0,0,0,0,0,2,4,1,8,0,0,4,1,0,0,4,2,0,0,1,2,3,0,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,9,0,0,0,3,3,6,0,0,10,0,0,0,0,0,0,0,0,0,2,0,0,2,2,0,0,0,0,24,2,0,0,2,1,0,0,0,1,0,0,2,0,0
見た目,2.65151547366738e-23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0
性能,2.64418012140418e-23,0,5,0,3,0,0,0,0,0,2,0,0,4,1,1,2,0,2,0,0,0,0,0,1,0,1,3,1,0,1,0,0,0,0,0,2,0,3,0,0,1,0,0,1,0,0,1,2,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,1,12,0,1,1,3,0,1,0,0,1,4,0,0,0,0,0,0,0,0,2,0,1,0,0,2,0,1,0,2,0,1,1,0,0
操作感,2.6277102320118e-23,0,0,0,0,0,2,0,0,0,1,0,0,1,0,0,2,1,0,1,1,2,0,1,0,0,0,1,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0,0
コントラスト,2.56045329226005e-23,0,1,1,1,0,0,0,0,0,1,0,3,0,0,11,0,0,5,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
質感,2.54675270923231e-23,5,1,1,5,1,2,2,2,0,4,0,1,1,0,5,4,4,9,5,2,1,0,0,1,4,0,4,0,6,6,0,0,2,2,0,1,0,2,3,1,2,5,0,1,0,0,4,4,1,2,1,1,4,0,0,3,0,4,0,1,2,0,0,2,0,0,0,0,1,2,1,3,0,0,0,1,2,0,0,0,0,1,0,0,0,2,0,0,1,3,0,1,1,0,1,0,1,0,2,1
反応,2.48742651041958e-23,1,2,1,0,2,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
シャッター音,2.46523599325447e-23,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
ボケ味,2.46208736599715e-23,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
音,2.3667922978904e-23,0,0,0,1,1,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0
取り回し,2.32022664631021e-23,0,0,1,2,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
満足度,2.30341786485853e-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,7,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,16,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,3,0,0,0,3,0,3,0,6,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ヌケ,2.2273774464801e-23,2,5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
位置,2.22589416536788e-23,0,0,0,0,5,1,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0
AF精度,2.20334661120739e-23,0,1,0,1,2,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,2,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
解像感,2.19788322036762e-23,0,0,0,2,1,1,0,1,0,0,1,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,1,0,0,2,0,0,6,2,0,0,0,0,1,0,0,0,0,0,0,0,1,3,0,1,1,0,8,0,0,4,0,0,0,0,0,3,0,1,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,2,0,0,0,0,1,3,0
画像,2.16492428480809e-23,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,3,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0
出来,2.16202647519971e-23,0,5,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,4,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
使用頻度,2.10015728916519e-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,11,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,4,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ボケ,2.07720397044977e-23,0,0,0,4,0,0,1,1,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
色合い,2.07416989248852e-23,0,1,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,1,2,0,1,1,0,0,0,0,0,0,4
感じ,2.04543479234954e-23,0,0,0,0,0,0,1,1,0,4,0,2,0,0,0,1,3,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,2,1,0,1,0,0,0,1,0,0,0,1,1,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,2,1
カメラ,2.01334386185431e-23,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,6,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,3,0,0,1,0,0,0,0,2,1,1,0,1,0,0,0,2,0,0,0,0,0,2,0
完成度,2.00690822646527e-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,11,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
切れ,1.99386673429758e-23,3,4,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
配置,1.98689739509322e-23,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
液晶,1.94382097324141e-23,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,2,2,0,1,1,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
