"",weight,が良く,の良い,がよく,が悪い,も良く,が良いです,もよく,のよい,も良いです,が良い,が悪く,がいいです,がよい,がいい,が良いので,も良好です,もいいです,が悪いと,は良好です,は良く,は良いです,は良い,がいいので,が良いと,もいい,も良いので,も良い,のある,が良くて,が悪いです,は良いと,はいいと,はいいですね,の悪い,はありません,の高い,も良いと,が感じます,が高い,はいいです,が良くない,があります,も高く,がいいと,も悪くなく,は感じです,があり,が悪いので,も満足しています,といい,は悪いです,が高いので,にありません,も気に入っています,が高く,が良いのか,もいいですね,が違います,もありません,は良いのですが,がよいです,もある,がイマイチ,もよい,にある,もあり,も良好,は最高です,も良いですね,がいいですね,もあります,もいいし,が高いです,はいい,はよく,は思います,も良いし,も高い,もなく,がなります,もあって,がよいと,は落ちますが,を考えると,に満足しています,がある,はよいです,は満足しています,は抜群です,で満足しています
相性,5.88573915980317e-23,1,1,0,0,3,2,0,0,3,2,0,0,1,0,1,0,2,0,0,2,0,0,0,2,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0
写り,5.87893643995602e-23,4,7,0,2,4,1,1,1,0,4,0,1,0,5,1,0,0,1,1,2,4,3,2,2,3,0,2,0,2,0,5,2,4,0,6,0,2,0,0,7,0,0,1,1,1,1,0,0,1,0,0,0,2,0,0,0,0,4,8,1,0,0,0,1,2,0,0,4,0,0,1,0,0,1,0,4,1,0,0,0,0,2,0,0,2,0,0,3,0,0
評判,5.79249004575114e-23,0,14,1,0,0,0,0,3,0,1,0,0,0,3,6,0,0,0,0,1,0,0,2,0,2,0,1,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
気持ち,5.7205869366144e-23,0,13,1,0,0,2,0,3,0,7,0,9,2,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
デザイン,5.6036423486063e-23,3,1,1,0,7,2,1,0,2,7,0,0,1,1,2,0,3,0,1,0,2,2,0,1,2,0,2,1,0,0,11,6,0,0,0,0,4,0,0,3,0,0,0,1,1,5,0,0,1,1,0,0,0,3,0,0,0,0,1,2,0,0,0,0,0,0,0,2,0,4,0,3,0,0,1,11,2,0,0,0,1,0,0,0,0,0,1,2,0,0
携帯性,5.57191276154045e-23,2,11,0,3,12,5,6,0,2,6,2,1,3,1,1,0,1,2,3,4,3,3,5,1,0,1,1,0,1,1,12,0,0,0,11,0,2,0,1,10,0,0,1,1,1,2,0,2,0,1,5,1,1,0,0,0,1,0,1,5,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,12,1,0,1,0,0,1,3,3,0,0,3,2,17,0
もち,5.50467962543757e-23,0,0,0,7,0,1,0,0,1,1,0,0,1,1,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,2,1,2,2,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0
描写,5.34332311060504e-23,1,2,0,0,6,0,0,0,3,0,0,1,0,1,2,1,1,0,0,3,5,1,1,4,1,1,1,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,1,5,0,0,1,0,0,0,0,0,1,1,5,0,0,1,1,0,0,0,1,0,0,0,2,0,0
視認性,5.20319652462975e-23,0,2,1,1,2,0,0,0,0,2,2,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
色,5.15364630396829e-23,0,0,0,2,1,0,0,0,0,1,1,1,0,2,1,0,0,0,1,0,0,2,1,0,2,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
重量バランス,5.00057077076905e-23,3,0,2,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ホールド性,4.95649517283177e-23,4,0,1,2,0,2,0,0,0,1,1,0,0,1,1,0,0,0,3,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
質,4.80685114548672e-23,1,4,0,2,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
画質,4.79909721243242e-23,6,2,1,12,14,6,11,1,5,24,0,6,1,9,5,2,9,4,2,7,13,7,1,13,4,0,10,0,2,4,19,11,2,2,18,0,6,0,0,11,1,1,0,1,3,2,1,2,11,3,3,0,3,3,0,1,1,2,6,4,0,0,1,0,3,1,1,7,0,1,0,2,0,3,2,28,2,0,5,0,0,0,5,2,4,0,2,8,1,8
見た目,4.78505316410978e-23,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
感度,4.78425578726934e-23,2,1,0,2,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
感触,4.77972454582471e-23,1,0,0,0,0,2,1,0,1,2,0,0,1,1,0,0,3,0,0,0,6,0,0,1,0,1,2,1,1,1,1,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
精度,4.76874530367587e-23,2,2,0,2,1,0,0,0,1,2,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0,2,1,0,0,1,1,2,0,4,0,0,1,3,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
描写力,4.52863125084728e-23,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,2,0,0,0,0,4,0,0,1,0,3,0,2,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,1,1,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,2,1,0,0,0,0
反応,4.46352391304437e-23,1,2,1,2,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
操作感,4.34301549957654e-23,0,0,0,0,0,0,2,0,0,1,0,0,1,2,0,1,1,0,2,1,1,1,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
シャッター音,4.28156949853069e-23,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
音,4.23068188967767e-23,0,0,0,1,1,0,0,0,0,0,1,2,2,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0
ボケ味,4.18120906671214e-23,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,2,2,0,2,0,0,0,0,1,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
取り回し,4.02513054057504e-23,0,0,1,0,2,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
性能,3.99543415682077e-23,0,5,0,0,3,0,0,0,0,2,0,0,4,2,1,0,0,0,0,0,0,1,1,1,0,0,0,0,2,0,3,3,0,0,1,1,0,1,2,0,0,2,0,0,0,1,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,4,0,0,0,1,0,0,1,12,2,1,0,0,0,1
ヌケ,3.98486623939438e-23,2,5,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
解像度,3.94975365721953e-23,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,2,0,1,1,1,0,0,0,0,1,2,0,1,0,0,0,0,2,5,0,0,6,0,0,0,7,0,0,0,1,1,0,0,0,2,0,0,8,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0,2,0,0,1,0,2,0,0,0,0,1,0,0,3,0,0,0,0
質感,3.93667596456583e-23,5,1,1,1,5,2,2,0,2,4,0,1,1,4,0,2,5,0,1,0,4,0,0,1,0,0,6,2,1,0,4,2,1,0,2,5,3,1,9,5,0,3,4,0,1,4,4,0,1,4,0,0,0,2,6,0,0,1,0,1,0,0,0,0,1,3,0,4,0,2,2,0,2,0,0,2,0,0,1,1,0,0,1,0,1,1,1,0,0,0
位置,3.91880820074747e-23,0,0,0,5,0,0,1,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
出来,3.91765888657829e-23,0,5,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
コストパフォーマンス,3.81051316152976e-23,1,5,0,0,1,0,1,0,0,5,0,0,3,1,0,0,0,0,0,0,4,0,1,2,1,0,0,0,0,0,8,1,3,0,0,36,2,0,14,1,0,0,4,0,0,0,0,0,0,1,0,2,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,4,0,0,2,0,3,0,0,0,2,0,10,0,0,0,0,2,1
画像,3.62789074717695e-23,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,3,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,2
配置,3.616399560921e-23,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AF精度,3.58680714848615e-23,0,1,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,2,1,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ボケ,3.57460759025022e-23,0,0,0,0,4,1,0,0,1,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
切れ,3.55264551560486e-23,3,4,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
感じ,3.54465217265006e-23,0,0,0,0,0,1,0,0,1,4,0,2,0,1,0,0,2,0,0,1,3,0,0,0,0,0,0,0,0,0,1,1,1,0,6,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,4,0,2,0,1,2,0,0,0,0,0,0,0,0,1,3,0,0,0,0,2,1,0,0,3
色合い,3.53816157523763e-23,0,1,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,1,0,1,0,0,0,0,1,1,0,0,1
コントラスト,3.52007085813063e-23,0,1,1,0,1,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,1,5,0,0,0,5,0,0,1,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
カメラ,3.4145323868849e-23,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,1,1,1,0,6,0,0,0,1,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0,2,0,0,2,0,3,0,0,0,0,0,0,0,0,1,2,0,0,1,2
天気,3.28583520281446e-23,0,15,0,0,0,0,0,1,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
補正,3.26101819872322e-23,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,2,0,0,0,1,0,0,0,7,0,0,1,0,2,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,2,0,0,1,0,1,0,4,0,0,0,0,0,0,0,0,0,3,0,0,3,0,1,0,0,1,0,5,0,0,0,0
条件,3.25828009812979e-23,0,2,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
音質,3.23264239687017e-23,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
レンズ,3.22695919439507e-23,1,5,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,10,1,0,2,3,0,1,0,1,0,2,3,1,2,8,0,0,1,0,4,0,0,0,1,0,1,5,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,6,0,0,0,0,2,0,0,0,0,1,6,0,0,1,2,0,1,0,0,1,5,2,1,0,0
解像感,3.22139254890298e-23,0,0,0,1,2,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,0,0,1,0,0,0,0,1,1,0,2,0,0,4,0,0,0,1,8,0,0,3,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,3,0,2,0,0,0,0,3,1,0,1,0,0,0,1,2,0,0,0,0
ホールド,3.19575618291244e-23,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
液晶,3.13788501802709e-23,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,7,1,0,0,0,0,0,0,0,1,2,0,0,0,1,0,1,1,0,1,0,1,0,0,0,2,0,0,1,2,0,0,0,1,0,0,0,0,1,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0
電池持ち,3.13291584716948e-23,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AF,3.05141484762966e-23,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,3,2,0,0,0,0,0,0,0,0,6,0,2,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
バッテリー,3.03276090196598e-23,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,5,1,0,0,0,0,0,0,0,0,1,0,1,0,9,0,0,0,1,0,0,0,0,1,0,4,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,1,0,0,0
フィーリング,2.98610835669937e-23,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
