"",weight,が良く,の良い,がよく,のよい,が良いです,もよく,が悪い,も良いです,も良く,が悪く,がいいです,が良い,も良好です,がよい,が良いので,が悪いと,がいい,は良好です,もいいです,は良く,の悪い,は良い,がいいので,もいい,が悪いです,が良くて,はいいと,も良い,が良いと,も良いので,のある,は良いです,の高い,はいいですね,が良くない,を考えると,がいいと,が感じます,が良いのか,も悪くなく,が高い,が悪いので,があります,はいいです,もいいですね,は良いと,もよい,は感じです,も良いと,といい,がよいです,も満足しています,も気に入っています,が違います,もいいし,もある,は悪いです,も良いですね,も高く,があり,にありません,はありません,にある,も良好,がイマイチ,は良いのですが,がいいですね,もあります,が高いので,も良くて
ホールド感,1.75167292228079e-21,5,3,1,0,2,5,5,4,6,3,1,3,2,0,3,0,1,9,3,1,0,7,1,3,0,1,0,1,1,4,0,14,0,0,2,0,1,1,0,1,1,0,1,2,0,4,0,3,0,2,1,2,0,0,0,1,1,0,0,2,2,9,0,0,1,3,0,0,0,0
写り,1.73575054233377e-21,4,7,0,1,1,1,2,0,4,0,1,4,0,0,1,1,5,1,0,2,0,3,2,3,0,2,2,2,2,0,0,4,0,4,0,0,1,0,0,1,0,0,0,7,0,5,1,1,2,0,0,1,0,4,0,0,0,0,1,0,2,6,2,0,0,1,0,1,0,2
重量バランス,1.71131022269182e-21,3,0,2,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
携帯性,1.71129363986834e-21,2,11,0,0,5,6,3,2,12,2,1,6,0,3,1,2,1,3,1,4,0,3,5,0,1,1,0,1,1,1,0,3,0,0,0,3,1,0,0,1,1,2,0,10,1,12,0,2,2,1,0,0,0,0,4,0,5,0,1,0,1,11,0,0,0,5,0,0,1,0
色,1.70683001738667e-21,0,0,0,0,0,0,2,0,1,1,1,1,0,0,1,0,2,1,0,0,0,2,1,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,3,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
デザイン,1.69623923103459e-21,3,1,1,0,2,1,0,2,7,0,0,7,0,1,2,0,1,1,3,0,0,2,0,2,0,0,6,2,1,0,1,2,0,0,0,0,1,0,0,1,0,0,0,3,0,11,0,5,4,1,0,1,3,0,3,0,0,0,0,0,0,0,0,0,0,2,4,0,0,1
視認性,1.68365326388202e-21,0,2,1,0,0,0,1,0,2,2,1,2,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
描写,1.66599286756569e-21,1,2,0,0,0,0,0,3,6,0,1,0,1,0,2,0,1,0,1,3,0,1,1,1,0,2,0,1,4,1,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,3,0,0,0,0,0,4,5,0,0,0,0,0,0,0
ホールド性,1.64092614588263e-21,4,0,1,0,2,0,2,0,0,1,0,1,0,0,1,0,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
もち,1.63501334385958e-21,0,0,0,0,1,0,7,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,2,1,2,0,1,0,0,1,0,2,1,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
感度,1.59194855045441e-21,2,1,0,0,0,0,2,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
質,1.52765947998835e-21,1,4,0,1,1,0,2,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
反応,1.48539176640268e-21,1,2,1,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
見た目,1.46984531428339e-21,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,2,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
音,1.44882310473421e-21,0,0,0,0,0,0,1,0,1,1,2,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0
シャッター音,1.41249597426174e-21,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0
取り回し,1.38529868947573e-21,0,0,1,1,1,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
出来,1.37302625521638e-21,0,5,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
描写力,1.37201533187913e-21,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,4,1,0,3,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,3,1,0,0,0,0,2,0
画質,1.37147165007744e-21,6,2,1,1,6,11,12,5,14,0,6,24,2,1,5,4,9,2,9,7,2,7,1,4,4,2,11,10,13,0,0,13,0,2,1,2,1,0,1,3,0,2,1,11,1,19,0,2,6,3,0,11,3,2,2,0,3,0,0,1,3,18,3,1,1,4,1,0,0,4
操作感,1.37070342038987e-21,0,0,0,0,0,2,0,0,0,0,0,1,1,1,0,0,2,2,1,1,0,1,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
精度,1.3691217632765e-21,2,2,0,0,0,0,2,1,1,0,0,2,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,0,1,1,0,0,0,0,0,1,0,4,0,1,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,1,1,0,1,0,0,0,3,0
ボケ味,1.36642939853565e-21,0,0,0,0,1,0,0,2,1,0,0,0,2,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ヌケ,1.35918396607335e-21,2,5,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
感触,1.33369867652916e-21,1,0,0,0,2,1,0,1,0,0,0,2,0,1,0,0,1,0,3,0,0,0,0,0,1,1,0,2,1,1,1,6,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,1,0,0,0
配置,1.29925207387393e-21,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
位置,1.2982258262041e-21,0,0,0,0,0,1,5,0,0,3,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0
性能,1.20805129378398e-21,0,5,0,0,0,0,0,0,3,0,0,2,0,4,1,0,2,0,0,0,0,1,1,0,0,2,3,0,1,0,0,0,1,0,0,12,0,1,0,0,2,0,2,0,0,3,0,1,0,2,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0
画像,1.18218003282211e-21,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,1,0,0,0
解像度,1.17751808304309e-21,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,2,0,0,0,1,0,1,0,0,1,0,0,1,0,0,2,1,5,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,7,1,0,2,0,1,0,0,0,1,2,0
補正,1.15372757527529e-21,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,7,0,0,2,0,1,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0
色合い,1.14696308097561e-21,0,1,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
天気,1.14320875905064e-21,0,15,0,1,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
切れ,1.1339590603022e-21,3,4,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,4,0,0,0,0,0,0,0,0,0,0
条件,1.10848875066347e-21,0,2,0,0,0,0,2,0,0,0,0,1,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AF精度,1.08626741884984e-21,0,1,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0
質感,1.07913529285169e-21,5,1,1,0,2,2,1,2,5,0,1,4,2,1,0,0,4,1,5,0,0,0,0,0,0,1,2,6,1,0,2,4,5,1,0,0,0,1,0,1,9,0,3,5,0,4,0,4,3,4,0,1,2,1,0,0,0,0,4,4,0,2,1,0,0,1,2,2,0,0
音質,1.07765001378097e-21,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0
ボケ,1.0759940407349e-21,0,0,0,0,1,0,0,1,4,0,0,1,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
電池持ち,1.06820901631212e-21,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
カメラ,1.04083935174331e-21,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,2,0,1,0,0,1,0,1,0,1,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,2,0,0
感じ,1.0254447673903e-21,0,0,0,0,1,0,0,1,0,0,2,4,0,0,0,0,1,0,2,1,0,0,0,0,0,0,1,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,6,1,0,0,0,1,2,0,0
コントラスト,9.89775412441197e-22,0,1,1,0,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,1,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,2,0
ボケ具合,9.81727316350596e-22,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
レンズ,9.77048951825485e-22,1,5,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,2,1,0,3,0,1,3,1,2,0,0,10,0,1,0,0,1,1,0,0,0,0,0,4,0,2,0,1,0,1,0,0,0,0,0,1,0,0,0,5,1,8,6,0,0,0,2,0,0,0
フィーリング,9.74960539552745e-22,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ホールド,9.54036845959175e-22,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
大きさ,9.38214503227257e-22,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,2,0,0,0,8,0,0,0,0,0,0,0,2,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0
バッテリー,9.33314539477649e-22,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,5,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,3,1,0,0,0,9,0,0,0,0,0,0,0,0
液晶,9.32197294536387e-22,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,7,0,0,0,0,0,1,0,0,0,0,1,1,0,2,0,2,1,2,0,1,1,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0
AF,9.24725371555114e-22,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,1,1,6,1,0,0,0,0,1,0,0
グリップ感,9.11493795676329e-22,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
重さ,9.04570974145381e-22,0,0,0,0,0,0,0,0,2,0,1,3,0,1,0,0,2,0,2,0,0,0,0,0,0,0,0,3,0,0,1,2,0,0,0,1,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,1,1,1,0,0,0,0,1,0,0
キレ,8.92084081763232e-22,0,2,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
コストパフォーマンス,8.64418413761957e-22,1,5,0,0,0,1,0,0,1,0,0,5,0,3,0,0,1,0,0,0,0,0,1,1,0,0,1,0,2,0,0,4,36,3,0,10,0,0,0,0,14,0,0,1,3,8,0,0,2,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0
解像感,8.52926999539283e-22,0,0,0,0,0,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,1,0,0,0,0,0,0,0,2,0,4,0,0,1,0,1,1,3,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,1,0,3,0,0
・画質,8.45747831693835e-22,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
気分,8.34450975685042e-22,0,1,0,0,2,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
動画,8.21334420814826e-22,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
ファインダー,8.19304194788783e-22,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
撮影,7.99871068628868e-22,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
・操作性,7.77312188552439e-22,1,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0
トータルバランス,7.76424528412563e-22,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
グリップ,7.74917560621498e-22,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
機能性,7.4952865993014e-22,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3,0,0,0,1,0,0,0,0,1,0,0,1,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ホールディング,7.35984757858836e-22,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
表現力,7.34340148780806e-22,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,3,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
画角,7.06374587985198e-22,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
作り,6.98239521012965e-22,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
