"",weight,バランス,使い勝手,持ち,色乗り,レスポンス,操作性,発色,色のり,携帯性,評判,ホールド感,デザイン,相性,気持ち,視認性,もち,写り,重量バランス,描写,感度,ホールド性,色,質,精度,画質,感触,描写力,見た目,反応,音,操作感,ボケ味,性能,解像度,シャッター音,質感,取り回し,出来,ヌケ,位置,配置,AF精度,コントラスト,補正,コストパフォーマンス,切れ,色合い,画像,天気,ボケ,条件,レンズ,音質,解像感,液晶,電池持ち,カメラ,ホールド,バッテリー,重さ,AF,フィーリング,ボケ具合,大きさ,キレ,グリップ感,使用頻度,機動性,機能性,・画質,満足度,描写性能,動画,ファインダー,グリップ,画素数,表現力,気分,・操作性,完成度
がいい,2.97234061658123e-23,4,1,10,0,1,1,3,0,1,3,1,1,0,9,0,1,5,0,1,0,1,2,0,0,9,1,0,2,0,0,2,0,2,0,0,4,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,1,0,2,0,0,0,0,1,0,0,1,0,0
が悪いと,2.95537017970228e-23,4,1,6,1,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,4,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
は良好です,2.92277919723606e-23,3,5,0,1,0,6,1,0,3,0,9,1,0,0,0,0,1,1,0,0,3,1,0,0,2,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
もいいです,2.91672919041208e-23,0,1,6,0,1,3,1,0,1,0,3,3,2,0,0,1,0,1,1,0,0,0,0,1,9,3,0,2,0,0,1,3,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
は良く,2.75697089574773e-23,3,1,2,0,1,2,0,0,4,1,1,0,2,0,2,0,2,0,3,0,0,0,0,0,7,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
がいいので,2.61964759020112e-23,0,1,6,0,1,2,0,0,5,2,1,0,0,1,0,1,2,0,1,0,0,1,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
は良い,2.57048447659642e-23,2,1,4,0,1,2,0,1,3,0,7,2,0,0,0,0,3,0,1,0,1,2,0,0,7,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
のある,2.52289419732315e-23,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,2,0,2,0,2,0,0,0,0,0,0,0,7,0,7,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,1,5,0,0,1,1,0,0,0,0,0,3,0,2,0,0,0
はいいと,2.49887723302405e-23,4,3,0,0,0,9,0,0,0,0,0,6,2,0,0,2,2,0,0,0,0,0,0,1,11,0,0,0,0,0,0,0,3,0,0,2,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
は良いです,2.45056684938184e-23,5,10,10,1,1,6,2,1,3,0,14,2,0,0,0,1,4,0,5,0,2,0,0,1,13,6,1,0,0,0,1,0,0,1,0,4,0,1,0,0,0,1,0,0,4,0,0,2,0,1,0,10,0,1,7,0,2,5,5,2,2,1,0,2,0,1,0,0,3,0,0,0,0,1,0,0,3,0,0,0
の悪い,2.44870324659303e-23,0,0,0,0,0,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
もいい,2.44417068375473e-23,2,1,0,0,0,5,1,0,0,2,3,2,0,0,0,0,3,0,1,1,0,2,0,0,4,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,2,0,3,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
が良くて,2.42700616756213e-23,1,1,2,1,1,0,0,0,1,0,1,0,0,0,0,1,2,0,2,0,0,0,0,0,2,1,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
が悪いです,2.42295990717143e-23,2,2,10,0,0,2,0,0,1,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,4,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
を考えると,2.41538066511062e-23,8,4,0,0,0,3,0,0,3,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,2,1,1,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,0,0,1,1,1,0,0,0,0,0,0,0,3,0,0,0
も良いので,2.40822191449879e-23,3,0,4,0,0,1,0,0,1,0,4,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
も良い,2.36889969496219e-23,1,1,4,0,1,8,0,0,1,1,1,2,0,0,0,0,2,0,1,0,0,1,0,0,10,2,0,0,0,0,2,0,0,1,1,6,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,3,0,1,2,0,0,2,0,0,0,1,0,0,0,1,1,0,1,0,0,0
が良いと,2.36577299208959e-23,9,6,2,0,0,2,0,0,1,0,1,1,2,0,0,1,2,2,4,1,0,0,0,0,13,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
が高い,2.33172714501643e-23,2,0,0,0,0,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,4,0,0,1,0,0,0,0,0,2,6,0,9,0,0,0,0,0,1,5,0,14,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,11,0,1,0,7,0,0,0,0,2,0,0,0,11
も高く,2.30669002130449e-23,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,7,0,4,0,0,0,0,0,0,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,3
は良いと,2.29325826072974e-23,8,5,8,0,1,10,0,1,12,0,4,11,1,0,0,1,5,0,0,0,0,1,0,2,19,1,1,0,2,0,1,0,3,0,0,4,0,0,0,0,0,0,0,1,8,0,1,0,0,0,0,2,0,1,2,0,1,1,1,0,0,0,0,1,0,0,0,1,3,0,0,0,0,2,0,0,1,0,0,0
はいいですね,2.26165726377446e-23,2,0,2,0,0,1,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,1,0,0,2,0,3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
の高い,2.25261913689894e-23,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,0,0,1,5,0,5,0,0,0,0,0,1,11,0,36,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,2,0,0,45,1,0,0,0,3,0,0,0,37
があります,2.20577771366393e-23,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,2,0,0,3,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,4,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
が高いので,2.16619747479094e-23,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,1,0,0,0,2
が感じます,2.16517008318037e-23,3,1,2,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
がいいと,2.15751845150577e-23,4,3,2,0,0,0,0,0,1,0,1,1,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
が良くない,2.14153901781162e-23,1,1,5,0,0,1,1,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
が悪いので,2.10874437770551e-23,1,0,5,0,0,0,0,0,2,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
が高く,2.10678405407837e-23,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,8,0,6,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,2,1,0,0,0,0,0,0,0,4
はありません,2.07993947741572e-23,0,4,9,0,1,11,1,0,11,0,9,0,1,1,0,0,6,0,4,0,1,0,0,1,18,2,2,0,0,0,0,1,1,2,0,2,0,0,0,0,0,1,0,1,0,0,0,3,0,0,0,8,2,0,1,1,6,1,9,1,6,0,0,2,0,1,1,0,1,0,1,1,0,0,1,0,0,0,2,0
も悪くなく,2.07936292225145e-23,1,1,0,0,0,1,1,1,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
はいいです,2.06761000203644e-23,0,3,1,1,0,4,1,0,10,0,2,3,1,0,0,0,7,0,0,0,0,0,0,0,11,0,1,1,0,0,0,3,0,0,0,5,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,4,1,0,1,0,3,0,0,2,0,2,0,2,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
も良いと,2.0622446854972e-23,11,1,1,0,0,6,0,1,2,0,0,4,0,0,0,0,2,0,0,0,0,0,0,2,6,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,2,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
は感じです,2.02908530449674e-23,0,0,2,0,0,3,1,2,2,0,3,5,0,0,1,1,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1,0,1,4,0,0,0,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,2,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
があり,2.01855507188068e-23,0,0,0,0,0,1,1,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,1,0,4,0,1,0,0,0,0,1,1,0,4,0,0,0,2,0,5,0,8,0,0,1,0,0,4,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1
が良いのか,2.01594676949154e-23,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
も満足しています,2.01490909909535e-23,1,0,1,0,0,2,4,0,0,0,2,1,0,0,0,0,1,0,0,0,0,1,1,0,11,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,2,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
は悪いです,2.0096370929707e-23,1,0,6,0,0,3,1,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
もいいですね,2.00820558453381e-23,0,1,2,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
といい,1.98383944852901e-23,0,0,0,2,0,1,2,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,2,0,1,4,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,3,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
も気に入っています,1.96242075227148e-23,0,1,0,0,0,0,1,0,0,0,0,3,1,0,0,0,0,0,0,0,0,3,0,0,3,0,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
がよいです,1.95058491408334e-23,0,5,1,0,0,1,0,0,0,1,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
が違います,1.94016698762473e-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,1,0,2,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
にありません,1.92203780350201e-23,0,1,1,0,0,3,0,0,1,0,2,0,0,0,1,0,2,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
もよい,1.88620415050289e-23,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
もいいし,1.85790150692712e-23,0,1,0,0,0,0,2,1,4,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
がイマイチ,1.84874969094643e-23,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
になります,1.84319392709766e-23,1,0,0,0,0,0,3,0,0,0,0,1,0,2,0,0,3,0,7,0,0,5,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,1,0,3,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
も良いですね,1.83788738962186e-23,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
が高いです,1.82729942045047e-23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,16,0,0,0,0,0,0,0,0,1
は良いのですが,1.82461454342056e-23,0,0,1,0,1,4,0,1,5,0,3,2,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
もある,1.79995155773789e-23,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
がいいですね,1.78668159622099e-23,1,4,0,0,0,1,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
もありません,1.77260592534906e-23,0,1,0,0,0,1,1,0,1,0,5,1,0,0,1,0,8,0,0,0,1,0,0,1,6,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
