"",weight,バランス,使い勝手,持ち,色乗り,レスポンス,操作性,発色,色のり,携帯性,評判,ホールド感,デザイン,相性,気持ち,もち,写り,視認性,重量バランス,感度,描写,ホールド性,色,画質,質,精度,感触,見た目,反応,描写力,音,操作感,ボケ味,シャッター音,性能,取り回し,解像度,質感,出来,ヌケ,位置,AF精度,配置,補正,コストパフォーマンス,コントラスト,切れ,色合い,画像,ボケ,天気,条件,レンズ,音質,解像感,液晶,電池持ち,カメラ,ホールド,重さ,バッテリー,AF,大きさ,フィーリング,ボケ具合,キレ,使用頻度,グリップ感,機動性,・画質,機能性,描写性能,動画,グリップ,ファインダー,完成度,表現力,気分,満足感,・操作性,満足度
が悪く,1.21904704996379e-20,2,1,6,0,1,0,0,0,2,0,3,0,0,0,0,0,2,0,1,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
が良い,1.1700744761935e-20,14,17,24,1,8,4,0,0,6,1,3,7,2,7,1,4,2,0,0,0,1,1,24,0,2,2,0,0,0,0,1,0,0,2,0,1,4,1,0,0,0,0,0,5,1,1,0,1,1,2,1,1,1,0,1,0,0,1,3,1,1,0,0,0,1,0,1,0,2,0,0,1,1,0,0,0,0,0,3,0
がいいです,1.15288296262692e-20,3,12,6,2,0,3,0,1,1,0,1,0,0,9,0,1,1,1,0,1,0,1,6,0,0,0,0,1,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
がよい,1.10843534012687e-20,3,6,6,0,0,2,0,0,3,0,0,1,1,2,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,2,1,0,0,4,0,0,1,0,0,0,0,0,1,3,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0
も良好です,1.06335454730629e-20,0,1,1,1,2,3,0,1,0,0,2,0,0,0,0,0,0,1,1,1,0,0,2,0,0,0,1,0,1,0,1,2,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
が良いので,1.03506911446378e-20,2,3,2,0,1,2,1,0,1,6,3,2,1,0,0,1,0,0,1,2,1,1,5,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
がいい,1.02139482782941e-20,4,1,10,0,1,1,3,0,1,3,1,1,0,9,1,5,0,0,0,1,1,2,9,0,0,1,2,0,0,0,2,0,0,2,0,0,4,0,0,0,0,0,1,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,1,2,0,0,0,1,0,0,0,1,0,0,0
が悪いと,1.01019341357048e-20,4,1,6,1,0,0,0,0,2,0,0,0,0,0,0,1,1,0,1,0,0,0,4,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
は良好です,9.99677012051288e-21,3,5,0,1,0,6,1,0,3,0,9,1,0,0,0,1,0,1,0,0,3,1,2,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
もいいです,9.97143677359099e-21,0,1,6,0,1,3,1,0,1,0,3,3,2,0,1,0,0,1,0,1,0,0,9,0,1,3,2,0,0,0,1,3,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,2,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
は良く,9.42681452126758e-21,3,1,2,0,1,2,0,0,4,1,1,0,2,0,0,2,2,0,0,3,0,0,7,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
がいいので,8.97046510817636e-21,0,1,6,0,1,2,0,0,5,2,1,0,0,1,1,2,0,0,0,1,0,1,1,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
は良い,8.78654451468206e-21,2,1,4,0,1,2,0,1,3,0,7,2,0,0,0,3,0,0,0,1,1,2,7,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
のある,8.60402051014917e-21,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,2,0,0,0,2,2,0,0,0,0,0,7,0,0,7,0,0,0,0,0,0,0,6,0,0,0,0,1,0,0,1,0,0,5,0,0,1,0,1,0,0,3,0,0,2,0,0,0,0
はいいと,8.5713972250472e-21,4,3,0,0,0,9,0,0,0,0,0,6,2,0,2,2,0,0,0,0,0,0,11,0,1,0,0,0,0,0,0,0,0,3,1,0,2,1,0,1,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
の悪い,8.37266815669063e-21,0,0,0,0,0,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
もいい,8.37075599112821e-21,2,1,0,0,0,5,1,0,0,2,3,2,0,0,0,3,0,0,1,1,0,2,4,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,2,0,0,3,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
は良いです,8.34816861348763e-21,5,10,10,1,1,6,2,1,3,0,14,2,0,0,1,4,0,0,0,5,2,0,13,0,1,6,0,0,1,0,1,0,0,0,0,1,4,1,0,0,1,0,0,4,0,0,0,2,1,0,0,10,0,1,7,0,2,5,2,5,2,2,1,0,0,0,1,0,0,3,0,0,0,1,0,3,0,0,0,0
が良くて,8.31933769058599e-21,1,1,2,1,1,0,0,0,1,0,1,0,0,0,1,2,0,0,0,2,0,0,2,0,0,1,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
が悪いです,8.30444273418946e-21,2,2,10,0,0,2,0,0,1,0,0,0,0,0,2,0,1,0,1,0,0,0,4,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
を考えると,8.27265888141693e-21,8,4,0,0,0,3,0,0,3,0,0,0,0,0,1,0,0,1,0,1,0,0,2,0,0,1,0,0,1,0,0,0,0,12,0,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,0,0,0,1,0,1,0,1,0,0,0,0,0,3,0,0,0,0
も良いので,8.24688795890173e-21,3,0,4,0,0,1,0,0,1,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
が良いと,8.13280428917362e-21,9,6,2,0,0,2,0,0,1,0,1,1,2,0,1,2,0,2,1,4,0,0,13,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,2,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
が高い,8.12433811897567e-21,2,0,0,0,0,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,4,0,0,0,1,0,0,0,0,2,0,6,9,0,0,0,1,0,0,14,5,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,11,0,0,0,1,0,0,0,0,11,0,0,3,0,7
も良い,8.09897557112841e-21,1,1,4,0,1,8,0,0,1,1,1,2,0,0,0,2,0,0,0,1,0,1,10,0,0,2,0,0,0,0,2,0,1,0,0,1,6,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,3,0,0,0,1,2,0,0,2,0,1,0,0,0,1,1,0,1,0,0,0,0
の高い,7.98525752362886e-21,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,5,5,0,0,0,1,0,0,36,11,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10,0,2,0,0,1,0,0,0,37,0,0,7,0,45
は良いと,7.84710974587153e-21,8,5,8,0,1,10,0,1,12,0,4,11,1,0,1,5,0,0,0,0,0,1,19,0,2,1,0,2,1,0,1,0,0,3,0,0,4,0,0,0,0,0,1,8,0,0,1,0,0,0,0,2,0,1,2,0,1,1,0,1,0,1,0,0,0,0,0,1,0,3,0,0,0,2,0,1,0,0,0,0
も高く,7.75346479398564e-21,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,7,4,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,3,0,0,0,0,0
はいいですね,7.74532664553973e-21,2,0,2,0,0,1,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,1,2,0,0,0,0,0,3,0,0,1,0,0,0,0,1,0,0,0,0,0,2,3,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
がいいと,7.42200498504701e-21,4,3,2,0,0,0,0,0,1,0,1,1,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
が感じます,7.3978605261915e-21,3,1,2,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
が良くない,7.34911578817184e-21,1,1,5,0,0,1,1,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
が高く,7.2968550937313e-21,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,8,6,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,4,0,0,1,0,2
が高いので,7.26995390332532e-21,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,2
が悪いので,7.21782213471481e-21,1,0,5,0,0,0,0,0,2,0,0,0,1,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
も悪くなく,7.13049686240983e-21,1,1,0,0,0,1,1,1,1,0,1,1,0,0,0,1,0,1,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
があります,7.11161406135777e-21,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,2,0,0,3,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0,0,4,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,0,0
はありません,7.08816037068402e-21,0,4,9,0,1,11,1,0,11,0,9,0,1,1,0,6,0,0,0,4,1,0,18,0,1,2,0,0,2,0,0,1,0,1,0,2,2,0,0,0,1,0,1,0,0,0,0,3,0,0,0,8,2,0,1,1,6,1,1,9,6,2,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,2,1
も良いと,7.06578744679807e-21,11,1,1,0,0,6,0,1,2,0,0,4,0,0,0,2,0,0,0,0,0,0,6,0,2,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,2,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
はいいです,7.06210585621522e-21,0,3,1,1,0,4,1,0,10,0,2,3,1,0,0,7,0,0,0,0,0,0,11,0,0,0,1,0,1,0,0,3,0,0,0,0,5,1,0,0,1,0,1,1,0,0,0,0,0,0,0,4,1,0,1,0,3,0,2,0,0,2,2,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0
が良いのか,6.90778166795026e-21,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
は悪いです,6.8946252658665e-21,1,0,6,0,0,3,1,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
は感じです,6.89213158414961e-21,0,0,2,0,0,3,1,2,2,0,3,5,0,0,1,1,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,1,0,0,4,0,0,1,0,0,1,0,1,0,1,1,1,0,0,1,0,1,2,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
があり,6.89201743824803e-21,0,0,0,0,0,1,1,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1,4,1,0,0,0,0,1,0,1,4,0,0,2,0,0,5,0,8,0,0,1,0,4,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0
もいいですね,6.88757710906962e-21,0,1,2,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
も満足しています,6.87305254538929e-21,1,0,1,0,0,2,4,0,0,0,2,1,0,0,0,1,0,0,0,0,0,1,11,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,2,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
といい,6.75548963828195e-21,0,0,0,2,0,1,2,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,1,2,0,0,4,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,3,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
も気に入っています,6.71536385302842e-21,0,1,0,0,0,0,1,0,0,0,0,3,1,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,1,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
がよいです,6.71007266734602e-21,0,5,1,0,0,1,0,0,0,1,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
が違います,6.60916200749461e-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,2,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
が高いです,6.60855516422086e-21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,1,0,0,3,0,16
にありません,6.56056741849258e-21,0,1,1,0,0,3,0,0,1,0,2,0,0,0,0,2,1,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
もよい,6.4759909381674e-21,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
もいいし,6.37964146758921e-21,0,1,0,0,0,0,2,1,4,0,0,3,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
になります,6.32394877174946e-21,1,0,0,0,0,0,3,0,0,0,0,1,0,2,0,3,0,0,0,7,0,5,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,1,0,0,3,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
がイマイチ,6.32331757134336e-21,0,0,0,1,0,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
も良いですね,6.29986079559938e-21,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
は良いのですが,6.22042751222844e-21,0,0,1,0,1,4,0,1,5,0,3,2,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
もある,6.15995625005904e-21,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
がいいですね,6.13165301726997e-21,1,4,0,0,0,1,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
もありません,6.06901823326334e-21,0,1,0,0,0,1,1,0,1,0,5,1,0,0,0,8,1,0,0,0,1,0,6,0,1,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
