"",weight,が良く,の良い,がよく,が悪い,も良く,が良いです,もよく,のよい,も良いです,が良い,が悪く,がいいです,がよい,がいい,が良いので,も良好です,もいいです,が悪いと,は良好です,は良く,は良いです,がいいので,が良いと,は良い,もいい,も良い,も良いので,のある,が良くて,が悪いです,はいいですね,は良いと,はいいと,の悪い,が高い,も高く,も良いと,が感じます,はありません,の高い,が良くない,があります,を考えると,がいいと,はいいです,も悪くなく,も満足しています,が高いので,があり,が悪いので,が高く,は悪いです,といい,は感じです,にありません,も気に入っています,が良いのか,もいいですね,が違います,もありません,は良いのですが,がよいです,もある,もよい,がイマイチ,が高いです,にある,も良好,は最高です,もあり,も良いですね,もいいし,がいいですね,もあります,はいい,はよく,も良いし,は思います,も高い,は落ちますが,がなります,がよいと,もあって,は満足しています,は高い,に満足しています,はよいです,は抜群です,で満足しています,もなく
相性,2.70945450120378e-20,1,1,0,0,3,2,0,0,3,2,0,0,1,0,1,0,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0
気持ち,2.65495264972546e-20,0,13,1,0,0,2,0,3,0,7,0,9,2,9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
写り,2.62375726750618e-20,4,7,0,2,4,1,1,1,0,4,0,1,0,5,1,0,0,1,1,2,4,2,2,3,3,2,0,0,2,0,4,5,2,0,0,1,2,0,6,0,0,0,0,1,7,1,1,0,0,0,0,0,0,1,2,0,0,0,4,8,1,0,0,1,0,0,2,0,4,0,0,0,0,1,1,0,1,4,0,0,0,2,0,3,0,2,0,0,0,0
操作性,2.62352709253436e-20,8,4,3,6,12,4,5,0,9,4,0,3,2,1,2,3,3,0,6,2,6,2,2,2,5,8,1,0,0,2,1,10,9,1,3,0,6,0,11,0,1,0,3,0,4,1,2,0,1,0,1,3,1,3,3,0,0,0,0,1,4,1,0,0,1,0,1,2,1,0,0,0,1,0,2,1,1,11,0,0,0,1,0,1,0,1,4,6,1,2
もち,2.53557682121173e-20,0,0,0,7,0,1,0,0,1,1,0,0,1,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,2,2,1,2,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
デザイン,2.50307399914873e-20,3,1,1,0,7,2,1,0,2,7,0,0,1,1,2,0,3,0,1,0,2,0,1,2,2,2,0,1,0,0,0,11,6,0,0,0,4,0,0,0,0,0,0,1,3,1,1,0,0,0,0,0,1,5,0,3,0,0,0,1,2,0,0,0,0,0,0,0,2,0,0,3,4,0,0,1,2,11,0,0,0,0,1,2,0,0,1,0,0,0
携帯性,2.43539998410087e-20,2,11,0,3,12,5,6,0,2,6,2,1,3,1,1,0,1,2,3,4,3,5,1,3,0,1,1,0,1,1,0,12,0,0,1,1,2,0,11,0,0,0,3,1,10,1,0,1,0,2,0,5,1,2,1,0,0,1,0,1,5,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,1,12,0,3,0,1,0,2,0,0,3,17,0,1
描写,2.42833906367037e-20,1,2,0,0,6,0,0,0,3,0,0,1,0,1,2,1,1,0,0,3,5,1,4,1,1,1,1,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,1,0,0,5,0,1,0,0,0,0,0,1,1,0,5,0,0,1,0,0,2,0,0,0,0,0,1
視認性,2.4202047452322e-20,0,2,1,1,2,0,0,0,0,2,2,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
色,2.37718515500358e-20,0,0,0,2,1,0,0,0,0,1,1,1,0,2,1,0,0,0,1,0,0,1,0,2,2,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
重量バランス,2.33938748132415e-20,3,0,2,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ホールド性,2.2924057528762e-20,4,0,1,2,0,2,0,0,0,1,1,0,0,1,1,0,0,0,3,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
感度,2.25602106189658e-20,2,1,0,2,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
質,2.23209863880908e-20,1,4,0,2,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
見た目,2.2275830405296e-20,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
精度,2.21555694389964e-20,2,2,0,2,1,0,0,0,1,2,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,2,1,0,4,3,2,0,1,1,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,1
感触,2.19815328931033e-20,1,0,0,0,0,2,1,0,1,2,0,0,1,1,0,0,3,0,0,0,6,0,1,0,0,2,1,1,1,1,0,1,0,0,0,0,1,0,2,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
描写力,2.15097922521209e-20,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,2,0,1,0,0,0,4,0,0,3,1,0,0,1,0,0,1,2,0,0,0,1,0,1,0,0,2,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,3,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0
反応,2.0726728250651e-20,1,2,1,2,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
操作感,2.01607680538134e-20,0,0,0,0,0,0,2,0,0,1,0,0,1,2,0,1,1,0,2,1,1,0,0,1,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
シャッター音,1.99609367011899e-20,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
画質,1.97983955869175e-20,6,2,1,12,14,6,11,1,5,24,0,6,1,9,5,2,9,4,2,7,13,1,13,7,4,10,0,0,2,4,2,19,11,2,0,0,6,0,18,0,1,1,2,1,11,3,11,0,1,2,0,3,3,2,3,3,1,1,2,6,4,0,0,0,1,0,3,1,7,1,0,2,1,0,3,2,2,28,0,5,0,0,0,8,0,4,2,1,8,5
音,1.96914522002451e-20,0,0,0,1,1,0,0,0,0,0,1,2,2,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1
ボケ味,1.9358332059231e-20,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,2,0,2,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
解像度,1.92625374639666e-20,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,2,0,1,1,0,0,1,0,1,0,2,0,1,0,0,0,0,6,7,0,0,2,5,0,0,0,0,0,0,0,2,1,1,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,1,1,0,0,1,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0
性能,1.92049607486363e-20,0,5,0,0,3,0,0,0,0,2,0,0,4,2,1,0,0,0,0,0,0,1,1,1,0,0,0,0,2,0,0,3,3,0,2,0,0,1,1,1,0,2,12,0,0,0,0,0,0,0,1,0,2,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,4,0,1,1,0,0,0,0,2,0,0,1,0
取り回し,1.8752207391843e-20,0,0,1,0,2,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ヌケ,1.85411803590458e-20,2,5,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
位置,1.81854912188707e-20,0,0,0,5,0,0,1,0,0,0,3,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
出来,1.80944160779069e-20,0,5,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
質感,1.8012263744626e-20,5,1,1,1,5,2,2,0,2,4,0,1,1,4,0,2,5,0,1,0,4,0,1,0,0,6,0,2,1,0,1,4,2,0,9,4,3,1,2,5,0,3,0,0,5,1,1,0,4,0,6,0,4,4,0,2,0,0,1,0,1,0,0,0,0,2,1,0,4,3,0,0,2,2,0,0,0,2,0,1,1,0,0,0,2,1,1,0,0,1
コストパフォーマンス,1.74723826603198e-20,1,5,0,0,1,0,1,0,0,5,0,0,3,1,0,0,0,0,0,0,4,1,2,0,1,0,0,0,0,0,3,8,1,0,14,4,2,0,0,36,0,0,10,0,1,0,0,2,0,0,4,0,1,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,9,0,0,0,0,0,0,0,0,2,3,0,0,2,0,0,2,0,0,2,1,0
画像,1.72201533677262e-20,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1
AF精度,1.6937735126597e-20,0,1,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,1,0,2,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
配置,1.68973378780308e-20,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
感じ,1.68104321791532e-20,0,0,0,0,0,1,0,0,1,4,0,2,0,1,0,0,2,0,0,1,3,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,6,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,2,4,0,0,1,2,0,0,0,0,0,0,1,0,3,0,0,0,1,0,3,0
色合い,1.6783507470725e-20,0,1,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,1,0,1,1
コントラスト,1.67661761806961e-20,0,1,1,0,1,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,1,0,11,0,0,0,0,0,0,0,2,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
ボケ,1.65280299722573e-20,0,0,0,0,4,1,0,0,1,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
切れ,1.64199923010064e-20,3,4,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
カメラ,1.61436912578202e-20,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,6,0,0,0,0,1,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,2,2,0,0,3,0,0,0,0,0,0,0,1,0,1,2,0
補正,1.60155378536177e-20,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,2,0,0,1,0,0,0,0,7,0,0,2,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,3
解像感,1.55835897054401e-20,0,0,0,1,2,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,0,0,0,1,0,0,2,0,1,0,0,1,0,4,0,0,0,0,0,0,8,0,2,0,3,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,3,0,0,0,3,0,0,0,0,3,0,0,0,1,0,1,1,0,0,0,1
レンズ,1.54925786634857e-20,1,5,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,10,0,2,1,3,1,0,0,1,0,1,2,3,2,0,0,0,1,8,0,0,0,0,1,4,0,0,0,5,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,6,0,0,0,0,0,2,0,0,1,0,6,0,0,2,1,0,1,1,1,2,0,0,1
天気,1.53279999270247e-20,0,15,0,0,0,0,0,1,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
条件,1.51983108706716e-20,0,2,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
音質,1.50546919387937e-20,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
大きさ,1.48773197639318e-20,0,0,0,0,1,2,0,0,0,0,0,1,0,1,0,0,1,0,0,0,2,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,2,0,0,0,8,0,2,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0
ホールド,1.4843177788775e-20,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
電池持ち,1.46064942506305e-20,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
液晶,1.4535620115309e-20,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,7,0,0,1,0,0,0,0,0,1,0,2,0,0,0,0,1,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,2,2,0,1,0,0,0,1,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,1,0,0,0
重さ,1.44315004282095e-20,0,0,0,0,2,0,0,0,0,3,0,1,1,2,0,0,2,0,0,0,2,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,2,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0
バッテリー,1.43876697251177e-20,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,5,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,9,0,0,0,0,1,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0
