"",weight,色乗り,バランス,持ち,色のり,評判,発色,レスポンス,使い勝手,気持ち,重量バランス,相性,携帯性,ホールド感,視認性,色,描写,写り,操作性,ホールド性,感度,もち,質,反応,見た目,音,出来,ヌケ,デザイン,ボケ味,シャッター音,取り回し,位置,精度,操作感,配置,描写力,天気,感触,画像,条件,画質,切れ,性能,カメラ,電池持ち,解像度,AF精度,補正,色合い,感じ,音質,ボケ,レンズ,ボケ具合,バッテリー,質感,コントラスト,AF,大きさ,グリップ感
は良い,7.89629141367207e-20,0,2,4,1,0,0,1,1,0,0,0,3,7,0,2,1,3,2,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,1,0,0,0,0,7,0,1,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0
がいいので,7.87199287908312e-20,0,0,6,0,2,0,1,1,1,0,0,5,1,0,1,1,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
の高い,7.85698863699094e-20,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,5,1,0,0,0,0,0,0,0,0,5,11,0,0,0
は良く,7.85131154463959e-20,0,3,2,0,1,0,1,1,0,0,2,4,1,2,0,3,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,7,0,0,0,0,1,1,2,0,1,0,0,1,0,0,0,0,0,0,0
が悪いです,7.24989779201327e-20,0,2,10,0,0,0,0,2,0,0,0,1,0,1,0,0,0,2,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
もいい,7.24570122669586e-20,0,2,0,0,2,1,0,1,0,0,0,0,3,0,2,1,3,5,0,1,0,0,0,1,0,0,0,2,2,1,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,2,3,0,0,0,0,3,0,0
が良くて,7.08427534551888e-20,1,1,2,0,0,0,1,1,0,0,0,1,1,0,0,2,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,2,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
も良いので,6.88258832939228e-20,0,3,4,0,0,0,0,0,0,0,0,1,4,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0,2,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0
が良いのか,6.83168553944892e-20,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
が良くない,6.69237016009555e-20,0,1,5,0,0,1,0,1,1,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
が良いと,6.65771612047834e-20,0,9,2,0,0,0,0,6,0,2,2,1,1,0,0,4,2,2,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,13,0,1,1,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0
は良いです,6.62228389783769e-20,1,5,10,1,0,2,1,10,0,0,0,3,14,0,0,5,4,6,2,0,1,0,0,0,0,1,0,2,0,0,0,0,1,1,0,1,0,6,2,0,13,0,0,2,0,1,1,0,0,3,0,1,10,0,5,4,0,2,2,1
が感じます,6.55720627573148e-20,0,3,2,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0
を考えると,6.50362582081613e-20,0,8,0,0,0,0,0,4,0,1,0,3,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,0
はいいと,6.4844943255277e-20,0,4,0,0,0,0,0,3,0,0,2,0,0,0,0,0,2,9,0,0,2,0,0,0,0,1,0,6,0,0,1,1,1,0,0,0,0,0,0,0,11,0,3,1,0,0,0,0,0,1,0,0,3,0,0,2,0,0,1,0
がいいと,6.42262825274527e-20,0,4,2,0,0,0,0,3,0,0,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
もよい,6.41185474230821e-20,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
も良い,6.37821696118447e-20,0,1,4,0,1,0,1,1,0,0,0,1,1,0,1,1,2,8,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,2,0,0,0,2,1,0,10,0,0,0,1,1,0,0,1,0,0,1,1,2,0,6,0,0,0,2
が悪いので,6.37653336243075e-20,0,1,5,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
が高い,6.32998828122874e-20,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,2,1,0,6,1,0,0,0,0,0,0,0,1,9,5,0,0,0
もいいですね,6.3254820784841e-20,1,0,2,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
がよいです,6.14754986741039e-20,0,0,1,0,1,0,0,5,2,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
も悪くなく,6.06264382972431e-20,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
は良いと,5.97144689273674e-20,0,8,8,1,0,0,1,5,0,0,1,12,4,0,1,0,5,10,0,0,1,0,2,0,0,0,0,11,0,0,0,0,2,1,0,1,0,1,0,0,19,0,3,1,0,0,0,1,1,1,0,0,2,0,1,4,0,0,1,0
は感じです,5.96887404315563e-20,0,0,2,2,0,1,0,0,0,0,0,2,3,1,1,0,1,3,0,0,1,0,0,0,0,0,0,5,0,1,0,1,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,1,1,0,0,1,1,0,4,4,1,0,1,0
はいいですね,5.95179302271829e-20,0,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,4,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,2,0,0,1,0,0,0,2,0,1,0,0,1,1,1,1,0,0,0,1
があります,5.93631236156948e-20,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,2,0,0,0,0,0,0,5,0,1,0,0,0,3,0,0,0,0
といい,5.93563596085483e-20,2,0,0,0,0,2,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,1,0,0,0,1,1,0,4,0,0,1,0
はいいです,5.87044212827517e-20,1,0,1,0,0,1,0,3,0,0,1,10,2,0,0,0,7,4,0,0,0,0,0,1,0,1,0,3,3,0,0,0,0,0,0,1,0,0,0,0,11,0,0,3,0,0,1,1,0,0,1,0,4,0,0,5,0,0,2,0
も気に入っています,5.86549490298709e-20,0,0,0,0,0,1,0,1,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,1,0,0,0,0,3,1,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,1,0
もいいし,5.8447196969386e-20,0,0,0,1,0,2,0,1,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
もある,5.82542816396163e-20,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
も良いですね,5.75353994842731e-20,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
のある,5.74556994444475e-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,4,0,1,0,0,0,7,0,0,0,2,0,7,0,0,0,0,0,0,0,2,0,0,1,0
も満足しています,5.71545163527726e-20,0,1,1,0,0,4,0,0,0,0,0,0,2,0,1,0,1,2,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,2,0,0
も良いと,5.52077328580935e-20,0,11,1,1,0,0,0,1,0,0,0,2,0,0,0,0,2,6,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0,1,1,0,6,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3,0,2,1,0
にありません,5.51288097416576e-20,0,0,1,0,0,0,0,1,0,1,0,1,2,1,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0
にある,5.50113936136929e-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,8,1,1,1,3,0,0,0,0,3,0,1,0,0,0,0,0,0,1,0,0,6,0,0,1,0,1,0,0
がイマイチ,5.45242649372995e-20,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
は悪いです,5.34278380547758e-20,0,1,6,0,0,1,0,0,0,0,0,5,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0
も良好,5.32845651142464e-20,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
も高く,5.31983658203348e-20,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,4,5,0,0,0
があり,5.24878706590282e-20,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,1,0,1,0,1,0,1,0,2,5,0,0,4,1,1,1,0
も良くて,5.18616767190279e-20,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
はありません,5.14206472287548e-20,0,0,9,0,0,1,1,4,1,0,1,11,9,0,0,4,6,11,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,2,3,0,18,0,1,6,1,2,1,1,0,6,2,0,8,0,9,2,0,6,2,1
もあります,5.0876903310838e-20,0,0,2,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,2,0,0,0,0,0,2,0,1,1,0
もありません,5.02061879594022e-20,0,0,0,0,0,1,0,1,0,0,0,1,5,1,0,0,8,1,1,0,0,0,0,0,0,0,0,1,3,0,0,0,1,0,0,1,0,0,1,0,6,0,0,1,0,0,1,2,0,1,0,0,1,0,1,0,0,1,1,0
は良いのですが,5.01147610539181e-20,0,0,1,1,0,0,1,0,0,0,0,5,3,0,0,0,1,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
が高いので,4.9985563039566e-20,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,2,0,0,0
で満足しています,4.90421569703911e-20,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,8,0,1,2,0,0,0,0,1,3,0,0,0,0,0,0,0,0,1,0
がいいですね,4.90118130937958e-20,0,1,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,2,0,0,2,0,0,0,0
は落ちますが,4.8870931642774e-20,0,0,1,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
も良いし,4.87413194547184e-20,1,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
がなります,4.84584027217751e-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,2,0
は最高です,4.84469516474734e-20,0,0,1,0,0,2,0,2,0,0,1,1,0,0,0,1,4,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,7,0,0,0,0,0,0,0,1,2,0,2,0,0,0,4,0,0,0,0
が良くなりました,4.79520631919069e-20,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
が良いとは,4.74407515169105e-20,0,0,1,1,0,0,0,2,0,0,0,3,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
が違います,4.73748132890087e-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
は良いようです,4.72589887803407e-20,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
はいい,4.71841846945995e-20,0,1,1,0,0,0,1,0,0,0,0,0,2,0,0,1,1,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
がよいと,4.66750047476802e-20,0,0,0,0,0,0,0,1,0,0,1,1,3,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
が好きです,4.66421220058022e-20,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0
を考えて,4.65371506498416e-20,0,2,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
が悪いのと,4.60269152336821e-20,0,0,3,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
は方だと,4.55130735480369e-20,0,0,3,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
は思います,4.51290298692234e-20,1,0,0,0,0,2,0,1,0,0,0,12,4,1,1,5,4,11,1,1,0,0,0,0,0,1,0,11,2,0,0,0,0,0,1,0,0,0,1,0,28,0,4,3,0,1,1,3,3,0,0,0,6,1,3,2,0,2,0,1
がよいので,4.50450511629249e-20,0,0,2,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
もあって,4.50440444651863e-20,0,0,0,0,0,1,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0
が悪いのが,4.46972476317277e-20,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
はよく,4.4392810341932e-20,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
がよければ,4.4329952741213e-20,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
も好きです,4.4139994612462e-20,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
は満足しています,4.40552728901215e-20,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,2,3,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
が違う,4.39964466086397e-20,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,4,1,0,0,0,0,0,1,0,0,1,0
