"",weight,バランス,色のり,色乗り,評判,レスポンス,重量バランス,携帯性,発色,使い勝手,気持ち,写り,持ち,操作性,ホールド性,出来,相性,描写,反応,ヌケ,ホールド感,質,視認性,見た目,ボケ味,デザイン,取り回し,感度,色,位置,操作感,配置,天気,音,性能,精度,描写力,電池持ち,シャッター音,感触,色合い
がいいです,4.61495088059176e-19,3,1,2,0,0,1,1,0,12,9,1,6,3,0,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,0,0
は良好です,4.20468295526319e-19,3,0,1,0,0,1,3,1,5,0,1,0,6,3,0,0,0,0,0,9,0,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0
もよい,4.0472644148493e-19,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
もいいですね,4.00785478372183e-19,0,2,1,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
は良く,3.9659072491794e-19,3,0,0,1,1,0,4,0,1,0,2,2,2,0,0,2,3,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
も良く,3.95896797994923e-19,6,0,5,0,6,0,12,3,4,0,6,7,12,0,0,3,6,0,1,6,1,2,0,1,7,2,0,1,0,0,0,0,1,3,1,1,0,1,0,1
が悪い,3.92263682899011e-19,6,0,0,0,6,1,3,2,7,0,2,36,6,2,0,0,0,2,0,5,2,1,0,0,0,0,2,2,5,0,0,0,1,0,2,0,0,0,0,0
が良い,3.899417694862e-19,14,0,1,1,8,0,6,0,17,7,4,24,4,1,1,2,0,0,0,3,0,2,0,0,7,0,0,1,0,1,0,2,0,2,2,0,0,0,2,0
がいいと,3.87423513281869e-19,4,0,0,0,0,0,1,0,3,0,1,2,0,0,1,2,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
はいいと,3.87344513007733e-19,4,0,0,0,0,0,0,0,3,0,2,0,9,0,1,2,0,0,0,0,0,0,0,0,6,1,0,0,1,0,0,0,0,3,1,0,0,0,0,0
が良くて,3.81753308144889e-19,1,0,1,0,1,0,1,0,1,0,2,2,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0
で満足しています,3.81192411090175e-19,0,2,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
もいいです,3.7620890441652e-19,0,0,0,0,1,1,1,1,1,0,0,6,3,0,0,2,1,0,0,3,0,0,2,3,3,0,0,0,1,1,0,0,0,0,1,0,0,0,3,0
がよい,3.75160677648676e-19,3,0,0,0,0,0,3,0,6,2,0,6,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,2,4,1,0,0,0,1,0
が良いので,3.7059253390348e-19,2,0,0,6,1,0,1,1,3,0,1,2,2,1,0,1,2,0,0,3,0,0,0,0,2,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0
にある,3.65740117887507e-19,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,8,1,1,0,0,1,1,3,0,0,0,0
も良くて,3.49277681956703e-19,0,0,1,0,2,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
が良いと,3.49137072753024e-19,9,0,0,0,0,2,1,0,6,0,2,2,2,0,1,2,4,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0
も悪くなく,3.48390692090702e-19,1,1,0,0,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
が高い,3.43804826004252e-19,2,0,0,0,0,0,1,0,0,0,0,0,3,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,4,1,0,0,0,0
もいい,3.41370755196705e-19,2,0,0,2,0,0,0,1,1,0,3,0,5,0,0,0,1,0,0,3,0,0,1,2,2,0,1,2,0,0,1,0,0,0,0,0,0,1,0,1
もいいし,3.39608285665148e-19,0,1,0,0,0,0,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0
が良くなりました,3.38580578412028e-19,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
は良い,3.36508210443754e-19,2,1,0,0,1,0,3,0,1,0,3,4,2,1,0,0,1,0,1,7,0,0,0,0,2,0,0,2,0,1,0,0,0,1,0,1,1,0,0,1
を考えると,3.35642455878094e-19,8,0,0,0,0,1,3,0,4,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,1,0,0,1,0
がよいです,3.31178826669523e-19,0,0,0,1,0,0,0,0,5,2,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
といい,3.30590564016375e-19,0,0,2,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1
が感じます,3.28631589592039e-19,3,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0
になります,3.26888575846458e-19,1,0,0,0,0,0,0,3,0,2,3,0,0,0,0,0,7,0,0,0,0,0,1,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1
もある,3.22503702371024e-19,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
があります,3.2155975149431e-19,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,2,1,0,0,0,1,0
も良いので,3.20992803620138e-19,3,0,0,0,0,0,1,0,0,0,0,4,1,0,0,0,1,0,0,4,0,0,1,2,0,0,0,0,0,1,0,0,0,0,2,0,0,0,1,0
はいいです,3.20330988417066e-19,0,0,1,0,0,0,10,1,3,0,7,1,4,0,1,1,0,0,0,2,0,0,1,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
は良いです,3.17051957216596e-19,5,1,1,0,1,0,3,2,10,0,4,10,6,2,1,0,5,0,0,14,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,1,0,0,6,0
があり,3.1366660660932e-19,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0
もありません,3.11554429729182e-19,0,0,0,0,0,0,1,1,1,0,8,0,1,1,0,0,0,0,0,5,0,1,0,3,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
がいい,3.09327171773826e-19,4,0,0,3,1,0,1,3,1,9,5,10,1,1,0,0,1,0,0,1,0,0,2,0,1,0,0,2,0,2,0,0,0,2,0,0,0,0,1,0
はもの,3.02935183472229e-19,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
も良好,3.00639689280368e-19,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
にありません,2.97303739869791e-19,0,0,0,0,0,1,1,0,1,0,2,1,3,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
が悪いです,2.94507618212568e-19,2,0,0,0,0,0,1,0,2,0,0,10,2,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
も気に入っています,2.93392382965467e-19,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,1,0,2,0,0
もあります,2.92841022503389e-19,0,1,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
が違います,2.92398301630702e-19,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
はありません,2.9162856543877e-19,0,0,0,0,1,0,11,1,4,1,6,9,11,1,0,1,4,0,0,9,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2,1,0,2,0
はいいですね,2.87433596184432e-19,2,0,0,0,0,0,0,0,0,0,4,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0
も良いと,2.86813718330496e-19,11,1,0,0,0,0,2,0,1,0,2,1,6,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1
は感じです,2.85550840084617e-19,0,2,0,0,0,0,2,1,0,0,1,2,3,0,0,0,0,0,0,3,0,1,0,0,5,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1
は違いますが,2.85517807971697e-19,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
も満足しています,2.84749323498835e-19,1,0,0,0,0,0,0,4,0,0,1,1,2,0,0,0,0,0,0,2,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
は落ちますが,2.84322038128426e-19,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
がいいので,2.83005728496457e-19,0,0,0,2,1,0,5,0,1,1,2,6,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,2,0,0,0,0
に満足しています,2.81819526634856e-19,0,1,0,0,0,0,0,0,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0
が悪いので,2.81190386880429e-19,1,0,0,0,0,0,2,0,0,0,0,5,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
も良いですね,2.81004863949198e-19,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
がいいですね,2.80059877183497e-19,1,0,0,0,0,0,0,0,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0
が良くない,2.75029060219869e-19,1,0,0,0,0,0,0,1,1,1,0,5,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
は悪いです,2.724375564628e-19,1,0,0,0,0,0,5,1,0,0,0,6,3,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
は満足しています,2.71919775823716e-19,0,0,0,0,0,0,2,0,1,0,3,0,1,0,0,0,2,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
を考えて,2.69615726386537e-19,2,0,0,0,0,0,2,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0
がよいので,2.68763407900136e-19,0,0,0,0,0,0,1,0,1,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
は良いですが,2.68502060862958e-19,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
もありますが,2.680005910573e-19,0,0,0,1,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
が良いとは,2.65478981379821e-19,0,1,0,0,0,0,3,0,2,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
は良いと,2.59950633326445e-19,8,1,0,0,1,0,12,0,5,0,5,8,10,0,0,1,0,2,0,4,0,0,0,0,11,0,0,1,0,1,0,0,0,3,2,1,0,0,1,1
が薄い,2.58822680651003e-19,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
は思います,2.58550401642574e-19,0,0,1,0,0,0,12,2,1,0,4,0,11,1,1,0,5,0,0,4,0,1,0,2,11,0,1,1,0,0,1,0,0,4,0,0,0,0,0,3
も悪くないです,2.58224704299826e-19,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
がなる,2.56740274053108e-19,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0
は良いのですが,2.56152258185963e-19,0,1,0,0,1,0,5,0,0,0,1,1,4,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
が良かったので,2.55949655578132e-19,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
も好きです,2.54339039315582e-19,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
が悪いのと,2.53178038588781e-19,0,0,0,0,1,0,1,0,0,0,0,3,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
はありますが,2.5214721573619e-19,0,1,0,0,0,0,0,0,0,0,1,1,3,0,0,0,1,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
はいい,2.52137250278399e-19,1,0,0,0,1,0,0,0,0,0,1,1,2,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
にあり,2.51626442340117e-19,0,0,0,0,0,0,1,0,0,0,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,1,0,0
もあって,2.5001487929454e-19,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
をする,2.4985342487848e-19,0,0,0,0,0,0,0,2,0,0,18,0,0,0,0,0,17,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
は良かったです,2.49622941966598e-19,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
が違う,2.49501200329472e-19,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,4
がなります,2.47180159593104e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,1,0,0,0,0,0,0
をします,2.47160366371098e-19,0,0,0,0,0,0,0,2,0,0,17,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
も良い,2.47051246925685e-19,1,0,0,1,1,0,1,0,1,0,2,4,8,0,0,0,1,0,0,1,0,0,0,0,2,0,0,1,0,2,0,0,0,0,0,0,1,1,2,1
も高く,2.46514730606104e-19,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0
は最高です,2.46304303422148e-19,0,0,0,0,0,0,1,2,2,0,4,1,1,0,0,1,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
も含めて,2.46133403833717e-19,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
に優れ,2.45245025363588e-19,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0
を上げて,2.42633464181969e-19,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,4,0,0,0,0,0,0
もあり,2.4155473581041e-19,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
の取れた,2.41128608496231e-19,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
にあります,2.40637097237591e-19,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,1,0,0,0,0,0,0,0,0,0
も抜群です,2.40526502644342e-19,0,0,0,0,0,0,7,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
が悪いという,2.3785989394305e-19,0,0,0,0,0,0,4,0,0,0,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
のある,2.37399341741722e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0
がよくない,2.34304480593087e-19,0,0,0,1,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
もきれいで,2.34251628107511e-19,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
のとれた,2.34036979736067e-19,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
は良いようです,2.33267966948033e-19,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
が好きです,2.32490861537123e-19,1,0,0,0,0,0,0,6,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
も良いし,2.3193406425181e-19,0,0,1,0,0,0,1,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
もなく,2.31337251851506e-19,1,0,0,0,0,0,1,2,1,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1
も最高です,2.2934971452486e-19,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
がイマイチ,2.28902070920734e-19,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
はよく,2.28891194469469e-19,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
になる,2.28754027071609e-19,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
を考えれば,2.2819977782136e-19,5,0,0,0,0,0,3,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
はあり,2.2763054516599e-19,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0,0,4,0,0,2,0,0,2,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
も上々です,2.26969241556206e-19,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
がありません,2.26912732704805e-19,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
と思います,2.24998276565483e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,7,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0
で撮れます,2.24484715138252e-19,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
もいいので,2.24401982497751e-19,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
が楽しめる,2.24157647734485e-19,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
を上げる,2.2346489062455e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,1,0,0,0,0,1
もいいですし,2.22970519074569e-19,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
はありませんでした,2.22925849385514e-19,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
は思いますが,2.22643946772548e-19,0,0,0,0,0,0,2,0,0,0,0,1,3,0,0,0,0,0,0,2,0,1,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0
は抜群です,2.22572920226069e-19,1,0,0,0,0,0,17,0,0,0,0,1,6,1,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
が高いので,2.22440731562252e-19,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,2,0,0,0,0
が良いし,2.22117572394291e-19,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
にはあります,2.21669516656289e-19,0,0,0,0,0,0,0,0,1,0,1,0,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
は感じました,2.20625916207612e-19,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
はよいです,2.18735739517747e-19,1,0,0,0,0,0,3,0,0,0,0,3,4,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
はします,2.18354112260429e-19,1,0,0,0,0,0,0,2,0,0,2,2,0,0,0,0,1,0,0,3,0,0,0,0,3,0,0,1,0,0,0,0,2,1,0,0,0,0,0,1
