"",weight,バランス,色乗り,持ち,使い勝手,発色,色のり,レスポンス,評判,気持ち,操作性,相性,色,ホールド感,重量バランス,携帯性,描写,視認性,デザイン,もち,ホールド性,感度,写り,質,反応,見た目,音,シャッター音,取り回し,操作感,出来,描写力,ヌケ,ボケ味,精度,感触,画質,位置,配置,性能,解像度,画像,色合い,補正,天気,切れ,質感,条件,AF精度,ボケ,音質,電池持ち,カメラ,感じ,コントラスト,ボケ具合,フィーリング,レンズ,ホールド,バッテリー,液晶,大きさ,AF,重さ,グリップ感,コストパフォーマンス,キレ,解像感,・画質,気分,ファインダー
も良好です,2.62027695620678e-20,0,1,1,1,0,1,2,0,0,3,0,0,2,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,2,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
がよい,2.55415109673916e-20,3,0,6,6,0,0,0,0,2,2,1,0,0,0,3,0,0,1,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,1,1,0,0,4,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,3,0,0,1,0,0
が良いので,2.53953964395721e-20,2,0,2,3,1,0,1,6,0,2,1,1,3,0,1,2,0,2,0,1,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
が悪いと,2.47537387158983e-20,4,1,6,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,4,0,0,0,2,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
がいい,2.43243453386605e-20,4,0,10,1,3,0,1,3,9,1,0,2,1,0,1,1,0,1,1,1,0,5,0,0,2,0,0,0,2,0,0,0,0,0,1,9,0,0,2,0,0,0,1,0,0,4,0,0,2,0,0,0,1,0,0,0,1,0,0,0,1,0,2,1,1,0,0,2,1,0
は良好です,2.4170287679621e-20,3,1,0,5,1,0,0,0,0,6,0,1,9,1,3,0,0,1,0,3,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
もいいです,2.30519523458237e-20,0,0,6,1,1,0,1,0,0,3,2,0,3,1,1,1,0,3,1,0,0,0,0,0,2,0,0,0,1,0,0,0,3,1,3,9,1,0,0,0,1,0,0,0,0,5,0,0,0,1,0,0,2,0,1,1,0,0,1,1,1,0,2,0,0,0,0,0,0,0
は良く,2.20243195754275e-20,3,0,2,1,0,0,1,1,0,2,2,0,1,0,4,3,2,0,0,0,0,2,0,0,0,1,0,0,1,0,1,0,0,0,0,7,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
の悪い,2.18877924004305e-20,0,0,0,0,0,1,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,1,0,0,0,2,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
は良い,2.13667006578474e-20,2,0,4,1,0,1,1,0,0,2,0,2,7,0,3,1,0,2,0,1,0,3,0,0,0,0,0,0,1,0,1,1,0,0,0,7,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
がいいので,2.10870110577692e-20,0,0,6,1,0,0,1,2,1,2,0,1,1,0,5,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
もいい,2.05441287182501e-20,2,0,0,1,1,0,0,2,0,5,0,2,3,0,0,1,0,2,0,0,1,3,0,0,1,0,1,0,0,0,0,0,2,0,0,4,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,1,0,0,0,3,0,0,1,0,0,0,0,0
が悪いです,1.9669637417381e-20,2,0,10,2,0,0,0,0,0,2,0,0,0,0,1,0,1,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
が良くて,1.95046790607084e-20,1,1,2,1,0,0,1,0,0,0,0,0,1,0,1,2,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
はいいと,1.94939491645927e-20,4,0,0,3,0,0,0,0,0,9,2,0,0,0,0,0,0,6,2,0,0,2,0,0,0,0,0,1,0,1,0,0,0,1,0,11,1,0,3,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,3,0,0,0,1,0,0,0,1,0,0,1,0,0
も良い,1.94063735243917e-20,1,0,4,1,0,0,1,1,0,8,0,1,1,0,1,1,0,2,0,0,0,2,0,0,0,0,1,0,2,0,0,0,0,0,2,10,0,0,0,1,1,1,0,0,0,6,0,0,1,0,1,0,0,0,2,1,1,0,0,0,0,0,3,2,0,0,0,1,0,1
が良いと,1.93446535145077e-20,9,0,2,6,0,0,0,0,0,2,2,0,1,2,1,4,0,1,1,0,1,2,0,0,0,1,0,0,0,1,0,0,0,0,1,13,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0
も良いので,1.90485402872733e-20,3,0,4,0,0,0,0,0,0,1,0,0,4,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0
のある,1.87753009086765e-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,1,0,0,0,0,2,0,0,7,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,5,6,0,0,0
は良いです,1.84082594167041e-20,5,1,10,10,2,1,1,0,0,6,0,0,14,0,3,5,0,2,1,2,0,4,0,0,0,0,0,0,1,1,1,0,0,1,6,13,0,0,0,1,2,0,0,0,0,4,0,1,1,0,0,2,3,0,0,1,10,5,5,7,2,2,2,1,4,0,1,0,0,1
の高い,1.80543088432034e-20,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,5,0,0,0,0,0,5,0,1,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,36,0,1,0,0,0
はいいですね,1.80248671449396e-20,2,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,3,0,1,0,0,2,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,1,0,1,0,1,1,1,0,0,0,0,1,3,0,0,1,0,0
が良くない,1.7986342769391e-20,1,0,5,1,1,0,0,0,1,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
を考えると,1.79520723049148e-20,8,0,0,4,0,0,0,0,0,3,0,0,0,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,0,10,0,0,0,0,0
がいいと,1.79037214867114e-20,4,0,2,3,0,0,0,0,0,0,2,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
が感じます,1.7880299875207e-20,3,0,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
が良いのか,1.76599506661604e-20,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
も悪くなく,1.74974337228133e-20,1,0,0,1,1,1,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
が高い,1.73159208490724e-20,2,0,0,0,0,0,0,0,0,3,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,2,6,0,0,0,0,0,9,0,1,0,0,0,1,0,5,0,0,0,0,1,0,0,0,0,0,14,0,2,0,0,0
が悪いので,1.70986695045879e-20,1,0,5,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
があります,1.70912651460542e-20,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,2,0,1,0,0,0,1,3,1,0,1,0,0,0,5,0,0,0,0,1,0,1,0,0,2,0,0,0,4,0,0,0
はいいです,1.69686101820235e-20,0,1,1,3,1,0,0,0,0,4,1,0,2,0,10,0,0,3,0,0,0,7,0,0,1,0,0,0,0,1,1,0,3,0,0,11,0,0,0,0,0,0,1,0,0,5,0,1,0,1,0,3,0,0,0,2,4,0,0,1,2,0,2,0,1,0,0,0,0,0
もいいですね,1.66948265704407e-20,0,1,2,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
は良いと,1.66825489665217e-20,8,0,8,5,0,1,1,0,0,10,1,1,4,0,12,0,0,11,1,0,0,5,0,2,0,0,0,0,1,0,1,0,0,2,1,19,0,0,3,0,0,1,1,0,0,4,0,0,0,0,0,1,1,0,0,0,2,1,1,2,1,0,0,0,8,0,1,0,0,2
もよい,1.65417222546683e-20,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
は感じです,1.65136692943745e-20,0,0,2,0,1,2,0,0,0,3,0,1,3,0,2,0,1,5,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,1,0,1,1,1,0,0,4,0,0,1,0,0,0,0,1,0,0,1,0,4,2,1,0,0,0,0,0,1,0,0,0
も良いと,1.65064332186527e-20,11,0,1,1,0,1,0,0,0,6,0,0,0,0,2,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,1,6,0,0,0,0,1,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,0,0,2,0,1,0,0,0
といい,1.62048289683035e-20,0,2,0,0,2,0,0,0,0,1,0,0,2,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,3,0,0,2,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,1,0,1,0,0,2,1,0,0,0,1,0,3,0,0,0
がよいです,1.61999961658541e-20,0,0,1,5,0,0,0,1,2,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
も満足しています,1.6145275558303e-20,1,0,1,0,4,0,0,0,0,2,0,1,2,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0
も気に入っています,1.59606695261407e-20,0,0,0,1,1,0,0,0,0,0,1,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
が違います,1.58111467315055e-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0
もいいし,1.56914550306848e-20,0,0,0,1,2,1,0,0,0,0,0,1,0,0,4,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
もある,1.56323844918933e-20,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
は悪いです,1.55653085952824e-20,1,0,6,0,1,0,0,0,0,3,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0
も良いですね,1.54715466684814e-20,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
も高く,1.52691445569392e-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,0,0,0,0,0,4,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
があり,1.49625922271797e-20,0,0,0,0,1,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,4,4,0,0,2,0,0,1,1,1,0,0,5,0,0,0,1,1,4,0,0,1,8,0,0,0
にありません,1.49563548435434e-20,0,0,1,1,0,0,0,0,0,3,0,0,2,1,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0
はありません,1.48650853875783e-20,0,0,9,4,1,0,1,0,1,11,1,0,9,0,11,4,0,0,0,1,0,6,0,0,0,0,0,0,0,0,2,0,1,1,2,18,0,0,1,2,3,0,1,0,0,2,0,1,0,2,1,6,6,0,0,0,8,1,9,1,2,6,1,1,0,0,0,0,0,0
にある,1.46217649688132e-20,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,2,0,0,0,0,0,1,1,0,3,0,0,1,0,3,8,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,6,0,0,2,0,1,1,0,0,0,0,0,0,0
も良好,1.46005438532185e-20,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
がイマイチ,1.44994518345126e-20,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
は良いのですが,1.43713895540426e-20,0,0,1,0,0,1,1,0,0,4,0,0,3,0,5,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
がいいですね,1.41757541133195e-20,1,0,0,4,0,0,0,0,1,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
もあります,1.41622908529568e-20,0,0,2,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,2,2,0,0,0,0,0,0,0,1,1,1,0,0,0,3,0,0,0
が高いので,1.41469472579375e-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
も良くて,1.35867654603131e-20,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
もありません,1.3559616704733e-20,0,0,0,1,1,0,0,0,0,1,0,0,5,0,1,0,1,1,0,1,0,8,0,0,0,0,0,0,0,0,1,0,3,1,0,6,0,0,0,0,1,0,2,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0
はよく,1.34609679295298e-20,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
は落ちますが,1.34209275235572e-20,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
で満足しています,1.33456853450517e-20,0,0,0,0,0,2,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
を考えて,1.32984741669759e-20,2,0,0,1,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
も良いし,1.3140597738476e-20,0,1,3,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
がなります,1.31073219432724e-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,0,0,0,2,0,1,0,0,0,0,0,0,0
になり,1.30836577830243e-20,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
が高く,1.30350250925823e-20,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,8,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0
はいい,1.30196061076639e-20,1,0,1,0,0,0,1,0,0,2,0,0,2,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
が好きです,1.29384405740864e-20,1,0,0,0,6,0,0,0,0,1,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
