"",weight,色のり,色乗り,評判,レスポンス,発色,重量バランス,気持ち,出来,持ち,ホールド性,ホールド感,反応,見た目,質,音,相性,視認性,ボケ味,ヌケ,感度,位置,操作感,配置,バランス,描写,写り,感触,取り回し,色,描写力,携帯性,デザイン,天気,切れ,精度,画像,補正,カメラ,条件,電池持ち
がいいです,9.76553709112e-17,1,2,0,0,0,1,9,0,6,0,1,1,0,0,2,0,1,0,0,0,0,0,0,3,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
が良い,9.1570710137234e-17,0,1,1,8,0,0,7,1,24,1,3,0,0,0,0,2,2,0,0,0,0,1,0,14,0,4,2,0,1,0,6,7,2,1,2,1,0,0,1,0
が悪く,9.035200820777e-17,0,0,0,1,0,0,0,0,6,1,3,1,0,1,1,0,2,0,0,1,3,0,0,2,0,0,0,0,1,0,2,0,1,0,0,1,0,0,0,0
が悪い,8.28973324153342e-17,0,0,0,6,2,1,0,0,36,2,5,2,0,2,1,0,1,0,0,2,5,0,0,6,0,2,0,0,2,0,3,0,0,0,2,1,0,0,2,0
が悪いと,8.07278886549356e-17,0,1,0,0,0,0,0,0,6,0,0,0,0,1,1,0,1,0,1,1,0,0,0,4,0,1,0,0,0,0,2,0,0,0,0,1,0,0,2,0
もいいです,8.02951670696515e-17,0,0,0,1,1,1,0,0,6,0,3,0,2,0,0,2,0,3,0,0,1,1,0,0,1,0,3,0,0,0,1,3,0,0,1,1,0,0,0,0
が良いのか,7.87539932260747e-17,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
は良い,7.83148876456399e-17,1,0,0,1,0,0,0,0,4,1,7,0,0,0,0,0,0,0,1,0,0,1,0,2,1,3,0,0,2,1,3,2,0,0,0,0,0,0,0,1
は良好です,7.77030076519624e-17,0,1,0,0,1,1,0,0,0,3,9,0,0,0,0,0,0,0,0,0,0,2,0,3,0,1,0,0,1,0,3,1,0,0,0,0,0,0,0,0
が良いので,7.58186987464426e-17,0,0,6,1,1,0,0,0,2,1,3,0,0,0,0,1,0,0,0,1,0,0,0,2,2,1,0,1,1,1,1,2,0,0,1,0,0,1,0,1
がいい,7.42908138386698e-17,0,0,3,1,3,0,9,0,10,1,1,0,2,0,0,0,0,0,0,0,0,2,0,4,1,5,1,0,2,0,1,1,0,0,0,0,1,0,0,0
にある,7.23772399227822e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,1,0,5,2,0,1,0,3,0,0,0,0,1,0,0,0,0,0
の高い,7.21614194725305e-17,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
がよい,7.08568099156904e-17,0,0,0,0,0,0,2,0,6,0,0,0,0,0,2,1,0,0,0,0,0,1,0,3,0,0,1,0,0,0,3,1,1,0,1,0,1,0,1,0
もいい,7.02251528163338e-17,0,0,2,0,1,0,0,0,0,0,3,0,1,0,0,0,0,2,0,1,0,0,1,2,1,3,0,0,2,0,0,2,0,0,0,0,0,0,0,0
は良く,7.0166035093145e-17,0,0,1,1,0,0,0,0,2,0,1,0,0,0,1,2,2,0,0,0,0,1,0,3,3,2,0,0,0,1,4,0,0,0,0,0,2,0,0,0
もよい,6.72379036653568e-17,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
もいいですね,6.5228755547983e-17,2,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
があり,6.45877152500269e-17,0,0,0,0,1,0,1,1,0,0,2,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,1,0,0
があります,6.41426822037611e-17,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,0
は良いです,6.19077172295261e-17,1,1,0,1,2,0,0,1,10,2,14,0,0,0,0,0,0,0,0,0,0,1,0,5,5,4,6,0,0,1,3,2,0,0,1,2,0,2,0,0
のある,6.17725927338362e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,4,0,1,0,7,0,0,7,0,0,0
がいいので,6.10572588159466e-17,0,0,2,1,0,0,1,0,6,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,1,2,5,0,0,0,0,0,0,0,0,0
が良くて,6.07456876388405e-17,0,1,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,2,2,1,0,0,0,1,0,0,0,0,0,0,1,0,0
も良い,6.02942862945491e-17,0,0,1,1,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,1,2,2,0,1,0,1,2,0,0,0,1,0,0,0,1
も悪くなく,5.96932934723857e-17,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
はいいと,5.88642691646118e-17,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,4,0,2,0,1,0,0,0,6,0,0,1,0,0,1,0,0
で満足しています,5.84481447231635e-17,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,2,0,0
も良いので,5.81540118752159e-17,0,0,0,0,0,0,0,0,4,0,4,0,1,0,0,0,0,2,0,0,0,1,0,3,1,0,1,0,0,0,1,0,0,0,2,1,0,0,0,0
といい,5.73947545474368e-17,0,2,0,0,2,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
が良いと,5.61709073332396e-17,0,0,0,0,0,2,0,1,2,0,1,0,0,0,1,2,0,0,0,1,0,0,0,9,4,2,1,0,0,0,1,1,0,0,0,0,1,1,0,0
も良くて,5.56119221697217e-17,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0
もいいし,5.51647231741808e-17,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,4,3,0,0,0,0,0,0,0,0
もある,5.42194391560075e-17,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
は感じです,5.41906352809664e-17,2,0,0,0,1,0,0,0,2,0,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,2,5,0,0,0,1,1,0,0,0
が高い,5.30112886248053e-17,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,4,0,0,1,0,0
がいいと,5.00650649885152e-17,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,2,0,0,0,0,0,0,0,4,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0
も満足しています,5.00105507214906e-17,0,0,0,0,4,0,0,0,1,0,2,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0
にありません,4.99943539676785e-17,0,0,0,0,0,1,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,3,0,0,0,0
が悪いです,4.98152956793279e-17,0,0,0,0,0,0,0,0,10,0,0,0,1,0,0,0,1,0,0,1,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
はありません,4.97585440954087e-17,0,0,0,1,1,0,1,0,9,1,9,0,0,0,0,1,0,1,0,0,0,0,0,0,4,6,2,0,0,2,11,0,0,0,1,3,1,6,0,1
もありません,4.97239768933185e-17,0,0,0,0,1,0,0,0,0,1,5,0,0,0,0,0,1,3,0,0,0,0,0,0,0,8,0,0,0,1,1,1,0,0,1,1,2,1,0,0
は良いと,4.95939372203514e-17,1,0,0,1,0,0,0,0,8,0,4,2,0,0,0,1,0,0,0,0,0,1,0,8,0,5,1,0,1,1,12,11,0,0,2,0,1,1,0,0
はもの,4.93831128670713e-17,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
がよいです,4.92740391976648e-17,0,0,1,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
を考えると,4.89980291362795e-17,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,1,0,0,1,3,0,0,0,0,0,1,0,0,0
は思います,4.89689450141942e-17,0,1,0,0,2,0,0,1,0,1,4,0,0,0,0,0,1,2,0,1,0,0,1,0,5,4,0,0,1,0,12,11,0,0,0,1,3,3,0,0
も良いですね,4.85680252105088e-17,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
も気に入っています,4.85285398908417e-17,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,3,0,1,0,0,0,0,0,0
はいいです,4.78483260625375e-17,0,1,0,0,1,0,0,1,1,0,2,0,1,0,0,1,0,3,0,0,0,0,0,0,0,7,0,0,0,1,10,3,0,0,0,0,1,3,0,0
が良くない,4.77788919785763e-17,0,0,0,0,1,0,1,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
が感じます,4.73688379979939e-17,0,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
は違いますが,4.73436204549681e-17,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
は良いのですが,4.53350434193531e-17,1,0,0,1,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,2,0,0,0,0,0,0,0,0
が薄い,4.49889354261769e-17,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
は落ちますが,4.49791868695986e-17,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0
は悪いです,4.49367633838194e-17,0,0,0,0,1,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,5,0,0,0,0,0,1,0,0,0
もあります,4.49018945865647e-17,1,0,0,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0
になります,4.46370692440293e-17,0,0,0,0,3,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,7,3,0,0,5,0,0,1,0,0,0,5,0,3,0,0
がなります,4.45119833299149e-17,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
は満足しています,4.41920855690978e-17,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,3,0,0,0,0,2,2,0,0,0,0,0,0,0,0
が違います,4.41187349562064e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0
も良好,4.36141724736089e-17,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
が悪いので,4.32661700527893e-17,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
が悪いのと,4.23762302875476e-17,0,0,0,1,0,0,0,0,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
はいいですね,4.17071325093863e-17,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,4,0,0,1,3,0,0,0,0,0,0,2,1,0,0
も良いし,4.16878091483581e-17,0,1,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0
は良いですが,4.16362291756844e-17,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0
もきれいで,4.15776837096808e-17,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,3,0,0,0,0
にあり,4.15006741521643e-17,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0
も高く,4.11021127833272e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,3,0,0,0,0,0
も良いと,4.11007273521694e-17,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,2,1,0,0,0,2,4,0,0,2,1,1,0,0,0
もあり,4.10192955379021e-17,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,2,0,0
にあります,4.05416858440387e-17,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
は最高です,4.05044910511535e-17,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,4,0,0,0,0,1,2,0,0,0,1,0,0,0,0
に満足しています,4.03970226707089e-17,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,1,0,0
が良かったので,4.0125511834337e-17,0,0,4,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
もあって,3.99589878809942e-17,0,0,0,0,1,0,0,0,0,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
は良かったです,3.97319934649129e-17,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
も好きです,3.97092293019023e-17,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
がなる,3.92136968742525e-17,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
が最高です,3.90055619432819e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
はよく,3.86769622427825e-17,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
も上々です,3.86167698675648e-17,0,0,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
はありますが,3.84842078313625e-17,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,4,0,0,0,0,0,1,0,0
が高いので,3.82232522393826e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,3,0,0,0,0,0
もいいので,3.80155303506808e-17,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0
が良くなりました,3.79950051080809e-17,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
がよいので,3.75885429067155e-17,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0
がイマイチ,3.73265478752434e-17,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
で決めました,3.72919446707285e-17,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,6,0,0,0,0,0,0,0,0
に優れ,3.67303242557606e-17,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
が良いとは,3.64950903871254e-17,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0
が好きです,3.64907838543843e-17,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
もなく,3.64510294974052e-17,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,1,3,0,0,0
をします,3.61969077130896e-17,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
が悪いという,3.6128428722562e-17,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,1,0,0,0,0,0
は良いようです,3.61239624054701e-17,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
を上げる,3.60893372841016e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
もありますが,3.60773655164866e-17,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0
は高い,3.60292827271025e-17,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
はありませんでした,3.59738125961407e-17,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0
はいい,3.59403579446031e-17,0,0,0,1,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0
に近い,3.5790423365719e-17,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0
はします,3.57194533270905e-17,0,0,0,0,2,0,0,0,2,0,3,0,0,0,2,0,0,0,0,0,0,0,0,1,1,2,0,0,1,0,0,3,0,0,0,0,0,2,0,0
も最高です,3.56997302903342e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
も抜群です,3.54661372143482e-17,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,0,0,0,0,0,0,0,0,1
はよいです,3.53066038512236e-17,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0
が思います,3.52840743983174e-17,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
が良いという,3.51236481179741e-17,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
にない,3.50613414291079e-17,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0
が楽しめる,3.48313645115916e-17,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
は悪くない,3.47557816219545e-17,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
は感じました,3.46600786172333e-17,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
にあるので,3.4392407434042e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
はいまいち,3.43365380439852e-17,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
も含めて,3.43095874996255e-17,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
は思いますが,3.42978177537559e-17,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,3,0,0,0,0,0,3,0,0
は最高です!,3.42272212396415e-17,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
も好み,3.41435915583878e-17,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
が気に入りました,3.41270755706277e-17,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,1,5,0,0,0,1,0,0,0,0
も悪い,3.39744297315651e-17,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
もいいですし,3.37753187377827e-17,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
は高いです,3.37428937676319e-17,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
を上げて,3.37083225429342e-17,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
は感じますが,3.36792341824573e-17,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
がいいですね,3.367860926944e-17,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,4,0,0,0,1,0,0,0,0
