"",weight,が良く,の良い,がよく,のよい,もよく,が良いです,も良く,が悪い,も良いです,が悪く,がいいです,も良好です,が良いので,が良い,が悪いと,がよい,は良好です,の悪い,がいい,は良く,がいいので,もいいです,の高い,は良い,もいい,が良くて,が悪いです,も良いので,が良いと,が良いのか,が良くない,はいいと,を考えると,がいいと,が高い,が感じます,は良いです,が悪いので,もよい,もいいですね,も良い,がよいです,も悪くなく,は良いと,は感じです,もいいし,があります,もある,はいいですね,はいいです,のある,も良いですね,も気に入っています,にありません,といい,がイマイチ,は悪いです,も高く,にある,も良いと
使い勝手,3.90296227819768e-16,10,12,5,5,4,15,4,7,1,1,12,1,3,17,1,6,5,0,1,1,1,1,0,1,1,1,2,0,6,0,1,3,4,3,0,1,10,0,0,1,1,5,1,5,0,1,1,0,0,3,0,1,1,1,0,0,0,0,0,1
相性,3.85497977321892e-16,1,1,0,0,0,2,3,0,3,0,0,0,1,2,0,1,0,0,0,2,0,2,0,0,0,0,0,0,2,1,0,2,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
ホールド感,3.7936766273258e-16,5,3,1,0,5,2,6,5,4,3,1,2,3,3,0,0,9,0,1,1,1,3,0,7,3,1,0,4,1,0,2,0,0,1,1,1,14,0,0,0,1,1,1,4,3,0,1,1,0,2,0,0,0,2,2,1,1,0,0,0
視認性,3.78366907956833e-16,0,2,1,0,0,0,2,1,0,2,1,0,0,2,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
描写,3.69835434997338e-16,1,2,0,0,0,0,6,0,3,0,1,1,2,0,0,0,0,0,1,3,1,1,0,1,1,2,0,1,4,0,0,0,1,0,0,0,5,0,1,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5,0
色,3.69586321930183e-16,0,0,0,0,0,0,1,2,0,1,1,0,1,1,0,0,1,0,2,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,1,3,0,0,1,0,0,0,0
感度,3.67972990920759e-16,2,1,0,0,0,0,0,2,0,1,0,1,1,0,1,0,0,0,0,0,0,0,2,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ホールド性,3.65833717615994e-16,4,0,1,0,0,2,0,2,0,1,0,0,1,1,0,0,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
操作性,3.55735543639808e-16,8,4,3,0,5,4,12,6,9,0,3,3,2,4,0,2,6,1,1,2,2,3,0,2,5,0,2,1,2,0,1,9,3,0,3,0,6,0,0,0,8,1,1,10,3,0,0,0,1,4,0,0,0,3,1,1,3,0,1,6
写り,3.53320043382015e-16,4,7,0,1,1,1,4,2,0,0,1,0,1,4,1,0,1,0,5,2,2,0,0,3,3,2,0,0,2,0,0,2,0,1,0,0,4,0,1,0,2,0,1,5,1,0,0,0,4,7,0,0,0,2,0,0,0,1,2,2
携帯性,3.46839787548703e-16,2,11,0,0,6,5,12,3,2,2,1,0,1,6,2,3,3,0,1,4,5,1,0,3,0,1,1,1,1,0,0,0,3,1,1,0,3,2,0,1,1,0,1,12,2,4,0,0,0,10,0,0,0,1,1,0,5,1,0,2
音,3.463031388109e-16,0,0,0,0,0,0,1,1,0,1,2,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
もち,3.45775956590238e-16,0,0,0,0,0,1,0,7,1,0,0,0,0,1,0,1,0,0,1,0,1,1,0,0,0,1,2,0,1,0,1,2,1,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0
反応,3.37573307629064e-16,1,2,1,0,1,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
質,3.30622042883002e-16,1,4,0,1,0,1,1,2,0,1,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
出来,3.28489438016901e-16,0,5,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
見た目,3.21559490564622e-16,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,2,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
ヌケ,3.18944915041005e-16,2,5,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
取り回し,3.17553034939785e-16,0,0,1,1,0,1,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
ボケ味,3.12621938457201e-16,0,0,0,0,0,1,1,0,2,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,0,0,0,0,0,0,0,0,0
デザイン,2.97631061978237e-16,3,1,1,0,1,2,7,0,2,0,0,0,2,7,0,1,1,0,1,0,0,3,0,2,2,0,0,0,1,0,0,6,0,1,0,0,2,0,0,0,2,0,1,11,5,3,0,0,0,3,1,0,3,0,1,0,0,0,0,4
シャッター音,2.96047054583543e-16,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0
位置,2.93954287916802e-16,0,0,0,0,1,0,0,5,0,3,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,8,0
操作感,2.89225121676366e-16,0,0,0,0,2,0,0,0,0,0,0,1,0,1,0,1,2,0,2,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
精度,2.8718027781978e-16,2,2,0,0,0,0,1,2,1,0,0,0,1,2,0,1,0,0,0,0,0,1,1,0,0,0,0,2,0,1,0,1,0,0,4,0,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,3,1,2
配置,2.85792713062788e-16,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
描写力,2.78758823727296e-16,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,3,1,4,0,1,0,0,0,0,0,3,0
感触,2.68955532523813e-16,1,0,0,0,1,2,0,0,1,0,0,0,0,2,0,1,0,0,1,0,0,3,0,0,0,1,1,1,1,0,0,0,1,0,0,0,6,0,0,0,2,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1
天気,2.67227606050864e-16,0,15,0,1,0,0,0,0,0,1,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
画像,2.6689914383464e-16,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,3,0,0,0,0,0,1
切れ,2.65317782722073e-16,3,4,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,7,1,1,0,0,0,0,0,0,0
カメラ,2.62008237175847e-16,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,1,0,2,0,0,0,0,0,0,1,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0
条件,2.55896255170083e-16,0,2,0,0,0,0,0,2,0,0,0,0,0,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
補正,2.5549523470592e-16,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,2,1,7,0,0,0,0,0,1,0,0,1
解像度,2.54890828843437e-16,0,0,0,0,1,0,1,1,0,0,0,0,0,1,2,0,0,0,0,1,0,0,5,1,0,0,1,0,0,0,0,0,0,0,6,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,7,0,0
電池持ち,2.51476181209577e-16,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
性能,2.43786089145635e-16,0,5,0,0,0,0,3,0,0,0,0,0,1,2,0,4,0,0,2,0,1,0,1,1,0,2,0,0,1,0,0,3,12,0,2,1,0,0,0,0,0,0,0,3,1,0,2,1,0,0,0,0,0,1,2,0,0,0,1,0
感じ,2.4292871766666e-16,0,0,0,0,0,1,0,0,1,0,2,0,0,4,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,1,0,1,0,0,5,0,1,0,0,0,1,0,0,0,0,0,1,0
ボケ,2.41628442997278e-16,0,0,0,0,0,1,4,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
画質,2.41309807652733e-16,6,2,1,1,11,6,14,12,5,0,6,2,5,24,4,1,2,2,9,7,1,9,0,7,4,2,4,0,13,1,1,11,2,1,0,0,13,2,0,1,10,0,3,19,2,2,1,0,2,11,0,0,3,3,3,1,3,0,3,6
色合い,2.39475142472347e-16,0,1,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
AF精度,2.33826792845447e-16,0,1,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0
レンズ,2.29761891865828e-16,1,5,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,2,1,1,0,0,0,1,3,1,0,0,2,0,0,3,0,1,0,1,10,0,0,0,1,0,0,2,1,0,0,1,1,4,0,0,0,1,1,0,0,0,6,0
バッテリー,2.28386847070195e-16,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,5,0,0,0,0,0,0,1,4,0,0,0,1,0,0,1,0,0,0,0,3,0,0,0
音質,2.2037617249377e-16,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
大きさ,2.17175926386952e-16,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,8,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,2,1,0,1,0,1,0,0,0,0,1
コントラスト,2.16851389286861e-16,0,1,1,0,0,0,1,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
重さ,2.12437529310413e-16,0,0,0,0,0,0,2,0,0,0,1,0,0,3,0,1,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,3,0,0,0,0,0,2,1,0,2,1,0,0,1,0,0,0,0,1,0
AF,2.11473147628168e-16,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2
質感,2.1051011902898e-16,5,1,1,0,2,2,5,1,2,0,1,2,0,4,0,1,1,0,4,0,0,5,5,0,0,1,0,0,1,0,0,2,0,0,9,1,4,0,0,0,6,0,1,4,4,0,3,0,1,5,2,0,2,0,4,0,0,4,1,3
グリップ感,2.05752110526858e-16,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
フィーリング,1.98264064087564e-16,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
ボケ具合,1.98131578406516e-16,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
ホールド,1.93200705780927e-16,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1
解像感,1.89581959686417e-16,0,0,0,0,1,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,1,0,4,0,0,0,6,0,0,0,3,0,0,0,0,1
気分,1.87041210864463e-16,0,1,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
液晶,1.86633879804071e-16,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,2,2,0,1,0,0,1,0,0,1,0,2,0,0,0,2,1
トータルバランス,1.84588783264324e-16,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
・画質,1.82966281788554e-16,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ファインダー,1.82578258365706e-16,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
キレ,1.81396990664537e-16,0,2,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
・操作性,1.80691748565611e-16,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
グリップ,1.80612763720456e-16,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,3,0,1,0,0,0,0,0,0,0
撮影,1.70625717873598e-16,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
画角,1.65268731530307e-16,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
動画,1.65194058471523e-16,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1
作り,1.62670606838756e-16,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
機動性,1.57681931384812e-16,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
マッチング,1.57251785176685e-16,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
機能性,1.56677570446e-16,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,3,0,0,0,0,0,0,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
見栄え,1.5248391288342e-16,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
色ノリ,1.51626210901313e-16,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
機能,1.51331070168395e-16,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,8,0,0,0,0,0,1,0,1,0,0,1,2,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0
ホールディング,1.48232216482119e-16,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ケース,1.46307528627803e-16,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0
品,1.45926702399987e-16,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
サイズ,1.43461072258034e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
描写性能,1.43313307939946e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
追従性,1.42871897609704e-16,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
格好,1.42095477561598e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
写真,1.41492637084623e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
機種,1.40410688014972e-16,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
望遠,1.40289043595456e-16,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
表現力,1.3913101713451e-16,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
効果,1.38151405430861e-16,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,1,0,0
