"",weight,色乗り,色のり,評判,持ち,発色,バランス,レスポンス,気持ち,携帯性,操作性,重量バランス,使い勝手,写り,相性,ホールド感,視認性,感度,ホールド性,色,反応,出来,音,描写,デザイン,質,ヌケ,見た目,取り回し,もち,ボケ味,配置,位置,シャッター音,操作感,天気,描写力,画質,切れ,精度,条件,カメラ,感触,画像,電池持ち,解像度,感じ,レンズ,ボケ,補正,質感
が悪い,8.32017700801003e-17,0,0,0,36,2,6,6,0,3,6,1,7,2,0,5,1,2,2,2,2,0,1,0,0,2,0,0,0,7,0,0,5,0,0,0,0,12,0,2,2,0,0,1,0,1,0,1,0,0,1
がいいです,8.28466658357257e-17,2,1,0,6,0,3,0,9,1,3,1,12,1,0,1,1,0,0,1,1,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,2,0,0,0,1
も良好です,8.27995209473988e-17,1,1,0,1,0,0,2,0,0,3,1,1,0,0,2,0,1,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,1,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2
の悪い,7.91316892879803e-17,0,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,2,0,0,1,0,0,0,0,0,0,2,0,0,0
が悪いと,7.61454642325833e-17,1,0,0,6,0,4,0,0,2,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,1,0,2,0,0,0,0,0
が良いので,7.5945143944201e-17,0,0,6,2,1,2,1,0,1,2,0,3,1,1,3,0,1,1,1,0,0,0,2,2,0,0,0,1,0,0,0,0,0,0,0,1,5,0,1,0,1,0,0,1,0,0,0,0,0,0
が良い,7.55254940235694e-17,1,0,1,24,0,14,8,7,6,4,0,17,4,2,3,2,0,1,1,0,1,0,0,7,0,0,0,0,1,0,0,0,0,1,2,0,24,1,2,1,0,2,1,0,1,4,1,1,0,4
がよい,7.40611540020724e-17,0,0,0,6,0,3,0,2,3,2,0,6,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,1,0,1,0,0,0,0,0,0,1,1
は良好です,7.16964896120968e-17,1,0,0,0,1,3,0,0,3,6,1,5,1,0,9,0,0,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1
は良い,6.61027754795174e-17,0,1,0,4,0,2,1,0,3,2,0,1,3,0,7,0,0,1,2,0,0,0,1,2,0,1,0,0,0,0,0,0,0,1,0,1,7,0,0,0,0,0,0,1,1,0,1,0,0,0
がいいので,6.58846476102131e-17,0,0,2,6,0,0,1,1,5,2,0,1,2,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
がいい,6.50376749901788e-17,0,0,3,10,3,4,1,9,1,1,0,1,5,0,1,0,0,1,2,0,0,0,1,1,0,0,2,0,1,0,0,0,0,2,0,0,9,0,0,0,0,1,0,0,0,1,1,2,1,4
の高い,6.4640783711864e-17,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,5
もいいです,6.37027626777727e-17,0,0,0,6,1,0,1,0,1,3,1,1,0,2,3,0,0,0,0,0,0,0,1,3,0,0,2,0,1,3,0,1,0,1,0,0,9,0,1,0,0,3,1,0,0,2,0,0,0,5
が良いのか,6.07677312867298e-17,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
もいい,6.03414985975762e-17,0,0,2,0,1,2,0,0,0,5,0,1,3,0,3,0,1,0,2,0,0,0,1,2,0,0,1,0,0,2,1,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,3,2,0,0
は良く,6.0103433533679e-17,0,0,1,2,0,3,1,0,4,2,0,1,2,2,1,2,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,1,0,1,7,0,0,0,0,0,0,0,1,1,1,0,2,0
が悪いです,5.75779638822299e-17,0,0,0,10,0,2,0,0,1,2,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,1,0,0,0,0,0
を考えると,5.75671802831525e-17,0,0,0,0,0,8,0,0,3,3,1,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,1,0
が良くて,5.7551244733318e-17,1,0,0,2,0,1,1,0,1,0,0,1,2,0,1,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,1,0,0,1
も良いので,5.68684638831685e-17,0,0,0,4,0,3,0,0,1,1,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0
もよい,5.65562451834286e-17,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
もいいですね,5.50770376828642e-17,1,2,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
が良くない,5.48788285450075e-17,0,0,0,5,1,1,0,1,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
がいいと,5.30384222063269e-17,0,0,0,2,0,4,0,0,1,0,0,3,1,2,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
はいいと,5.27431846278431e-17,0,0,0,0,0,4,0,0,0,9,0,3,2,2,0,0,0,0,0,0,1,0,0,6,0,0,0,1,2,0,0,1,0,0,0,0,11,0,1,0,1,0,0,0,0,1,3,0,0,2
がよいです,5.24294125415048e-17,0,0,1,1,0,0,0,2,0,1,0,5,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
が感じます,5.23754988026604e-17,0,0,0,2,1,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,1
は感じです,5.16392684103985e-17,0,2,0,2,1,0,0,0,2,3,0,0,1,0,3,1,0,0,1,0,0,0,0,5,0,0,0,0,1,0,0,1,1,0,0,0,2,0,0,0,0,0,1,0,0,0,1,1,1,4
もいいし,5.13231792478398e-17,0,1,0,0,2,0,0,0,4,0,0,1,0,0,0,0,0,0,1,0,0,1,0,3,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
も悪くなく,5.09506846460573e-17,0,1,0,0,1,1,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1
が良いと,5.03251883888654e-17,0,0,0,2,0,9,0,0,1,2,2,6,2,2,1,0,1,0,0,0,1,1,4,1,0,0,0,0,1,0,0,0,0,0,0,0,13,0,0,0,1,1,0,0,0,0,2,0,1,1
は良いです,5.01099021502819e-17,1,1,0,10,2,5,1,0,3,6,0,10,4,0,14,0,0,2,0,0,1,0,5,2,0,0,0,0,1,0,0,0,0,1,0,1,13,0,1,0,2,6,2,0,1,3,10,1,0,4
のある,4.98661435519096e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,4,0,7,0,0,0,1,0,0,2,0,0,0,7,2
もある,4.9491261201206e-17,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
も気に入っています,4.91718839926748e-17,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,1,3,1,0,0,0,0,0,0,0,1,0,1,0,2
は良いと,4.90911982638313e-17,0,1,0,8,0,8,1,0,12,10,0,5,5,1,4,0,0,0,1,2,0,0,0,11,0,0,0,0,1,0,0,0,0,1,0,1,19,0,2,0,1,1,0,0,0,1,2,0,1,4
があります,4.90344140335258e-17,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,1,1,0,1,1,0,0,5,0,1,0,3
も良いですね,4.90300420175932e-17,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
が悪いので,4.83768309178e-17,0,0,0,5,0,1,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0
が高い,4.82382302231882e-17,0,0,0,0,0,2,0,0,1,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,1,0,0,0,6,0,0,0,0,9
にある,4.69886811888791e-17,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,1,8,0,1,0,3,3,0,1,0,0,0,0,0,0,1,6,0,0,1
があり,4.56543337443234e-17,0,0,0,0,1,0,0,1,0,1,0,0,0,0,2,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,1,0,0,0,1,1,5,2,1,4
は悪いです,4.56523307988657e-17,0,0,0,6,1,1,0,0,5,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,1,0
といい,4.54585041532844e-17,2,0,0,0,2,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,4
も良くて,4.53793674794548e-17,1,0,0,0,0,0,2,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
も良いと,4.4641672780595e-17,0,1,0,1,0,11,0,0,2,6,0,1,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2,0,0,1,1,0,0,0,0,0,1,3
もあります,4.36911471177436e-17,0,1,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,2,0,0,0,2
はいいです,4.34144693239485e-17,1,0,0,1,1,0,0,0,10,4,0,3,7,1,2,0,0,0,0,0,1,0,0,3,0,0,1,0,0,3,0,0,0,0,0,1,11,0,0,0,3,0,0,0,0,0,4,0,1,5
にありません,4.30648479295527e-17,0,0,0,1,0,0,0,0,1,3,1,1,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,1,0,0,0
は良いのですが,4.30376879605383e-17,0,1,0,1,0,0,1,0,5,4,0,0,1,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1
も良好,4.18298201658996e-17,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0
はありません,4.18265292912456e-17,0,0,0,9,1,0,1,1,11,11,0,4,6,1,9,0,0,1,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,2,18,0,1,0,6,2,3,1,2,6,8,0,1,2
はいいですね,4.14142491611904e-17,0,0,0,2,0,2,0,0,0,1,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,3,2,0,0,0,1,0,0,0,0,1,1,0,2,1
も良い,4.11119327383275e-17,0,0,1,4,0,1,1,0,1,8,0,1,2,0,1,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,1,2,0,0,10,0,0,0,0,2,1,1,1,0,1,1,0,6
で満足しています,4.09861795436955e-17,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,2,0,2,0,0,3,0,0,0,0
が良くなりました,4.09392538531319e-17,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1
も高く,4.09202890272597e-17,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,0,0,0,0,4
も満足しています,4.03458878178251e-17,0,0,0,1,4,1,0,0,0,2,0,0,1,0,2,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,1,1
がイマイチ,4.02966116865413e-17,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
もありません,4.02585330785833e-17,0,0,0,0,1,0,0,0,1,1,0,1,8,0,5,1,0,1,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,1,6,0,1,0,1,0,1,0,0,1,1,0,2,0
が良いとは,4.01601955874121e-17,0,1,0,1,0,0,0,0,3,0,0,2,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
がなります,3.97503521386353e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1
は落ちますが,3.96900807923816e-17,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,1,0,0,0,0,1
が悪いのと,3.95216874912866e-17,0,0,0,3,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
も好きです,3.94633671111531e-17,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
は良いようです,3.93233407821537e-17,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
がいいですね,3.91384901460532e-17,0,0,0,0,0,1,0,1,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1,1,0,0,1,2,0,0,2
がよいと,3.88264027057949e-17,0,0,0,0,0,0,0,0,1,1,0,1,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
がよいので,3.85922588590301e-17,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
が違います,3.83142110702076e-17,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,1
はいい,3.82114362720542e-17,0,0,0,1,0,1,1,0,0,2,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0
を考えて,3.81292730051465e-17,0,0,0,0,0,2,0,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
も良いし,3.80307202056035e-17,1,0,0,3,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
が好きです,3.75551334065854e-17,0,0,0,0,6,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0
は方だと,3.72309427130072e-17,0,0,0,3,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
は最高です,3.70320972153939e-17,0,0,0,1,2,0,0,0,1,1,0,2,4,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,7,0,0,0,0,0,1,0,0,2,0,2,0,4
がよければ,3.69962959058023e-17,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0
が悪いのが,3.68656139183491e-17,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
にあり,3.65198706216405e-17,0,0,0,1,0,0,0,0,1,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,1,1,0,0,0,0,0,0,0,0,0,3,0,0,0
は満足しています,3.62399360568166e-17,0,0,0,0,0,0,0,0,2,1,0,1,3,0,0,1,0,0,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,1,1,0,0
もあって,3.60904703808291e-17,0,0,0,0,1,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0
は良いですが,3.60579360154429e-17,0,0,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1
はよく,3.59470971624468e-17,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0
は抜群です,3.58909003006902e-17,0,0,0,1,0,1,0,0,17,6,0,0,0,1,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
をします,3.58587719409166e-17,0,0,0,0,2,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
も抜群です,3.57958175005571e-17,0,0,0,0,0,0,0,0,7,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
はもの,3.57281493313993e-17,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
が悪いという,3.56154679414043e-17,0,0,0,3,0,0,0,0,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
がよくない,3.55729258027555e-17,0,0,1,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
もきれいで,3.5502536485776e-17,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
は違いますが,3.5483348863169e-17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
で決めました,3.51063926183575e-17,0,0,0,1,0,1,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0
は感じますが,3.4808037446039e-17,0,0,0,1,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
が高いので,3.46795438669602e-17,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,2,0,0,0,0,0
もいいので,3.46165916505108e-17,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
がなる,3.46148306799823e-17,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,2,0,0
が薄い,3.43886486370466e-17,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
は良かったです,3.41525180312928e-17,1,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
は良いので,3.40057845272192e-17,0,0,0,0,0,0,0,0,2,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
もあり,3.39550908919221e-17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,1,4,0,0,4,3
が良いという,3.38990257801623e-17,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
は感じました,3.37497083981022e-17,0,0,0,0,0,0,0,0,1,6,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0
