"",weight,色乗り,持ち,発色,評判,色のり,レスポンス,気持ち,バランス,重量バランス,使い勝手,相性,ホールド感,視認性,描写,色,感度,ホールド性,操作性,写り,携帯性,音,もち,反応,質,出来,見た目,ヌケ,取り回し,ボケ味,デザイン,シャッター音,位置,操作感,精度,配置,描写力,感触,天気,画像,切れ,カメラ,条件,補正,解像度,電池持ち,性能,感じ,ボケ,画質,色合い,AF精度,レンズ,バッテリー,音質,大きさ,コントラスト,重さ,AF,質感,グリップ感
が悪く,2.60147994672682e-17,0,6,0,0,0,1,0,2,0,1,0,3,2,0,1,1,1,0,0,2,1,0,1,1,0,0,0,0,0,0,0,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
がいいです,2.41255406864611e-17,2,6,0,0,1,0,9,3,1,12,0,1,1,1,1,0,0,3,1,1,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,6,0,0,0,0,0,1,3,1,1,1,1
も良好です,2.33737623239257e-17,1,1,0,0,1,2,0,0,1,1,0,2,0,1,0,1,0,3,0,0,0,0,0,0,0,1,0,0,2,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0
が良いので,2.22263749139875e-17,0,2,1,6,0,1,0,2,0,3,1,3,0,2,1,1,1,2,1,1,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0
が悪いと,2.16428573239368e-17,1,6,0,0,0,0,0,4,0,1,0,0,1,0,0,1,0,0,1,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
が良い,2.15115640542436e-17,1,24,0,1,0,8,7,14,0,17,2,3,2,0,1,0,1,4,4,6,0,1,0,0,1,0,0,0,0,7,0,0,1,2,0,0,2,2,1,1,0,1,0,1,0,2,4,1,24,0,0,1,1,1,0,1,3,1,4,1
がよい,2.10168998811282e-17,0,6,0,0,0,0,2,3,0,6,1,0,0,0,0,0,0,2,0,3,2,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,0,1,1,0,0,4,0,0,1,0,0,0,0,0,0,0,1,0,1,0
の悪い,2.09112828716422e-17,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,4,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0
は良好です,2.06109187280983e-17,1,0,1,0,0,0,0,3,1,5,0,9,0,0,1,0,3,6,1,3,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0
がいい,2.00304597293013e-17,0,10,3,3,0,1,9,4,0,1,0,1,0,1,2,0,1,1,5,1,0,1,0,0,0,2,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,2,1,2,9,0,0,1,0,0,1,0,2,0,4,1
もいいです,1.89823637734989e-17,0,6,1,0,0,1,0,0,1,1,2,3,0,1,0,0,0,3,0,1,0,1,0,0,0,2,0,0,3,3,0,1,1,1,0,0,3,0,1,0,0,0,0,0,0,0,2,0,9,0,0,0,1,1,1,0,2,0,5,0
の高い,1.87940422221897e-17,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,1,0,0,0,0,11,0,0,5,0
は良い,1.87223106871698e-17,0,4,0,0,1,1,0,2,0,1,0,7,0,1,2,0,1,2,3,3,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,7,1,0,1,1,0,0,0,0,0,0,0
がいいので,1.86597332764343e-17,0,6,0,2,0,1,1,0,0,1,0,1,0,1,1,0,0,2,2,5,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
は良く,1.84461449281816e-17,0,2,0,1,0,1,0,3,0,1,2,1,2,3,0,0,0,2,2,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,1,0,0,1,0,7,0,1,1,0,0,0,0,0,0,0,0
もいい,1.72222351856364e-17,0,0,1,2,0,0,0,2,0,1,0,3,0,1,2,1,0,5,3,0,0,0,0,0,0,1,0,0,2,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,4,1,0,3,0,0,0,0,0,3,0,0
が悪いです,1.70545427018305e-17,0,10,0,0,0,0,0,2,0,2,0,0,1,0,0,1,0,2,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
が良くて,1.66869528862913e-17,1,2,0,0,0,1,0,1,0,1,0,1,0,2,0,0,0,0,2,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,2,0,0,1,0,0,0,0,0,0,1,0
が良いのか,1.62973731051946e-17,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
も良いので,1.62244119144256e-17,0,4,0,0,0,0,0,3,0,0,0,4,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,2,0,0,0,1,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0
が良くない,1.59142793617122e-17,0,5,1,0,0,0,1,1,0,1,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
が良いと,1.54158805395252e-17,0,2,0,0,0,0,0,9,2,6,2,1,0,4,0,1,0,2,2,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,13,0,0,2,0,0,0,0,0,0,1,0
が感じます,1.53565114321119e-17,0,2,1,0,0,0,0,3,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0
もよい,1.5281946012015e-17,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
は良いです,1.52662399199789e-17,1,10,2,0,1,1,0,5,0,10,0,14,0,5,0,0,2,6,4,3,0,1,0,0,1,0,0,0,0,2,0,0,1,1,0,1,6,0,2,0,2,0,0,1,0,0,3,1,13,0,1,10,5,0,2,0,2,2,4,1
が高い,1.50719281938229e-17,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,1,0,0,6,0,2,0,0,0,0,1,0,1,0,0,5,0,0,9,0
はいいと,1.50472299810654e-17,0,0,0,0,0,0,0,4,0,3,2,0,0,0,0,0,0,9,2,0,0,2,0,0,1,0,0,1,0,6,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,3,1,0,11,0,0,3,0,0,1,0,0,0,2,0
が悪いので,1.50292012805963e-17,0,5,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0
もいいですね,1.49840323577486e-17,1,2,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
がいいと,1.48875797390471e-17,0,2,0,0,0,0,0,4,0,3,2,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0
を考えると,1.48360144892623e-17,0,0,0,0,0,0,0,8,1,4,0,0,0,1,0,0,0,3,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,12,0,0,2,0,0,0,0,0,8,0,1,0,0,0
がよいです,1.45094493676824e-17,0,1,0,1,0,0,2,0,0,5,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
があります,1.4463530361461e-17,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,1,0,1,0,0,0,2,5,1,1,0,0,0,0,0,0,0,2,0,3,0
は感じです,1.4435438628181e-17,0,2,1,0,2,0,0,0,0,0,0,3,1,0,1,0,0,3,1,2,0,1,0,0,0,0,0,0,0,5,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,2,1,0,1,4,0,1,1,0,0,4,0
も良い,1.43560749088616e-17,0,4,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,8,2,1,0,0,0,0,0,0,0,0,0,2,1,0,2,0,0,0,2,0,1,0,0,0,0,1,1,0,0,1,10,1,0,1,0,0,0,0,3,0,6,2
のある,1.42741310074837e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,4,1,0,0,7,0,0,7,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0
も悪くなく,1.42273285007871e-17,0,0,1,0,1,0,0,1,1,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0
もある,1.40466329639831e-17,0,0,0,0,1,0,1,1,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
も気に入っています,1.39994545588111e-17,0,0,1,0,0,0,0,0,0,1,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,3,0,0,0,0,0,1,0,0,0,2,0
もいいし,1.37863531489969e-17,0,0,2,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,4,1,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
も良いですね,1.36639425916784e-17,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
といい,1.35765146898529e-17,2,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,1,0,1,0,0,1,0,0,0,4,0
は良いと,1.35445932942483e-17,0,8,0,0,1,1,0,8,0,5,1,4,0,0,1,0,0,10,5,12,0,1,2,0,0,0,0,0,0,11,0,0,1,2,0,1,1,0,0,0,1,0,1,0,0,3,1,0,19,1,0,2,1,0,1,0,0,0,4,0
はいいです,1.35138391087457e-17,1,1,1,0,0,0,0,0,0,3,1,2,0,0,0,0,0,4,7,10,0,0,0,0,1,1,0,0,3,3,0,0,0,0,0,1,0,0,0,0,3,0,1,0,0,0,0,0,11,0,1,4,0,1,2,0,2,0,5,0
はいいですね,1.3324189119582e-17,0,2,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1,4,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,1,0,2,0,0,0,1,0,2,0,0,1,1,0,0,0,0,0,1,1
にある,1.31999819215006e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,8,1,1,1,3,0,0,0,0,0,0,0,0,0,1,1,0,3,0,0,6,0,0,0,0,1,1,1,0
があり,1.31093807443936e-17,0,0,1,0,0,0,1,0,0,0,0,2,0,0,0,1,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,1,1,0,0,1,2,1,0,0,5,0,0,1,1,4,1,4,0
も満足しています,1.30068688219642e-17,0,1,4,0,0,0,0,1,0,0,0,2,0,0,1,0,0,2,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11,0,1,0,0,1,0,0,0,2,1,0
にありません,1.30023996293763e-17,0,1,0,0,0,0,0,0,1,1,0,2,1,0,0,0,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,3,0,2,1,0,0,0,0,1,1,0,0
がイマイチ,1.29885802650369e-17,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
も高く,1.29363590520772e-17,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,0
は悪いです,1.28092103047498e-17,0,6,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0
も良いと,1.260972894047e-17,0,1,0,0,1,0,0,11,0,1,0,0,0,0,0,0,0,6,2,2,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0,0,1,0,1,0,0,0,1,0,0,0,0,0,6,1,0,0,0,0,1,0,0,2,3,0
も良好,1.25567472506381e-17,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
もあります,1.23655205865209e-17,0,2,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,2,0,0,0,0,0,0,0,1,0,1,1,2,0
も良くて,1.22320412547092e-17,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
がなります,1.20170507736328e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,4,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,2,0,1,0,1,0
が高いので,1.19811604612217e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0
もありません,1.19600181872057e-17,0,0,1,0,0,0,0,0,0,1,0,5,1,0,0,0,1,1,8,1,0,0,0,0,0,0,0,0,3,1,0,0,0,1,0,1,0,0,1,0,1,0,2,0,0,0,1,0,6,0,1,1,1,0,1,0,0,1,0,0
で満足しています,1.18336023840147e-17,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,1,3,0,8,1,0,0,0,0,1,0,0,0,0,0
はありません,1.17532398248672e-17,0,9,1,0,0,1,1,0,0,4,1,9,0,4,0,0,1,11,6,11,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,2,0,3,0,6,0,1,2,1,1,6,0,18,0,1,8,9,2,2,0,1,6,2,1
は良いのですが,1.17304861933217e-17,0,1,0,0,1,1,0,0,0,0,0,3,0,0,0,0,0,4,1,5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0
は最高です,1.15972005933065e-17,0,1,2,0,0,0,0,0,0,2,1,0,0,1,0,0,0,1,4,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2,7,1,0,0,0,0,0,0,0,0,4,0
は落ちますが,1.15503897099882e-17,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,5,0,0,0,0,0,0,1,0,0,1,0
も良いし,1.14605697686612e-17,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0
が好きです,1.13262089463393e-17,0,0,6,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1,0,0,0,0,0,0,1,0,0,0
がいいですね,1.13130754860773e-17,0,0,0,0,0,0,1,1,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,2,0,0,0,0,0,0,2,0
が違います,1.11905576454446e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0
もあって,1.11619273229706e-17,0,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,1,0,0,0,0,0,0,1,0,0,0
は良いようです,1.10985012772605e-17,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
が良くなりました,1.10479869225415e-17,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0
はいい,1.10450268464042e-17,0,1,0,0,0,1,0,1,0,0,0,2,0,1,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
が悪いのと,1.095173754404e-17,0,3,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
は方だと,1.08879027688669e-17,0,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
が良いとは,1.0879082250741e-17,0,1,0,0,1,0,0,0,0,2,0,1,0,1,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
がよいと,1.08738936768146e-17,0,0,0,0,0,0,0,0,0,1,1,3,0,0,0,0,0,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
を上げる,1.08654093791052e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,3,0,0,0,0
がよいので,1.06969540280322e-17,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
も好きです,1.05889059316292e-17,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
を考えて,1.05884616294038e-17,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
はよく,1.05591702638283e-17,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0
が違う,1.05508511767405e-17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3,4,0,0,0,0,1,0,0,0,1,0
がよければ,1.05187062916466e-17,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
もなく,1.04769346732241e-17,0,1,2,0,0,0,0,1,0,1,0,0,0,1,1,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,3,0,0,0,0,1,5,1,0,1,0,0,0,0,0,0,1,0
が悪いのが,1.04669067865406e-17,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
