"",weight,が良く,の良い,がよく,が悪い,も良く,が良いです,もよく,のよい,も良いです,が良い,が悪く,がいいです,がよい,がいい,が良いので,も良好です,もいいです,が悪いと,は良好です,は良く,は良いです,がいいので,は良い,が良いと,もいい,も良いので,も良い,が良くて,のある,は良いと,が悪いです,はいいと,はいいですね,はありません,の悪い,も良いと,も高く,が高い,が感じます,の高い,はいいです,が良くない,がいいと,があります,が高いので,は感じです,も悪くなく,が悪いので,があり,は悪いです,が高く,も満足しています,といい,にありません,も気に入っています,もいいですね,が違います,が良いのか,もありません,は良いのですが,がよいです,もよい,もある,が高いです,にある,も良好,もあり,がイマイチ,は最高です,もいいし,も良いですね,がいいですね,もあります,はよく,は思います,はいい,も良いし,も高い,は落ちますが,もなく,がよいと,がなります,は高い,もあって,は抜群です,はよいです,に満足しています,を考えると,は満足しています,を考えて
携帯性,1.15899789987674e-17,2,11,0,3,12,5,6,0,2,6,2,1,3,1,1,0,1,2,3,4,3,5,3,1,0,1,1,1,0,12,1,0,0,11,0,2,1,1,0,0,10,0,1,0,1,2,1,2,0,5,0,0,1,1,0,1,0,0,1,5,0,0,0,0,0,0,0,0,1,4,0,0,0,0,12,0,1,0,3,1,1,0,0,0,17,3,0,3,2,2
描写,1.14701688494474e-17,1,2,0,0,6,0,0,0,3,0,0,1,0,1,2,1,1,0,0,3,5,1,1,4,1,1,1,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,0,5,0,0,0,1,0,0,0,0,1,5,1,0,0,0,1,0,1,0,0,0,0,0,1,2,0
視認性,1.14286819202775e-17,0,2,1,1,2,0,0,0,0,2,2,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
色,1.11923897150486e-17,0,0,0,2,1,0,0,0,0,1,1,1,0,2,1,0,0,0,1,0,0,1,2,0,2,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
重量バランス,1.09799698813186e-17,3,0,2,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ホールド性,1.07882769858536e-17,4,0,1,2,0,2,0,0,0,1,1,0,0,1,1,0,0,0,3,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
感度,1.06402908728789e-17,2,1,0,2,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
質,1.0515149695465e-17,1,4,0,2,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
見た目,1.05023332737965e-17,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
精度,1.04172747252332e-17,2,2,0,2,1,0,0,0,1,2,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,2,0,0,0,2,0,1,0,1,0,2,3,4,0,1,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0
感触,1.03376227697778e-17,1,0,0,0,0,2,1,0,1,2,0,0,1,1,0,0,3,0,0,0,6,0,0,1,0,1,2,1,1,1,1,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
描写力,1.01659315097949e-17,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,2,1,0,0,0,0,0,4,1,0,0,3,2,0,0,0,1,1,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,1,0,0
反応,9.79147659934654e-18,1,2,1,2,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
画質,9.73016961056961e-18,6,2,1,12,14,6,11,1,5,24,0,6,1,9,5,2,9,4,2,7,13,1,7,13,4,0,10,2,0,19,4,11,2,18,2,6,0,0,0,0,11,1,1,1,0,2,3,2,1,3,0,11,3,3,3,1,2,1,6,4,0,0,0,0,3,1,1,1,7,2,0,1,0,2,28,3,2,0,5,5,0,0,0,0,1,2,4,2,8,0
操作感,9.49687807348074e-18,0,0,0,0,0,0,2,0,0,1,0,0,1,2,0,1,1,0,2,1,1,0,1,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
シャッター音,9.39893357185338e-18,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
音,9.28891298569041e-18,0,0,0,1,1,0,0,0,0,0,1,2,2,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0
ボケ味,9.14843648954621e-18,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,2,2,0,0,2,0,0,0,1,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
取り回し,9.14102913285848e-18,0,0,1,0,2,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
性能,9.08427080834025e-18,0,5,0,0,3,0,0,0,0,2,0,0,4,2,1,0,0,0,0,0,0,1,1,1,0,0,0,2,0,3,0,3,0,1,0,0,0,2,1,1,0,0,0,2,0,1,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,4,0,0,0,1,0,0,1,0,0,0,0,2,12,0,2
解像度,9.05333105028369e-18,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,2,0,1,1,0,1,0,0,0,1,0,2,0,1,0,0,2,0,0,7,6,0,5,0,0,0,0,2,0,0,1,1,0,8,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,1,0,0,0,1,0,1,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
ヌケ,8.7618519832702e-18,2,5,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
位置,8.61124941222496e-18,0,0,0,5,0,0,1,0,0,0,3,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
出来,8.4536557860624e-18,0,5,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
質感,8.38668072379149e-18,5,1,1,1,5,2,2,0,2,4,0,1,1,4,0,2,5,0,1,0,4,0,0,1,0,0,6,1,2,4,0,2,1,2,0,3,4,9,1,5,5,0,0,3,0,4,1,0,4,0,6,1,4,0,2,0,1,0,0,1,0,0,0,2,1,0,3,0,4,0,0,2,2,0,2,0,0,0,1,1,0,1,2,0,0,1,1,0,0,0
コストパフォーマンス,8.23797485503781e-18,1,5,0,0,1,0,1,0,0,5,0,0,3,1,0,0,0,0,0,0,4,1,0,2,1,0,0,0,0,8,0,1,3,0,0,2,4,14,0,36,1,0,0,0,2,0,0,0,0,0,4,0,1,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,9,0,0,0,0,0,2,0,0,3,0,0,2,0,2,0,2,0,0,10,0,1
画像,8.05526611180673e-18,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,3,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
AF精度,8.00206195215483e-18,0,1,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,2,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
配置,7.96221830618607e-18,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
コントラスト,7.9027308190523e-18,0,1,1,0,1,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,1,11,0,0,0,0,2,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
色合い,7.87505108570534e-18,0,1,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0
感じ,7.87197177654359e-18,0,0,0,0,0,1,0,0,1,4,0,2,0,1,0,0,2,0,0,1,3,0,0,0,0,0,0,0,0,1,0,1,1,6,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,4,0,2,0,0,1,2,0,0,0,0,0,0,0,0,1,0,3,0,1,0,0,0,0
ボケ,7.77795897671773e-18,0,0,0,0,4,1,0,0,1,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
切れ,7.73272010655877e-18,3,4,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
カメラ,7.56561242989459e-18,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,1,0,1,0,1,1,6,0,0,0,1,0,0,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,3,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0
補正,7.5509844807873e-18,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,7,1,0,0,2,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,2,0,0,1,1,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,1,0,0,0,1,0,0
解像感,7.33175952847404e-18,0,0,0,1,2,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,1,0,0,0,0,0,1,0,2,0,1,0,0,0,4,0,1,0,0,8,0,2,0,3,0,0,0,0,0,0,1,0,0,0,2,0,0,3,0,0,0,0,0,3,0,0,0,0,3,0,1,0,0,1,1,0,0,1,0,0,0
レンズ,7.30832007476912e-18,1,5,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,10,0,1,2,3,0,1,1,0,2,0,3,1,8,2,0,0,0,1,0,4,0,1,0,0,1,0,0,5,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,6,0,0,0,0,0,0,2,0,1,6,0,0,0,0,1,1,2,1,0,0,2,1,0,1,0
天気,7.21725299637702e-18,0,15,0,0,0,0,0,1,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
条件,7.15900846851184e-18,0,2,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
音質,7.10557139921574e-18,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ホールド,6.977167899621e-18,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
電池持ち,6.89520658497242e-18,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
液晶,6.86956579651066e-18,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,7,0,1,0,0,0,0,0,0,2,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,2,0,0,0,0,0,1,2,0,1,0,0,0,1,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
バッテリー,6.84105328937548e-18,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,5,0,1,0,0,0,0,0,0,1,0,0,1,9,0,0,0,1,0,0,0,0,1,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
大きさ,6.80179721299812e-18,0,0,0,0,1,2,0,0,0,0,0,1,0,1,0,0,1,0,0,0,2,0,0,0,0,1,0,0,1,1,0,1,0,2,0,1,0,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,8,1,0
重さ,6.76758309791499e-18,0,0,0,0,2,0,0,0,0,3,0,1,1,2,0,0,2,0,0,0,2,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,2,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,3,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
