"",weight,持ち,レスポンス,色乗り,色のり,感度,視認性,気持ち,発色,位置,評判,写り,音,もち,反応,ホールド性,重量バランス,バランス,ヌケ,操作性,質,携帯性,描写,相性,ホールド感,解像度,ISO感度,色,天気,条件,描写力,出来,使い勝手,見た目,デザイン,コントラスト,取り回し,切れ,ISO,配置,音質
は良く,1.02077731339867e-07,2,1,0,0,0,2,0,0,0,1,2,1,0,0,0,0,3,0,2,0,4,3,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
が良くない,1.01292736745008e-07,5,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
がいいので,1.00206533674051e-07,6,1,0,0,0,0,1,0,1,2,2,0,1,0,0,0,0,0,2,0,5,1,0,1,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0
は落ちますが,9.77840669791026e-08,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
は良好です,9.75352768258164e-08,0,0,1,0,0,0,0,1,0,0,1,0,0,0,3,1,3,0,6,0,3,0,0,9,0,0,1,0,0,0,0,5,0,1,0,0,0,1,0,0
も良くて,9.72295131557806e-08,0,2,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
はいいですね,9.71371290783367e-08,2,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0
を上げても,9.6847882908366e-08,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0
は感じです,9.56621616914833e-08,2,0,0,2,0,1,0,1,1,0,1,0,1,0,0,0,0,0,3,0,2,0,0,3,0,0,1,0,0,0,0,0,0,5,1,0,0,0,0,0
で満足しています,9.52268476672562e-08,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
を考えると,9.46164655088243e-08,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,8,0,3,0,3,1,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0
も良いですね,9.33562937782251e-08,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
が低い,9.21443433124661e-08,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0
もある,9.19107876086199e-08,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
がいいと,9.15838008563449e-08,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,1,0,2,1,0,0,0,0,0,0,1,3,0,1,0,1,0,0,0,0
も良好,9.14373436716559e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1
もあります,9.0114108257584e-08,2,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
になります,8.99642946010487e-08,0,0,0,0,0,0,2,3,0,0,3,0,0,0,0,0,1,0,0,0,0,7,0,0,0,0,5,0,0,0,0,0,1,1,0,0,0,0,0,0
が良いので,8.970736310348e-08,2,1,0,0,1,0,0,1,0,6,1,0,0,0,1,0,2,0,2,0,1,2,1,3,0,0,1,0,0,1,0,3,0,2,0,1,0,0,0,0
がよいです,8.96630689668874e-08,1,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
があります,8.89610755532855e-08,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
が悪いのと,8.89022825411811e-08,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
も高く,8.87287533346716e-08,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,7,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
もいいし,8.8114017012324e-08,0,0,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,1,0,3,0,0,0,0,1,0
が良いと,8.74631877671202e-08,2,0,0,0,1,0,0,0,0,0,2,1,1,0,0,2,9,0,2,0,1,4,2,1,0,0,0,0,0,0,1,6,0,1,0,0,0,0,0,0
が悪いのが,8.73683096731558e-08,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
にありません,8.72615562899346e-08,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,0,0,3,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
は良い,8.71189160899371e-08,4,1,0,1,0,0,0,0,0,0,3,0,0,0,1,0,2,1,2,0,3,1,0,7,1,0,2,0,0,1,0,1,0,2,0,0,0,0,0,0
のある,8.65269058540511e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,1,0,0,7,0,0,0
を下げて,8.5385880438692e-08,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,2,0,0
も悪くなく,8.53433695577796e-08,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
が上がり,8.52993122354256e-08,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0
がよければ,8.4730846916047e-08,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0
といい,8.45777865165368e-08,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
は方だと,8.35796089963321e-08,3,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
をすると,8.35437410228372e-08,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0
がよいので,8.32869802621525e-08,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
もいい,8.30907854489851e-08,0,0,0,0,1,0,0,1,0,2,3,0,0,0,0,0,2,0,5,0,0,1,0,3,0,0,2,0,0,0,0,1,1,2,0,0,0,0,1,0
をあげると,8.27865881707521e-08,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0
も気に入っています,8.21054955438927e-08,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,1,0,1,0,3,0,0,1,0,0,0
がイマイチ,8.19042638343772e-08,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
もあり,8.15325277466105e-08,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
は良いと,8.15046802544696e-08,8,1,0,1,0,0,0,0,0,0,5,0,1,2,0,0,8,0,10,0,12,0,1,4,0,0,1,0,0,1,0,5,0,11,0,0,0,0,0,0
を上げた,8.14891663441762e-08,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
はありません,8.10763654544066e-08,9,1,0,0,0,0,1,1,0,0,6,0,0,0,1,0,0,0,11,0,11,4,1,9,2,0,0,0,0,2,0,4,0,0,0,0,0,1,0,2
も満足しています,8.08901512547709e-08,1,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,1,0,2,1,0,0,0,2,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1
は満足しています,8.01557652896626e-08,0,0,0,0,0,1,0,0,0,0,3,0,0,1,0,0,0,0,1,0,2,2,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0
が薄い,7.99494193667243e-08,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
もありません,7.91312613183462e-08,0,0,0,0,0,1,0,1,0,0,8,0,0,0,1,0,0,0,1,0,1,0,0,5,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0
に満足しています,7.90807339657061e-08,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0
は良いです,7.83439914281235e-08,10,1,1,1,0,0,0,2,0,0,4,0,1,0,2,0,5,0,6,0,3,5,0,14,1,0,0,0,0,1,1,10,0,2,0,0,0,0,0,0
は悪いです,7.76347225953842e-08,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,3,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
にあります,7.76283679848696e-08,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
が高いので,7.7111494149203e-08,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0
をして,7.65151443016571e-08,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,2,0,1
もありますが,7.59445861078095e-08,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
も悪い,7.57547873486257e-08,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
がなる,7.56072616507796e-08,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
が悪かったので,7.52605626907404e-08,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
が違います,7.48194783894622e-08,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
がよくない,7.30043632359093e-08,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
が高く,7.2956409342265e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,8,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
は十分です,7.24741383602357e-08,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
はよく,7.19719449586376e-08,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
も良いし,7.09499177533436e-08,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
はいいです,7.07109570647796e-08,1,0,1,0,0,0,0,1,0,0,7,0,0,0,0,0,0,0,4,0,10,0,1,2,0,0,0,0,0,1,1,3,1,3,0,0,0,1,0,1
が良いという,7.0505801577985e-08,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
をする,7.01529532326531e-08,0,0,0,0,0,0,0,2,0,0,18,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
は良いようです,7.00998698854089e-08,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
はもの,6.9704309892012e-08,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
が悪いような,6.95999685460382e-08,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
がよいと,6.8754678225872e-08,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,1,0,1,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
が良かったので,6.82765387253709e-08,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
をします,6.81642139005051e-08,0,0,0,0,0,0,0,2,0,0,17,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
はします,6.80929103097873e-08,2,0,0,0,0,0,0,2,0,0,2,2,0,0,0,0,1,0,0,0,0,1,0,3,1,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0
は思います,6.73147748433718e-08,0,0,1,0,1,1,0,2,0,0,4,0,0,0,1,0,0,0,11,0,12,5,0,4,1,0,1,0,0,0,1,1,0,11,0,0,0,0,1,0
にあり,6.72201523342365e-08,1,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
はありませんでした,6.6742020241814e-08,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
が高まって,6.62654951305847e-08,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
を変えて,6.62465338149654e-08,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0
にない,6.5902510564915e-08,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
が良いとは,6.5630535317121e-08,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
は良かったです,6.55068867508482e-08,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
は違いますが,6.5311906659106e-08,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
は感じました,6.51057753190763e-08,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
が違う,6.48548529156485e-08,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
が悪いという,6.47439069951406e-08,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
は良いのですが,6.43228593612493e-08,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,5,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
も好きです,6.40544323759627e-08,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,0
はいい,6.4014374276476e-08,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
も良いので,6.36145272568014e-08,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,1,1,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
にありますが,6.31605109200293e-08,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
はないので,6.30634610227531e-08,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
はありませんが,6.27329110737179e-08,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,7,0,0,2,1,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0
が低くて,6.2402152637182e-08,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
もいいので,6.18952666318412e-08,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
が高いです,6.18563026151078e-08,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
も十分です,6.18441888608561e-08,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
を考えて,6.15856302645451e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
は良いですが,6.13520749423171e-08,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0
が甘い,6.11132830841611e-08,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
になく,6.0512458078963e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0
もあって,6.03870802399255e-08,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
がありません,6.03696810927679e-08,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
