"",weight,が悪い,が良く,の良い,が悪く,がよく,が良いです,が良い,も良く,のよい,も良いです,もよく,がいいです,がよい,が悪いと,もいいです,がいい,は良好です,も良好です,が良いので,が悪いです,が高い,がいいので,は良く,は良いです,はいいと,は良い,の高い,の悪い,は良いと,が良くない,が良いと,が悪いので,が良くて,も良い,も良いので,が高いので,を考えると,はいいですね,も高く,があります,が感じます,がいいと,は感じです,にありません,が高く,があり,もいい,は高いです,も悪くなく,もいいですね,のある,がなります,も良いと,がよいです,は高い,が高いです,はいいです,はありません,も満足しています,がイマイチ,が違います,にある,になります,もありません,は悪いです,は方だと,も良いし,が悪いのが,にあります,といい,も良いですね,を考えれば,は良いのですが,がよいと,もよい,にあり,もあります,も気に入っています,は落ちますが,は良いですが
発色,9.90784757880302e-07,2,3,1,0,1,0,0,3,1,4,6,0,0,0,1,3,1,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,4,0,0,0,3,1,1,1,0,0,1,2,0,0,0,0,0,0,1,1,0,0
色のり,9.51969713228483e-07,0,1,1,0,2,1,0,0,1,0,6,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
視認性,9.47948202585694e-07,1,0,2,2,1,0,2,2,0,0,0,1,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
デザイン,9.32005505355534e-07,0,3,1,0,1,2,7,7,0,2,1,0,1,0,3,1,1,0,2,0,0,0,0,2,6,2,0,0,11,0,1,0,0,2,0,0,0,0,0,0,0,1,5,0,0,0,2,0,1,0,1,0,4,0,0,0,3,0,1,0,0,0,1,1,0,1,2,0,0,1,0,0,2,0,0,0,0,3,0,2
感度,9.31934048395178e-07,2,2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
評判,9.16294784535123e-07,0,0,14,0,1,0,1,0,3,0,0,0,0,0,0,3,0,0,6,0,0,2,1,0,0,0,3,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
相性,9.04597543925592e-07,0,1,1,0,0,2,2,3,0,3,0,0,1,0,2,0,0,0,1,0,0,0,2,0,2,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
気持ち,8.97906788742789e-07,0,0,13,0,1,2,7,0,3,0,0,9,2,0,0,9,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
写り,8.84460907387697e-07,2,4,7,0,0,1,4,4,1,0,1,1,0,1,0,5,1,0,1,0,0,2,2,4,2,3,0,0,5,0,2,0,2,2,0,0,0,4,1,0,0,1,1,2,0,0,3,0,1,0,0,0,2,0,0,0,7,6,1,0,4,2,3,8,0,1,1,0,0,0,0,2,1,2,1,4,1,0,0,0
ホールド性,8.52743735753103e-07,2,4,0,1,1,2,1,0,0,0,0,0,0,0,0,1,3,0,1,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
質,8.49397954277313e-07,2,1,4,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
画質,8.30059101867599e-07,12,6,2,0,1,6,24,14,1,5,11,6,1,4,9,9,2,2,5,4,0,1,7,13,11,7,0,2,19,1,13,2,2,10,0,0,2,2,0,1,0,1,2,3,0,1,4,0,3,1,0,0,6,0,0,0,11,18,11,1,2,3,5,6,3,2,2,0,3,3,0,2,4,0,0,1,0,3,5,1
色,8.17832022053625e-07,2,0,0,1,0,0,1,1,0,0,0,1,0,0,0,2,1,0,1,0,0,1,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,5,0,0,0,0,0,1,0,1,0,0,0,0,0,1,3,0,0
重量バランス,8.15719691919927e-07,1,3,0,0,2,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
精度,7.94719189136738e-07,2,2,2,0,0,0,2,1,0,1,0,0,1,0,1,0,0,0,1,0,4,0,0,1,1,0,1,0,2,0,0,0,0,0,2,3,0,0,3,1,0,0,0,0,0,0,0,1,0,0,0,0,2,0,2,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
描写,7.88399099783116e-07,0,1,2,0,0,0,0,6,0,3,0,1,0,0,1,1,0,1,2,0,0,1,3,5,0,1,0,0,0,0,4,0,2,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,4,0,0,1,5,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
位置,7.81839094640516e-07,5,0,0,3,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0
反応,7.78437333184869e-07,2,1,2,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
見た目,7.43978923094821e-07,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0
音,7.4052727008797e-07,1,0,0,1,0,0,0,1,0,0,0,2,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
解像度,7.20388313597269e-07,1,0,0,0,0,0,1,1,0,0,1,0,0,2,0,0,0,0,0,1,6,0,1,1,0,1,5,0,0,0,0,1,0,1,0,2,0,0,7,0,0,0,0,0,8,1,0,2,0,0,2,0,0,0,0,2,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0
描写力,7.17017920712745e-07,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,2,1,1,0,1,0,0,1,0,0,0,0,0,0,2,1,3,0,0,1,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,1,2,0,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0
感触,7.14873143049196e-07,0,1,0,0,0,2,2,0,0,1,1,0,1,0,3,1,0,0,0,1,0,0,0,6,0,0,0,0,1,0,1,0,1,2,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
操作感,7.06200234491269e-07,0,0,0,0,0,0,1,0,0,0,2,0,1,0,1,2,2,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
質感,7.02220387548525e-07,1,5,1,0,1,2,4,5,0,2,2,1,1,0,5,4,1,2,0,0,9,0,0,4,2,0,5,0,4,0,1,0,1,6,0,0,0,1,4,3,1,0,4,0,6,4,0,2,1,0,2,1,3,0,2,2,5,2,1,0,1,1,0,0,0,0,0,0,0,4,0,0,1,0,0,0,2,2,1,1
ボケ味,6.97910291973758e-07,0,0,0,0,0,1,0,1,0,2,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,3,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AF精度,6.85395710459536e-07,2,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
ヌケ,6.60954797552556e-07,0,2,5,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
性能,6.59818259392424e-07,0,0,5,0,0,0,2,3,0,0,0,0,4,0,0,2,0,0,1,0,2,1,0,0,3,1,1,0,3,0,1,0,2,0,0,0,12,0,0,2,1,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,5,0,0,0,0,0,0,1,0
取り回し,6.57570486018842e-07,0,0,0,0,1,1,0,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
コストパフォーマンス,6.48013578628926e-07,0,1,5,0,0,0,5,1,0,0,1,0,3,0,0,1,0,0,0,0,14,1,0,4,1,0,36,0,8,0,2,0,0,0,0,2,10,3,4,0,0,0,0,0,4,0,1,4,0,3,0,0,2,0,2,4,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,0,2,0,0,0,0,0,0
コントラスト,6.44117732487532e-07,0,0,1,0,1,0,1,1,0,0,0,3,0,0,0,0,0,0,0,0,5,0,0,0,0,0,11,0,0,0,0,0,0,0,0,2,0,0,5,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
シャッター音,6.24885581977004e-07,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0,0
出来,6.22587745936723e-07,0,0,5,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
条件,6.04772048239746e-07,2,0,2,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
補正,5.99233702029111e-07,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,1,2,0,0,0,0,1,0,0,1,0,1,0,0,7,0,1,0,0,0,1,1,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
液晶,5.96122601556016e-07,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,7,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,2,0,1,0,2,0,0,0,2,0,0,1,0,0,0,0,1,0,1
画像,5.87727704880163e-07,1,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,5,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
解像感,5.83353202079529e-07,1,0,0,1,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,2,8,0,0,0,0,6,0,1,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,1,3,0,0,1,0,0,0,3,0,0,1
天気,5.584904351176e-07,0,0,15,1,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
切れ,5.48109011573456e-07,0,3,4,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
色合い,5.41708057462097e-07,0,0,1,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ボケ,5.29611509240562e-07,0,0,0,0,0,1,1,4,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
重さ,5.22169294622161e-07,0,0,0,0,0,0,3,2,0,0,0,1,1,0,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,2,0,0,0,1,0,4,0,0,0,0,1,1,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
フィーリング,5.20817371093597e-07,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
使用頻度,5.17891318247429e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,10,0,0,0,0,0,0,0,0,3,1,0,1,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,2,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
音質,5.1586374156797e-07,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ホールド,5.06604960808999e-07,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
バッテリー,5.05425048279533e-07,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,5,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
電池持ち,5.03634938968143e-07,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ボケ具合,5.0110966317764e-07,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
カメラ,5.00270103843042e-07,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,3,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1
AF,4.99743634822001e-07,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,3,1,0,0,0,0,2,0,0,0,0,6,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
グリップ感,4.99592372436454e-07,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
レンズ,4.94883123037954e-07,1,1,5,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,10,3,1,0,2,2,0,2,0,1,1,0,0,0,1,0,0,1,1,1,1,0,5,3,1,0,0,0,2,0,0,1,0,4,8,0,0,0,6,3,1,0,0,0,0,1,1,0,0,0,1,0,3,0,0,0,0
大きさ,4.89986588944218e-07,0,0,0,0,0,2,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,1,0,8,0,0,0,0,0,1,0,0,1,0,0,0,0,1,2,1,0,0,0,2,2,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0
配置,4.8518086002533e-07,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
・画質,4.72175857605825e-07,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ファインダー,4.6088825936799e-07,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
機動性,4.54344755200614e-07,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
完成度,4.49357219521098e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,37,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,1,0,4,1,0,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
