"",weight,が良く,の良い,も良く,の高い,もよく,が高い,が悪い,がよく,が良いです,も良いです,が良い,のよい,が高く,が悪く,も高く,がよい,が高いです,がいいです,が高いので,は良いです,が良いので,もいいです,がいい,も良好です,は良く,が悪いと,のある,も良い,は良好です,は良いと,がいいので,もいい,は良い,は高い,が良いと,も良いので,はいいですね,が高いと,も良いと,が良くて,があり,が悪いです,も高い,は高く,は高いと,はいいと,は最高です,はありません,は感じです,があります,はいいです,といい,もありません,も満足しています,は良いのですが,もあり,が感じます,が低い,の悪い,を考えると,が違います,が悪いので,も悪くなく,にありません,は悪いです,がいいと,も気に入っています,が良くない,もいいですね,がある,は落ちますが,はあり,はあります,は高いです,も良いし,は素晴らしいです,はよいと,も含めて,もあります,がいいですね,にある,が違う,も高いです,もなく,にあり,は満足しています,もいいと,もある,はよいです,は抜群です,がよいと,もあって,がよいです,は思います,がイマイチ,は最高ですね,は良いですね,に優れた,は思いますが,はいい
質感,2.02853456321037e-07,5,1,5,5,2,9,1,1,2,2,4,0,6,0,4,1,2,1,0,4,0,5,4,2,0,0,2,6,1,4,0,0,0,2,1,0,1,2,3,1,4,0,0,0,2,2,4,2,4,3,5,4,0,1,1,3,1,1,0,0,1,0,1,0,0,0,2,0,0,1,1,1,6,2,0,1,0,3,2,2,1,1,2,1,0,0,1,0,1,0,0,0,0,2,0,0,1,0,1,0
画質,2.00024935107557e-07,6,2,14,0,11,0,12,1,6,5,24,1,0,0,0,1,0,6,0,13,5,9,9,2,7,4,0,10,2,19,1,4,7,0,13,0,2,0,6,2,1,4,0,2,0,11,7,18,2,1,11,3,6,11,4,1,0,1,2,2,2,2,3,3,3,1,3,1,1,0,5,8,6,0,2,4,1,1,0,1,3,3,0,5,1,8,2,0,2,1,0,0,0,28,1,1,5,1,7,3
使用頻度,1.99917937132008e-07,0,0,0,10,0,11,0,0,0,0,0,0,2,0,1,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ボケ味,1.95778731773105e-07,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,2,0,0,0,0,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,1,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0
見た目,1.95618790434621e-07,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
ホールド性,1.95104521863405e-07,4,0,0,0,0,1,2,1,2,0,1,0,0,1,0,0,0,0,0,2,1,0,1,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
感触,1.94383241319808e-07,1,0,0,0,1,0,0,0,2,1,2,0,0,0,0,1,0,0,0,6,0,3,1,0,0,0,1,2,0,1,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
性能,1.92921843355509e-07,0,5,3,1,0,2,0,0,0,0,2,0,1,0,0,4,0,0,0,0,1,0,2,0,0,0,0,0,0,3,1,0,1,0,1,0,0,1,0,2,0,0,0,1,2,3,0,1,1,2,0,2,0,0,0,0,1,3,0,12,0,0,0,1,0,0,0,0,0,1,1,0,3,1,0,2,0,0,0,1,1,0,0,0,0,0,2,1,0,0,0,0,0,4,0,0,0,0,1,0
満足度,1.92206864267757e-07,0,0,0,45,0,7,0,0,0,0,0,0,2,0,0,0,16,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,3,0,0,0,0,3,6,10,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
完成度,1.91762248544381e-07,0,0,0,37,0,11,0,0,0,0,0,0,4,0,3,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,1,0,0,1,7,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
シャッター音,1.91063704000676e-07,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1
解像感,1.85446005016152e-07,0,0,2,1,1,2,1,0,0,1,0,0,2,1,0,0,2,0,0,1,0,0,0,0,0,0,6,0,0,1,0,0,0,1,0,0,0,1,1,0,8,0,3,1,2,0,0,0,1,4,0,3,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,3,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
操作感,1.8536207236005e-07,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,2,1,1,0,0,2,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
重量バランス,1.85126779228134e-07,3,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
評価,1.76854108690539e-07,0,1,0,12,0,4,0,0,0,0,0,0,4,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
AF精度,1.75293991654358e-07,0,1,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
反応,1.68282409905132e-07,1,2,0,0,1,0,2,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
液晶,1.62537860277379e-07,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,0,1,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,2,1,1,2,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,5,0,0,2,0,2,0
画像,1.60017615787749e-07,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,2,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,3,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,1,0,1,2,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
色合い,1.59844142533292e-07,0,1,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,2,0,0,0,4,0,1,0,0,0,0,1,0,0,1,0,3,0,0,0,0,0,0
感じ,1.58109852590559e-07,0,0,0,0,0,0,0,0,1,1,4,0,0,0,0,0,0,2,0,3,0,2,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,2,6,0,5,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,2,0,0,0,0,0,2,1,1,1,0,0,0,0,0,0,1,0,0,3,1,0,0,0,0,0,0,0
位置,1.58064805620071e-07,0,0,0,0,1,0,5,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
取り回し,1.57302944232848e-07,0,0,2,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
音,1.56439732331556e-07,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,2,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ボケ,1.55424682943826e-07,0,0,4,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ヌケ,1.54601454477387e-07,2,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
価格,1.53689263066511e-07,0,0,0,0,0,9,0,0,0,0,0,0,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,1,0,0,0,1,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,3,0,0,0,0,0,0
機能性,1.53183090084343e-07,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,3,0
満足感,1.52795412516051e-07,0,0,0,7,0,3,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,3,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
