"",weight,持ち,バランス,使い勝手,色乗り,レスポンス,もち,視認性,評判,色のり,操作性,感度,ホールド感,携帯性,位置,写り,発色,重量バランス,ホールド性,相性,気持ち,反応,質,音,精度,色,デザイン,出来,解像度,描写,描写力,ヌケ,取り回し,条件,画質,AF精度,感触,ボケ味,操作感,見た目,コントラスト,天気,性能,切れ,補正,質感,画像,配置,コストパフォーマンス,解像感,カメラ,使用頻度,液晶,音質,シャッター音,電池持ち,グリップ感,レンズ,バッテリー,満足度,キレ
の悪い,5.82754137213125e-08,0,0,0,0,0,0,0,3,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,1,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
は良く,5.75908958936291e-08,2,3,1,0,1,0,2,1,0,2,0,1,4,0,2,0,0,0,2,0,0,0,1,0,0,0,0,1,3,1,0,0,0,7,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
もいいです,5.74003382741943e-08,6,0,1,0,1,1,0,0,0,3,0,3,1,1,0,1,1,0,2,0,0,0,0,1,0,3,0,0,1,0,0,0,0,9,0,3,3,1,2,0,0,0,0,0,5,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0
がいいので,5.70350404500376e-08,6,0,1,0,1,1,0,2,0,2,0,1,5,1,2,0,0,0,0,1,0,0,0,0,1,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
が悪いです,5.64231515860936e-08,10,2,2,0,0,2,1,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
は良い,5.18197095231359e-08,4,2,1,0,1,0,0,0,1,2,0,7,3,0,3,0,0,1,0,0,0,0,0,0,2,2,0,1,1,1,1,0,0,7,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0
が悪いので,5.10404898337609e-08,5,1,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
が良くて,5.09442888818828e-08,2,1,1,1,1,1,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,2,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
も良いので,5.04747402907083e-08,4,3,0,0,0,0,0,0,0,1,0,4,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
のある,5.01400909583449e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,4,0,0,0,0,0,1,2,0,0,0,0,0,7,7,2,0,0,0,6,0,0,0,0,0,0,0,0,0,0,5
はいいと,5.01347149549782e-08,0,4,3,0,0,2,0,0,0,9,0,0,0,1,2,0,0,0,2,0,0,0,0,1,0,6,1,0,0,0,0,1,0,11,0,0,0,0,0,0,0,3,0,0,2,0,0,1,0,1,0,0,0,0,0,0,3,0,0,0
は良いです,4.96653834743967e-08,10,5,10,1,1,1,0,0,1,6,0,14,3,0,4,2,0,2,0,0,0,0,0,1,0,2,1,1,5,1,0,0,0,13,1,6,0,1,0,0,0,0,0,0,4,2,0,4,1,2,0,7,0,0,0,1,10,5,0,0
を考えると,4.9218298756482e-08,0,8,4,0,0,1,0,0,0,3,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,1,0,0,0,0,0,12,0,1,0,0,0,10,0,0,1,0,0,0,0,0,0,0,0,0
が高い,4.87741773322212e-08,0,2,0,0,0,0,0,0,0,3,0,1,1,0,0,0,0,1,0,0,0,1,0,4,0,0,0,6,0,1,0,0,0,0,1,0,0,0,0,5,0,2,0,0,9,0,0,14,2,1,11,0,0,0,0,0,0,1,7,0
が良くない,4.87710368012259e-08,5,1,1,0,0,1,0,0,0,1,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
もいい,4.75566741642379e-08,0,2,1,0,0,0,0,2,0,5,1,3,0,0,3,1,0,0,0,0,0,0,0,0,2,2,0,0,1,0,0,0,0,4,0,0,2,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,3,0,0,0
も高く,4.74269934548217e-08,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,4,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0
が感じます,4.72544945377026e-08,2,3,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0
の高い,4.69211443862063e-08,0,2,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,11,0,1,0,0,5,0,0,36,1,0,10,0,0,0,0,0,0,0,45,0
が高いので,4.68106499745986e-08,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,2,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,2,0
が良いと,4.66886247887224e-08,2,9,6,0,0,1,0,0,0,2,1,1,1,0,2,0,2,0,2,0,0,0,1,0,0,1,1,0,4,0,0,0,0,13,0,1,0,0,0,0,0,1,0,1,1,0,0,2,0,1,0,0,0,0,0,0,2,0,0,0
がいいと,4.58143997072881e-08,2,4,3,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0
もいいですね,4.57838525979734e-08,2,0,1,1,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
が良いのか,4.54131027684003e-08,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
があります,4.50833293066576e-08,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,2,1,0,3,1,0,0,4,0,0,1,0,0,0,0,0,0,0,0
はいいですね,4.44037020785079e-08,2,2,0,0,0,2,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,2,0,0,1,0,0,0,0,0,0,2,1,0,0,3,0,1,0,0,0,0,0,1,1,1,0,0
は良いと,4.38416849473347e-08,8,8,5,0,1,1,0,0,1,10,0,4,12,0,5,0,0,0,1,0,2,0,0,2,1,11,0,0,0,1,0,0,0,19,0,1,0,1,0,0,0,3,0,1,4,0,0,8,1,1,0,2,0,0,0,0,2,1,0,0
がよいです,4.32354618067859e-08,1,0,5,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
も良い,4.23403243878286e-08,4,1,1,0,1,0,0,1,0,8,0,1,1,0,2,0,0,0,0,0,0,0,0,0,1,2,0,1,1,0,0,0,0,10,0,2,0,2,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,1,1,2,1,0,0,0
もよい,4.22861262997641e-08,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
も良いですね,4.13422305590896e-08,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
にありません,4.09979895234986e-08,1,0,1,0,0,0,1,0,0,3,0,2,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0
は感じです,4.09763092023194e-08,2,0,0,0,0,1,1,0,2,3,0,3,2,1,1,1,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,1,4,1,0,0,1,0,0,2,0,1,0,0,1,4,0,0
があり,4.09493114251685e-08,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,1,0,0,0,1,0,0,2,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,4,1,4,0,0,0,8,1,0,0,0,0,0,0,5,0,0,1
が高く,4.09440519445266e-08,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,6,0,0,4,2,0,2,0,0,0,0,0,0,0,2,0
がイマイチ,4.0664156969924e-08,0,0,0,1,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
にある,3.97852153304058e-08,0,0,0,0,0,0,0,0,0,1,0,0,0,8,2,0,0,0,0,0,0,0,0,1,0,0,0,0,5,3,0,1,0,3,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,2,0,0,0,0,6,0,0,0
も悪くなく,3.95945275083155e-08,0,1,1,0,0,0,0,0,1,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
はありません,3.92117859080899e-08,9,0,4,0,1,0,0,0,0,11,0,9,11,0,6,1,0,1,1,1,0,0,0,1,0,0,0,2,4,2,0,0,0,18,1,2,1,0,0,0,0,1,0,1,2,3,0,0,0,6,1,1,2,0,1,1,8,9,1,0
も良いと,3.91399073651666e-08,1,11,1,0,0,0,0,0,1,6,0,0,2,0,2,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,1,3,1,0,2,1,0,0,1,0,0,0,0,0,0,0,0
が高いです,3.8579691758256e-08,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,2,0,4,0,0,0,0,0,0,0,16,0
は悪いです,3.85646315965168e-08,6,1,0,0,0,0,0,0,0,3,0,1,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
も良好,3.75773025872571e-08,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
は落ちますが,3.7377499805515e-08,1,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,5,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
が悪いのが,3.7252575603498e-08,3,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
もありません,3.7205153882536e-08,0,0,1,0,0,0,1,0,0,1,0,5,1,0,8,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,6,1,0,3,0,0,0,0,0,0,2,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0
もあります,3.71901391791638e-08,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0
もいいし,3.7093808350328e-08,0,0,1,0,0,0,0,0,1,0,0,0,4,0,0,2,0,0,0,0,0,0,1,0,1,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
はいいです,3.70780719546548e-08,1,0,3,1,0,0,0,0,0,4,0,2,10,0,7,1,0,0,1,0,0,0,0,0,0,3,1,0,0,1,0,0,0,11,1,0,3,0,1,0,0,0,0,1,5,0,0,1,0,3,0,1,1,0,0,0,4,0,0,0
も気に入っています,3.7067342429968e-08,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3,3,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0
がなります,3.66468421980382e-08,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
は方だと,3.6524763744397e-08,3,0,0,0,0,2,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0
が違います,3.62791003519607e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
は高い,3.61981419682252e-08,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,2,1,0,2,1,0,0,0,0,1,0,13,0
が悪いのと,3.61438032931714e-08,3,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
が低い,3.61215434138719e-08,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,5,0,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
もある,3.59680256672039e-08,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
がよいと,3.58138692250695e-08,0,0,1,0,0,1,0,0,0,1,0,3,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0
は良いようです,3.57210891043847e-08,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
も良くて,3.55730569239867e-08,0,0,0,1,2,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
といい,3.55603504506276e-08,0,0,0,2,0,0,0,0,0,1,0,2,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,2,0,0,4,0,0,1,3,0,0,2,0,1,0,0,1,0,0,0
も高い,3.54127277135529e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,1,0,0,0,0,0,0,0,3,0
がよいので,3.52781440336373e-08,2,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
はよく,3.51737784086006e-08,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
も良いし,3.50796392148945e-08,3,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
がよければ,3.4739519236342e-08,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
も満足しています,3.43864794174788e-08,1,1,0,0,0,0,0,0,0,2,0,2,0,0,1,4,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,11,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
は良いのですが,3.40647567462817e-08,1,0,0,0,1,0,0,0,1,4,0,3,5,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
を考えて,3.39541267927121e-08,0,2,1,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
がいいですね,3.33864640452929e-08,0,1,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,2,0,0,2,0,0,0
が良くなりました,3.31905062799375e-08,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
が良いとは,3.28439066162518e-08,1,0,2,0,0,0,0,0,1,0,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
を考えれば,3.27305525541234e-08,0,5,0,0,0,0,0,0,0,1,0,1,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,5,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0
になります,3.24465349659054e-08,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,2,0,0,0,0,5,1,0,0,7,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,0,3,0,0,0
を上げる,3.22438661036085e-08,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
がよくない,3.18582300468745e-08,2,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
