"",weight,が悪い,が良く,の良い,が良い,がよく,が良いです,が悪く,も良く,もよく,も良いです,のよい,がいいです,がよい,がいい,もいいです,が悪いと,は良いです,が良いので,は良好です,も良好です,が高い,は良く,は良いと,がいいので,が悪いです,の高い,も良い,が良いと,はいいと,は良い,が良くない,はいいですね,が良くて,も良いので,の悪い,もいい,が悪いので,が高いので,が感じます,が高く,も良いと,も高く,は感じです,のある,があり,はありません,はいいです,にありません,がいいと,があります,は悪いです,も悪くなく,にある,は高い,も満足しています,もいいですね,もありません,が違います,がなります,になります,がよいです,は良いのですが,にあります,が高いです,といい,も気に入っています,にあり,は方だと,も良いし,がイマイチ,も良いですね,は最高です,もよい,はよいです,がいいですね,を考えると,がよいと,が良いのか,は落ちますが,がなる,もなく,が悪いのが,は良いですが,もあります,が高いと,もいいし,を上げて,も高い,がある,がありません,は高く,になり,が低い,は悪くないです,は思います,に満足しています,はよく,はよいと,にありますが,は抜群です
写り,4.72765744565116e-07,2,4,7,4,0,1,0,4,1,0,1,1,0,5,0,1,4,1,1,0,0,2,5,2,0,0,2,2,2,3,0,4,2,0,0,3,0,0,0,0,2,1,1,0,0,6,7,2,1,0,0,1,2,0,1,0,8,4,0,3,0,1,0,0,0,0,4,1,1,0,0,4,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4,2,0,2,1,0
発色,4.66266885473836e-07,2,3,1,0,1,0,0,3,6,4,1,0,0,3,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,1,0,0,0,1,1,0,0,4,0,1,0,0,3,0,0,1,0,2,1,0,1,0,0,0,2,0,0,0,0,0,0,0,1,2,0,0,1,0,2,0,1,0,0,0,0,0,0,2,0,0,0,0,0
デザイン,4.65354933434584e-07,0,3,1,7,1,2,0,7,1,2,0,0,1,1,3,0,2,2,1,0,0,0,11,0,0,0,2,1,6,2,0,0,0,0,0,2,0,0,0,0,4,0,5,1,0,0,3,0,1,0,0,1,0,0,1,0,1,0,0,1,0,2,0,0,1,3,0,1,2,0,0,2,0,1,4,0,0,0,0,0,0,0,2,0,0,3,0,0,0,1,1,0,0,1,11,0,1,3,0,0
相性,4.53470869250855e-07,0,1,1,2,0,2,0,3,0,3,0,0,1,0,2,0,0,1,0,0,0,2,1,0,0,0,0,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
色のり,4.39630338034687e-07,0,1,1,0,2,1,0,0,6,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
評判,4.28283780635227e-07,0,0,14,1,1,0,0,0,0,0,3,0,0,3,0,0,0,6,0,0,0,1,0,2,0,3,1,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
気持ち,4.20428886173449e-07,0,0,13,7,1,2,0,0,0,0,3,9,2,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
視認性,4.19134385499623e-07,1,0,2,2,1,0,2,2,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
画質,4.19101982953773e-07,12,6,2,24,1,6,0,14,11,5,1,6,1,9,9,4,13,5,2,2,0,7,19,1,4,0,10,13,11,7,1,2,2,0,2,4,2,0,0,0,6,0,2,0,1,18,11,3,1,1,3,3,3,0,11,1,6,2,0,5,0,4,3,0,3,3,1,2,2,1,0,7,0,2,1,2,0,1,5,1,5,0,1,0,0,2,0,0,0,0,2,0,1,0,28,4,2,1,1,1
精度,4.1292958466162e-07,2,2,2,2,0,0,0,1,0,1,0,0,1,0,1,0,1,1,0,0,4,0,2,0,0,1,0,0,1,0,0,0,0,2,0,0,0,3,0,0,2,3,0,0,0,1,0,0,0,1,0,0,1,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,3,0,1,0,0,0,0,1,0,0
質,3.88010715031481e-07,2,1,4,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ホールド性,3.86918704965411e-07,2,4,0,1,1,2,1,0,0,0,0,0,0,1,0,0,2,1,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
色,3.7876458631074e-07,2,0,0,1,0,0,1,1,0,0,0,1,0,2,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,2,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,1,0,0,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
重量バランス,3.74848336865282e-07,1,3,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
感度,3.745995944181e-07,2,2,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,13,0,0,0,0,0,2,0,1,0,0,0,0,0
描写,3.68067622852353e-07,0,1,2,0,0,0,0,6,0,3,0,1,0,1,1,0,5,2,0,1,0,3,0,1,0,0,1,4,0,1,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,5,0,0,0,0,1,1,7,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,1,0,0,0
質感,3.66758310434577e-07,1,5,1,4,1,2,0,5,2,2,0,1,1,4,5,0,4,0,1,2,9,0,4,0,0,5,6,1,2,0,0,1,1,0,0,0,0,0,1,6,3,4,4,2,4,2,5,0,0,3,0,1,1,2,1,0,0,1,1,0,0,1,0,2,4,2,0,0,0,0,0,4,0,1,2,0,0,0,1,0,1,0,1,2,2,0,0,0,1,0,0,1,1,1,2,1,0,0,0,0
感触,3.65288861953393e-07,0,1,0,2,0,2,0,0,1,1,0,0,1,1,3,0,6,0,0,0,0,0,1,0,1,0,2,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
コストパフォーマンス,3.58573936936238e-07,0,1,5,5,0,0,0,1,1,0,0,0,3,1,0,0,4,0,0,0,14,0,8,1,0,36,0,2,1,0,0,3,0,0,0,1,0,2,0,4,2,4,0,0,0,0,1,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,1,4,1,0,0,0,0,0,0,9,0,0,0,10,2,0,0,0,0,0,0,0,6,0,0,3,0,0,0,0,0,0,2,0,0,2,0,2
位置,3.52622019481978e-07,5,0,0,0,0,0,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,8,0,0,1,0,0,2,0,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
反応,3.50237102494675e-07,2,1,2,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
描写力,3.48100893061889e-07,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1,1,1,1,2,0,0,0,0,0,1,0,3,0,0,0,0,0,2,1,1,0,0,0,4,0,2,1,0,0,0,0,0,3,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,2,0,0,0,0
解像度,3.4561421193494e-07,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,2,1,0,0,0,6,1,0,0,1,5,1,0,0,1,0,0,0,0,0,0,1,2,0,8,0,7,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,3,0,4,0,4,0,1,0,0,0,0,0
性能,3.42379984018162e-07,0,0,5,2,0,0,0,3,0,0,0,0,4,2,0,0,0,1,0,0,2,0,3,1,0,1,0,1,3,1,0,0,2,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,12,0,0,1,0,0,0,0,0,1,0,4,0,1,0,1,0,3,0,4,2,1,0,0,0
見た目,3.33747641247206e-07,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
操作感,3.31400043701903e-07,0,0,0,1,0,0,0,0,2,0,0,0,1,2,1,0,1,0,2,1,0,1,1,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
音,3.27202111571913e-07,1,0,0,0,0,0,1,1,0,0,0,2,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ボケ味,3.20383276879505e-07,0,0,0,0,0,1,0,1,0,2,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,0,0,0,0,0,0,0,2,0,1,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
コントラスト,3.12901373731281e-07,0,0,1,1,1,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,5,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,5,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0
AF精度,3.09685255493089e-07,2,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
シャッター音,2.97888665067788e-07,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
出来,2.97243153253999e-07,0,0,5,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ヌケ,2.94069451526031e-07,0,2,5,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
解像感,2.92987480984017e-07,1,0,0,0,0,0,1,2,1,1,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,6,8,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,1,1,2,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,1,0,0,3,2,0,1,0,0,0,0,1,0,0,0,0
取り回し,2.92715167251384e-07,0,0,0,0,1,1,0,2,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
液晶,2.85052006418047e-07,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,7,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,1,1,0,0,1,0,0,2,1,1,0,1,0,0,0,0,1,0,0,2,1,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
画像,2.79325175491805e-07,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,3,0,3,0,1,0,0,0,0,0,0,1,0,0,5,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0
ボケ,2.77587117925835e-07,0,0,0,1,0,1,0,4,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
条件,2.71374708258542e-07,2,0,2,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
カメラ,2.60649111362994e-07,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,6,3,0,1,0,0,0,0,0,0,0,1,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,2,0,0,1,0,2,0,0,0,0,0,3,1,0,1,0,1
切れ,2.55735264239127e-07,0,3,4,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
補正,2.53714161687707e-07,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,7,1,1,1,0,0,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,3,0,1,0,0,0,0,0,5,1,0,0,0,0,3,0,0,0,0,0
満足度,2.53461994258407e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,6,0,1,0,1,0,0,0,0,0
色合い,2.50947000966534e-07,0,0,1,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0
天気,2.4933260946882e-07,0,0,15,2,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ホールド,2.47986563798759e-07,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
