"",weight,が良く,が悪く,が悪い,がよく,の良い,のよい,が悪いと,も良いです,が良いです,の悪い,の高い,がいいです,もよく,が悪いです,も良好です,がよい,も良く,が悪いので,が高い,は良いです,は良好です,もいいです,がなります,を上げて,はいいと,が感じます,が良くない,が良くて,があります,は良く,はいいですね,が良い,がいいので,が悪いのが,も良いので,がイマイチ,を考えると,もいいですね,になります,がいい,を上げると,は良い,にありません,がいいと,がよいです,もよい,が良いのか,にあります,が悪いのと,は高い
携帯性,1.71597342321405e-06,2,2,3,0,11,0,2,2,5,0,0,1,6,1,0,3,12,2,1,3,3,1,0,0,0,0,0,1,0,4,0,6,5,0,1,0,3,1,0,1,0,3,1,1,0,0,0,0,1,0
使い勝手,1.6996271184664e-06,10,1,7,5,12,5,1,1,15,0,0,12,4,2,1,6,4,0,0,10,5,1,0,0,3,1,1,1,1,1,0,17,1,2,0,0,4,1,0,1,0,1,1,3,5,0,0,0,0,0
評判,1.68566986859728e-06,0,0,0,1,14,3,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,3,0,0,0,0,1,0,1,0,0,1
位置,1.65111988374676e-06,0,3,5,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0
感度,1.64855114198982e-06,2,1,2,0,1,0,1,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,11,0,0,0,1,0,0,0,0,1
気持ち,1.59517728260462e-06,0,0,0,1,13,3,0,0,2,0,0,9,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,1,0,0,0,0,0,2,9,0,0,0,0,2,0,0,0,0,0
重量バランス,1.59462723898894e-06,3,0,1,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
写り,1.55406425491701e-06,4,0,2,0,7,1,1,0,1,0,0,1,1,0,0,0,4,0,0,4,1,0,0,0,2,0,0,2,0,2,4,4,2,0,0,0,0,0,3,5,0,3,2,1,0,1,0,0,0,0
ホールド性,1.54907599399249e-06,4,1,2,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,2,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
発色,1.54645739908503e-06,3,0,2,1,1,1,0,4,0,0,0,0,6,0,0,0,3,0,0,2,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,1,0,0
相性,1.54152637147997e-06,1,0,0,0,1,0,0,3,2,0,0,0,0,0,0,1,3,1,0,0,0,2,0,0,2,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0
反応,1.5141454728602e-06,1,1,2,1,2,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
質,1.43748715078938e-06,1,1,2,0,4,1,1,0,1,1,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
音,1.42638404970755e-06,0,1,1,0,0,0,1,0,0,0,0,2,0,0,0,2,1,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
出来,1.35560423161428e-06,0,0,0,0,5,1,0,0,1,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0
ヌケ,1.32026040461866e-06,2,0,0,0,5,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
精度,1.2727666787451e-06,2,0,2,0,2,0,0,1,0,0,1,0,0,0,0,1,1,0,4,1,0,1,0,0,1,0,0,0,1,0,0,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2
ボケ味,1.25905432727049e-06,0,0,0,0,0,0,0,2,1,0,0,0,0,0,2,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
描写力,1.23201634833366e-06,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,3,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
描写,1.22754959093402e-06,1,0,0,0,2,0,0,3,0,0,0,1,0,0,1,0,6,0,0,5,0,1,1,0,0,0,0,2,0,3,0,0,1,0,1,0,1,0,7,1,0,1,0,0,0,1,0,0,0,0
色,1.22185385097933e-06,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,5,2,0,2,0,0,0,0,0,1,0,0
デザイン,1.21748572313022e-06,3,0,0,1,1,0,0,2,2,0,0,0,1,0,0,1,7,0,0,2,1,3,0,0,6,0,0,0,0,0,0,7,0,0,0,0,0,0,1,1,0,2,0,1,0,0,0,0,0,0
配置,1.17332774369354e-06,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
条件,1.17304259094327e-06,0,0,2,0,2,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
解像度,1.17019081100999e-06,0,0,1,0,0,0,2,0,0,0,5,0,1,1,0,0,1,1,6,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
感触,1.16655783461824e-06,1,0,0,0,0,0,0,1,2,0,0,0,1,1,0,1,0,0,0,6,0,3,0,0,0,0,0,1,1,0,0,2,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
見た目,1.15999659988399e-06,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0
取り回し,1.14238712493976e-06,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
操作感,1.1281900030199e-06,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,1,2,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0
AF精度,1.12644269239911e-06,0,0,2,0,1,0,0,0,0,0,1,0,1,0,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1
補正,1.10412002180206e-06,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
天気,1.10190103649539e-06,0,1,0,0,15,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
画像,1.09120707361852e-06,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,5,0,0,0,3,0,0,0,0,1,0,0
質感,1.09005142395711e-06,5,0,1,1,1,0,0,2,2,0,5,1,2,0,2,1,5,0,9,4,1,5,1,0,2,1,0,1,3,0,1,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2
画質,1.07477382724951e-06,6,0,12,1,2,1,4,5,6,2,0,6,11,4,2,1,14,2,0,13,2,9,0,0,11,0,1,2,1,7,2,24,1,0,0,1,2,1,5,9,0,7,3,1,0,0,1,3,0,0
性能,1.06923876357361e-06,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,4,3,0,2,0,0,0,1,4,3,1,0,2,2,0,0,2,1,0,0,0,12,0,0,2,0,1,1,0,0,0,0,0,0,0
カメラ,1.06665599685407e-06,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,1,1,0,0
切れ,1.04435147773584e-06,3,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
レンズ,1.03080281402228e-06,1,0,1,0,5,0,0,0,0,2,0,0,0,0,0,0,1,0,0,10,0,0,2,0,3,1,0,1,0,1,1,1,0,0,0,0,0,0,3,1,0,1,1,1,0,0,0,1,0,1
音質,1.00775448671314e-06,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
コントラスト,9.89819862828528e-07,0,0,0,1,1,0,0,0,0,0,11,3,0,0,0,0,1,0,5,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
解像感,9.60617114164838e-07,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,2,0,2,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
ISO,9.10310005758199e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
シャッター音,8.9939873213579e-07,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
グリップ感,8.81003505508325e-07,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
キレ,8.5853497944048e-07,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
重さ,8.5043519078585e-07,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,2,0,2,1,0,0,0,0,0,2,0,0,3,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0
大きさ,8.29970628056255e-07,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,2,0,1,2,0,1,0,0,0,0,0,0,0,0,0,1,0,8,0,1,1,0,0,0,0,0,0,0,0,0,0
バッテリー,8.14429185947514e-07,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,5,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
電池持ち,8.13985849048501e-07,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
腕,8.00752730327875e-07,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
トータルバランス,7.96190116960857e-07,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AF,7.95739046706847e-07,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ボケ具合,7.76020069418362e-07,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
液晶,7.71524796749122e-07,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
満足度,7.6396913771503e-07,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
・画質,7.4522380433454e-07,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
ISO感度,7.41381365912044e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0
描写性能,7.33733570318733e-07,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
気分,7.11682984849868e-07,0,0,1,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0
ボケ,6.90173220513848e-07,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0
ホールド,6.89683290047222e-07,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
画角,6.87127231840121e-07,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ケース,6.84023621308104e-07,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0
使用頻度,6.82144108979846e-07,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
・操作性,6.72655460764188e-07,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
色合い,6.70691988274934e-07,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
満足感,6.6781642305084e-07,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
ホールディング,6.65129671748283e-07,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
機能性,6.64233903247348e-07,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
フィーリング,6.60632440608505e-07,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
品,6.53569769203219e-07,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
コストパフォーマンス,6.50509337158522e-07,1,0,0,0,5,0,0,0,0,0,36,0,1,0,0,3,1,0,14,4,0,0,0,0,1,0,0,0,0,0,3,5,1,0,0,0,10,3,0,1,0,0,0,0,0,0,0,1,0,2
マッチング,6.34855948724607e-07,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
目,6.31758340814148e-07,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
完成度,6.26217737389171e-07,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
品質,6.13731242241249e-07,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
機能,6.12855450518391e-07,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,8,0,0,1,0,0,0,0,0,1,0,1,0,0
画面,6.08080154018558e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,1,0,0
撮影,6.07537810701331e-07,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0
表現力,6.02055760483693e-07,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
機動性,5.96042468276974e-07,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
評価,5.91895618531838e-07,0,0,0,0,1,0,0,0,0,0,12,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
手触り,5.86112135263643e-07,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
フットワーク,5.79381025193275e-07,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ファインダー,5.72683978548064e-07,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ピント精度,5.70682972477809e-07,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
感じ,5.69661387130911e-07,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,3,0,2,1,0,1,0,0,0,5,1,1,4,0,0,0,0,0,0,22,1,0,0,0,0,1,0,0,0,0,0
階調性,5.6511788537306e-07,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
望遠,5.63287022532136e-07,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
価格,5.58554641381886e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,1,0,0,0,0,0
見栄え,5.57937223595621e-07,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
映り,5.56234050413843e-07,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
バッテリー持ち,5.49334932826337e-07,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
背面液晶,5.4818792315923e-07,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
デジカメ,5.46176411390955e-07,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
ホールディング性,5.44968199296756e-07,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
機種,5.41885405679652e-07,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
利便性,5.34592463863524e-07,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
画素数,5.33921350728981e-07,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
彩度,5.25481263134514e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
D80,5.22963530136354e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
環境,5.22115934622167e-07,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
