"",weight,持ち,バランス,使い勝手,色乗り,もち,レスポンス,ホールド感,評判,携帯性,色のり,操作性,視認性,発色,写り,感度,相性,気持ち,重量バランス,ホールド性,質,精度,位置,デザイン,反応,色,音,解像度,画質,描写,出来,ヌケ,描写力,コストパフォーマンス,ボケ味,見た目,AF精度,質感,性能,操作感,感触,コントラスト,条件,取り回し,天気,画像,使用頻度,配置,カメラ,切れ,解像感,補正,シャッター音,液晶,音質,満足度,グリップ感,電池持ち,レンズ,満足感,完成度,ボケ,重さ,評価,バッテリー,フィーリング,・画質,色合い,ボケ具合,大きさ,AF
も良く,5.66284403845041e-08,7,6,4,5,0,6,6,0,12,0,12,2,3,6,0,3,0,0,0,1,1,0,7,0,1,1,1,14,6,0,1,1,1,1,0,1,5,3,0,0,1,0,2,0,0,0,0,0,1,2,0,1,0,0,0,0,0,1,0,0,4,2,0,0,1,0,1,0,1,0
がいいです,5.26962167058073e-08,6,3,12,2,0,0,1,0,1,1,3,1,0,1,0,0,9,1,0,0,0,0,0,1,1,2,0,6,1,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1
が良い,5.24290826761563e-08,24,14,17,1,1,8,3,1,6,0,4,2,0,4,0,2,7,0,1,0,2,0,7,0,1,0,1,24,0,1,0,0,5,0,0,0,4,2,1,2,1,1,0,2,1,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,1,3,0,1,0,2,0,0,0,1
がよい,4.90242133541246e-08,6,3,6,0,1,0,0,0,3,0,2,0,0,0,0,1,2,0,0,0,1,0,1,0,0,2,0,1,0,0,0,0,3,0,0,0,1,4,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
が悪いと,4.80422245951847e-08,6,4,1,1,0,0,0,0,2,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,2,4,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
が良いので,4.64783361680868e-08,2,2,3,0,0,1,3,6,1,0,2,0,1,1,1,1,0,0,1,0,1,0,2,0,1,0,0,5,2,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
も良好です,4.63093843244075e-08,1,0,1,1,0,2,2,0,0,1,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,2,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
がいい,4.46910731533463e-08,10,4,1,0,1,1,1,3,1,0,1,0,3,5,0,0,9,0,1,0,0,0,1,0,2,0,0,9,1,0,0,0,1,0,2,0,4,2,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,2,2,0,0,0,2,0,0,1,0
は良好です,4.46263190407539e-08,0,3,5,1,0,0,9,0,3,0,6,0,1,1,0,0,0,1,3,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
もいいです,4.37716554706649e-08,6,0,1,0,1,1,3,0,1,0,3,0,1,0,0,2,0,1,0,0,1,1,3,0,0,0,0,9,1,0,0,0,0,3,2,0,5,0,1,3,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,1,1,0,0,1,1,0
は良く,4.22191484085417e-08,2,3,1,0,0,1,1,1,4,0,2,2,0,2,0,2,0,0,0,0,0,0,0,0,0,1,1,7,3,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
がいいので,4.10196022275069e-08,6,0,1,0,1,1,1,2,5,0,2,0,0,2,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
が悪いです,4.01189297484676e-08,10,2,2,0,2,0,0,0,1,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
が高い,3.96320122355874e-08,0,2,0,0,0,0,1,0,1,0,3,0,0,0,0,0,0,0,1,1,4,0,0,0,0,0,6,0,0,0,0,1,14,0,0,1,9,2,0,0,5,0,0,0,0,11,0,1,0,2,0,0,0,0,7,0,0,0,3,11,0,0,4,1,0,0,0,0,0,0
の悪い,3.93462214265021e-08,0,0,0,0,0,0,0,3,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,4,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
は良い,3.92458686473431e-08,4,2,1,0,0,1,7,0,3,1,2,0,0,3,0,0,0,0,1,0,0,0,2,0,2,0,1,7,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0
はいいと,3.84318206876001e-08,0,4,3,0,2,0,0,0,0,0,9,0,0,2,0,2,0,0,0,0,1,1,6,0,0,0,0,11,0,1,0,0,1,0,0,0,2,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,1,0
の高い,3.76603529574262e-08,0,2,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,2,1,0,0,0,0,0,5,0,0,0,0,0,36,0,0,1,5,1,0,0,11,0,0,0,0,10,0,0,0,1,0,0,0,0,45,0,0,0,7,37,0,0,12,0,0,0,0,0,0,0
は良いです,3.71939443997218e-08,10,5,10,1,1,1,14,0,3,1,6,0,2,4,0,0,0,0,2,0,1,0,2,0,0,0,1,13,5,1,0,1,4,0,0,1,4,0,1,6,0,0,0,0,2,0,0,2,0,1,0,0,7,0,0,1,0,10,0,0,1,2,0,5,1,0,0,0,2,2
が良くて,3.69661125666899e-08,2,1,1,1,1,1,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
が良いと,3.67833731341903e-08,2,9,6,0,1,0,1,0,1,0,2,0,0,2,1,2,0,2,0,0,0,0,1,0,0,1,0,13,4,1,0,0,2,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
も高く,3.66125407666202e-08,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,3,0,0,0,0,0,7,0,0,0,0,0,4,0,0,0,4,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
を考えると,3.63389471470001e-08,0,8,4,0,1,0,0,0,3,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,1,10,0,0,0,0,12,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,0
も良いので,3.59149116264698e-08,4,3,0,0,0,0,4,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
が高いので,3.56233623422538e-08,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,2,2,0,0,1,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0
が悪いので,3.54221679768449e-08,5,1,0,0,1,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
も良い,3.51378088832434e-08,4,1,1,0,0,1,1,1,1,0,8,0,0,2,0,0,0,0,0,0,0,0,2,0,1,0,1,10,1,0,0,0,0,0,0,0,6,0,2,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,1,1,0,0,1,3,0,0,1,1,1,2,0,0
はいいですね,3.51033780763097e-08,2,2,0,0,2,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,3,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0
が良くない,3.47761070227654e-08,5,1,1,0,1,0,2,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
もいい,3.46275540867739e-08,0,2,1,0,0,0,3,2,0,0,5,0,1,3,1,0,0,0,0,0,0,0,2,0,2,0,0,4,1,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,3,0,0,2,0,0,0,0,0,1,0,0,3
が感じます,3.44796095910469e-08,2,3,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
は良いと,3.44152048743348e-08,8,8,5,0,1,1,4,0,12,1,10,0,0,5,0,1,0,0,0,0,2,0,11,2,1,0,0,19,0,0,0,1,8,0,0,0,4,3,1,1,0,0,0,0,0,0,0,1,0,1,1,0,2,0,0,0,0,2,0,0,0,0,1,1,0,0,1,0,1,0
がいいと,3.37466201047006e-08,2,4,3,0,0,0,1,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
が高く,3.36419251120752e-08,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,0,0,0,0,1,4,0,0,0,6,1,0,0,1,0,0,0,0,2,0,0,0,2,0,0,0,0,2,0,0,0,1,4,0,0,4,0,0,0,0,0,0,0
もいいですね,3.22749962918064e-08,2,0,1,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
が高いです,3.18855370782717e-08,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0,2,0,0,0,0,16,0,0,0,3,1,0,0,2,0,0,0,0,0,0,0
が良いのか,3.14672298935479e-08,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
があります,3.11900386014732e-08,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,2,1,1,0,1,0,0,1,0,0,0,1,4,0,0,1,0,0,0,0,0,10,0,1,2,1,0,0,0,0,0,0,0
は感じです,3.09384056374319e-08,2,0,0,0,1,0,3,0,2,2,3,1,1,1,0,0,0,0,0,0,0,1,5,0,1,0,0,2,0,0,0,0,0,0,0,0,4,1,0,0,1,0,0,0,1,0,0,0,0,1,1,1,2,0,0,0,0,1,0,1,1,0,0,4,0,0,1,0,1,0
も悪くなく,3.09214627348925e-08,0,1,1,0,0,0,1,0,1,1,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
がよいです,3.08348519909364e-08,1,0,5,0,0,0,1,1,0,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
は高い,3.03227889845277e-08,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,2,0,0,0,1,0,0,0,0,2,0,0,0,1,0,0,1,0,13,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0
も良いと,2.98361993963546e-08,1,11,1,0,0,0,0,0,2,1,6,0,0,2,0,0,0,0,0,0,2,0,4,0,0,0,0,6,0,0,0,0,2,0,0,0,3,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2
のある,2.97344163329397e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,4,0,2,0,0,2,0,0,1,0,0,0,0,0,0,0,0,7,6,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
はいいです,2.97327804556715e-08,1,0,3,1,0,0,2,0,10,0,4,0,1,7,0,1,0,0,0,0,0,0,3,0,0,0,0,11,0,1,0,1,1,3,1,1,5,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,1,1,0,0,0,4,0,0,0,2,1,0,2,0,0,0,2,0
はありません,2.90587539157069e-08,9,0,4,0,0,1,9,0,11,0,11,0,1,6,0,1,1,0,1,0,1,0,0,0,0,0,2,18,4,0,0,2,0,1,0,1,2,1,0,2,0,0,0,0,3,1,0,6,0,0,1,0,1,2,1,1,1,8,0,0,0,1,0,9,0,0,0,0,2,6
もよい,2.88994458062551e-08,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
にありません,2.88662398014823e-08,1,0,1,0,0,0,2,0,1,0,3,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
も良いですね,2.85572171017316e-08,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
がイマイチ,2.83991017061976e-08,0,0,0,1,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
といい,2.81053674961063e-08,0,0,0,2,0,0,2,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,1,0,1,0,4,2,0,0,0,0,0,0,0,0,0,0,0,3,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0
は悪いです,2.7914808628977e-08,6,1,0,0,0,0,1,0,5,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
もありません,2.74454495243465e-08,0,0,1,0,0,0,5,0,1,0,1,1,1,8,0,0,0,0,1,0,1,0,1,0,0,0,0,6,0,0,0,1,0,3,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1
があり,2.74008914388139e-08,0,0,0,0,0,0,2,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,2,1,1,0,1,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,1,4,8,1,0,0,0,0,0,0,5,0,1,2,4,0,0,0,0,0,0,1,1
も気に入っています,2.69432359498423e-08,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,3,0,3,0,0,3,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
にある,2.68636447981597e-08,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,8,0,0,0,0,0,3,5,0,0,3,0,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,1
もいいし,2.68121111830484e-08,0,0,1,0,0,0,0,0,4,1,0,0,2,0,0,0,0,0,0,0,0,0,3,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
がよいと,2.67385464424925e-08,0,0,1,0,1,0,3,0,1,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
も満足しています,2.66418222856659e-08,1,1,0,0,0,0,2,0,0,0,2,0,4,1,0,0,0,0,0,1,0,0,1,0,1,0,0,11,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
もあります,2.65221999899054e-08,2,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
は落ちますが,2.64588634979092e-08,1,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,5,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
が低い,2.61383934847204e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,1,3,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
が悪いのが,2.60557328502373e-08,3,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
も良好,2.59948042470648e-08,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
は方だと,2.59157346521823e-08,3,0,0,0,2,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
も高い,2.58399589003332e-08,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
もある,2.57483173397777e-08,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
は良いのですが,2.56766004876347e-08,1,0,0,0,0,1,3,0,5,1,4,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
を考えれば,2.56065677723554e-08,0,5,0,0,0,0,1,0,3,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
がなります,2.54416612477409e-08,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,4,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,2,0
がいいですね,2.53102802174948e-08,0,1,4,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
