"",weight,持ち,バランス,使い勝手,色乗り,レスポンス,もち,ホールド感,携帯性,操作性,発色,色のり,視認性,デザイン,感度,評判,相性,気持ち,写り,ホールド性,質,画質,色,重量バランス,精度,描写,位置,反応,見た目,音,解像度,描写力,感触,操作感,質感,ボケ味,AF精度,ヌケ,性能,取り回し,コストパフォーマンス,コントラスト,シャッター音,出来,条件,補正,液晶,画像,解像感,天気,切れ,色合い,ボケ,重さ,フィーリング,使用頻度,音質,ホールド,バッテリー,電池持ち,ボケ具合,カメラ,AF,グリップ感,レンズ,大きさ,配置,・画質,ファインダー,機動性,完成度,キレ,評価,満足度,機能性,満足感,気分,画素数,・操作性,グリップ,値段
が悪く,5.48297593084022e-08,6,2,1,0,1,0,3,2,0,0,0,2,0,1,0,0,0,0,1,1,0,1,0,0,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
が良い,5.34212249404945e-08,24,14,17,1,8,1,3,6,4,0,0,2,7,0,1,2,7,4,1,0,24,1,0,2,0,0,0,0,0,1,0,2,1,4,0,0,0,2,0,5,1,0,1,1,0,1,1,0,2,1,0,1,3,0,0,1,1,1,0,0,0,1,1,1,0,0,2,0,0,0,1,0,0,0,0,0,0,3,1,0
がいいです,5.05718971296187e-08,6,3,12,2,0,0,1,1,3,0,1,1,0,0,0,0,9,1,0,0,6,1,1,0,1,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
がよい,4.86804130847906e-08,6,3,6,0,0,1,0,3,2,0,0,0,1,0,0,1,2,0,0,0,1,0,0,1,0,0,0,0,2,0,0,1,1,1,0,0,0,4,0,3,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0
が悪いと,4.50522847553398e-08,6,4,1,1,0,0,0,2,0,0,0,1,0,1,0,0,0,1,0,1,4,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
がいい,4.49650033524703e-08,10,4,1,0,1,1,1,1,1,3,0,0,1,0,3,0,9,5,1,0,9,2,0,0,1,0,0,2,0,0,0,1,2,4,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,1,1,1,0,2,0,1,0,0,0,0,0,0,1,0,0,1,0
も良好です,4.49339400874242e-08,1,0,1,1,2,0,2,0,3,0,1,0,0,1,0,0,0,0,0,0,2,0,1,0,1,0,0,1,0,0,1,0,1,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
が良いので,4.41362957698817e-08,2,2,3,0,1,0,3,1,2,1,0,0,2,1,6,1,0,1,1,0,5,1,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
もいいです,4.29220510107209e-08,6,0,1,0,1,1,3,1,3,1,0,0,3,0,0,2,0,0,0,0,9,0,1,1,1,1,0,2,0,0,0,3,1,5,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
は良好です,4.284121693857e-08,0,3,5,1,0,0,9,3,6,1,0,0,1,0,0,0,0,1,3,0,2,1,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
は良く,4.09326930268527e-08,2,3,1,0,1,0,1,4,2,0,0,2,0,0,1,2,0,2,0,0,7,0,0,0,3,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
がいいので,3.95662920868699e-08,6,0,1,0,1,1,1,5,2,0,0,0,0,0,2,0,1,2,0,0,1,1,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
は良い,3.85252639188628e-08,4,2,1,0,1,0,7,3,2,0,1,0,2,0,0,0,0,3,1,0,7,2,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
が悪いです,3.81308479019056e-08,10,2,2,0,0,2,0,1,2,0,0,1,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
は良いです,3.80082447698078e-08,10,5,10,1,1,1,14,3,6,2,1,0,2,0,0,0,0,4,2,0,13,0,0,1,5,0,0,0,0,1,1,6,1,4,0,1,0,0,0,4,0,0,1,0,0,7,2,1,0,0,0,1,2,1,0,0,5,5,0,0,2,2,1,10,2,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0
はいいと,3.66828015603377e-08,0,4,3,0,0,2,0,0,9,0,0,0,6,0,0,2,0,2,0,0,11,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,3,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
が良いと,3.55344568640154e-08,2,9,6,0,0,1,1,1,2,0,0,0,1,1,0,2,0,2,0,0,13,0,2,0,4,0,0,0,1,0,0,1,0,1,0,0,0,1,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
も良い,3.54170765264442e-08,4,1,1,0,1,0,1,1,8,0,0,0,2,0,1,0,0,2,0,0,10,1,0,0,1,0,0,0,0,1,0,2,2,6,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,3,1,0,0,0,0,1,2,0,0,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
が良くて,3.53764791228808e-08,2,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
もいい,3.48952482111892e-08,0,2,1,0,0,0,3,0,5,1,0,0,2,1,2,0,0,3,0,0,4,2,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,3,0,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
が高い,3.48711472532811e-08,0,2,0,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0,1,1,0,0,0,4,0,0,0,0,0,6,1,0,0,9,0,1,0,2,0,14,5,0,0,0,0,0,0,2,0,0,0,0,0,0,11,0,0,1,0,0,1,0,0,0,0,0,0,0,0,11,0,4,7,1,3,0,2,0,0,9
も高く,3.48559559163489e-08,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,7,0,0,0,4,0,0,0,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,1,0,0,0
も良いので,3.47960651813562e-08,4,3,0,0,0,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
のある,3.47423318352214e-08,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,1,0,2,2,0,0,0,0,0,0,0,0,0,7,0,0,6,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,5,0,0,1,0,0,0,0,3,0
は良いと,3.47279482427717e-08,8,8,5,0,1,1,4,12,10,0,1,0,11,0,0,1,0,5,0,0,19,1,0,2,0,0,2,0,0,0,1,1,1,4,0,0,0,3,0,8,0,0,0,0,1,2,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,2,1,0,0,2,1,0,0,1,0,3,0,0,0,0,0,0
はいいですね,3.46594820315021e-08,2,2,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,4,0,0,2,1,0,0,0,0,0,0,0,0,3,0,0,1,1,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
の悪い,3.46222683874738e-08,0,0,0,0,0,0,0,0,1,0,1,0,0,0,3,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
の高い,3.39686458460893e-08,0,2,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,2,0,0,0,1,0,0,0,0,0,5,0,0,0,5,0,1,0,1,0,36,11,0,0,0,0,0,0,1,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,2,37,0,12,45,0,7,0,3,0,0,1
が良くない,3.30709315028971e-08,5,1,1,0,0,1,2,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
が悪いので,3.30579407610641e-08,5,1,0,0,0,1,0,2,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
が高いので,3.23753448993105e-08,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,2,0,0,0,0,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,0,0,0,1,0,0,2
が感じます,3.222539413915e-08,2,3,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
がいいと,3.19285036366227e-08,2,4,3,0,0,0,1,1,0,0,0,0,1,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
は感じです,3.13138080212082e-08,2,0,0,0,0,1,3,2,3,1,2,1,5,0,0,0,0,1,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,1,0,0,1,1,0,0,1,2,1,1,0,0,1,1,0,0,0,0,0,4,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
はありません,3.13082023813878e-08,9,0,4,0,1,0,9,11,11,1,0,0,0,0,0,1,1,6,1,0,18,0,0,1,4,0,0,0,0,2,2,2,0,2,1,1,0,1,0,0,0,0,0,0,1,1,3,0,0,0,0,0,1,0,1,2,1,9,1,0,6,6,1,8,2,0,0,0,0,0,0,0,1,1,0,0,0,2,1,0
があります,3.08519625085812e-08,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,1,1,3,0,0,0,2,0,0,0,0,0,1,0,1,1,4,0,1,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10,0,1,0,0,0
が高く,3.08482991853842e-08,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8,1,0,0,6,0,0,0,1,0,4,1,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,2,1,1,0,0,0,0,2
も良いと,3.04603530098786e-08,1,11,1,0,0,0,0,2,6,0,1,0,4,0,0,0,0,2,0,0,6,0,0,2,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,2,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
はいいです,3.02317092708957e-08,1,0,3,1,0,0,2,10,4,1,0,0,3,0,0,1,0,7,0,0,11,0,0,0,0,0,0,1,0,0,1,0,0,5,3,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,2,2,0,1,0,0,0,0,3,0,0,4,2,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
も悪くなく,3.01053516427241e-08,0,1,1,0,0,0,1,1,1,1,1,0,1,0,0,0,0,1,0,0,3,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
もいいですね,3.00261604971969e-08,2,0,1,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
は悪いです,2.99923786212421e-08,6,1,0,0,0,0,1,5,3,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
があり,2.94036106363787e-08,0,0,0,0,0,0,2,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,4,0,0,0,0,0,0,1,0,1,0,1,0,0,8,0,4,0,2,4,0,0,0,0,0,0,0,1,1,0,5,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0
が高いです,2.93809167601587e-08,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,16,0,3,0,0,0,0,2
がよいです,2.89587608308468e-08,1,0,5,0,0,0,1,0,1,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
を考えると,2.8574248185953e-08,0,8,4,0,0,1,0,3,3,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,12,0,10,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,8,0,0,0,1,0,0,0,0,1,0,0,0,0,0,27
も満足しています,2.85599361709924e-08,1,1,0,0,0,0,2,0,2,4,0,0,1,0,0,0,0,1,0,1,11,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
といい,2.84092876029559e-08,0,0,0,2,0,0,2,1,1,2,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,2,0,1,0,1,0,0,0,2,0,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
にありません,2.77896231253281e-08,1,0,1,0,0,0,2,1,3,0,0,1,0,0,0,0,0,2,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
も気に入っています,2.73529378695306e-08,0,0,1,0,0,0,0,0,0,1,0,0,3,0,0,1,0,0,0,0,3,3,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
が良いのか,2.7274845547463e-08,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
が違います,2.72381002338814e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,2,0,0,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
もありません,2.70768691541377e-08,0,0,1,0,0,0,5,1,1,1,0,1,1,0,0,0,0,8,1,0,6,0,0,1,0,0,0,0,0,0,1,0,0,0,3,1,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
は高い,2.69206161032166e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,2,1,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,13,0,3,0,0,0,0,0
もよい,2.689460827413e-08,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
も良いですね,2.68850269639756e-08,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
は良いのですが,2.67496115100729e-08,1,0,0,0,1,0,3,5,4,0,1,0,2,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
がイマイチ,2.62889675878396e-08,0,0,0,1,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
も良いし,2.59665934023495e-08,3,0,0,1,0,0,0,1,1,0,0,0,2,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
もいいし,2.58626882186638e-08,0,0,1,0,0,0,0,4,0,2,1,0,3,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
もあります,2.57837724039395e-08,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
