"",weight,バランス,持ち,色乗り,使い勝手,レスポンス,評判,色のり,発色,気持ち,視認性,携帯性,写り,重量バランス,もち,相性,ホールド感,感度,操作性,色,ホールド性,描写,質,反応,デザイン,音,精度,取り回し,位置,出来,ヌケ,見た目,ボケ味,操作感,画質,描写力,感触,解像度,画像,条件,天気,配置,性能,AF精度,コントラスト,シャッター音,補正,切れ,電池持ち,色合い,カメラ,ボケ,質感,コストパフォーマンス,感じ,バッテリー,音質,グリップ感,レンズ,ホールド,・画質
も良いです,3.35465256428333e-10,4,5,2,1,0,0,0,4,0,0,2,0,0,1,3,4,0,9,0,0,3,0,1,2,0,1,1,0,0,0,0,2,0,5,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,2,0,1,1,0,1,0,0,0
がいいです,3.34589441831736e-10,3,6,2,12,0,0,1,0,9,1,1,1,1,0,0,1,0,3,1,0,1,0,1,0,2,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,1,0,2,0,0,1,0,0,0
が良い,3.04566541353182e-10,14,24,1,17,8,1,0,0,7,2,6,4,0,1,2,3,0,4,1,1,0,0,0,7,0,2,0,0,1,0,0,0,1,24,0,2,1,1,1,2,0,2,0,1,0,0,1,0,0,0,1,4,5,4,1,1,1,1,1,2
も良好です,2.98126729145995e-10,0,1,1,1,2,0,1,0,0,0,0,0,1,0,0,2,1,3,0,0,1,0,0,0,0,0,0,0,0,0,1,2,1,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
が悪いと,2.97716203194022e-10,4,6,1,1,0,0,0,0,0,1,2,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,4,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
がよい,2.95728554158815e-10,3,6,0,6,0,0,0,0,2,0,3,0,0,1,1,0,0,2,0,0,0,0,0,1,2,1,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,4,0,0,0,1,0,0,0,0,0,1,3,0,0,0,0,0,1,1
が良いので,2.87628279419932e-10,2,2,0,3,1,6,0,1,0,0,1,1,0,0,1,3,1,2,1,1,2,0,0,2,0,1,1,0,0,0,0,0,0,5,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
は良好です,2.73362853508129e-10,3,0,1,5,0,0,0,1,0,0,3,1,1,0,0,9,0,6,1,3,0,0,0,1,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
がいい,2.67707022242538e-10,4,10,0,1,1,3,0,3,9,0,1,5,0,1,0,1,0,1,2,1,1,0,0,1,0,0,0,0,0,0,2,0,2,9,0,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,2,4,1,1,0,0,1,1,0,2
の悪い,2.66219709450835e-10,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,4,1,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
もいいです,2.51026650699557e-10,0,6,0,1,1,0,0,1,0,0,1,0,1,1,2,3,0,3,0,0,1,0,0,3,0,1,0,1,0,0,2,3,1,9,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,1,1,0,0,0,0
は良く,2.48266594822229e-10,3,2,0,1,1,1,0,0,0,2,4,2,0,0,2,1,0,2,0,0,3,0,0,0,1,0,0,0,0,0,0,0,1,7,1,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0
がいいので,2.45747708341484e-10,0,6,0,1,1,2,0,0,1,0,5,2,0,1,0,1,0,2,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
は良い,2.42622824023696e-10,2,4,0,1,1,0,1,0,0,0,3,3,0,0,0,7,0,2,2,1,1,0,0,2,0,0,0,0,0,1,0,0,1,7,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0
が悪いです,2.39907069676321e-10,2,10,0,2,0,0,0,0,0,1,1,0,0,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
もいい,2.26967318034106e-10,2,0,0,1,0,2,0,1,0,0,0,3,0,0,0,3,1,5,2,0,1,0,0,2,0,0,0,0,0,0,1,2,0,4,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,2,0,1,0,0,0,0,3,1,0
も良いので,2.25024682048104e-10,3,4,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,1,0,0,1,0,0,0,0,2,0,0,0,0,1,2,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
が良くて,2.23929811791999e-10,1,2,1,1,1,0,0,0,0,0,1,2,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
は良いです,2.22594438077491e-10,5,10,1,10,1,0,1,2,0,0,3,4,0,1,0,14,0,6,0,2,5,0,0,2,0,1,0,0,1,0,0,0,1,13,1,6,1,2,0,0,0,0,1,0,0,0,0,0,0,2,1,4,4,3,5,0,1,10,5,0
はいいと,2.18414473957151e-10,4,0,0,3,0,0,0,0,0,0,0,2,0,2,2,0,0,9,0,0,0,0,0,6,0,1,1,1,1,0,0,0,0,11,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,2,1,1,0,0,0,3,0,1
の高い,2.1652558799006e-10,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,1,11,0,0,0,0,0,0,0,5,36,0,0,0,0,0,0,0
が良くない,2.1142470923475e-10,1,5,0,1,0,0,0,1,1,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
が悪いので,2.11330060744892e-10,1,5,0,0,0,0,0,0,0,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
が感じます,2.10801228681287e-10,3,2,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0
が良いのか,2.10257161440921e-10,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
が良いと,2.08674754942157e-10,9,2,0,6,0,0,0,0,0,0,1,2,2,1,2,1,1,2,0,0,4,0,0,1,1,0,0,0,1,0,0,0,0,13,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,2,0,0,0,0,2,0,0
を考えると,2.07295514139521e-10,8,0,0,4,0,0,0,0,0,0,3,0,1,1,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,12,0,0,0,1,0,0,0,0,0,0,10,0,0,0,0,0,0,0
がいいと,2.05961852844124e-10,4,2,0,3,0,0,0,0,0,0,1,1,0,0,2,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
もいいですね,2.02256705329295e-10,0,2,1,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
はいいですね,1.96981328934291e-10,2,2,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,3,1,1,0,1,1,1,1
もよい,1.94654213252791e-10,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
が高い,1.94422827895304e-10,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,3,0,1,0,1,0,0,0,4,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,2,1,5,0,0,0,0,0,1,0,9,14,0,1,0,0,0,0,0
がよいです,1.94010594702595e-10,0,1,0,5,0,1,0,0,2,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
は良いと,1.9221664244339e-10,8,8,0,5,1,0,1,0,0,0,12,5,0,1,1,4,0,10,1,0,0,0,2,11,0,2,0,0,0,0,0,0,1,19,1,1,0,0,0,0,0,3,0,0,0,1,0,0,1,1,0,4,8,1,1,0,0,2,1,0
があります,1.92189199662413e-10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,1,1,0,0,2,0,0,0,0,1,0,0,0,1,3,0,5,0,0,0,0,1,0
も良い,1.91363205700161e-10,1,4,0,1,1,1,0,0,0,0,1,2,0,0,0,1,0,8,1,0,1,0,0,2,0,0,0,0,0,0,0,0,2,10,0,2,1,1,0,0,0,0,0,0,1,0,0,1,1,0,1,6,0,0,0,0,2,1,0,1
も高く,1.8946227488504e-10,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,5,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0
も良いと,1.89292716682934e-10,11,1,0,1,0,0,1,0,0,0,2,2,0,0,0,0,0,6,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,6,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,3,2,0,0,0,0,0,1,0
は感じです,1.86670004061233e-10,0,2,0,0,0,0,2,1,0,1,2,1,0,1,0,3,0,3,1,0,0,0,0,5,0,0,0,1,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0,1,1,1,0,0,1,0,1,4,0,0,4,0,0,1,0,0
も悪くなく,1.85927626259706e-10,1,0,0,1,0,0,1,1,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
も良いですね,1.83017727313413e-10,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
にありません,1.78927250386311e-10,0,1,0,1,0,0,0,0,0,1,1,2,1,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
はいいです,1.78920046470602e-10,0,1,1,3,0,0,0,1,0,0,10,7,0,0,1,2,0,4,0,0,0,0,0,3,0,0,0,0,1,0,1,3,0,11,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,3,0,5,1,0,0,1,0,4,0,0
は悪いです,1.77680633643059e-10,1,6,0,0,0,0,0,1,0,0,5,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,1,0
のある,1.77133528586881e-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,4,1,2,0,0,0,0,0,0,0,0,7,7,0,0,0,0,2,0,0,0,0,0,0,0,0
もいいし,1.76698871627763e-10,0,0,0,1,0,0,1,2,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,3,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
が高いので,1.75953415405318e-10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
がイマイチ,1.75914531663193e-10,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
にある,1.75419823742111e-10,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,5,0,0,0,0,1,1,8,0,0,0,0,1,3,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,6,0,0
も気に入っています,1.75136731221978e-10,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,2,0,1,0,0,0,0,0,0
はありません,1.75015055162967e-10,0,9,0,4,1,0,0,1,1,0,11,6,0,0,1,9,0,11,0,1,4,0,0,0,0,1,0,0,0,0,0,1,0,18,2,2,2,3,0,0,0,1,1,0,0,1,0,1,0,6,0,2,0,6,9,2,1,8,1,0
も満足しています,1.73758508534813e-10,1,1,0,0,0,0,0,4,0,0,0,1,0,0,0,2,0,2,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,11,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0
もある,1.73151186428378e-10,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
といい,1.70951934491949e-10,0,0,2,0,0,0,0,2,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,0,0,4,1,0,0,0,0,1,0,0
があり,1.66354540889171e-10,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,4,0,0,1,2,4,0,1,0,0,0,5,0,0
もありません,1.66079428790646e-10,0,0,0,1,0,0,0,1,0,1,1,8,0,0,0,5,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,3,0,6,1,0,0,1,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,1,1,0,0,1,0,0
も良くて,1.63885422671824e-10,0,0,1,0,2,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
も良好,1.6386432349243e-10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
は良いのですが,1.62190094835832e-10,0,1,0,0,1,0,1,0,0,0,5,1,0,0,0,3,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
は落ちますが,1.61033882654683e-10,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
もあります,1.57911746900331e-10,0,2,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,0,0,0,0,0
も良いし,1.55157953451392e-10,0,3,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
を考えて,1.5428584762014e-10,2,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
がよいと,1.5428054660397e-10,0,0,0,1,0,0,0,0,0,0,1,2,0,1,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0
は良いようです,1.54275432596392e-10,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
が良くなりました,1.52419277290153e-10,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
がよいので,1.5120708219601e-10,0,2,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
は高い,1.51182696600209e-10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,0
が悪いのと,1.51000514787039e-10,0,3,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
が悪いのが,1.50934132174235e-10,0,3,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
が違います,1.50236384635416e-10,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
がなります,1.50186960248372e-10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0
で満足しています,1.49707563062815e-10,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,2,0,0,1,3,0,0,0,0,0,0
は方だと,1.49445992352053e-10,0,3,0,0,0,0,0,1,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
がいいですね,1.49005229263455e-10,1,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,2,0,1,0,0,0,2,0,0
が良いとは,1.48922530866863e-10,0,1,0,2,0,0,1,0,0,0,3,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
がよければ,1.48215397713409e-10,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
を上げる,1.4705492857842e-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
が悪いという,1.4589432999956e-10,0,3,0,0,0,0,0,0,0,0,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
が高く,1.44056541364006e-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,0,0,0,0,1,0,1,0,0,0,0,0,0,0,6,4,0,0,0,0,0,0,0
が高いです,1.44011270011921e-10,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0
は高いです,1.42695801588112e-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,1,0,0,0,0,0,2,4,0,0,0,0,1,0,0
はいい,1.42426576231986e-10,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,2,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
は満足しています,1.41895103739307e-10,0,0,0,1,0,0,0,0,0,1,2,3,0,0,0,0,0,1,0,0,2,0,1,2,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
に満足しています,1.4123429380432e-10,0,1,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1
