"",weight,色のり,持ち,色乗り,レスポンス,評判,バランス,視認性,重量バランス,携帯性,出来,写り,質,使い勝手,気持ち,位置,発色,反応,相性,感度,ヌケ,もち,音,ホールド感,描写,ホールド性,描写力,性能,ISO感度,条件,配置,天気,感触,デザイン,見た目,操作性,解像度,取り回し,腕,画像,操作感
も良くて,3.7963486967052e-10,0,0,1,2,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
が感じます,3.77487341512319e-10,0,2,0,0,0,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0
はいいですね,3.73790920126656e-10,0,2,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0
があります,3.72718556918566e-10,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,1,1
が良くない,3.67666583827058e-10,0,5,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
は良い,3.61898010447034e-10,1,4,0,1,0,2,0,0,3,0,3,0,1,0,0,0,0,0,0,1,0,0,7,1,1,1,1,0,0,0,0,0,2,0,2,1,0,0,0,1
があり,3.60473354710126e-10,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
もいいし,3.59601630533726e-10,1,0,0,0,0,0,0,0,4,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0
もいい,3.57717753875753e-10,0,0,0,0,2,2,0,0,0,0,3,0,1,0,0,1,0,0,1,0,0,0,3,1,0,0,0,0,0,1,0,0,2,1,5,0,0,0,0,0
は落ちますが,3.57437254300622e-10,0,1,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
を上げる,3.55045950402011e-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,1,0,0
も悪くなく,3.54804422451468e-10,1,0,0,0,0,1,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
がよいです,3.52529547015533e-10,0,1,0,0,1,0,0,0,0,0,0,0,5,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
は良いと,3.47702434816445e-10,1,8,0,1,0,8,0,0,12,0,5,0,5,0,0,0,2,1,0,0,1,0,4,0,0,1,3,0,0,0,0,1,11,0,10,0,0,0,0,1
は感じです,3.44377911207651e-10,2,2,0,0,0,0,1,0,2,0,1,0,0,0,1,1,0,0,0,0,1,0,3,0,0,0,1,0,0,0,0,0,5,0,3,0,0,0,1,0
がなります,3.43849638662633e-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,4,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
も良好,3.42760546068007e-10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,2,1,0,0,0,0
が高い,3.38706736461456e-10,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,0,0,0,0,0,0,0,3,6,0,0,0,0
といい,3.30407253124668e-10,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,1,1,1,0,0,0,0,0
もあります,3.27631327260284e-10,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
がよいので,3.27475161766408e-10,0,2,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
は良いです,3.26674319144158e-10,1,10,1,1,0,5,0,0,3,1,4,0,10,0,0,2,0,0,0,0,1,0,14,5,2,1,0,0,0,0,0,6,2,0,6,1,0,0,2,1
に満足しています,3.26372163479719e-10,1,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0
を上げると,3.24478245224434e-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
が違います,3.23973264002874e-10,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
が悪いのと,3.18248316263149e-10,0,3,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
はいいです,3.16249595167809e-10,0,1,1,0,0,0,0,0,10,1,7,0,3,0,0,1,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,3,1,4,0,0,0,0,0
がよければ,3.1468919545594e-10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0
も良いですね,3.13040382553235e-10,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
もある,3.10623935188356e-10,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
は悪いです,3.09030315644342e-10,0,6,0,0,0,1,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3,0,1,0,0,0
は満足しています,3.08333647860923e-10,0,0,0,0,0,0,1,0,2,0,3,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0
はよく,3.07445425006255e-10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0
が悪いのが,3.04390787571532e-10,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
になります,3.01473654096331e-10,0,0,0,0,0,1,0,0,0,0,3,0,0,2,0,3,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,1,1,0,0,0,0,5,0
にありません,3.00345169879107e-10,0,1,0,0,0,0,1,1,1,0,2,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,3,0
は良いようです,2.99389354389388e-10,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
も満足しています,2.93408111040903e-10,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0
もありますが,2.90305138327645e-10,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0
もあり,2.88441103817854e-10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
がなる,2.85356825179134e-10,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
は方だと,2.8457209437546e-10,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
が低い,2.84358366660774e-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,4,0,0,0,0
が良いとは,2.83990089982397e-10,1,1,0,0,0,0,0,0,3,0,1,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
もありません,2.83838507712741e-10,0,0,0,0,0,0,1,0,1,0,8,0,1,0,0,1,0,0,0,0,0,0,5,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0
がイマイチ,2.81189825091172e-10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
も良いので,2.78720457035471e-10,0,4,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1
はもの,2.78415594614428e-10,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
が良かったので,2.75724886842634e-10,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
にあり,2.74009197212643e-10,0,1,0,0,0,0,0,0,1,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1
がよくない,2.73677439769424e-10,0,2,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
がよいと,2.7270914795918e-10,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,1,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
は良いのですが,2.69766675012559e-10,1,1,0,1,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0
も良いし,2.66926918683719e-10,0,3,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0
にあります,2.65498691752383e-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
も高く,2.64830257632347e-10,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0
を考えて,2.64726249538805e-10,0,0,0,0,0,2,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,1,0,0,0
は違いますが,2.64180998222799e-10,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
が薄い,2.6176893987112e-10,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
は良かったです,2.60937080201638e-10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
が悪いのか,2.6090589479688e-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
も悪い,2.58810222092948e-10,0,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
が高く,2.57472322609559e-10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,8,0,0,0,0
をすると,2.57192371224265e-10,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
が悪かったので,2.56917504890641e-10,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
をする,2.56432235725498e-10,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,2,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
が良くなりました,2.56044673773418e-10,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
が良いという,2.55180373994833e-10,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
はありません,2.54965223239783e-10,0,9,0,1,0,0,0,0,11,0,6,0,4,1,0,1,0,1,0,0,0,0,9,4,1,2,1,0,0,0,0,2,0,0,11,2,0,0,3,0
は思います,2.53168291029114e-10,0,0,1,0,0,0,1,0,12,1,4,0,1,0,0,2,0,0,1,0,0,0,4,5,1,0,4,0,0,1,0,0,11,0,11,1,0,0,1,0
はします,2.53134104729552e-10,0,2,0,0,0,1,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,2,3,1,0,0,1,0,0,0,0,0,3,0,0,1,0,0,0,0
をします,2.53078102063078e-10,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,2,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
にない,2.52799753150908e-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,3,0,0,0,0,0,0,1,1,0,0,0,0,0
がいいですね,2.5265661638267e-10,0,0,0,0,0,1,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,4,0,1,0,0,0,1,0
のある,2.52575397803427e-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,1,0,0,2,0,0,0,0
はいい,2.51824649282867e-10,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0
と思います,2.5125571481209e-10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,2,0,0,0,0,0,7,0,0,0,0,0,0,0
は良いですが,2.50284475598262e-10,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0
も気に入っています,2.49337603424799e-10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0
も上々です,2.45847287407488e-10,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
を変えて,2.4547628958945e-10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0
が悪いという,2.44893280572769e-10,0,3,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
は思いますが,2.44173894099724e-10,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1,3,0,3,0,0,0,0,0
に優れ,2.43736415669794e-10,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
があると,2.41995814848903e-10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0
もいいので,2.41905635373794e-10,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0
はありませんでした,2.41898746358968e-10,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
も好きです,2.39328794997717e-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,6,0,0,0,0,0,0,0
が甘い,2.37087623869199e-10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
がありません,2.3696085311787e-10,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
が悪いような,2.35150988878937e-10,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
が高いので,2.3513095102278e-10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0
がない,2.34993446241041e-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0
もあって,2.34149871073817e-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
は感じました,2.34071170693781e-10,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0
はありますが,2.32976686711102e-10,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4,0,3,1,0,0,0,0
も良いと,2.32870011095571e-10,1,1,0,0,0,11,0,0,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,6,0,0,0,1,0
はよいです,2.32287005474008e-10,0,3,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0
を上げても,2.31768334709082e-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
がよくて,2.31377703765004e-10,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
は高いです,2.30929637284044e-10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0
で決めました,2.29467316781115e-10,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,2,0,0,0,0,0
