"",weight,バランス,持ち,色乗り,使い勝手,レスポンス,発色,評判,色のり,気持ち,相性,視認性,もち,ホールド感,携帯性,操作性,感度,色,重量バランス,描写,写り,デザイン,ホールド性,質,精度,音,反応,見た目,画質,描写力,取り回し,解像度,出来,ボケ味,位置,操作感,ヌケ,感触,性能,コントラスト,シャッター音,AF精度,画像,質感,コストパフォーマンス,配置,条件,天気,補正,色合い,ボケ,切れ,カメラ,電池持ち,感じ,使用頻度,レンズ,音質,ボケ具合,バッテリー,大きさ,解像感,液晶,グリップ感,ホールド,AF,重さ,フィーリング,満足度,・画質,値段
は良好です,1.52021591244633e-10,3,0,1,5,0,1,0,0,0,0,0,0,9,3,6,0,1,1,0,1,1,3,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
もいいです,1.4524195824743e-10,0,6,0,1,1,1,0,0,0,2,0,1,3,1,3,0,0,1,1,0,3,0,0,1,0,0,2,9,0,0,0,0,3,1,1,0,3,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,1,1,0,1,0,0,0,2,1,0,0,1
は良く,1.44201380384433e-10,3,2,0,1,1,0,1,0,0,2,2,0,1,4,2,0,0,0,3,2,0,0,0,0,1,0,0,7,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
がいいので,1.37265467746692e-10,0,6,0,1,1,0,2,0,1,0,0,1,1,5,2,0,1,0,1,2,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
の悪い,1.36835293731899e-10,0,0,0,0,0,0,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,4,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
は良い,1.36814892046174e-10,2,4,0,1,1,0,0,1,0,0,0,0,7,3,2,0,2,0,1,3,2,1,0,0,0,0,0,7,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
が悪いです,1.3038734977743e-10,2,10,0,2,0,0,0,0,0,0,1,2,0,1,2,1,0,0,0,0,0,0,0,0,0,0,1,4,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
もいい,1.29299884883773e-10,2,0,0,1,0,1,2,0,0,0,0,0,3,0,5,1,2,0,1,3,2,0,0,0,0,0,1,4,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,2,0,0,0,0,0,3,0,0,0,0,0,0,0,1,3,0,0,0,0,0
が良いと,1.26449740481109e-10,9,2,0,6,0,0,0,0,0,2,0,1,1,1,2,1,0,2,4,2,1,0,0,0,1,0,0,13,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,2,0,0,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
も良い,1.2615499395412e-10,1,4,0,1,1,0,1,0,0,0,0,0,1,1,8,0,1,0,1,2,2,0,0,0,0,0,0,10,0,0,1,0,0,0,2,0,2,0,0,1,0,1,6,0,0,0,0,0,1,1,0,0,1,0,0,1,0,2,0,0,0,0,2,0,0,3,1,0,1,0
が良くて,1.25529618555219e-10,1,2,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
はいいと,1.24760152117244e-10,4,0,0,3,0,0,0,0,0,2,0,2,0,0,9,0,0,0,0,2,6,0,0,1,0,0,0,11,0,1,0,1,0,1,0,0,0,3,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,1,0,3,0,0,0,1,0,0,0,0,0,0,0,0,1,1
は良いです,1.24080812394261e-10,5,10,1,10,1,2,0,1,0,0,0,1,14,3,6,0,0,0,5,4,2,2,0,1,0,0,0,13,1,0,1,1,0,0,1,0,6,0,0,0,1,2,4,4,0,0,0,0,0,1,0,2,0,3,0,10,0,0,5,2,1,7,1,5,2,2,1,0,0,0
も良いので,1.23313090184862e-10,3,4,0,0,0,0,0,0,0,0,0,0,4,1,1,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,2,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0
が高い,1.2224565852746e-10,2,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,0,0,0,0,1,1,4,0,0,0,0,1,0,6,0,0,0,0,0,0,2,5,0,1,0,9,14,0,0,0,0,0,0,0,1,0,0,11,0,0,0,1,0,2,0,0,0,0,0,0,7,0,9
はいいですね,1.19546341482484e-10,2,2,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,4,0,0,0,0,0,0,0,2,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3,0,0,0,2,0,0,0,1,0,1,0,1,0,1,1,0,0,0,1,1,0,0,0,0,1,0
の高い,1.1769903956072e-10,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,1,0,0,0,0,0,0,5,0,0,0,0,0,0,1,11,0,1,0,5,36,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,1,0,0,0,0,0,0,45,0,1
が感じます,1.16561082408279e-10,3,2,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
が良くない,1.15649817130315e-10,1,5,0,1,0,1,0,0,1,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
は良いと,1.15573225628648e-10,8,8,0,5,1,0,0,1,0,1,0,1,4,12,10,0,1,0,0,5,11,0,0,2,0,2,0,19,1,0,0,0,0,0,1,0,1,3,0,0,0,0,4,8,0,0,0,1,1,0,0,1,0,1,0,2,0,0,1,1,1,2,0,1,0,0,0,0,0,0
が悪いので,1.15273958498429e-10,1,5,0,0,0,0,0,0,0,1,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
も高く,1.15031669783603e-10,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,3,0,0,0,0,0,0,7,0,0,0,0,0,0,0,5,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
がいいと,1.1489261741799e-10,4,2,0,3,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
が高いので,1.13410584212273e-10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,3,0,0,0,0,2,0,2,0,0,0,0,0,0,0,2,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
が良いのか,1.1098241011636e-10,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
があります,1.09910990999321e-10,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,1,2,0,0,0,1,3,0,0,1,0,0,0,1,1,0,0,5,0,0,0,0,0,0,4,1,0,1,0,2,0,0,0,0
も悪くなく,1.09800933707247e-10,1,0,0,1,0,1,0,1,0,0,0,0,1,1,1,0,0,1,0,1,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
はいいです,1.08997658540384e-10,0,1,1,3,0,1,0,0,0,1,0,0,2,10,4,0,0,0,0,7,3,0,0,0,0,0,1,11,1,0,0,1,3,0,0,0,0,0,0,0,1,0,5,1,0,0,0,1,0,0,0,3,0,0,0,4,1,0,0,2,0,1,0,0,0,2,2,0,0,0
もいいですね,1.08921929804817e-10,0,2,1,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
は感じです,1.075369784287e-10,0,2,0,0,0,1,0,2,0,0,1,1,3,2,3,0,1,0,0,1,5,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,1,1,1,0,1,4,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,4,1,1,2,0,0,0,0,0,0,0,0
も良いと,1.07114160947547e-10,11,1,0,1,0,0,0,1,0,0,0,0,0,2,6,0,0,0,0,2,4,0,0,2,0,0,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,2,0,0,0,0,0
のある,1.05049798603608e-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,2,0,2,0,0,0,1,0,0,0,0,0,2,0,0,0,0,7,0,0,7,0,0,0,0,0,0,0,0,1,6,0,0,0,0,1,0,0,0,0
がよいです,1.03129977338376e-10,0,1,0,5,0,0,1,0,2,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
もよい,1.02580883356901e-10,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
も満足しています,1.02256756129873e-10,1,1,0,0,0,4,0,0,0,0,0,0,2,0,2,0,1,0,0,1,1,0,1,0,0,0,1,11,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,2,0,0,0,0,0
といい,1.01720100654538e-10,0,0,2,0,0,2,0,0,0,0,0,0,2,1,1,0,0,0,0,0,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,2,0,1,0,0,4,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,3,2,0,0,0,0,0,0,0,1
が高く,1.01510462711594e-10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,8,0,0,0,0,0,0,1,1,0,0,0,6,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,2,0,2
を考えると,1.00946056496842e-10,8,0,0,4,0,0,0,0,0,0,0,1,0,3,3,0,0,1,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,12,0,0,0,0,0,10,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,8,0,0,0,0,0,1,0,0,0,27
は悪いです,9.99656063286117e-11,1,6,0,0,0,1,0,0,0,0,0,0,1,5,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0
も良いですね,9.86017043820093e-11,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
も気に入っています,9.83850669412875e-11,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
にありません,9.79607261434091e-11,0,1,0,1,0,0,0,0,0,0,1,0,2,1,3,0,0,1,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
もいいし,9.74915005308744e-11,0,0,0,1,0,2,0,1,0,0,0,0,0,4,0,0,1,0,0,0,3,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
もある,9.60205287164174e-11,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
はありません,9.58870685913535e-11,0,9,0,4,1,1,0,0,1,1,0,0,9,11,11,0,0,0,4,6,0,1,0,1,0,0,0,18,2,0,2,0,1,0,0,0,2,1,0,0,1,3,2,0,0,0,0,1,0,0,0,6,1,6,1,8,2,0,9,2,0,1,1,1,6,1,0,1,0,0
がイマイチ,9.50856781578729e-11,0,0,1,0,0,0,0,0,0,0,0,2,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
が高いです,9.37596858346553e-11,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,16,0,2
にある,9.30601366061611e-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,2,0,0,0,1,0,0,0,3,3,1,0,0,0,8,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,2,0,0,1,1,0,0,0,0
は良いのですが,9.19846342456112e-11,0,1,0,0,1,0,0,1,0,0,0,0,3,5,4,0,0,0,0,1,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0
があり,9.10446139060643e-11,0,0,0,0,0,1,0,0,1,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,1,0,2,4,1,0,1,0,5,0,0,0,1,8,0,0,0,1,4,0,0,0,0
もあります,9.086667015229e-11,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,1,3,0,0,0,1,1,0,0,0,1
は落ちますが,9.05724878750399e-11,0,1,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,5,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
も良好,8.96579332484207e-11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
が違います,8.9630877611e-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,1,0,0,0,0,2,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
もありません,8.94598516454248e-11,0,0,0,1,0,1,0,0,0,0,1,0,5,1,1,0,0,0,0,8,1,1,0,1,0,0,0,6,1,0,0,0,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,1,0,1,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0
は高い,8.94389965822405e-11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,1,0,0,0,0,0,13,0,0
が低い,8.83616531093029e-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,4,0,0,0,0,0,0,3,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
がいいですね,8.79672007433313e-11,1,0,0,4,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,2,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
も良くて,8.70753133534481e-11,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
がよいと,8.66144732024832e-11,0,0,0,1,0,0,0,0,0,1,0,1,3,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
も高い,8.63524281328685e-11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0
を考えて,8.59350735026973e-11,2,0,0,1,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
も良いし,8.54280698170736e-11,0,3,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,2,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
がなります,8.49405460564373e-11,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,2,0,0,0,0,0,1,0,0,0,0
