"",weight,が良く,の良い,も良く,がよく,が悪い,もよく,が良いです,の高い,も良いです,が高い,が良い,のよい,が悪く,がいいです,がよい,がいい,が高く,が良いので,も高く,もいいです,は良いです,が高いです,も良好です,が高いので,が悪いと,は良く,は良好です,も良い,のある,がいいので,は良いと,は良い,もいい,が良いと,も良いので,が良くて,はいいですね,が悪いです,も良いと,は高い,はいいと,はありません,が高いと,はいいです,が感じます,があります,は高く,は感じです,があり,の悪い,といい,も高い,は最高です,も満足しています,は高いと,が良くない,もありません,が悪いので,は良いのですが,が違います,がいいと,を考えると,が低い,も悪くなく,にありません,は悪いです,も気に入っています,もあり,もいいですね,にある,は落ちますが,がいいですね,がよいです,はあり,もある,にあり,がある,も良いし,がイマイチ,が違う,も含めて,が良いのか,はよいと,も良いですね,がよいと,はよいです,もあります,もなく,はいい,になります,は抜群です,もいいし,はあります,もあって,になる,もいいと,はよく,は満足しています,は思います,もよい
精度,6.0646050115747e-10,2,2,1,0,2,0,0,1,1,4,2,0,0,0,1,0,0,1,3,1,1,1,0,3,0,0,0,0,0,0,2,0,0,0,2,0,0,0,2,2,1,1,0,0,0,1,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
デザイン,6.02833619372961e-10,3,1,7,1,0,1,2,0,2,0,7,0,0,0,1,1,0,2,0,3,2,0,0,0,0,0,1,2,1,0,11,2,2,1,0,0,0,0,4,0,6,0,0,3,0,0,1,5,0,0,1,0,2,1,0,0,1,0,2,0,1,0,0,1,0,0,3,0,0,0,0,4,0,5,0,0,0,2,0,0,2,0,3,0,0,1,0,0,0,1,0,3,2,1,0,5,1,2,11,0
写り,5.96505317117562e-10,4,7,4,0,2,1,1,0,0,0,4,1,0,1,0,5,0,1,1,0,4,0,0,0,1,2,1,2,0,2,5,3,3,2,0,2,4,0,2,0,2,6,0,7,0,0,0,1,0,0,0,0,4,1,0,0,8,0,1,4,1,0,0,1,2,0,0,0,0,2,0,0,0,2,0,4,0,1,0,1,0,0,2,0,2,0,1,0,1,3,0,0,1,0,3,1,0,3,4,1
相性,5.90414819432179e-10,1,1,3,0,0,0,2,0,3,0,2,0,0,0,1,0,0,1,0,2,0,0,0,0,0,2,0,0,0,0,1,0,0,2,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0
色のり,5.77139593927568e-10,1,1,0,2,0,6,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
コストパフォーマンス,5.69094704018909e-10,1,5,1,0,0,1,0,36,0,14,5,0,0,0,3,1,4,0,4,0,4,4,0,2,0,0,0,0,0,1,8,0,1,2,0,0,3,0,2,2,1,0,6,1,0,0,0,0,0,0,1,3,9,0,24,0,0,0,0,0,0,10,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,0,0,0,0,2,0,0,0,0,1,0,0,2,0
評判,5.68434438100868e-10,0,14,0,1,0,0,0,3,0,0,1,3,0,0,0,3,0,6,0,0,0,0,0,0,0,1,0,1,0,2,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
解像度,5.67236414981217e-10,0,0,1,0,1,1,0,5,0,6,1,0,0,0,0,0,8,0,7,0,1,2,0,2,2,1,0,1,2,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,4,0,1,0,0,2,0,0,0,0,0,1,0,1,0,0,4,0,0,0,0,1,0,0,1,0,0,1,0,0,3,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
質感,5.45896796891607e-10,5,1,5,1,1,2,2,5,2,9,4,0,0,1,1,4,6,0,4,5,4,2,2,0,0,0,1,6,2,0,4,0,0,1,0,1,1,0,3,2,2,2,2,5,1,3,0,4,4,0,4,0,4,1,2,0,0,0,1,1,0,0,1,1,0,0,2,3,0,1,1,2,0,1,0,0,1,0,0,1,3,0,0,0,0,1,2,1,0,0,0,0,6,0,0,1,0,0,2,0
もち,5.45735933496006e-10,0,0,0,0,7,0,1,0,1,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,2,2,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
視認性,5.33950218800456e-10,0,2,2,1,1,0,0,0,0,0,2,0,2,1,0,0,0,0,1,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
気持ち,5.33729089219687e-10,0,13,0,1,0,0,2,0,0,0,7,3,0,9,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
画質,5.24715245765551e-10,6,2,14,1,12,11,6,0,5,0,24,1,0,6,1,9,0,5,0,9,13,0,2,0,4,7,2,10,0,1,19,7,4,13,0,2,2,4,6,0,11,18,0,11,0,1,2,2,1,2,3,0,7,11,0,1,6,2,4,2,1,2,1,3,3,3,3,1,1,3,5,1,0,8,0,1,0,2,1,3,1,1,1,0,0,2,0,5,3,5,1,2,6,0,3,2,2,8,28,0
感度,5.24412908063781e-10,2,1,0,0,2,0,0,2,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
コントラスト,5.08125261154556e-10,0,1,1,1,0,0,0,11,0,5,1,0,0,3,0,0,1,0,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
質,5.0370409108732e-10,1,4,1,0,2,0,1,2,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
描写,4.97679799246485e-10,1,2,6,0,0,0,0,0,3,0,0,0,0,1,0,1,0,2,0,1,5,0,1,0,0,3,0,1,0,1,0,1,1,4,1,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,5,0,0,0,4,3,0,0,0,0,0,2,0,0,0,0,0,0,1,1,7,0,0,5,0,2,2,1,2,5,1
満足度,4.85713449161911e-10,0,0,0,0,0,0,0,45,0,7,0,0,0,0,0,0,2,0,0,0,0,16,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,1,3,0,0,0,6,0,0,0,0,3,3,0,10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
性能,4.82933573449367e-10,0,5,3,0,0,0,0,1,0,2,2,0,0,0,4,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,1,0,2,0,0,0,0,3,1,1,0,1,2,1,1,0,0,2,0,0,0,2,0,0,0,0,0,0,12,3,0,1,0,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,1,0,4,0
描写力,4.79931611791865e-10,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,1,2,0,1,0,0,4,2,1,1,0,0,0,0,3,0,0,0,0,2,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,3,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
感触,4.76801184915957e-10,1,0,0,0,0,1,2,0,1,0,2,0,0,0,1,1,0,0,0,3,6,0,0,0,0,0,0,2,1,0,1,0,0,1,1,1,0,1,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
色,4.71126762594569e-10,0,0,1,0,2,0,0,0,0,0,1,0,1,1,0,2,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,5,0,1,0,0,1,0,0,0,1,0
ホールド性,4.70077032871679e-10,4,0,0,1,2,0,2,0,0,1,1,0,1,0,0,1,0,1,0,0,2,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
重量バランス,4.61748588447926e-10,3,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
見た目,4.54352375380529e-10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,1
操作感,4.39696878682331e-10,0,0,0,0,0,2,0,0,0,0,1,0,0,0,1,2,0,0,0,1,1,0,1,0,0,1,2,2,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
使用頻度,4.32895874621702e-10,0,0,0,0,0,0,0,10,0,11,0,0,0,0,0,0,2,0,1,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ボケ味,4.30184914806258e-10,0,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,2,0,0,0,2,0,2,0,1,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0
シャッター音,4.27991604709141e-10,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
解像感,4.25839323520939e-10,0,0,2,0,1,1,0,1,1,2,0,0,1,0,0,0,2,0,0,0,1,2,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,4,1,1,8,0,3,3,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,2,1,0,0,0,0,0,0
反応,4.19897834881119e-10,1,2,0,1,2,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
完成度,4.19093479531585e-10,0,0,0,0,0,0,0,37,0,11,0,0,0,0,0,0,4,0,3,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,1,1,1,0,0,0,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
音,4.06695780603171e-10,0,0,1,0,1,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
AF精度,4.03980652969243e-10,0,1,1,0,2,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
位置,3.77815099705363e-10,0,0,0,0,5,1,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
取り回し,3.7621152783861e-10,0,0,2,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ヌケ,3.7098948934721e-10,2,5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
出来,3.62788981904402e-10,0,5,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
評価,3.5730200877647e-10,0,1,0,0,0,0,0,12,0,4,0,0,0,0,0,0,4,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,4,0,0,0,0,2,0,0,0,0,0
価格,3.53542801260325e-10,0,0,0,0,0,0,0,0,0,9,0,0,0,0,1,0,1,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,1,3,0,0,0,0,0,0,45,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0
色合い,3.50800234894441e-10,0,1,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,4,2,0,0,0,0,1,0,1,0,1,0,0,1,1,2,0,0,0,3,0
レンズ,3.49462232476496e-10,1,5,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,10,0,0,0,0,1,0,1,0,0,2,1,3,2,0,1,1,0,0,1,3,8,0,4,1,0,0,1,5,2,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,6,0,2,0,5,1,3,5,0,0,0,2,0,0,0,1,2,0,1,0,3,0,0,4,0,0,0,1,1,6,0
補正,3.4444843012404e-10,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,7,0,1,0,0,1,0,0,2,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0,1,0,4,0,0,0,0,0,1,1,0,5,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,1,0,0,0,0,3,1
切れ,3.43993241710703e-10,3,4,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ボケ,3.42327053299218e-10,0,0,4,0,0,0,1,0,1,0,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,2,0,0,1,0,0
値段,3.41414648010314e-10,0,0,0,0,0,0,1,1,0,9,0,0,0,0,0,0,2,0,0,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,2,0
