"",weight,持ち,色乗り,バランス,レスポンス,評判,気持ち,発色,色のり,視認性,使い勝手,感度,相性,ホールド感,重量バランス,携帯性,操作性,ホールド性,描写,写り,もち,音,反応,質,色,出来,位置,ボケ味,ヌケ,取り回し,見た目,操作感,画像,解像度,配置,天気,感触,描写力,デザイン,精度,条件,カメラ,画質,シャッター音,AF精度,補正,切れ,バッテリー,感じ,電池持ち,レンズ
も良いので,3.98802702932505e-10,4,0,3,0,0,0,0,0,0,0,0,0,4,0,1,1,0,1,0,0,0,0,0,0,0,0,2,0,0,1,1,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0
もいい,3.95347767567536e-10,0,0,2,0,2,0,1,0,0,1,1,0,3,0,0,5,0,1,3,0,0,0,0,2,0,0,2,0,0,1,0,0,0,1,0,0,0,2,0,0,0,4,1,0,0,0,0,0,0,3
が良いのか,3.94056670354115e-10,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
を考えると,3.86272569565865e-10,0,0,8,0,0,0,0,0,0,4,0,0,0,1,3,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,1,0,0,0,0,0
が良くない,3.82123321324791e-10,5,0,1,0,0,1,1,0,0,1,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0
が悪いので,3.81783952962661e-10,5,0,1,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0
もよい,3.68582005515317e-10,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
が高い,3.66077231456553e-10,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,4,0,1,0,0,1,0,0,1,0,0,0
もいいですね,3.65035906298825e-10,2,1,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
はいいと,3.58264495730471e-10,0,0,4,0,0,0,0,0,0,3,0,2,0,0,0,9,0,0,2,2,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,6,1,0,1,11,0,0,0,0,0,1,0,3
が感じます,3.57873393911361e-10,2,0,3,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
は良いです,3.56890543479906e-10,10,1,5,1,0,0,2,1,0,10,0,0,14,0,3,6,2,5,4,1,0,0,0,0,1,0,0,0,0,0,1,2,1,0,0,6,1,2,1,0,2,13,0,1,0,0,5,3,0,10
が良いと,3.55051684378639e-10,2,0,9,0,0,0,0,0,0,6,1,2,1,2,1,2,0,4,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,13,0,0,1,0,0,0,0,2
がよいです,3.5382883818538e-10,1,0,0,0,1,2,0,0,0,5,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
がいいと,3.51868495873534e-10,2,0,4,0,0,0,0,0,0,3,0,2,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1
は感じです,3.40070174081719e-10,2,0,0,0,0,0,1,2,1,0,0,0,3,0,2,3,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,2,1,0,1,0,4,0,0,1
があります,3.31889089928268e-10,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,5,0,0
のある,3.30936463563988e-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,1,4,1,0,0,0,0,0,0,7,7,0,0,0,0
も良いですね,3.29996056477176e-10,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
にある,3.27800700666091e-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,2,0,0,0,0,0,0,8,0,0,1,0,1,0,0,1,0,0,3,0,1,0,0,3,0,0,0,0,0,1,0,6
も悪くなく,3.27541505353434e-10,0,0,1,0,0,0,1,1,0,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0
にありません,3.19215795319055e-10,1,0,0,0,0,0,0,0,1,1,0,0,2,1,1,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,1
もある,3.19047473956888e-10,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1
もいいし,3.16613165418044e-10,0,0,0,0,0,0,2,1,0,1,0,0,0,0,4,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0
は良いと,3.14922800232179e-10,8,0,8,1,0,0,0,1,0,5,0,1,4,0,12,10,0,0,5,1,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,11,2,0,1,19,0,0,1,0,1,1,0,2
は悪いです,3.07165466152247e-10,6,0,1,0,0,0,1,0,0,0,0,0,1,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,1,0,3,0,0,0
があり,3.05168096738911e-10,0,0,0,0,0,1,1,0,0,0,1,0,2,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,4,0,1,0,5
も良い,3.04771446731204e-10,4,0,1,1,1,0,0,0,0,1,0,0,1,0,1,8,0,1,2,0,0,0,0,1,0,0,0,0,0,0,2,1,1,0,0,2,0,2,0,0,0,10,1,0,0,0,0,0,1,1
も気に入っています,3.04214053020651e-10,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,3,2,0,0,1,0,1,0,0
はいいです,3.0065092214458e-10,1,1,0,0,0,0,1,0,0,3,0,1,2,0,10,4,0,0,7,0,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,1,3,0,0,3,11,0,1,1,0,0,0,0,4
といい,3.00636725934573e-10,0,2,0,0,0,0,2,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,3,1,0,0,0,0,0,0,1
も良くて,2.97658142229191e-10,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0
も良いと,2.93530707007497e-10,1,0,11,0,0,0,0,1,0,1,0,0,0,0,2,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,4,2,0,0,6,0,0,1,0,0,0,0,0
もあります,2.88354600272422e-10,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0
はいいですね,2.85136878255013e-10,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,1,2,0,0,2,0,1,1,0,1
も高く,2.84030113433543e-10,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
が悪いのと,2.83236729007596e-10,3,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
も満足しています,2.82458365252061e-10,1,0,1,0,0,0,4,0,0,0,0,0,2,0,0,2,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,11,1,1,1,0,0,0,0,0
も良好,2.81872254163173e-10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
がイマイチ,2.78592328654265e-10,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
もありません,2.77257795935795e-10,0,0,0,0,0,0,1,0,1,1,0,0,5,0,1,1,1,0,8,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,1,1,1,0,1,6,0,1,2,0,1,1,0,1
は良いようです,2.76445067494357e-10,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
は良いのですが,2.76003433972382e-10,1,0,0,1,0,0,0,1,0,0,0,0,3,0,5,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0
がなります,2.75728030562038e-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
も良いし,2.75616799153118e-10,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,2,0,1,0,0,0,0,0,0
は落ちますが,2.71892862286657e-10,1,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0
がよいので,2.71396024720601e-10,2,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
が高いので,2.70721374604808e-10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,3,0,0,0,0,1,0,0,0,0,0,0
はありません,2.69360523325471e-10,9,0,0,1,0,1,1,0,0,4,0,1,9,0,11,11,1,4,6,0,0,0,0,0,0,0,1,0,0,0,0,3,2,0,0,2,2,0,1,0,6,18,0,1,1,0,9,6,1,8
が悪いのが,2.68737132878894e-10,3,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
は方だと,2.63923550817984e-10,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0
がよいと,2.62517899128276e-10,0,0,0,0,0,0,0,0,0,1,0,1,3,0,1,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
で満足しています,2.61076526318503e-10,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,8,0,0,0,0,0,3,0,0
が良いとは,2.59032658588839e-10,1,0,0,0,0,0,0,1,0,2,0,0,1,0,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
が良くなりました,2.5876356159122e-10,0,0,1,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0
がよければ,2.57743959732387e-10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,0,0,0,0,0,0,0,0
が違います,2.53208551962336e-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0
がいいですね,2.52636338316723e-10,0,0,1,0,0,1,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,4,0,0,0,1,2,0,0,0,0,1,0,2
はいい,2.51537369634563e-10,1,0,1,1,0,0,0,0,0,0,0,0,2,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,3,1,0,0,0,0,0,0,0
を考えて,2.50621099127568e-10,0,0,2,0,0,0,0,0,0,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
は最高です,2.50393645667865e-10,1,0,0,0,0,0,2,0,0,2,0,1,0,0,1,1,0,1,4,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,7,0,0,0,0,0,2,0,0
はよく,2.4776780652354e-10,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,1
がよくない,2.4630301433906e-10,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
は高いです,2.42747664633464e-10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1
が悪いという,2.42180865350703e-10,3,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0
にあり,2.41435513633199e-10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,4,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,3
もきれいで,2.40754065105883e-10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
もあって,2.39555822373162e-10,0,0,0,0,0,0,1,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,3,0,0
は満足しています,2.39326994046298e-10,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,1,0,2,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,8,0,0,0,0,0,0,0,1
になり,2.39121495891942e-10,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0
が好きです,2.35460292689707e-10,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0,8,0,0
をします,2.35312460551766e-10,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,15,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
は良いですが,2.3484537615883e-10,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,1,0,0,0,0,0
も好きです,2.34430781212175e-10,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0
が良いという,2.32502780578438e-10,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
は感じますが,2.32328036996121e-10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
は抜群です,2.32117422155592e-10,1,0,1,0,0,0,0,0,0,0,0,1,4,0,17,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
は違いますが,2.31030704346923e-10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
で決めました,2.29748159447326e-10,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,6,0,0,0,0,0,0,0,0,0,0,0,1
も抜群です,2.289918377781e-10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
がありません,2.28885302695763e-10,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
は感じました,2.28805387511062e-10,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0
は良かったです,2.27652556064161e-10,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
はもの,2.27220757248083e-10,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
もいいので,2.27022301785636e-10,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0
は良いので,2.25780431469845e-10,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
