"",weight,が良く,の良い,がよく,のよい,が悪い,が悪く,が良いです,もよく,も良く,も良いです,がいいです,が良い,が悪いと,がよい,も良好です,が良いので,は良好です,がいい,の悪い,は良く,もいいです,がいいので,が悪いです,は良い,が悪いので,が良くて,も良いので,のある,はいいと,は良いです,を考えると,が高い,が良くない,もいい,も高く,が感じます,の高い,が高いので,が良いと,がいいと,もいいですね,が良いのか,があります,はいいですね,は良いと,がよいです,も良い,もよい,も良いですね,にありません,は感じです,があり,が高く,がイマイチ,にある,も悪くなく,はありません,も良いと,が高いです,は悪いです
携帯性,5.10177484448086e-09,2,11,0,0,3,2,5,6,12,2,1,6,2,3,0,1,3,1,0,4,1,5,1,3,2,1,1,0,0,3,3,1,0,0,1,0,0,1,1,1,1,0,0,0,12,0,1,0,0,1,2,0,0,0,0,1,11,2,0,5
写り,5.08195420089502e-09,4,7,0,1,2,0,1,1,4,0,1,4,1,0,0,1,1,5,0,2,0,2,0,3,0,2,0,0,2,4,0,0,0,3,1,0,0,0,2,1,0,0,0,4,5,0,2,1,0,2,1,0,0,0,2,1,6,2,0,0
重量バランス,5.06991119883768e-09,3,0,2,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
もち,5.03823531778816e-09,0,0,0,0,7,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,1,2,0,1,1,0,0,2,1,1,0,1,0,0,1,0,0,1,0,0,0,0,2,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0
相性,5.02955093239317e-09,1,1,0,0,0,0,2,0,3,3,0,2,0,1,0,1,0,0,0,2,2,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ホールド感,4.99381900110201e-09,5,3,1,0,5,3,2,5,6,4,1,3,0,0,2,3,9,1,0,1,3,1,0,7,0,1,4,0,0,14,0,1,2,3,0,1,0,0,1,1,0,0,1,0,4,1,1,0,0,2,3,2,1,1,0,1,9,0,0,1
感度,4.97145755340256e-09,2,1,0,0,2,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
操作性,4.84099595432299e-09,8,4,3,0,6,0,4,5,12,9,3,4,0,2,3,2,6,1,1,2,3,2,2,2,0,0,1,0,9,6,3,3,1,5,0,0,0,0,2,0,0,0,0,1,10,1,8,0,0,3,3,1,1,1,1,1,11,6,0,3
色,4.7197133158927e-09,0,0,0,0,2,1,0,0,1,0,1,1,0,0,0,1,1,2,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0
ホールド性,4.7154596204018e-09,4,0,1,0,2,1,2,0,0,0,0,1,0,0,0,1,3,1,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
描写,4.6961546247358e-09,1,2,0,0,0,0,0,0,6,3,1,0,0,0,1,2,0,1,0,3,1,1,0,1,0,2,1,0,0,5,1,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,5,0,4,0,0,0
質,4.49909921487e-09,1,4,0,1,2,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
反応,4.48622336419746e-09,1,2,1,0,2,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
デザイン,4.36023006278564e-09,3,1,1,0,0,0,2,1,7,2,0,7,0,1,0,2,1,1,0,0,3,0,0,2,0,0,0,1,6,2,0,0,0,2,0,0,0,0,1,1,0,0,0,0,11,0,2,0,0,0,5,0,0,0,0,1,0,4,0,0
音,4.33666587058153e-09,0,0,0,0,1,1,0,0,1,0,2,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0
精度,4.18846756675426e-09,2,2,0,0,2,0,0,0,1,1,0,2,0,1,0,1,0,0,0,0,1,0,0,0,0,0,2,0,1,1,0,4,0,0,3,0,1,3,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,1,1,0,1,2,1,0
取り回し,4.0966541080947e-09,0,0,1,1,0,0,1,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
位置,4.09197471683802e-09,0,0,0,0,5,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,8,0,0,0,0,0
出来,4.08212861644644e-09,0,5,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ヌケ,4.06135703310128e-09,2,5,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
見た目,3.94263755554071e-09,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
ボケ味,3.8850674453796e-09,0,0,0,0,0,0,1,0,1,2,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
操作感,3.82950778480948e-09,0,0,0,0,0,0,0,2,0,0,0,1,0,1,1,0,2,2,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0
画質,3.82717718193267e-09,6,2,1,1,12,0,6,11,14,5,6,24,4,1,2,5,2,9,2,7,9,1,4,7,2,2,0,0,11,13,2,0,1,4,0,0,0,0,13,1,1,1,1,2,19,0,10,0,0,3,2,1,0,1,3,3,18,6,0,3
描写力,3.81495114471466e-09,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,2,0,1,0,0,0,4,0,1,1,1,0,0,0,1,0,2,0,0,0,0,0,3,1,0,0,0,0,0,0,0,1,0,3,0,2,0,0,0
感触,3.59551643504077e-09,1,0,0,0,0,0,2,1,0,1,0,2,0,1,0,0,0,1,0,0,3,0,1,0,0,1,1,1,0,6,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,2,1,0,1
解像度,3.56932199537657e-09,0,0,0,0,1,0,0,1,1,0,0,1,2,0,0,0,0,0,0,1,0,0,1,1,1,0,0,2,0,1,0,6,0,0,7,0,5,2,0,0,0,0,0,0,0,0,1,0,1,0,0,1,8,0,0,0,2,0,2,0
画像,3.46978675714499e-09,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,3,1,0,0,0,0,0,3,1,0,0
条件,3.46462474433694e-09,0,2,0,0,2,0,0,0,0,0,0,1,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
天気,3.45940169469588e-09,0,15,0,1,0,1,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
配置,3.34140305935249e-09,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
性能,3.31673666950516e-09,0,5,0,0,0,0,0,0,3,0,0,2,0,4,0,1,0,2,0,0,0,1,0,1,0,2,0,0,3,0,12,2,0,0,0,1,1,0,1,0,0,0,2,0,3,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0
AF精度,3.28207168115738e-09,0,1,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0
コントラスト,3.26370423164073e-09,0,1,1,0,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,1,11,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
シャッター音,3.23494560768382e-09,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
補正,3.16122919633106e-09,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,7,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,1,0,0,1,1,0,0,0,0,1,1,0,1
切れ,3.11989671073672e-09,3,4,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0
電池持ち,3.06664002596359e-09,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
色合い,2.96098764101746e-09,0,1,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
カメラ,2.92964687865405e-09,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,1,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,6,0,0,0
ボケ,2.92639213220711e-09,0,0,0,0,0,0,1,0,4,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0
質感,2.90064146745929e-09,5,1,1,0,1,0,2,2,5,2,1,4,0,1,2,0,1,4,0,0,5,0,0,0,0,1,0,2,2,4,0,9,0,0,4,1,5,0,1,0,0,0,3,1,4,0,6,0,0,0,4,4,6,0,1,1,2,3,2,0
コストパフォーマンス,2.8402008664418e-09,1,5,0,0,0,0,0,1,1,0,0,5,0,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,4,10,14,0,1,4,0,36,2,2,0,3,0,0,3,8,0,0,0,0,0,0,0,4,0,0,0,0,2,4,0
感じ,2.80329886540436e-09,0,0,0,0,0,0,1,0,0,1,2,4,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,5,1,1,1,0,0,0,0,0,1,0,0,1,0,6,0,0,0
バッテリー,2.73662154668885e-09,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,4,0,0,0,0,0,9,0,0,3
音質,2.73300209014306e-09,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
グリップ感,2.70092551004234e-09,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0
レンズ,2.64379681007098e-09,1,5,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,2,1,0,0,0,1,0,1,0,0,3,10,0,0,0,3,0,1,0,0,2,1,0,0,0,1,2,0,1,0,0,1,1,5,0,0,6,0,8,0,0,0
ホールド,2.53110843782882e-09,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
・画質,2.51118750207459e-09,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
大きさ,2.50408689786917e-09,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,2,1,0,0
重さ,2.48863852202678e-09,0,0,0,0,0,0,0,0,2,0,1,3,0,1,0,0,0,2,0,0,2,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,1,0,4,0,0,1,0,1,0,0,0
AF,2.48240995010315e-09,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,6,2,0,0
気分,2.47709318075406e-09,0,1,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
フィーリング,2.46526560346163e-09,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
使用頻度,2.45511905091667e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,0,0,1,0,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,4,0
キレ,2.44776310852665e-09,0,2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
解像感,2.44447138069556e-09,0,0,0,0,1,1,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,2,0,0,0,0,1,0,0,0,0,0,4,0,1,0,0,0,0,0,1,8,2,0,0,0,0,1,2,0
ファインダー,2.40862543657307e-09,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ボケ具合,2.39437510127642e-09,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
・操作性,2.35346173200252e-09,1,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1
トータルバランス,2.32821958609083e-09,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
液晶,2.23428510963429e-09,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,7,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,2,0,0,0,2,0,1,1,0,0
完成度,2.22316481161127e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,3,0,37,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,0,0,0,0,0,1,0
値段,2.2116499530937e-09,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,27,9,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0
機動性,2.20789897167014e-09,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
機能性,2.10418680131676e-09,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
描写性能,2.0849503769656e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0
撮影,2.06175039398025e-09,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0
画角,2.04740127335503e-09,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
マッチング,2.02838970873165e-09,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ピント精度,2.0269741293163e-09,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
ホールディング性,2.02390465748263e-09,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
グリップ,1.99506061708407e-09,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
評価,1.9816360627902e-09,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,12,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0
価格,1.96573292272961e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,9,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0
ケース,1.95158896376692e-09,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
満足度,1.91707593081368e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,45,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,16,0
汎用性,1.89427700078928e-09,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,2,0
表現力,1.88191371200597e-09,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
機種,1.87052427677189e-09,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
動画,1.86406631422487e-09,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
見栄え,1.86337150346255e-09,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
効果,1.84355511633083e-09,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0
