"",weight,が良く,の良い,がよく,のよい,が良いです,もよく,が悪い,も良く,も良いです,が悪く,がいいです,も良好です,が良い,がよい,が良いので,が悪いと,がいい,は良好です,もいいです,は良く,の悪い,は良い,がいいので,もいい,が悪いです,はいいと,が良くて,が良いと,も良い,も良いので,の高い,は良いです,はいいですね,が高い,を考えると,が感じます,が良くない,がいいと,が良いのか,が悪いので,も悪くなく,は良いと,があります,はいいです,もいいですね,のある,は感じです,もよい,も良いと,も満足しています,も高く,といい,がよいです,も気に入っています,もいいし,は悪いです,も良いですね,はありません,にありません,もある,が高いので,がイマイチ,にある,も良好,は良いのですが,もあります,が違います,もありません,があり,は落ちますが
操作性,4.00618349893476e-14,8,4,3,0,4,5,6,12,9,0,3,3,4,2,2,0,1,6,3,2,1,2,2,5,2,9,0,2,8,1,0,6,1,3,3,0,1,0,0,0,1,10,0,4,0,0,3,0,6,2,0,1,1,0,0,3,0,11,3,0,0,1,1,2,4,0,0,1,1,0
相性,3.88458726460641e-14,1,1,0,0,2,0,0,3,3,0,0,0,2,1,1,0,0,0,2,2,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,2,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
携帯性,3.85387163453067e-14,2,11,0,0,5,6,3,12,2,2,1,0,6,3,1,2,1,3,1,4,0,3,5,0,1,0,1,1,1,1,0,3,0,1,3,0,0,1,0,2,1,12,0,10,1,0,2,0,2,0,1,1,0,0,4,5,0,11,1,0,1,0,0,0,5,0,0,1,0,3
色,3.83152152446117e-14,0,0,0,0,0,0,2,1,0,1,1,0,1,0,1,0,2,1,0,0,0,2,1,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,3,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
視認性,3.82022818443659e-14,0,2,1,0,0,0,1,2,0,2,1,0,2,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
ホールド感,3.81709286841851e-14,5,3,1,0,2,5,5,6,4,3,1,2,3,0,3,0,1,9,3,1,0,7,1,3,0,0,1,1,1,4,0,14,0,1,0,1,2,1,0,0,1,4,1,2,0,0,3,0,0,2,0,2,1,0,0,1,0,9,2,1,0,1,0,0,3,0,0,5,2,0
重量バランス,3.79154644166802e-14,3,0,2,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
描写,3.74875072235219e-14,1,2,0,0,0,0,0,6,3,0,1,1,0,0,2,0,1,0,1,3,0,1,1,1,0,0,2,4,1,1,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,3,0,0,5,0,0,0,1,0,0,0
もち,3.6960628791331e-14,0,0,0,0,1,0,7,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,2,2,1,1,0,0,0,1,2,0,1,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
デザイン,3.65974731671224e-14,3,1,1,0,2,1,0,7,2,0,0,0,7,1,2,0,1,1,3,0,0,2,0,2,0,6,0,1,2,0,0,2,0,0,0,0,0,1,0,0,1,11,0,3,0,1,5,0,4,1,0,1,0,3,3,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0
ホールド性,3.60936768663315e-14,4,0,1,0,2,0,2,0,0,1,0,0,1,0,1,0,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
感度,3.58179540087018e-14,2,1,0,0,0,0,2,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
写り,3.53359384224738e-14,4,7,0,1,1,1,2,4,0,0,1,0,4,0,1,1,5,1,0,2,0,3,2,3,0,2,2,2,2,0,0,4,4,0,0,0,0,1,0,0,1,5,0,7,0,0,1,1,2,1,1,0,0,0,0,0,0,6,2,0,0,0,2,0,1,1,4,8,0,0
質,3.48420444202652e-14,1,4,0,1,1,0,2,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
反応,3.2840414013173e-14,1,2,1,0,0,1,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
見た目,3.28033201757866e-14,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,2,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
音,3.23195948382552e-14,0,0,0,0,0,0,1,1,0,1,2,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0
描写力,3.11998799419972e-14,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,1,0,1,0,4,0,0,0,0,0,0,0,1,0,0,0,2,0,0,2,0,3,1,0,0,1,1,0,1
画質,3.07207630130866e-14,6,2,1,1,6,11,12,14,5,0,6,2,24,1,5,4,9,2,9,7,2,7,1,4,4,11,2,13,10,0,0,13,2,0,2,0,1,1,1,2,3,19,1,11,1,0,2,0,6,11,0,3,0,3,2,3,0,18,3,0,0,1,3,1,4,0,2,6,1,5
取り回し,3.0716923405769e-14,0,0,1,1,1,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
精度,3.05834181350731e-14,2,2,0,0,0,0,2,1,1,0,0,0,2,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,1,1,0,4,0,0,0,0,1,0,0,2,1,0,0,0,0,0,2,0,3,0,0,0,0,0,0,1,0,0,3,1,1,0,0,0,0,1,0,0
操作感,3.05427815569662e-14,0,0,0,0,0,2,0,0,0,0,0,1,1,1,0,0,2,2,1,1,0,1,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
出来,3.03213768588623e-14,0,5,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ボケ味,3.02556933102788e-14,0,0,0,0,1,0,0,1,2,0,0,2,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0
ヌケ,3.01106746848428e-14,2,5,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
シャッター音,2.97720329497004e-14,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
感触,2.96321827985862e-14,1,0,0,0,2,1,0,0,1,0,0,0,2,1,0,0,1,0,3,0,0,0,0,0,1,0,1,1,2,1,0,6,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0
位置,2.89214074644759e-14,0,0,0,0,0,1,5,0,0,3,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0
配置,2.8736625068802e-14,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
解像度,2.81124527922957e-14,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,2,0,0,0,1,0,1,0,0,1,0,0,0,1,0,5,1,0,6,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,7,0,0,0,0,0,1,2,0,0,2,0,0,1,0,1,1,0,1,1
性能,2.76237093123939e-14,0,5,0,0,0,0,0,3,0,0,0,0,2,4,1,0,2,0,0,0,0,1,1,0,0,3,2,1,0,0,1,0,0,2,12,1,0,0,0,0,0,3,2,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1
質感,2.5542487972893e-14,5,1,1,0,2,2,1,5,2,0,1,2,4,1,0,0,4,1,5,0,0,0,0,0,0,2,1,1,6,0,5,4,1,9,0,1,0,0,0,0,1,4,3,5,0,2,4,0,3,1,4,4,0,2,0,0,0,2,0,0,0,0,1,0,1,2,1,0,4,1
画像,2.54305081359001e-14,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,1,0,0
色合い,2.53940893133528e-14,0,1,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
補正,2.52990989313921e-14,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,1,0,7,1,1,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,2,1,0
天気,2.496943616893e-14,0,15,0,1,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
切れ,2.48053757592282e-14,3,4,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,4,0
条件,2.46463766546726e-14,0,2,0,0,0,0,2,0,0,0,0,0,1,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AF精度,2.44881808662486e-14,0,1,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,1,0,0
ボケ,2.4106809853506e-14,0,0,0,0,1,0,0,4,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
コントラスト,2.39885771980348e-14,0,1,1,0,0,0,0,1,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1
音質,2.38164202777734e-14,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0
電池持ち,2.36455417937262e-14,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
カメラ,2.3111985411487e-14,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,2,1,1,0,0,0,1,1,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,2,0,1,1,0
感じ,2.19909248052108e-14,0,0,0,0,1,0,0,0,1,0,2,0,4,0,0,0,1,0,2,1,0,0,0,0,0,1,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,1,1,0,0,0,6,0,0,0,0,1,0,0,2,0,1,1,0
ボケ具合,2.18541084264097e-14,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
フィーリング,2.15419219793578e-14,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ホールド,2.15187762080759e-14,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
バッテリー,2.08453185038972e-14,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,5,1,1,0,0,0,1,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,3,1,9,0,0,0,0,0,0,0,0,0,1,0,0
大きさ,2.08255259640057e-14,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,2,0,0,8,0,0,0,0,0,0,1,0,2,0,1,1,0,1,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,1,1,0
レンズ,2.07804952806884e-14,1,5,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,2,1,0,3,0,3,1,2,1,0,0,10,1,0,0,1,0,1,0,0,0,2,0,4,0,0,1,0,0,0,0,1,0,0,0,0,0,8,1,1,0,0,6,0,0,0,0,1,5,0
液晶,2.07503098459923e-14,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,7,0,0,0,1,0,0,0,0,0,2,1,1,0,0,2,0,1,1,0,2,0,1,0,0,0,1,0,0,0,0,2,0,1,0,0,1,0,0
AF,2.07155196509037e-14,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,6,1,0,0,0,1,0,0,1,0,1,1,0
重さ,2.04149264900067e-14,0,0,0,0,0,0,0,2,0,0,1,0,3,1,0,0,2,0,2,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,1,0,0,0,0,0,0,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,4,0
コストパフォーマンス,2.04031582636692e-14,1,5,0,0,0,1,0,1,0,0,0,0,5,3,0,0,1,0,0,0,0,0,1,1,0,1,0,2,0,0,36,4,3,14,10,0,0,0,0,0,0,8,0,1,3,0,0,0,2,0,4,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
グリップ感,2.04003855431673e-14,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
解像感,1.90051745723432e-14,0,0,0,0,0,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,1,4,0,0,6,1,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,8,0
キレ,1.89033680039755e-14,0,2,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0
・画質,1.88979828532644e-14,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
気分,1.848117713518e-14,0,1,0,0,2,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ファインダー,1.832437248044e-14,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
動画,1.82979982643278e-14,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0
撮影,1.78867642642053e-14,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,2,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
・操作性,1.72701964949934e-14,1,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0
グリップ,1.71844360446715e-14,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
トータルバランス,1.70116447655513e-14,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
機能性,1.6930563660585e-14,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,1,1,0,0,0,0,0,0,3,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ホールディング,1.62855986591536e-14,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
表現力,1.62462734914017e-14,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,3,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
画角,1.55551240609283e-14,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
作り,1.54574088222272e-14,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
