"",weight,バランス,色乗り,持ち,使い勝手,発色,色のり,レスポンス,評判,気持ち,操作性,相性,携帯性,色,視認性,ホールド感,重量バランス,描写,もち,デザイン,ホールド性,感度,写り,質,反応,見た目,音,描写力,画質,取り回し,精度,操作感,出来,ボケ味,ヌケ,シャッター音,感触,位置,配置,解像度,性能,質感,画像,色合い,補正,天気,切れ,条件,AF精度,ボケ,コントラスト,音質,電池持ち,カメラ,感じ,ボケ具合,フィーリング,ホールド,バッテリー,大きさ,レンズ,液晶,AF,重さ,コストパフォーマンス,グリップ感,解像感,キレ,・画質,気分,ファインダー
が悪く,2.43339384116791e-15,2,0,6,1,0,0,1,0,0,0,0,2,1,2,3,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
がいいです,2.24334181362788e-15,3,2,6,12,0,1,0,0,9,3,0,1,1,1,1,1,1,0,0,0,0,1,0,1,0,2,0,6,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0
が良い,2.14759385442796e-15,14,1,24,17,0,0,8,1,7,4,2,6,1,2,3,0,0,1,7,1,0,4,0,0,0,0,0,24,0,2,1,1,0,0,0,2,0,0,1,2,4,1,0,0,2,1,1,0,1,1,1,0,0,4,0,0,1,1,0,1,1,1,3,5,1,0,1,2,0,0
も良好です,2.11333011557167e-15,0,1,1,1,0,1,2,0,0,3,0,0,0,0,2,1,1,0,0,0,1,0,0,0,1,0,1,2,0,0,1,0,2,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
がよい,2.05972219570158e-15,3,0,6,6,0,0,0,0,2,2,1,3,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,1,0,1,1,0,0,0,0,1,0,0,0,4,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,0,0,0,1,0,0
が良いので,2.0471888164626e-15,2,0,2,3,1,0,1,6,0,2,1,1,1,0,3,0,2,0,2,1,1,1,0,0,0,0,1,5,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
が悪いと,2.01708690940706e-15,4,1,6,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,1,1,0,0,1,0,4,0,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
がいい,1.96121459948949e-15,4,0,10,1,3,0,1,3,9,1,0,1,2,0,1,0,1,1,1,1,0,5,0,0,2,0,0,9,0,0,2,0,0,0,0,1,0,0,0,2,4,0,0,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,1,0,0,2,1,1,0,0,2,1,0
は良好です,1.94708072380401e-15,3,1,0,5,1,0,0,0,0,6,0,3,1,0,9,1,0,0,1,3,0,1,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
もいいです,1.86389380865286e-15,0,0,6,1,1,0,1,0,0,3,2,1,0,0,3,1,1,1,3,0,0,0,0,0,2,0,0,9,0,1,1,0,3,0,0,3,1,0,0,0,5,1,0,0,0,0,0,0,0,0,1,0,0,2,1,1,0,1,1,0,1,0,2,0,0,0,0,0,0,0
は良く,1.79618791286873e-15,3,0,2,1,0,0,1,1,0,2,2,4,0,2,1,0,3,0,0,0,0,2,0,0,0,1,1,7,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
の悪い,1.76235948972353e-15,0,0,0,0,0,1,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,4,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
は良い,1.73008565410255e-15,2,0,4,1,0,1,1,0,0,2,0,3,2,0,7,0,1,0,2,1,0,3,0,0,0,0,1,7,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
がいいので,1.70689689565941e-15,0,0,6,1,0,0,1,2,1,2,0,5,1,0,1,0,1,1,0,0,0,2,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
もいい,1.6554587898812e-15,2,0,0,1,1,0,0,2,0,5,0,0,2,0,3,0,1,0,2,0,1,3,0,0,1,0,0,4,0,0,0,0,2,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,3,0,3,0,1,0,0,0,0,0,0
が悪いです,1.60148415187758e-15,2,0,10,2,0,0,0,0,0,2,0,1,0,1,0,0,0,2,0,0,1,0,0,0,1,0,0,4,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
はいいと,1.58215102428862e-15,4,0,0,3,0,0,0,0,0,9,2,0,0,0,0,0,0,2,6,0,0,2,0,0,0,0,0,11,1,1,0,1,0,0,0,0,1,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,3,0,0,0,1,0,0,0,1,0,0
が良くて,1.57593463571132e-15,1,1,2,1,0,0,1,0,0,0,0,1,0,0,1,0,2,1,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
も良い,1.5687049957221e-15,1,0,4,1,0,0,1,1,0,8,0,1,1,0,1,0,1,0,2,0,0,2,0,0,0,0,0,10,0,0,2,0,0,0,1,2,0,0,1,0,6,1,1,0,0,0,0,0,1,0,0,1,0,0,2,1,0,0,0,1,0,0,3,0,2,0,0,1,0,1
が良いと,1.56461213658922e-15,9,0,2,6,0,0,0,0,0,2,2,1,0,0,1,2,4,1,1,0,1,2,0,0,0,1,0,13,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0
も良いので,1.54170889733091e-15,3,0,4,0,0,0,0,0,0,1,0,1,0,0,4,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0
のある,1.50499938691245e-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,1,0,0,2,0,2,0,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,6,5,0,0,0
の高い,1.49186471678049e-15,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,1,5,0,0,0,0,0,0,1,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,1,0,0,0,0
は良いです,1.48475637136159e-15,5,1,10,10,2,1,1,0,0,6,0,3,0,0,14,0,5,1,2,2,0,4,0,0,0,0,1,13,0,1,1,1,0,0,0,6,0,0,1,0,4,2,0,0,0,0,0,1,1,0,0,0,2,3,0,1,5,5,2,10,7,2,2,4,1,1,0,0,0,1
はいいですね,1.46783419552224e-15,2,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0,4,0,0,0,0,3,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,1,0,0,0,3,1,0,0,1,0,0
が感じます,1.45467305008366e-15,3,0,2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1
を考えると,1.4544120642986e-15,8,0,0,4,0,0,0,0,0,3,0,3,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,1,10,0,0,0,0,0,0
が良くない,1.44608912320568e-15,1,0,5,1,1,0,0,0,1,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
がいいと,1.44315717206058e-15,4,0,2,3,0,0,0,0,0,0,2,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
が高い,1.43220813046704e-15,2,0,0,0,0,0,0,0,0,3,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,6,2,9,0,0,0,0,0,0,1,0,5,0,0,1,0,0,0,0,1,0,0,0,0,0,14,0,2,0,0,0,0
が良いのか,1.42319243340714e-15,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
も悪くなく,1.41328121517718e-15,1,0,0,1,1,1,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
が悪いので,1.40054322189218e-15,1,0,5,0,0,0,0,0,0,0,1,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
があります,1.3760861751074e-15,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,2,3,1,0,0,0,1,1,0,1,0,0,0,0,5,0,0,1,0,0,0,1,0,2,0,0,4,0,0,0,0
はいいです,1.3754878559656e-15,0,1,1,3,1,0,0,0,0,4,1,10,0,0,2,0,0,0,3,0,0,7,0,0,1,0,1,11,0,0,0,1,3,0,0,0,0,0,0,0,5,0,0,1,0,0,0,1,0,0,1,0,3,0,0,2,0,0,2,4,1,0,2,1,0,0,0,0,0,0
は良いと,1.35785840429334e-15,8,0,8,5,0,1,1,0,0,10,1,12,1,0,4,0,0,1,11,0,0,5,0,2,0,0,1,19,0,2,1,0,0,0,0,1,0,0,0,3,4,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,2,2,0,0,8,0,1,0,0,0,2
もいいですね,1.35152177246314e-15,0,1,2,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
は感じです,1.34034208010047e-15,0,0,2,0,1,2,0,0,0,3,0,2,1,1,3,0,0,1,5,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,1,4,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,4,1,1,2,0,0,0,0,1,0,0,0,0
も良いと,1.33711540012865e-15,11,0,1,1,0,1,0,0,0,6,0,2,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,6,0,2,0,0,0,0,0,1,0,0,0,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,2,0,2,0,1,0,0,0,0
もよい,1.3325814411146e-15,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
も満足しています,1.30910202307127e-15,1,0,1,0,4,0,0,0,0,2,0,0,1,0,2,0,0,0,1,0,0,1,1,0,1,0,0,11,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0
といい,1.30753314750557e-15,0,2,0,0,2,0,0,0,0,1,0,1,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,1,0,0,0,0,2,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,2,0,0,1,0,3,0,0,0,0
がよいです,1.2986942485026e-15,0,0,1,5,0,0,0,1,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
も気に入っています,1.28162755005731e-15,0,0,0,1,1,0,0,0,0,0,1,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
が違います,1.27542067554772e-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,1,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0
も高く,1.27363896208304e-15,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,7,0,4,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
もいいし,1.26870687330564e-15,0,0,0,1,2,1,0,0,0,0,0,4,1,0,0,0,0,0,3,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
は悪いです,1.26236455081621e-15,1,0,6,0,1,0,0,0,0,3,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0
も良いですね,1.25214302039887e-15,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
もある,1.24982411860309e-15,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
にありません,1.21462946113467e-15,0,0,1,1,0,0,0,0,0,3,0,1,0,1,2,1,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0
はありません,1.20520978170974e-15,0,0,9,4,1,0,1,0,1,11,1,11,0,0,9,0,4,0,0,1,0,6,0,0,0,0,2,18,0,1,0,0,1,0,0,2,0,0,2,1,2,3,0,1,0,0,0,1,0,0,2,1,6,6,0,0,1,9,2,8,1,6,1,0,1,0,0,0,0,0
があり,1.19753972330848e-15,0,0,0,0,1,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,1,0,4,0,0,1,0,4,0,0,2,1,0,0,1,1,0,0,0,0,1,5,0,1,4,0,0,8,1,0,0,0
にある,1.18350073096797e-15,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,2,0,0,0,0,3,3,1,1,1,0,0,0,0,0,8,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,2,1,1,0,0,0,0,0,0,0
も良好,1.18233995084803e-15,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
がイマイチ,1.17734061138458e-15,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
が高いので,1.17478136346614e-15,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
は良いのですが,1.16529563516169e-15,0,0,1,0,0,1,1,0,0,4,0,5,0,0,3,0,0,0,2,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
もあります,1.14760856045763e-15,0,0,2,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,0,1,1,0,0,3,0,0,0,0
がいいですね,1.12726279708655e-15,1,0,0,4,0,0,0,0,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
は落ちますが,1.11472088818953e-15,0,0,1,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
もありません,1.10383426834881e-15,0,0,0,1,1,0,0,0,0,1,0,1,0,1,5,0,0,0,1,1,0,8,0,0,0,0,1,6,0,1,0,0,3,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0
も良くて,1.10012050558372e-15,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
はよく,1.08258724744561e-15,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
が高く,1.08134261897393e-15,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,1,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0
を考えて,1.07806825962324e-15,2,0,0,1,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
で満足しています,1.07757168192988e-15,0,0,0,0,0,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,1,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
も良いし,1.06751897390024e-15,0,1,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
がなります,1.06143443502804e-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,0,0,1,0,0,0,0,0,0,0
になり,1.05195136726566e-15,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
はいい,1.04828895464435e-15,1,0,1,0,0,0,1,0,0,2,0,0,0,0,2,0,1,0,0,0,0,1,0,0,1,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
もなく,1.04457082753664e-15,1,0,1,1,2,0,0,0,0,2,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,5,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
