"",weight,が良く,の良い,がよく,も良く,が悪い,が良いです,もよく,も良いです,のよい,が良い,が悪く,がいいです,がよい,がいい,が良いので,もいいです,も良好です,は良いです,は良く,は良好です,が悪いと,が良いと,は良い,がいいので,も良い,もいい,も良いので,が高い,の高い,は良いと,が良くて,が悪いです,も高く,はいいですね,はいいと,のある,も良いと,はありません,が高く,はいいです,が感じます,が高いので,の悪い,が高いです,がいいと,が良くない,は感じです,も悪くなく,も満足しています,といい,は悪いです,が悪いので,にありません,があります,があり,も気に入っています,は最高です,は良いのですが,もありません,もいいですね,が違います,がよいです,は高い,が良いのか,はいい,がいいですね,もいいし,にある,がイマイチ,もある,は思います,もあり,も良好,も高い,もよい,も良いですね,がよいと,はよいです,も良いし,はよく,はあり,は抜群です,は落ちますが,はよいと,を考えると,もなく,も含めて,になります,がなります,が低い,は満足しています,もいいと,は悪くないです,もあります,を考えて,もあって,で満足しています,は高く,がある,は方だと
写り,5.14677894243843e-15,4,7,0,4,2,1,1,0,1,4,0,1,0,5,1,0,0,4,2,1,1,2,3,2,2,3,0,0,0,5,2,0,1,4,2,0,2,6,0,7,0,0,0,0,1,0,1,1,1,0,0,0,2,0,0,0,4,1,8,0,4,0,0,0,1,0,0,2,0,0,4,0,0,0,1,0,2,0,1,0,2,0,0,2,0,0,0,3,0,0,3,1,1,1,0,0,0,0,0,1
相性,4.96708561972531e-15,1,1,0,3,0,2,0,3,0,2,0,0,1,0,1,2,0,0,2,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
デザイン,4.92063345843159e-15,3,1,1,7,0,2,1,2,0,7,0,0,1,1,2,3,0,2,0,1,0,1,2,0,2,2,0,0,0,11,0,0,0,0,6,1,4,0,0,3,0,0,0,0,1,0,5,1,1,1,0,0,0,0,0,3,2,2,1,0,0,0,0,0,0,4,3,0,0,0,11,0,0,0,0,0,0,1,2,1,5,0,0,3,0,0,2,1,0,0,2,5,1,0,0,1,0,1,0,1
色のり,4.88854156731574e-15,1,1,2,0,0,1,6,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0
評判,4.74813199703432e-15,0,14,1,0,0,0,0,0,3,1,0,0,0,3,6,0,0,0,1,0,0,0,0,2,1,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
もち,4.68174250706931e-15,0,0,0,0,7,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,2,0,2,2,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
気持ち,4.55178470686307e-15,0,13,1,0,0,2,0,0,3,7,0,9,2,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
精度,4.38310416178121e-15,2,2,0,1,2,0,0,1,0,2,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,2,4,1,2,0,0,3,0,1,0,2,1,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,3,0,0
視認性,4.34684151659064e-15,0,2,1,2,1,0,0,0,0,2,2,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
画質,4.30489076596787e-15,6,2,1,14,12,6,11,5,1,24,0,6,1,9,5,9,2,13,7,2,4,13,7,1,10,4,0,0,0,19,2,4,0,2,11,0,6,18,0,11,0,0,2,0,1,1,2,3,11,3,3,2,3,1,1,3,7,4,6,1,2,0,0,1,3,1,2,3,1,0,28,1,1,0,0,0,0,2,2,2,8,1,5,1,2,5,1,5,0,1,8,2,0,0,0,0,8,2,0,2
描写,4.2883730395178e-15,1,2,0,6,0,0,0,3,0,0,0,1,0,1,2,1,1,5,3,0,0,4,1,1,1,1,1,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,5,0,3,5,0,0,0,1,0,0,0,0,1,4,0,0,0,1,1,2,7,1,0,2,2,0,0,0,0,0,0,0,0
ホールド性,4.10632492093753e-15,4,0,1,0,2,2,0,0,0,1,1,0,0,1,1,0,0,2,0,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
感度,4.10294018002867e-15,2,1,0,0,2,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
感触,4.05718433195415e-15,1,0,0,0,0,2,1,1,0,2,0,0,1,1,0,3,0,6,0,0,0,1,0,0,2,0,1,0,0,1,1,1,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
重量バランス,4.03735416225109e-15,3,0,2,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
色,3.97411623972927e-15,0,0,0,1,2,0,0,0,0,1,1,1,0,2,1,0,0,0,0,1,0,0,2,1,1,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,5,0,0,0,0,0,1,0,0,1,0,0,0
質,3.96662388352684e-15,1,4,0,1,2,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
質感,3.90591878587319e-15,5,1,1,5,1,2,2,2,0,4,0,1,1,4,0,5,2,4,0,1,0,1,0,0,6,0,0,9,5,4,1,0,4,1,2,2,3,2,6,5,1,0,0,2,0,0,4,1,1,4,0,0,0,3,4,2,4,1,0,0,1,0,2,0,0,2,0,1,0,0,2,3,0,0,0,0,0,1,0,0,1,0,1,0,0,1,3,0,1,1,0,1,1,2,0,0,0,0,1,0
描写力,3.88815401283785e-15,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,1,2,0,0,0,1,0,1,0,0,0,3,0,4,0,2,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,3,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
見た目,3.83566443180622e-15,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
コストパフォーマンス,3.81385433639676e-15,1,5,0,1,0,0,1,0,0,5,0,0,3,1,0,0,0,4,0,0,0,2,0,1,0,1,0,14,36,8,0,0,4,3,1,0,2,0,4,1,0,2,0,4,0,0,0,0,0,1,0,0,0,0,0,0,9,0,0,3,0,0,2,0,0,0,0,0,0,0,2,0,0,3,0,0,2,0,0,0,0,2,0,2,10,0,2,0,0,0,0,1,0,0,1,0,1,0,0,0
性能,3.73236023964922e-15,0,5,0,3,0,0,0,0,0,2,0,0,4,2,1,0,0,0,0,0,0,1,1,1,0,0,0,2,1,3,2,0,0,0,3,0,0,1,1,0,1,0,0,0,0,0,1,0,0,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,4,0,0,0,0,0,0,0,0,1,0,0,1,0,12,0,0,0,1,3,0,2,0,0,2,0,1,1,1,0
解像度,3.72183890254048e-15,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,2,0,1,0,1,0,0,6,5,0,0,1,7,0,0,2,0,2,8,0,0,2,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,2,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,4,0,0,0,1,0,0,0,4,3,0
操作感,3.63926047707632e-15,0,0,0,0,0,0,2,0,0,1,0,0,1,2,0,1,1,1,1,2,0,0,1,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
反応,3.61738284896232e-15,1,2,1,0,2,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ボケ味,3.58171067206444e-15,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,1,0,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
シャッター音,3.49737669726723e-15,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
音,3.45021512846281e-15,0,0,0,1,1,0,0,0,0,0,1,2,2,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0
コントラスト,3.37579420591258e-15,0,1,1,1,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11,0,0,0,5,0,0,0,0,0,1,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0
取り回し,3.37285784912395e-15,0,0,1,2,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ヌケ,3.20225009571538e-15,2,5,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
位置,3.16599829781741e-15,0,0,0,0,5,0,1,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
出来,3.15682732849278e-15,0,5,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,4,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
AF精度,3.12120108882252e-15,0,1,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,2,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ボケ,3.07045531996362e-15,0,0,0,4,0,1,0,1,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0
解像感,3.02670451706267e-15,0,0,0,2,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,6,1,0,2,0,0,0,0,2,0,0,1,0,0,3,0,0,0,4,8,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,1,0,1,2,1
液晶,2.95295862114832e-15,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,7,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,2,0,1,2,0,0,0,1,0,1,1,1,1,0,0,0,1,0,0,0,0,2,0,0,5,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
色合い,2.9527290947319e-15,0,1,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,2,1,0,0,0,0,0,0,0,1,1,0,1,0
画像,2.92763806904588e-15,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,2,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,3,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,5,0,0,0,0,0,0,0,0,2,0,1,0
配置,2.89613352636666e-15,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
切れ,2.88467320936735e-15,3,4,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
カメラ,2.84053951489637e-15,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,6,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,3,0,0,0,0,0,2,0,0,2,0,2,0
機能性,2.79236828608591e-15,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,1,0,3,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
補正,2.78863021992554e-15,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,7,1,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,3,4,0,0,1,0,0,0,0,0,1,0,0,0,1,3,0,0,0,0,0,0,0,0,0,1,0,0,5,0
レンズ,2.73879042822542e-15,1,5,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,10,1,0,0,2,1,0,1,3,0,0,0,2,1,0,0,1,3,0,0,8,0,4,1,0,2,0,1,0,1,0,0,1,0,0,1,0,5,0,0,0,1,0,0,0,1,0,0,2,0,6,0,1,6,0,0,0,0,0,1,2,0,1,5,0,0,0,0,1,2,3,2,0,1,0,0,0,0,0,0,0,5,0
ホールド,2.71369096452642e-15,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
