"",weight,色乗り,持ち,バランス,色のり,評判,発色,レスポンス,気持ち,使い勝手,重量バランス,相性,ホールド感,視認性,携帯性,描写,写り,色,ホールド性,操作性,感度,もち,反応,質,音,出来,デザイン,見た目,ヌケ,ボケ味,取り回し,精度,位置,シャッター音,操作感,描写力,配置,画像,感触,天気,画質,条件,性能,カメラ,解像度,切れ,電池持ち,色合い,補正,感じ,AF精度,ボケ,音質,レンズ,コントラスト,バッテリー,質感,大きさ,AF,グリップ感,液晶
は良いです,3.7067928092671e-15,1,10,5,1,0,2,1,0,10,0,0,14,0,3,5,4,0,2,6,0,1,0,0,0,1,2,0,0,0,0,1,0,0,1,1,0,2,6,0,13,0,0,2,1,0,0,0,0,3,1,1,0,10,0,5,4,2,2,1,7
が悪いので,3.70449135880382e-15,0,5,1,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
もよい,3.68871280869191e-15,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
もいいですね,3.65833576278184e-15,1,2,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
も良い,3.62145631555623e-15,0,4,1,0,1,0,1,0,1,0,0,1,0,1,1,2,1,0,8,0,0,0,0,0,0,2,0,0,0,0,0,0,1,2,0,0,1,2,0,10,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,6,0,0,2,0
がよいです,3.55587901977989e-15,0,1,0,0,1,0,0,2,5,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
も悪くなく,3.51962464794966e-15,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
は良いと,3.41405670356993e-15,0,8,8,1,0,0,1,0,5,0,1,4,0,12,0,5,1,0,10,0,1,2,0,0,0,11,0,0,0,0,2,0,0,1,1,0,0,1,0,19,0,3,1,0,0,0,1,1,1,0,0,0,2,0,1,4,1,0,0,2
は感じです,3.39006284703511e-15,0,2,0,2,0,1,0,0,0,0,0,3,1,2,0,1,1,0,3,0,1,0,0,0,0,5,0,0,0,0,0,1,1,0,0,0,1,0,0,2,0,1,0,0,0,0,1,1,0,0,1,0,1,1,4,4,1,0,0,2
もいいし,3.38612102897713e-15,0,0,0,1,0,2,0,0,1,0,0,0,0,4,0,0,1,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
があります,3.38476654625278e-15,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,1,1,2,0,0,1,0,0,0,5,0,1,0,0,0,0,3,0,0,0,1
もある,3.35470060180983e-15,0,0,1,1,0,0,0,1,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
はいいですね,3.33490511132635e-15,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,2,0,0,1,0,0,0,0,2,1,0,0,0,1,0,1,1,0,0,1,0
はいいです,3.33260075539574e-15,1,1,0,0,0,1,0,0,3,0,1,2,0,10,0,7,0,0,4,0,0,0,0,0,1,3,1,0,3,0,0,0,0,0,1,0,0,0,0,11,0,0,3,0,0,0,0,1,0,1,0,1,4,0,0,5,2,0,0,1
のある,3.32942215590044e-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,4,0,0,1,0,0,0,0,0,2,7,0,0,7,0,0,0,0,0,0,0,2,1,0,0,0
も良いですね,3.32591684865386e-15,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
も気に入っています,3.31595794785288e-15,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,1,0,0,0,0,3,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,2,1,0,0,1
にありません,3.23452888008146e-15,0,1,0,0,0,0,0,0,1,1,0,2,1,1,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0
といい,3.18600370355923e-15,2,0,0,0,0,2,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,3,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,4,1,0,0,2
がイマイチ,3.16786827681969e-15,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
は悪いです,3.13468345629157e-15,0,6,1,0,0,1,0,0,0,0,0,1,0,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0
も高く,3.13424710079396e-15,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,5,0,4,0,0,0,0
にある,3.13055531487325e-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,8,0,1,3,1,0,0,0,3,0,1,0,0,0,0,0,0,1,0,0,0,6,0,0,1,0,1,0,2
も良いと,3.12729860556051e-15,0,1,11,1,0,0,0,0,1,0,0,0,0,2,0,2,0,0,6,0,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,1,1,0,6,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3,1,2,0,1
があり,3.11286859272674e-15,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,4,0,0,1,1,0,2,0,5,1,0,4,1,1,0,0
も満足しています,3.06563309127278e-15,0,1,1,0,0,4,0,0,0,0,0,2,0,0,0,1,1,0,2,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,11,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,2,0,1
も良好,3.05893860591325e-15,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
も良くて,3.0084787054423e-15,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
もあります,2.97161025761313e-15,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0,0,0,0,0,0,2,1,1,0,0
はありません,2.96235921101562e-15,0,9,0,0,0,1,1,1,4,0,1,9,0,11,4,6,0,1,11,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,3,2,0,18,0,1,6,2,0,1,0,1,6,1,0,2,8,0,9,2,2,6,1,1
が高いので,2.91293522783332e-15,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0
で満足しています,2.88565369491843e-15,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,8,0,1,2,0,0,0,1,0,3,0,0,0,0,0,0,0,1,0,0,0
もありません,2.86785036560374e-15,0,0,0,0,0,1,0,0,1,0,0,5,1,1,0,8,0,1,1,0,0,0,0,0,0,1,0,0,3,0,1,0,0,0,1,0,1,0,0,6,0,0,1,0,0,0,0,2,1,1,0,0,1,0,1,0,1,1,0,1
は落ちますが,2.85757083355229e-15,0,1,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
がいいですね,2.84828766369499e-15,0,0,1,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,2,0,0,2,0,0,0,0
は良いのですが,2.84654335490668e-15,0,1,0,1,0,0,1,0,0,0,0,3,0,5,0,1,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
がなります,2.8372563565833e-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,0,0,1,2,0,0,0
も良いし,2.82756792304605e-15,1,3,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
は最高です,2.76787991483823e-15,0,1,0,0,0,2,0,0,2,0,1,0,0,1,1,4,0,0,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,7,0,0,0,0,0,0,1,0,2,0,2,0,0,0,0,4,0,0,0,1
が違います,2.75727462422473e-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
が良いとは,2.75517037803363e-15,0,1,0,1,0,0,0,0,2,0,0,1,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
が良くなりました,2.75056225791804e-15,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
はいい,2.74038755584123e-15,0,1,1,0,0,0,1,0,0,0,0,2,0,0,1,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
は良いようです,2.73513454784056e-15,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
がよいと,2.7208104579029e-15,0,0,0,0,0,0,0,0,1,0,1,3,0,1,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
が好きです,2.71451552943349e-15,0,0,1,0,0,6,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,0,0,0,0,0,0,0,0,0,0,0
を考えて,2.67267311619374e-15,0,0,2,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
が悪いのと,2.67203446690628e-15,0,3,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
は方だと,2.62373291608901e-15,0,3,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
もあって,2.61770290449232e-15,0,0,0,0,0,1,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0
は満足しています,2.60282986796883e-15,0,0,0,0,0,0,0,0,1,0,0,0,1,2,2,3,0,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
はよく,2.60040219226292e-15,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
もなく,2.59545438399627e-15,0,1,1,0,0,2,0,0,1,0,0,0,0,1,1,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,1,3,0,0,1,0,1,0,0,1,0,0,0,0
がよいので,2.5937038747959e-15,0,2,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
がよければ,2.59007976236234e-15,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
が悪いのが,2.58837620661117e-15,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
が違う,2.57654789743691e-15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,1,0,0,4,0,1,0,0,0,0,0,0,1,1,0,0,0
を上げる,2.5731969635228e-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0
