"",weight,が良く,の良い,も良く,がよく,もよく,が悪い,が良いです,も良いです,のよい,が良い,の高い,が悪く,がいいです,が高い,がよい,が良いので,がいい,は良いです,もいいです,も良好です,は良好です,も高く,が悪いと,が高く,は良く,が高いです,は良いと,が高いので,が良いと,がいいので,も良い,は良い,もいい,のある,も良いので,も良いと,が悪いです,が良くて,はいいと,はいいですね,はいいです,はありません,が感じます,は高い,の悪い,は感じです,といい,がいいと,があり,は良いのですが,が良くない,も悪くなく,があります,は最高です,は高く,が悪いので,も高い,も満足しています,は悪いです,が高いと,もありません,にありません,が違います,を考えると,もいいですね,も気に入っています,は高いと,が低い,がよいです,もあり,がいいですね,は落ちますが,にある,が良いのか,は抜群です,もある,も良好,がよいと,もいいし,も良いですね,はいい,はよいです,はよいと,も良いし,はあり,がイマイチ,も含めて,を考えて,にあり,は思います,もよい,がある,もなく,もいいと,もあって,もあります,は感じました,はよく,が違う,は良いですね
描写,2.85845377634601e-15,1,2,6,0,0,0,0,3,0,0,0,0,1,0,0,2,1,5,1,1,0,0,0,0,3,0,0,0,4,1,1,1,1,0,1,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,5,0,0,3,0,0,0,0,1,0,0,0,4,0,2,0,0,5,1,0,1,2,0,0,0,1,0,0
もち,2.84405737175649e-15,0,0,0,0,0,7,1,1,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,2,1,2,2,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0
視認性,2.79635764430262e-15,0,2,2,1,0,1,0,0,0,2,0,2,1,0,0,0,0,0,0,0,0,1,1,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
解像度,2.72833469457433e-15,0,0,1,0,1,1,0,0,0,1,5,0,0,6,0,0,0,1,0,0,0,7,2,8,1,2,0,2,0,0,1,1,0,2,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,4,1,2,0,0,0,0,0,1,0,0,0,0,4,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,3,0,0,0,1,0,0,1,0
感度,2.71975521964963e-15,2,1,0,0,0,2,0,0,0,0,2,1,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
色,2.66274063865188e-15,0,0,1,0,0,2,0,0,0,1,0,1,1,0,0,1,2,0,0,0,1,0,0,0,0,0,1,0,0,1,1,2,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0
質,2.60657140042162e-15,1,4,1,0,0,2,1,0,1,0,2,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
画質,2.58780276563948e-15,6,2,14,1,11,12,6,5,1,24,0,0,6,0,1,5,9,13,9,2,2,0,4,0,7,0,19,0,13,1,10,7,4,0,0,6,4,2,11,2,11,18,0,0,2,2,3,1,1,4,1,3,1,7,2,2,0,11,3,0,6,3,2,2,1,3,0,1,0,1,1,5,3,1,1,0,1,0,2,0,3,2,1,2,8,1,1,0,1,28,0,0,5,2,0,0,2,2,3,5
ホールド性,2.58268695625614e-15,4,0,0,1,0,2,2,0,0,1,0,1,0,1,0,1,1,2,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
コストパフォーマンス,2.54944321079468e-15,1,5,1,0,1,0,0,0,0,5,36,0,0,14,3,0,1,4,0,0,0,4,0,4,0,4,8,2,2,1,0,0,1,0,0,2,0,0,1,3,1,0,0,2,0,0,1,0,0,0,0,0,0,9,0,0,3,0,0,6,0,0,0,10,3,0,24,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,2,0,0,0,2,1,0,2,0,0,0,1,0,0,0,0,0,1
描写力,2.54120931925884e-15,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0,1,2,0,2,0,1,0,4,0,0,0,0,0,3,1,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,1,0,0,0,1,0,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
重量バランス,2.52253013942736e-15,3,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
感触,2.51979031293895e-15,1,0,0,0,1,0,2,1,0,2,0,0,0,0,1,0,1,6,3,0,0,0,0,0,0,0,1,0,1,0,2,0,0,1,1,1,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
見た目,2.50493591658056e-15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1
コントラスト,2.48838004952967e-15,0,1,1,1,0,0,0,0,0,1,11,0,3,5,0,0,0,0,0,0,0,5,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
質感,2.43901074450222e-15,5,1,5,1,2,1,2,2,0,4,5,0,1,9,1,0,4,4,5,2,1,4,0,6,0,2,4,0,1,0,6,0,0,2,0,3,0,1,2,1,5,2,1,2,0,4,4,0,4,1,0,1,3,4,0,0,0,1,0,2,0,0,1,0,0,2,2,1,0,3,2,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,3,0,0,2,0,1,1,1,0,2,0,0,1,1
性能,2.43566865945452e-15,0,5,3,0,0,0,0,0,0,2,1,0,0,2,4,1,2,0,0,0,0,0,0,1,0,0,3,0,1,1,0,1,0,0,0,0,0,2,3,0,0,1,1,0,0,1,2,0,0,0,0,0,2,0,1,0,0,0,0,1,0,1,0,12,0,0,2,3,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,1,0,2,0,0,0,1,0,0
満足度,2.32854370841007e-15,0,0,0,0,0,0,0,0,0,0,45,0,0,7,0,0,0,0,0,0,0,0,0,2,0,16,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,13,0,0,0,0,0,0,0,0,0,3,6,0,3,0,0,3,0,0,0,0,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
操作感,2.29597264598394e-15,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,2,1,1,1,2,0,0,0,1,0,1,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
シャッター音,2.26149336422179e-15,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
ボケ味,2.24108693261977e-15,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0
反応,2.23262758474589e-15,1,2,0,1,1,2,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
音,2.18603737639266e-15,0,0,1,0,0,1,0,0,0,0,0,1,2,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
取り回し,2.11465543875841e-15,0,0,2,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
使用頻度,2.09614504345717e-15,0,0,0,0,0,0,0,0,0,0,10,0,0,11,0,0,0,0,0,0,0,1,0,2,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
解像感,2.0548857837816e-15,0,0,2,0,1,1,0,1,0,0,1,1,0,2,0,0,0,1,0,0,0,0,0,2,0,2,1,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,1,0,1,3,0,8,1,0,0,4,0,1,0,3,0,0,1,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,3,1,0,0,0
AF精度,2.04418092805821e-15,0,1,1,0,1,2,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
完成度,2.01886592018834e-15,0,0,0,0,0,0,0,0,0,0,37,0,0,11,0,0,0,0,0,0,0,3,0,4,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,3,1,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ヌケ,2.01473713434183e-15,2,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
位置,2.00278323659055e-15,0,0,0,0,1,5,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
画像,1.98152831793379e-15,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,3,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0
出来,1.96063296527501e-15,0,5,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
色合い,1.93510937434845e-15,0,1,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0,3,0,1,1,0,1,0,0,0,4,0
感じ,1.92810286882621e-15,0,0,0,0,0,0,1,1,0,4,0,0,2,0,0,0,1,3,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,6,0,0,0,0,0,0,1,0,0,0,5,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,4,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,3,2,0,0,1,0
カメラ,1.88556484874311e-15,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,3,6,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,1,1,0,0,0,0,0,2,0,1,0,1,0,0,0,0,3,0,2,0,0,0,2,0,0,0,1
ボケ,1.88542572137193e-15,0,0,4,0,0,0,1,1,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
液晶,1.84664515086849e-15,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,1,1,0,2,2,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,2
評価,1.8359824510455e-15,0,1,0,0,0,0,0,0,0,0,12,0,0,4,0,0,0,0,0,0,0,0,0,4,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
切れ,1.81225288739946e-15,3,4,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
