"",weight,色乗り,評判,色のり,発色,気持ち,持ち,レスポンス,バランス,重量バランス,写り,描写,相性,操作性,視認性,使い勝手,感度,ホールド性,携帯性,音,ホールド感,出来,色,反応,質,ヌケ,位置,見た目,取り回し,ボケ味,もち,配置,シャッター音,操作感,天気,描写力,デザイン,切れ,精度,条件,画像,カメラ,レンズ,電池持ち,解像度,感触,画質,感じ,ボケ,補正,性能
が悪い,1.6197342750408e-14,0,0,0,2,0,36,6,6,1,2,0,0,6,1,7,2,2,3,1,5,0,2,2,2,0,5,0,0,0,7,0,0,0,0,0,0,0,2,2,1,0,1,0,1,0,12,0,0,0,0
がいいです,1.59484566614781e-14,2,0,1,0,9,6,0,3,1,1,1,0,3,1,12,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0,0
も良好です,1.593375206439e-14,1,0,1,0,0,1,2,0,1,0,1,0,3,0,1,1,0,0,0,2,0,0,0,0,0,0,1,0,2,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
の悪い,1.51522905148641e-14,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0,0,2,0,0,0,0
が悪いと,1.43612870580869e-14,1,0,0,0,0,6,0,4,0,1,0,0,0,1,1,1,0,2,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,2,0,4,0,0,0,0
が良いので,1.40185028015107e-14,0,6,0,1,0,2,1,2,0,1,2,1,2,0,3,1,1,1,0,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,1,0,0,1,0,1,0,0,5,0,0,0,1
が良い,1.39412297630207e-14,1,1,0,0,7,24,8,14,0,4,0,2,4,2,17,0,1,6,0,3,1,1,0,0,0,0,0,0,0,1,0,0,1,2,0,7,1,2,1,1,0,1,0,1,2,24,4,1,0,2
がよい,1.37267517843968e-14,0,0,0,0,2,6,0,3,0,0,0,1,2,0,6,0,0,3,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,1,0,0,0,0,0,1,1,0,0,1,4
は良好です,1.35518927940934e-14,1,0,0,1,0,0,0,3,1,1,0,0,6,0,5,0,3,3,0,9,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0
もいいです,1.26268907728022e-14,0,0,0,1,0,6,1,0,1,0,1,2,3,0,1,0,0,1,0,3,0,0,0,0,0,1,2,0,3,1,0,0,1,0,0,3,0,1,0,1,0,0,0,0,3,9,2,0,0,0
がいい,1.2549547153706e-14,0,3,0,3,9,10,1,4,0,5,1,0,1,0,1,0,1,1,0,1,0,2,0,0,0,0,2,0,0,1,0,0,2,0,0,1,0,0,0,0,0,1,0,0,1,9,1,2,1,2
の高い,1.21558060275081e-14,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,1
がいいので,1.21553460188691e-14,0,2,0,0,1,6,1,0,0,2,1,0,2,0,1,0,0,5,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
は良い,1.19301582852448e-14,0,0,1,0,0,4,1,2,0,3,1,0,2,0,1,0,1,3,0,7,0,2,0,0,1,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,1,1,1,0,7,0,0,0,1
が良いのか,1.1530482446813e-14,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
もいい,1.12803272807865e-14,0,2,0,1,0,0,0,2,0,3,1,0,5,0,1,1,0,0,0,3,0,2,0,0,0,0,1,0,2,0,1,1,0,0,0,2,0,0,0,0,0,3,0,0,0,4,0,2,0,0
は良く,1.12497260632336e-14,0,1,0,0,0,2,1,3,0,2,3,2,2,2,1,0,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,7,1,0,2,0
が良くて,1.07982546937384e-14,1,0,0,0,0,2,1,1,0,2,2,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,2,0,0,0,2
が悪いです,1.07880715094907e-14,0,0,0,0,0,10,0,2,0,0,0,0,2,1,2,1,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,0,0,0,0
もよい,1.0716464060372e-14,0,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
も良いので,1.05894307342007e-14,0,0,0,0,0,4,0,3,0,0,1,0,1,0,0,0,0,1,0,4,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0
もいいですね,1.04123331126832e-14,1,0,2,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
が良くない,1.02778032701207e-14,0,0,0,1,1,5,0,1,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
は良いです,9.82099644863135e-15,1,0,1,2,0,10,1,5,0,4,5,0,6,0,10,0,2,3,0,14,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,2,0,1,0,2,2,10,0,1,6,13,3,1,0,0
は感じです,9.80459276785182e-15,0,0,2,1,0,2,0,0,0,1,0,0,3,1,0,0,0,2,0,3,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,5,0,0,0,1,0,1,0,0,0,2,0,1,1,1
がよいです,9.75467260253823e-15,0,1,0,0,2,1,0,0,0,0,0,0,1,0,5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
がいいと,9.73359724689828e-15,0,0,0,0,0,2,0,4,0,1,0,2,0,0,3,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0
が感じます,9.70088130954046e-15,0,0,0,1,0,2,0,3,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1
が高い,9.68410311669093e-15,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,1,0,0,6,0,0,0,0,0,2
はいいと,9.62762680469856e-15,0,0,0,0,0,0,0,4,0,2,0,2,9,0,3,0,0,0,0,0,1,0,0,0,0,1,0,1,0,2,0,0,0,0,0,6,0,1,0,0,1,3,0,0,0,11,1,0,0,3
も悪くなく,9.53339294932781e-15,0,0,1,1,0,0,0,1,1,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0
を考えると,9.5133485326547e-15,0,0,0,0,0,0,0,8,1,0,1,0,3,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,1,12
にある,9.47958522892372e-15,0,0,0,0,0,0,0,0,0,2,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,0,0,1,0,1,0,3,0,0,1,0,0,0,6,0,0,0,3,1,0,0,1
があります,9.46641858039519e-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1,5,1,0,2
もある,9.41444244256137e-15,0,0,1,0,1,0,0,1,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1
のある,9.37308105242758e-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,1,7,0,0,0,0,0,0,2,1,0,0,0,7,0
もいいし,9.36782639925527e-15,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,4,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0
が良いと,9.35196241890226e-15,0,0,0,0,0,2,0,9,2,2,4,2,2,0,6,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,2,0,0,1,13,0,0,1,1
も良いですね,9.1955510776803e-15,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
も気に入っています,9.15480247644981e-15,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,1,3,1,0,0,0,0,0,0,0,0,3,1,1,0,0
が悪いので,9.04082997332731e-15,0,0,0,0,0,5,0,1,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0
があり,9.01761765968649e-15,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,5,0,1,0,1,1,2,1,0
といい,8.74454004627415e-15,2,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,3,0,0,0,2
は良いと,8.62550947986367e-15,0,0,1,0,0,8,1,8,0,5,0,1,10,0,5,0,0,12,0,4,0,1,2,0,0,0,0,0,0,1,0,0,1,0,1,11,0,2,0,0,1,2,0,0,1,19,1,0,1,3
も良くて,8.47086082596105e-15,1,0,0,0,0,0,2,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0
は悪いです,8.38273349042462e-15,0,0,0,1,0,6,0,1,0,0,0,0,3,0,0,0,0,5,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,0
も良い,8.35970273992601e-15,0,1,0,0,0,4,1,1,0,2,1,0,8,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,2,0,0,0,1,0,1,1,1,2,10,0,1,0,0
はいいです,8.31220906275099e-15,1,0,0,1,0,1,0,0,0,7,0,1,4,0,3,0,0,10,0,2,1,0,0,0,0,0,1,0,3,0,0,0,0,0,1,3,0,0,0,0,3,4,0,0,0,11,0,0,1,0
もあります,8.26145174626381e-15,0,0,1,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,2,0,0,0
も良いと,8.11051976194982e-15,0,0,1,0,0,1,0,11,0,2,0,0,6,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,1,0,0,0,0,1,6,0,0,1,0
にありません,7.93789048673355e-15,0,0,0,0,0,1,0,0,1,2,0,0,3,1,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,3,0,0,0,1
も良好,7.91876087904217e-15,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
はいいですね,7.90225206782155e-15,0,0,0,0,0,2,0,2,0,4,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0,3,0,0,0,0,0,1,1,0,0,0,2,1,0,2,0
がなります,7.84620776014436e-15,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,4,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,1
は良いのですが,7.77756469494345e-15,0,0,1,0,0,1,1,0,0,1,0,0,4,0,0,0,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0
も満足しています,7.73469977577756e-15,0,0,0,4,0,1,0,1,0,1,0,0,2,0,0,0,0,0,0,2,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,11,0,0,1,0
もありません,7.65137666793539e-15,0,0,0,1,0,0,0,0,0,8,0,0,1,1,1,0,1,1,0,5,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,1,0,1,0,1,1,1,0,0,0,6,1,0,2,0
がイマイチ,7.61090751204635e-15,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
で満足しています,7.6042625461742e-15,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,8,3,0,0,1
はありません,7.60242526583711e-15,0,0,0,1,1,9,1,0,0,6,4,1,11,0,4,0,1,11,0,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1,0,3,6,8,1,2,2,18,6,0,1,1
も高く,7.58193483845891e-15,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,0,0,0,0,0,0
は落ちますが,7.41435112711499e-15,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,5,0,0,0,1
が悪いのと,7.37312702677646e-15,0,0,0,0,0,3,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
は良いようです,7.3139389597438e-15,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
が良くなりました,7.31318311966048e-15,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0
が違います,7.28366353123045e-15,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0
が良いとは,7.2533992415331e-15,0,0,1,0,0,1,0,0,0,1,1,0,0,0,2,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
がよいので,7.22093813301337e-15,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
は最高です,7.21367196885479e-15,0,0,0,2,0,1,0,0,0,4,1,1,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,7,2,2,0,0
も好きです,7.14430063188025e-15,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
を考えて,7.11298478174424e-15,0,0,0,0,0,0,0,2,0,0,0,0,2,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
にあり,7.09755685645619e-15,0,0,0,0,0,1,0,0,0,4,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0
がよいと,7.0818939795345e-15,0,0,0,0,0,0,0,0,0,2,0,1,1,0,1,0,0,1,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
はいい,7.0739169337208e-15,0,0,0,0,0,1,1,1,0,1,1,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0
も良いし,7.04857443468552e-15,1,0,0,0,0,3,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0
をします,7.03631762717798e-15,0,0,0,2,0,0,0,0,0,17,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
がよければ,7.02834641209416e-15,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,2,0,0,0,0
がいいですね,7.02061772082962e-15,0,0,0,0,1,0,0,1,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,1,0,2,0,0,1,1,1,0,0,1
が好きです,6.9869839678723e-15,0,0,0,6,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,8,0,0,0
は方だと,6.95656520716943e-15,0,0,0,1,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0
が悪いのが,6.85565957932704e-15,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
もきれいで,6.79578412577989e-15,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
はよく,6.7691583659856e-15,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,2,0,0,0,1
もあって,6.73764621438993e-15,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,1,0
がよくない,6.73740869329202e-15,0,1,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
は違いますが,6.72301036763217e-15,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
は満足しています,6.70453878050218e-15,0,0,0,0,0,0,0,0,0,3,2,0,1,1,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,8,0,1,0,0
はもの,6.69669181191007e-15,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
が高いので,6.66992980862501e-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0
は良いですが,6.61355518196285e-15,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,1,0
がなる,6.5622577246898e-15,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,2,0,0
も抜群です,6.50833556524674e-15,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
が薄い,6.50395433895215e-15,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
が良いという,6.50330986817519e-15,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
が悪いという,6.49564130229871e-15,0,0,0,0,0,3,0,0,0,1,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0
もいいので,6.48130813915364e-15,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,1
は感じますが,6.41901999664428e-15,0,0,0,0,0,1,0,0,0,0,1,0,2,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
は抜群です,6.34708711279862e-15,0,0,0,0,0,1,0,1,0,0,0,1,6,0,0,0,1,17,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
は良かったです,6.34022954389974e-15,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
は良いので,6.32211952528559e-15,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,2,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
に満足しています,6.32051188075279e-15,0,0,1,0,0,1,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,4,0,0,0,2
もあり,6.31470146807374e-15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1,0,1,4,0,4,0
が良かったので,6.28417101966636e-15,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0
