"",weight,が良く,の良い,がよく,が良いです,が悪い,のよい,もよく,も良く,も良いです,が悪く,が良い,がいいです,がよい,も良好です,がいい,が良いので,が悪いと,もいいです,は良好です,は良く,がいいので,は良い,はいいと,は良いです,が悪いです,もいい,のある,を考えると,も良い,は良いと,が良いと,の悪い,が良くて,が高い,も良いので,はいいですね,も高く,の高い,が感じます,が良くない,が高いので,が悪いので,があります,がいいと,も良いと,も悪くなく,はありません,はいいです,は悪いです,が高く,があり,もいいですね,といい,は感じです,が良いのか,も気に入っています,がよいです,も満足しています,が違います,にありません,もよい,は良いのですが,もいいし,が高いです,もありません,も良いですね,になります,もある,がいいですね,にある,もあり,がイマイチ,もあります,は最高です,は落ちますが,も良いし,を考えれば,も良好,がよいと,は高い
評判,8.80116181003011e-12,0,14,1,0,0,3,0,0,0,0,1,0,0,0,3,6,0,0,0,1,2,0,0,0,0,2,0,0,1,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ホールド感,8.77534305044235e-12,5,3,1,2,5,0,5,6,4,3,3,1,0,2,1,3,0,3,9,1,1,7,0,14,0,3,0,0,1,4,1,0,1,1,4,0,0,0,1,2,0,0,1,1,0,1,9,2,1,1,2,0,2,3,0,0,1,2,0,2,0,3,0,0,5,0,0,1,0,0,1,1,0,0,0,0,1,0,3,0
相性,8.41519570507078e-12,1,1,0,2,0,0,0,3,3,0,2,0,1,0,0,1,0,2,0,2,0,0,2,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
デザイン,8.35022419147147e-12,3,1,1,2,0,0,1,7,2,0,7,0,1,0,1,2,0,3,1,0,0,2,6,2,0,2,1,0,2,11,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,0,3,0,0,0,0,1,5,0,3,0,1,0,0,0,2,3,0,1,0,1,0,4,0,0,0,0,2,0,2,0,0,0,0
気持ち,8.28935338829598e-12,0,13,1,2,0,3,0,0,0,0,7,9,2,0,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0
もち,8.08765596864648e-12,0,0,0,1,7,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,2,1,2,0,0,1,0,1,1,0,1,0,0,2,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0
視認性,8.06384574881922e-12,0,2,1,0,1,0,0,2,0,2,2,1,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
写り,7.90975919706355e-12,4,7,0,1,2,1,1,4,0,0,4,1,0,0,5,1,1,0,1,2,2,3,2,4,0,3,0,0,2,5,2,0,2,0,0,4,1,0,0,0,0,0,0,1,2,1,6,7,0,0,0,0,0,1,0,0,0,1,4,2,1,1,0,0,8,0,3,0,0,2,0,0,1,4,0,1,2,0,2,0
重量バランス,7.56180391190242e-12,3,0,2,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
感度,7.51924806320175e-12,2,1,0,0,2,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ホールド性,7.44699704598019e-12,4,0,1,2,2,0,0,0,0,1,1,0,0,0,1,1,0,0,3,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
描写,7.3933788543776e-12,1,2,0,0,0,0,0,6,3,0,0,1,0,1,1,2,0,1,0,3,1,1,0,5,0,1,0,1,1,0,4,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,7,3,0,5,0,0,0,1,0,0,0,0,0,0
色,7.39091499948782e-12,0,0,0,0,2,0,0,1,0,1,1,1,0,0,2,1,0,0,1,0,1,2,0,0,0,2,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,1,0,0,0,0,1,0,0,1,5,0,0,0,0,1,1,0,0,0,0,0,0,0
質,7.241097232851e-12,1,4,0,1,2,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
画質,7.11740057483108e-12,6,2,1,6,12,1,11,14,5,0,24,6,1,2,9,5,4,9,2,7,1,7,11,13,4,4,0,2,10,19,13,2,2,0,0,2,0,0,0,1,0,2,1,1,6,3,18,11,3,0,1,1,3,2,1,3,0,11,2,3,0,4,2,0,6,0,5,0,1,3,1,1,0,7,5,2,2,1,0,0
精度,7.08381234710976e-12,2,2,0,0,2,0,0,1,1,0,2,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,4,2,0,3,1,0,0,3,0,1,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2
描写力,6.77282583583854e-12,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,2,1,0,1,0,0,4,1,0,1,0,0,0,1,0,3,0,0,1,0,2,0,0,0,0,0,2,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,3,1,0,0,0,1,0,0,1,0,0
見た目,6.75421386583969e-12,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0
感触,6.70789215261879e-12,1,0,0,2,0,0,1,0,1,0,2,0,1,0,1,0,0,3,0,0,0,0,0,6,1,0,1,1,2,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
反応,6.66712046347042e-12,1,2,1,0,2,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
音,6.59890204979712e-12,0,0,0,0,1,0,0,1,0,1,0,2,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
操作感,6.4418528943079e-12,0,0,0,0,0,0,2,0,0,0,1,0,1,1,2,0,0,1,2,1,0,1,0,1,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ボケ味,6.35267719049731e-12,0,0,0,1,0,0,0,1,2,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
解像度,6.30265076309337e-12,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,2,0,0,1,0,1,0,1,1,0,2,0,1,0,0,0,0,6,0,0,7,5,0,0,2,1,0,0,0,0,2,0,0,8,1,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0
シャッター音,6.29315153214055e-12,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0
性能,6.25812204101706e-12,0,5,0,0,0,0,0,3,0,0,2,0,4,0,2,1,0,0,0,0,1,1,3,0,0,0,0,12,0,3,1,0,2,2,0,0,0,1,1,0,0,0,2,0,0,0,1,0,0,1,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,5,0,0,0
質感,6.20534722397691e-12,5,1,1,2,1,0,2,5,2,0,4,1,1,2,4,0,0,5,1,0,0,0,2,4,0,0,2,0,6,4,1,0,1,9,0,1,4,5,1,0,0,0,3,0,3,1,2,5,0,6,4,0,4,4,0,2,0,1,1,0,0,1,0,2,0,0,0,0,2,1,3,0,2,4,1,0,0,0,0,2
取り回し,6.14849983408202e-12,0,0,1,1,0,1,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
出来,5.99171745788476e-12,0,5,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ヌケ,5.95153304117704e-12,2,5,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
位置,5.90454788890835e-12,0,0,0,0,5,0,1,0,0,3,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0
AF精度,5.63084179466171e-12,0,1,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
配置,5.56715299196153e-12,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
コストパフォーマンス,5.5525670331682e-12,1,5,0,0,0,0,1,1,0,0,5,0,3,0,1,0,0,0,0,0,1,0,1,4,0,1,0,10,0,8,2,0,0,14,0,3,4,36,0,0,2,0,0,0,2,0,0,1,0,4,0,3,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,9,0,0,3,0,2,2
コントラスト,5.53938596018984e-12,0,1,1,0,0,0,0,1,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,11,1,0,2,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
補正,5.42063239503172e-12,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,7,1,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,2,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0
切れ,5.21405001219815e-12,3,4,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
色合い,5.19064365652379e-12,0,1,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
画像,5.13770997359726e-12,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,3,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,1,0,5,0,1,0,0,0,0,1,0,0,1,0,0,0
ボケ,5.02803097739825e-12,0,0,0,1,0,0,0,4,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0
天気,4.98209705344564e-12,0,15,0,0,0,1,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
条件,4.9791593595095e-12,0,2,0,0,2,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
レンズ,4.93507236074e-12,1,5,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,3,10,0,3,0,0,1,2,2,2,1,0,0,1,0,0,1,0,0,0,0,1,0,0,8,4,0,0,5,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,3,1,2,6,0,0,0,0,0,0,0,0,1,1
音質,4.82476617672947e-12,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
液晶,4.76912110962667e-12,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,7,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,2,2,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1
解像感,4.76161531457422e-12,0,0,0,0,1,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0,0,1,0,0,0,2,0,0,0,1,0,0,0,0,4,0,1,0,0,0,0,2,8,0,3,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,1
電池持ち,4.73290940878774e-12,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ホールド,4.68565510970018e-12,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
カメラ,4.64420731481183e-12,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,6,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,2,0,2,0,0,0,0,0,0,0
重さ,4.59189252203116e-12,0,0,0,0,0,0,0,2,0,0,3,1,1,0,2,0,0,2,0,0,0,0,0,2,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,2,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,3,0,1,0,0,0,0,0,0,0
バッテリー,4.55765589303007e-12,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,5,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,9,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
フィーリング,4.45997331737448e-12,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ボケ具合,4.43780871712625e-12,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AF,4.4375817012992e-12,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,6,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
大きさ,4.41732188800098e-12,0,0,0,2,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,2,0,0,1,8,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,2,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
グリップ感,4.29120710378843e-12,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
機動性,4.10191582455016e-12,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,1,0,1,1,0,0,0
使用頻度,4.07321610360592e-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11,0,0,1,10,0,0,3,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
キレ,4.03631130864769e-12,0,2,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
・画質,4.01626214826187e-12,0,0,0,0,1,0,0,0,0,0,2,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
機能性,3.96581464611904e-12,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1,1,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
