"",weight,バランス,色乗り,持ち,使い勝手,発色,色のり,レスポンス,評判,気持ち,操作性,携帯性,視認性,ホールド感,相性,色,写り,重量バランス,デザイン,もち,描写,感度,ホールド性,質,反応,画質,音,見た目,精度,描写力,取り回し,ボケ味,出来,ヌケ,操作感,感触,シャッター音,位置,解像度,配置,性能,画像,補正,コントラスト,AF精度,天気,条件,切れ,色合い,質感,ボケ,音質,電池持ち,カメラ,感じ,ボケ具合,コストパフォーマンス,ホールド,レンズ,液晶,バッテリー,AF,大きさ,グリップ感,重さ,フィーリング,解像感,・画質,ファインダー,動画,気分
が悪く,6.98082156000018e-13,2,0,6,1,0,0,1,0,0,0,2,2,3,0,1,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
がいいです,6.55762650533529e-13,3,2,6,12,0,1,0,0,9,3,1,1,1,0,1,1,1,0,0,1,0,0,0,1,6,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0
も良好です,6.17860961575202e-13,0,1,1,1,0,1,2,0,0,3,0,0,2,0,0,0,1,0,0,1,1,0,0,0,2,0,1,0,1,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
が良い,6.1529088040519e-13,14,1,24,17,0,0,8,1,7,4,6,2,3,2,1,4,0,7,1,0,0,1,0,0,24,0,0,2,0,0,0,1,0,1,2,0,0,1,0,2,1,0,1,0,2,1,1,0,4,1,1,0,0,4,0,5,1,1,1,1,1,0,1,3,0,0,2,0,1,0
がよい,6.07655872315423e-13,3,0,6,6,0,0,0,0,2,2,3,0,0,1,0,0,0,1,1,0,0,0,0,0,1,2,0,1,0,0,0,0,0,1,1,0,0,0,0,4,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,3,1,0,0,0,0,0,0,1,0,0,1,0,0,0
が良いので,6.04969689513747e-13,2,0,2,3,1,0,1,6,0,2,1,0,3,1,1,1,0,2,0,2,1,1,0,0,5,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
が悪いと,5.94006490450363e-13,4,1,6,1,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,1,0,1,0,4,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
がいい,5.7824666227913e-13,4,0,10,1,3,0,1,3,9,1,1,0,1,0,2,5,0,1,1,1,0,1,0,0,9,0,2,0,0,0,0,0,0,2,1,0,0,0,0,2,0,1,0,0,0,0,0,0,4,2,0,0,0,1,0,1,0,1,0,0,0,1,1,2,0,0,2,0,0,1
は良好です,5.71541328376355e-13,3,1,0,5,1,0,0,0,0,6,3,0,9,0,1,1,1,1,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
もいいです,5.48260083915114e-13,0,0,6,1,1,0,1,0,0,3,1,0,3,2,0,0,1,3,1,1,0,0,0,0,9,0,2,1,0,0,3,0,0,1,3,0,1,0,0,0,1,0,0,0,0,0,0,0,5,0,1,0,0,2,1,0,0,0,1,1,0,1,0,2,1,0,0,0,0,0
は良く,5.33364952594306e-13,3,0,2,1,0,0,1,1,0,2,4,2,1,2,0,2,0,0,0,3,0,0,0,0,7,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
の悪い,5.13375333352039e-13,0,0,0,0,0,1,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,4,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
は良い,5.12385785869209e-13,2,0,4,1,0,1,1,0,0,2,3,0,7,0,2,3,0,2,0,1,0,1,0,0,7,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
がいいので,5.06168992214087e-13,0,0,6,1,0,0,1,2,1,2,5,0,1,0,1,2,0,0,1,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
もいい,4.89215651205435e-13,2,0,0,1,1,0,0,2,0,5,0,0,3,0,2,3,0,2,0,1,1,0,0,0,4,0,1,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,1,3,0,0,3,0,0,0,0,0,0,0,0,0
が悪いです,4.73633877465401e-13,2,0,10,2,0,0,0,0,0,2,1,1,0,0,0,0,0,0,2,0,1,0,0,0,4,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
はいいと,4.68284325437812e-13,4,0,0,3,0,0,0,0,0,9,0,0,0,2,0,2,0,6,2,0,0,0,0,0,11,0,0,1,0,1,0,1,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,1,0,3,0,0,0,1,0,0,0,0,1,0,0,0
が良くて,4.64166037047003e-13,1,1,2,1,0,0,1,0,0,0,1,0,1,0,0,2,0,0,1,2,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
が良いと,4.62443950790654e-13,9,0,2,6,0,0,0,0,0,2,1,0,1,2,0,2,2,1,1,4,1,0,0,0,13,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0
も良い,4.60742837982871e-13,1,0,4,1,0,0,1,1,0,8,1,0,1,0,1,2,0,2,0,1,0,0,0,0,10,0,0,0,0,0,0,0,0,2,2,1,0,1,0,0,1,0,0,0,0,0,0,1,6,1,0,1,0,0,2,0,0,1,0,0,0,0,2,3,1,0,1,1,0,0
も良いので,4.53973048628059e-13,3,0,4,0,0,0,0,0,0,1,1,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,2,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0
の高い,4.46141551153546e-13,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,1,0,0,11,1,0,0,0,0,5,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,1,0,0,0,0
は良いです,4.44042698552507e-13,5,1,10,10,2,1,1,0,0,6,3,0,14,0,0,4,0,2,1,5,0,2,0,0,13,0,0,1,1,0,0,1,0,1,6,0,0,1,0,0,2,0,0,1,0,0,0,0,4,1,0,0,2,3,0,4,5,10,7,5,2,2,1,2,1,1,0,1,0,0
はいいですね,4.37595304081068e-13,2,0,2,0,0,0,0,0,0,1,0,0,0,0,1,4,0,0,2,0,0,0,0,0,2,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1,1,1,3,1,1,0,1,0,0,1,0,0,0,1,0,0,0
が高い,4.30283012870155e-13,2,0,0,0,0,0,0,0,0,3,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,4,1,0,0,0,0,0,0,0,0,6,0,2,0,0,5,1,0,0,0,0,9,0,0,0,1,0,0,14,0,0,0,1,0,0,0,0,0,2,0,0,0,0
を考えると,4.27454527525322e-13,8,0,0,4,0,0,0,0,0,3,3,0,0,0,0,0,1,0,1,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,8,0,1,0,0,0,0,0,0
が感じます,4.2741588988961e-13,3,0,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0
が良くない,4.25375915817481e-13,1,0,5,1,1,0,0,0,1,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
がいいと,4.23158080250942e-13,4,0,2,3,0,0,0,0,0,0,1,0,1,2,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
が良いのか,4.15314900864133e-13,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
が悪いので,4.15156230945312e-13,1,0,5,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
も悪くなく,4.14026421514115e-13,1,0,0,1,1,1,0,0,0,1,1,0,1,0,0,1,1,1,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
は良いと,4.08507623038994e-13,8,0,8,5,0,1,1,0,0,10,12,0,4,1,1,5,0,11,1,0,0,0,0,2,19,0,0,2,1,0,0,0,0,1,1,0,0,0,0,3,0,1,0,0,0,0,0,1,4,0,0,0,1,1,0,8,1,2,2,1,0,1,0,0,0,1,0,2,0,0
があります,4.0330142739594e-13,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,2,1,0,0,0,0,1,1,0,3,1,0,0,0,5,0,0,1,0,1,0,0,0,0,2,0,4,0,0,1,0
はいいです,4.02087376687655e-13,0,1,1,3,1,0,0,0,0,4,10,0,2,1,0,7,0,3,0,0,0,0,0,0,11,0,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,5,0,1,0,3,0,0,1,0,4,1,0,0,2,0,2,2,0,0,0,1,0
もいいですね,3.98497235873051e-13,0,1,2,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
のある,3.9704746305839e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,1,0,0,2,0,0,0,7,0,0,0,0,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,6,0,0,0,0
は感じです,3.90545249304414e-13,0,0,2,0,1,2,0,0,0,3,2,1,3,0,1,1,0,5,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0,1,4,1,0,0,0,0,0,0,0,1,2,4,0,1,0,0,0,1,0,0,1,0
もよい,3.90171285344045e-13,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
も良いと,3.89590846769815e-13,11,0,1,1,0,1,0,0,0,6,2,0,0,0,0,2,0,4,0,0,0,0,0,0,6,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,3,0,0,0,0,0,0,2,1,0,1,0,2,1,0,0,0,1,0,0,1,0
も満足しています,3.8820198407214e-13,1,0,1,0,4,0,0,0,0,2,0,0,2,0,1,1,0,1,0,0,0,0,1,0,11,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0
も高く,3.85367435817577e-13,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,7,0,0,0,0,5,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
といい,3.84713537757572e-13,0,2,0,0,2,0,0,0,0,1,1,0,2,0,0,0,0,1,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,4,0,0,0,0,0,1,1,0,1,2,0,0,1,0,0,0,3,0,0,0,0
がよいです,3.83739224525905e-13,0,0,1,5,0,0,0,1,2,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
も気に入っています,3.76593862182443e-13,0,0,0,1,1,0,0,0,0,0,0,0,0,1,3,0,0,3,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
もいいし,3.75669961160897e-13,0,0,0,1,2,1,0,0,0,0,4,0,0,0,1,0,0,3,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
は悪いです,3.72880706526494e-13,1,0,6,0,1,0,0,0,0,3,5,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0
も良いですね,3.66413491075927e-13,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
はありません,3.65906920678189e-13,0,0,9,4,1,0,1,0,1,11,11,0,9,1,0,6,0,0,0,4,0,1,0,0,18,0,0,1,2,0,1,0,0,0,2,0,0,2,0,1,3,1,0,1,0,0,0,0,2,0,2,1,6,6,0,0,1,8,1,9,6,2,1,1,0,0,0,0,0,0
にありません,3.64089518003771e-13,0,0,1,1,0,0,0,0,0,3,1,1,2,0,0,2,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
もある,3.63618917280447e-13,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
が高いので,3.5674314813371e-13,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,2,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
がイマイチ,3.48169456113865e-13,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
にある,3.47937226602873e-13,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,5,0,0,0,0,3,0,0,1,3,1,0,0,0,1,0,0,8,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,6,2,0,1,0,0,1,0,0,0,0,1,0
も良好,3.47545863664204e-13,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
は良いのですが,3.4494386376354e-13,0,0,1,0,0,1,1,0,0,4,5,0,3,0,0,1,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0
もあります,3.39479343215606e-13,0,0,2,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,2,0,0,0,0,0,0,1,1,0,1,0,3,0,0,1,0
が違います,3.37519688715608e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,1,0,2,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
もありません,3.36727044575465e-13,0,0,0,1,1,0,0,0,0,1,1,1,5,0,0,8,0,1,0,0,0,1,0,0,6,0,0,1,1,0,3,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0
があり,3.34505840699402e-13,0,0,0,0,1,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,4,0,4,2,0,0,1,1,0,0,0,5,0,0,1,1,0,4,0,8,0,0,0,0
は落ちますが,3.32998687391978e-13,0,0,1,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
がいいですね,3.31018373958244e-13,1,0,0,4,0,0,0,0,1,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
も良くて,3.26762232587236e-13,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
が高く,3.21566704153814e-13,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8,0,1,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0
で満足しています,3.1759019111189e-13,0,0,0,0,0,2,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,2,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
も良いし,3.17123905563479e-13,0,1,3,0,0,0,0,0,0,1,1,0,0,0,0,1,0,2,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
を考えて,3.15775485711338e-13,2,0,0,1,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
がよいと,3.13788578559349e-13,0,0,0,1,0,0,0,0,0,1,1,0,3,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
は高い,3.12140711720294e-13,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,1,0,0,0,0
に満足しています,3.11797094341675e-13,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
がなります,3.11575002204062e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0,0,2,0,1,0,0,0,0,0,0
もなく,3.11371968441244e-13,1,0,1,1,2,0,0,0,0,2,1,0,0,0,1,0,0,0,0,1,0,0,0,0,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
