"",weight,が良く,の良い,がよく,のよい,が悪い,もよく,が良いです,も良いです,も良く,が悪く,がいいです,が良い,がよい,が良いので,も良好です,が悪いと,がいい,は良好です,もいいです,は良く,がいいので,の悪い,は良い,が悪いです,もいい,が良いと,も良い,が良くて,はいいと,は良いです,も良いので,が高い,はいいですね,の高い,が感じます,が良くない,は良いと,が悪いので,も高く,がいいと,が高いので,が良いのか,があります,も悪くなく,はいいです,もいいですね,は感じです,も良いと,のある,がよいです,もよい,も満足しています,といい,が高く,を考えると,は悪いです,も良いですね,も気に入っています,にありません,もいいし,もある,はありません,がイマイチ,が高いです,にある,は良いのですが,があり,もあります,は落ちますが,も良好
色,1.11183470303859e-11,0,0,0,0,2,0,0,0,1,1,1,1,0,1,0,0,2,1,0,0,1,0,2,0,2,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,3,0,1,0,0,1,0,0,0,0,1,0,0
写り,1.11061929224369e-11,4,7,0,1,2,1,1,0,4,0,1,4,0,1,0,1,5,1,0,2,2,0,3,0,3,2,2,2,2,4,0,0,4,0,0,0,5,0,1,1,0,0,0,1,7,0,1,2,0,0,1,1,0,0,0,0,0,0,2,0,0,6,0,0,2,1,0,1,0,0
重量バランス,1.09812145143792e-11,3,0,2,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
デザイン,1.08886071681012e-11,3,1,1,0,0,1,2,2,7,0,0,7,1,2,0,0,1,1,3,0,0,0,2,0,2,1,2,0,6,2,0,0,0,0,0,0,11,0,0,1,0,0,0,1,3,0,5,4,1,0,0,1,1,0,0,0,0,3,0,3,0,0,0,0,0,2,0,0,0,0
もち,1.08631031251322e-11,0,0,0,0,7,0,1,1,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,2,0,1,0,1,2,1,0,0,2,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
描写,1.08594386658562e-11,1,2,0,0,0,0,0,3,6,0,1,0,0,2,1,0,1,0,1,3,1,0,1,0,1,4,1,2,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,3,4,0,0,5,0,0,0,0,0
感度,1.06078723177101e-11,2,1,0,0,2,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ホールド性,1.05730889148516e-11,4,0,1,0,2,0,2,0,0,1,0,1,0,1,0,0,1,3,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
質,1.00616151264303e-11,1,4,0,1,2,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
反応,9.5787551391528e-12,1,2,1,0,2,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
画質,9.55092620840816e-12,6,2,1,1,12,11,6,5,14,0,6,24,1,5,2,4,9,2,9,7,1,2,7,4,4,13,10,2,11,13,0,0,2,0,0,1,19,2,0,1,0,1,1,3,11,1,2,6,0,0,0,11,3,0,2,3,0,3,3,2,0,18,1,0,3,4,1,0,5,1
音,9.50307915562726e-12,0,0,0,0,1,0,0,0,1,1,2,0,2,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0,0
見た目,9.49111160956511e-12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
精度,9.43343308038751e-12,2,2,0,0,2,0,0,1,1,0,0,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2,4,0,1,0,0,2,0,3,0,3,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0
描写力,9.29230181013975e-12,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,2,0,1,0,0,0,0,0,0,1,0,1,3,0,1,0,1,0,0,0,2,0,0,0,1,0,0,0,4,0,0,0,0,1,1,0,0,1,0,0,0,2,0,0,3,0,0,0,1,1
取り回し,8.92113030616557e-12,0,0,1,1,0,0,1,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ボケ味,8.83165721479893e-12,0,0,0,0,0,0,1,2,1,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
出来,8.79052078872633e-12,0,5,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ヌケ,8.74757967176633e-12,2,5,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
操作感,8.68566619921363e-12,0,0,0,0,0,2,0,0,0,0,0,1,1,0,1,0,2,2,1,1,0,0,1,0,0,0,2,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
感触,8.62876327415582e-12,1,0,0,0,0,1,2,1,0,0,0,2,1,0,0,0,1,0,3,0,0,0,0,1,0,1,2,1,0,6,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1
シャッター音,8.6268748844672e-12,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0
位置,8.45102930978628e-12,0,0,0,0,5,1,0,0,0,3,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0
解像度,8.35777383518005e-12,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,2,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,6,0,5,0,0,0,1,7,0,2,0,0,0,0,0,0,0,2,0,0,0,0,8,0,0,1,0,0,0,0,2,0,2,0,0,1,1,1,1
配置,8.28002365105859e-12,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
性能,7.94256057214448e-12,0,5,0,0,0,0,0,0,3,0,0,2,4,1,0,0,2,0,0,0,1,0,1,0,0,1,0,2,3,0,0,2,0,1,1,0,3,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,2,1,12,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0
画像,7.54033385675336e-12,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0
補正,7.45964421793536e-12,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,7,0,1,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0
コントラスト,7.43169120529094e-12,0,1,1,0,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,11,1,0,0,0,5,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
AF精度,7.35050707118523e-12,0,1,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0
天気,7.28212910361802e-12,0,15,0,1,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
条件,7.24434251816597e-12,0,2,0,0,2,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
切れ,7.14832374753795e-12,3,4,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,4,0,0,0
色合い,7.14366668522443e-12,0,1,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
質感,7.07886899222415e-12,5,1,1,0,1,2,2,2,5,0,1,4,1,0,2,0,4,1,5,0,0,0,0,0,0,1,6,1,2,4,0,9,1,5,1,0,4,0,4,0,0,0,3,1,5,0,4,3,2,0,0,1,4,6,0,0,0,2,0,0,0,2,0,2,1,1,4,2,1,0
ボケ,6.99010914992997e-12,0,0,0,0,0,0,1,1,4,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0
音質,6.87961946564104e-12,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1
電池持ち,6.86852295404237e-12,0,0,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
カメラ,6.83593327284949e-12,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,0,1,1,0,0,0,1,0,0,1,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,2,0,0
感じ,6.54120458341139e-12,0,0,0,0,0,0,1,1,0,0,2,4,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,6,0,0,1,0,1,2,0,0
ボケ具合,6.36225970742276e-12,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
コストパフォーマンス,6.32233604547261e-12,1,5,0,0,0,1,0,0,1,0,0,5,3,0,0,0,1,0,0,0,1,0,0,0,1,2,0,0,1,4,0,14,3,36,0,0,8,0,4,0,2,0,0,0,1,3,0,2,0,0,0,0,1,4,10,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
ホールド,6.29817734313208e-12,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
レンズ,6.23406464174207e-12,1,5,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,2,1,0,3,2,1,1,3,10,0,0,1,0,1,0,2,0,0,1,0,0,0,0,4,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,8,0,0,6,0,5,0,0,0
液晶,6.18151753812413e-12,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,7,0,0,0,0,1,0,2,0,0,0,0,0,1,0,1,0,2,1,0,0,0,1,2,0,0,0,0,1,0,0,0,1,0,0,2,1,0,0,0,0
バッテリー,6.17894873688643e-12,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,5,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,1,0,0,0,0,9,0,0,0,0,0,0,0,0
AF,6.08603796302355e-12,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,1,0,0,6,0,0,1,0,1,1,0,0
大きさ,6.03599582701604e-12,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,1,1,0,0,0,1,0,8,0,0,1,0,0,0,2,0,0,0,0,1,1,0,0
グリップ感,6.02467806365214e-12,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
重さ,5.9689695785447e-12,0,0,0,0,0,0,0,0,2,0,1,3,1,0,0,0,2,0,2,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,4,1,0,0
フィーリング,5.95324627226977e-12,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
解像感,5.90688936073993e-12,0,0,0,0,1,1,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,1,0,0,0,0,0,4,0,0,0,1,1,6,0,0,0,3,2,0,0,0,0,0,0,0,0,0,2,0,1,8,3,0,0
・画質,5.57016206995506e-12,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ファインダー,5.41071359633679e-12,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
動画,5.35758906971352e-12,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0
気分,5.34381150939454e-12,0,1,0,0,1,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
使用頻度,5.29837201345015e-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,10,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0
撮影,5.22644205063502e-12,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
機能性,5.20848595803442e-12,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,1,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
・操作性,5.10226089636869e-12,1,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0
値段,5.02159879055786e-12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,9,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,2,27,0,0,1,0,0,0,0,0,2,0,0,0,1,0,0
グリップ,5.00410099147902e-12,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
キレ,4.97428402007891e-12,0,2,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
トータルバランス,4.93669187496279e-12,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
描写性能,4.87068950644768e-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0
完成度,4.8586831243043e-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,37,0,0,0,0,3,0,2,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
