"",weight,が良く,の良い,も良く,がよく,が悪い,もよく,が良いです,も良いです,が良い,のよい,の高い,が高い,が悪く,がいいです,がよい,が良いので,がいい,もいいです,は良いです,も良好です,が高く,も高く,が悪いと,は良好です,は良く,が高いです,が高いので,は良いと,も良い,がいいので,が良いと,は良い,のある,もいい,も良いので,が良くて,も良いと,が悪いです,はいいと,はいいですね,はいいです,は高い,はありません,が感じます,の悪い,は感じです,といい,がいいと,は良いのですが,は最高です,が高いと,は高く,が良くない,も高い,があり,も満足しています,も悪くなく,が悪いので,は悪いです,もありません,にありません,は高いと,が違います,を考えると,が低い,も気に入っています,もいいですね,もあり,がよいです,がいいですね,は落ちますが,にある,がイマイチ,が良いのか,は抜群です,がよいと,もある,はよいと,も良いですね,はよいです,も含めて,もいいし,も良いし,はあり,にあり,はいい,を考えて,があります,もなく,はよく,もよい,もいいと,が違う,も良好,は良いですね,は満足しています,は思います,がある,もあって,は素晴らしいです
相性,1.40397863899806e-12,1,1,3,0,0,0,2,3,2,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,2,0,0,1,0,0,2,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
デザイン,1.39888952218981e-12,3,1,7,1,0,1,2,2,7,0,0,0,0,0,1,2,1,3,2,0,0,0,0,1,0,0,0,11,2,0,1,2,1,2,0,0,4,0,6,0,3,0,0,0,0,5,1,1,2,2,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,3,0,1,2,3,2,5,0,0,0,0,0,1,0,5,0,0,2,2,11,0,1,0
色のり,1.39001886920697e-12,1,1,0,2,0,6,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
精度,1.36947582852991e-12,2,2,1,0,2,0,0,1,2,0,1,4,0,0,1,1,0,1,1,0,0,3,0,0,0,1,3,2,0,0,0,0,0,0,2,0,2,0,1,0,0,2,1,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
評判,1.3640800012256e-12,0,14,0,1,0,0,0,0,1,3,3,0,0,0,0,6,3,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,2,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
携帯性,1.35083044255363e-12,2,11,12,0,3,6,5,2,6,0,0,1,2,1,3,1,1,1,3,0,0,1,2,3,4,0,1,12,1,5,1,3,0,0,1,1,2,1,0,0,10,0,11,0,0,2,1,1,5,1,1,0,0,0,0,0,1,2,5,1,1,0,0,3,0,0,1,0,0,0,3,0,0,0,17,1,0,2,0,3,0,4,1,0,1,0,2,0,1,0,0,1,0,0,1,2,12,0,0,1
気持ち,1.31453537545437e-12,0,13,0,1,0,0,2,0,7,3,0,0,0,9,2,0,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
もち,1.30124883471262e-12,0,0,0,0,7,0,1,1,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,2,2,2,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
描写,1.29249827986127e-12,1,2,6,0,0,0,0,3,0,0,0,0,0,1,0,2,1,1,5,1,0,0,0,0,3,0,0,0,1,1,4,1,0,1,1,2,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,5,0,0,0,0,3,0,0,0,2,0,0,4,0,1,0,0,1,1,1,2,0,0,0,2,5,0,0,0
解像度,1.27018163502932e-12,0,0,1,0,1,1,0,0,1,0,5,6,0,0,0,0,0,0,1,0,8,7,2,0,1,2,2,0,1,0,0,1,2,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0,2,1,0,0,1,0,0,0,0,1,0,4,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,3,0,0
視認性,1.26520709041864e-12,0,2,2,1,1,0,0,0,2,0,0,0,2,1,0,0,0,0,0,0,0,1,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
感度,1.23811793443656e-12,2,1,0,0,2,0,0,0,0,0,2,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
色,1.21557835124129e-12,0,0,1,0,2,0,0,0,1,0,0,0,1,1,0,1,2,0,0,0,0,0,0,1,0,0,0,1,1,1,0,2,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
コストパフォーマンス,1.19178053756426e-12,1,5,1,0,0,1,0,0,5,0,36,14,0,0,3,0,1,0,4,0,4,4,0,0,0,4,2,8,0,1,2,0,0,1,0,0,2,0,1,3,1,2,0,0,0,0,1,0,0,9,6,0,0,3,0,0,0,0,0,0,0,24,0,10,0,0,3,0,0,0,0,0,0,0,2,2,0,2,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,2,0,0,3
質,1.18552523122353e-12,1,4,1,0,2,0,1,0,0,1,2,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
描写力,1.16257257709621e-12,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,1,0,0,0,1,0,2,1,0,2,0,1,4,0,0,0,0,0,0,3,1,0,2,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
ホールド性,1.15914815655395e-12,4,0,0,1,2,0,2,0,1,0,0,1,1,0,0,1,1,0,2,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
画質,1.15481499008952e-12,6,2,14,1,12,11,6,5,24,1,0,0,0,6,1,5,9,9,13,2,0,0,4,2,7,0,0,19,10,1,13,7,0,4,0,2,6,4,11,2,11,0,18,0,2,2,3,1,4,7,0,2,1,0,1,11,3,2,3,6,3,0,2,2,1,3,1,1,0,1,5,3,1,1,1,0,0,1,0,2,1,2,2,8,1,3,0,1,5,2,0,2,3,1,5,8,28,0,0,4
コントラスト,1.14954014108707e-12,0,1,1,1,0,0,0,0,1,0,11,5,0,3,0,0,0,0,0,0,1,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
感触,1.14370161890514e-12,1,0,0,0,0,1,2,1,2,0,0,0,0,0,1,0,1,3,6,0,0,0,0,0,0,0,0,1,2,0,1,0,1,0,1,1,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
質感,1.14368765277686e-12,5,1,5,1,1,2,2,2,4,0,5,9,0,1,1,0,4,5,4,2,6,4,0,1,0,2,0,4,6,0,1,0,2,0,0,1,3,0,2,1,5,2,2,1,0,4,4,0,1,4,2,0,0,0,4,1,1,0,0,0,0,2,1,0,1,2,0,3,0,2,1,1,0,0,0,0,0,0,0,1,3,0,0,1,0,0,0,3,1,0,0,1,1,0,1,0,2,1,0,1
重量バランス,1.13591779597794e-12,3,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
見た目,1.13344774070884e-12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0
性能,1.12325319423658e-12,0,5,3,0,0,0,0,0,2,0,1,2,0,0,4,1,2,0,0,0,1,0,0,0,0,0,0,3,0,1,1,1,0,0,0,2,0,0,3,0,0,0,1,1,0,1,2,0,0,0,1,1,0,0,0,0,0,0,0,0,1,2,0,12,3,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2,0,1,0,2,0,0,0,0,4,1,0,2
満足度,1.08878438907554e-12,0,0,0,0,0,0,0,0,0,0,45,7,0,0,0,0,0,0,0,0,2,0,0,0,0,16,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0,0,0,0,0,0,3,3,6,0,3,0,0,0,0,0,0,0,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ボケ味,1.04884772550171e-12,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,1,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,2
操作感,1.04342613642776e-12,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,2,1,1,1,0,0,0,2,1,0,0,1,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
シャッター音,1.02687113659219e-12,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
反応,1.01962388038431e-12,1,2,0,1,2,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
音,9.88991192861105e-13,0,0,1,0,1,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
使用頻度,9.79812142177306e-13,0,0,0,0,0,0,0,0,0,0,10,11,0,0,0,0,0,0,0,0,2,1,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
取り回し,9.55983247471434e-13,0,0,2,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AF精度,9.49472952214959e-13,0,1,1,0,2,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
完成度,9.46379730469232e-13,0,0,0,0,0,0,0,0,0,0,37,11,0,0,0,0,0,0,0,0,4,3,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,3,1,0,0,1,0,0,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
解像感,9.44766854916752e-13,0,0,2,0,1,1,0,1,0,0,1,2,1,0,0,0,0,0,1,0,2,0,0,0,0,2,0,1,0,0,0,0,6,0,0,0,1,0,0,0,0,1,0,0,0,1,3,0,1,0,1,1,0,3,8,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,2,1,0
位置,9.10381892021167e-13,0,0,0,0,5,1,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ヌケ,9.08529744845697e-13,2,5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
画像,9.04448271461771e-13,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,3,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0
色合い,8.80874480732013e-13,0,1,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,1,0,0,0,4,0,0,0,3,1,1,0
出来,8.80830694472034e-13,0,5,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,4,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
感じ,8.70202640572232e-13,0,0,0,0,0,0,1,1,4,0,0,0,0,2,0,0,1,2,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,6,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,4,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,2,3,0
ボケ,8.68867082839578e-13,0,0,4,0,0,0,1,1,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0
カメラ,8.6368088383109e-13,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,3,0,6,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,3,2,0,1
評価,8.60456652453536e-13,0,1,0,0,0,0,0,0,0,0,12,4,0,0,0,0,0,0,0,0,4,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
液晶,8.53515523334995e-13,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1,1,0,0,1,1,1,1,0,2,2,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,0,5,0,0,1
切れ,8.16983462772123e-13,3,4,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
