"",weight,バランス,色乗り,持ち,発色,色のり,評判,レスポンス,気持ち,使い勝手,視認性,重量バランス,感度,色,ホールド感,相性,もち,操作性,ホールド性,音,描写,写り,反応,携帯性,質,デザイン,出来,取り回し,ヌケ,見た目,位置,ボケ味,精度,操作感,描写力,配置,シャッター音,感触,天気,解像度,条件,画像,切れ,画質,補正,ボケ,コントラスト,性能,電池持ち,AF精度,カメラ,色合い,質感,感じ,音質,レンズ,大きさ,バッテリー,重さ,グリップ感,AF
も良いです,1.4874433645701e-12,4,2,5,4,0,0,0,0,1,0,0,0,0,4,3,1,9,0,0,3,0,1,2,0,2,0,1,0,0,0,2,1,0,0,1,0,1,0,0,0,0,0,5,1,1,0,0,1,0,0,1,2,1,0,0,0,1,0,1,0
がいいです,1.38929686861965e-12,3,2,6,0,1,0,0,9,12,1,1,0,1,1,0,0,3,0,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,0,0,3,0,0,0,0,0,1,2,0,0,1,0,1,1,1
も良好です,1.31238431617396e-12,0,1,1,0,1,0,2,0,1,0,1,1,0,2,0,0,3,0,0,1,0,0,0,0,0,0,0,0,1,0,2,0,1,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
が良いので,1.2649835841178e-12,2,0,2,1,0,6,1,0,3,0,0,1,1,3,1,0,2,1,0,2,1,0,1,0,2,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,5,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
が悪いと,1.2638959560576e-12,4,1,6,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,1,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
が良い,1.25593173751418e-12,14,1,24,0,0,1,8,7,17,2,0,0,1,3,2,1,4,1,0,0,4,0,6,0,7,1,0,0,0,0,0,2,1,0,0,0,2,2,1,1,1,1,24,0,1,1,2,0,0,0,0,4,4,1,1,0,1,3,1,1
がよい,1.21254673821367e-12,3,0,6,0,0,0,0,2,6,0,0,0,0,0,1,1,2,0,2,0,0,0,3,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,1,1,0,0,4,0,0,0,0,1,0,0,0,0,0,1,0,0
の悪い,1.18196160241534e-12,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,4,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
は良好です,1.17954122694014e-12,3,1,0,1,0,0,0,0,5,0,1,0,1,9,0,0,6,3,0,0,1,0,3,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
がいい,1.14124402638819e-12,4,0,10,3,0,3,1,9,1,0,0,0,2,1,0,1,1,1,0,1,5,0,1,0,1,0,0,0,2,0,0,0,2,0,0,0,1,0,0,0,0,0,9,1,2,0,2,0,0,0,0,4,1,0,1,1,0,2,1,0
の高い,1.11040686735313e-12,2,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,11,1,0,1,0,0,5,0,0,0,0,0,0,0,0
もいいです,1.07456222750212e-12,0,0,6,1,0,0,1,0,1,0,1,0,0,3,2,1,3,0,0,1,0,0,1,0,3,0,0,0,2,1,3,1,1,0,0,0,3,0,0,0,1,0,9,0,0,0,0,0,0,0,0,5,2,1,0,1,1,2,0,0
は良い,1.06466764157004e-12,2,0,4,0,1,0,1,0,1,0,0,0,2,7,0,0,2,1,0,1,3,0,3,0,2,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,7,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0
は良く,1.06423290489478e-12,3,0,2,0,0,1,1,0,1,2,0,0,0,1,2,0,2,0,1,3,2,0,4,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,7,2,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
がいいので,1.05356884396593e-12,0,0,6,0,0,2,1,1,1,0,0,0,1,1,0,1,2,0,0,1,2,0,5,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
が悪いです,1.00213228946158e-12,2,0,10,0,0,0,0,0,2,1,0,1,0,0,0,2,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
もいい,9.75866337958787e-13,2,0,0,1,0,2,0,0,1,0,0,1,2,3,0,0,5,0,0,1,3,0,0,0,2,0,0,0,1,0,2,0,0,0,1,1,0,0,0,0,0,0,4,0,2,0,0,0,0,0,1,0,0,0,3,0,0,0,0,3
が良くて,9.53954671437021e-13,1,1,2,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,2,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,2,0,0,1,0,1,0,0,1,0,0,0,0,0
も良いので,9.36470138687212e-13,3,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,2,2,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
が良いのか,9.29477717156804e-13,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
が良いと,9.16048742619465e-13,9,0,2,0,0,0,0,0,6,0,2,1,0,1,2,1,2,0,1,4,2,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,13,1,0,0,1,0,0,1,0,1,0,0,2,0,0,0,0,0
が良くない,9.09887631144598e-13,1,0,5,1,0,0,0,1,1,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
が感じます,9.09645266197636e-13,3,0,2,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0
はいいと,8.98714070976176e-13,4,0,0,0,0,0,0,0,3,0,0,0,0,0,2,2,9,0,0,0,2,0,0,0,6,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,11,0,0,0,3,0,0,1,0,2,1,0,3,1,0,0,0,0
が高い,8.96287326456401e-13,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,1,0,0,0,0,1,1,0,0,0,0,0,0,0,4,0,1,0,0,0,0,6,0,0,0,0,0,0,5,2,0,1,1,0,9,0,0,0,0,1,0,0,0
は良いです,8.8472709875251e-13,5,1,10,2,1,0,1,0,10,0,0,0,0,14,0,1,6,2,0,5,4,0,3,0,2,1,0,0,0,0,0,1,1,1,0,0,6,0,1,0,2,0,13,0,1,0,0,0,1,2,0,4,3,0,10,2,5,2,1,2
がいいと,8.7729248370201e-13,4,0,2,0,0,0,0,0,3,0,0,0,0,1,2,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
を考えると,8.7384937114474e-13,8,0,0,0,0,0,0,0,4,0,1,0,0,0,0,1,3,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,1,0,0,12,0,0,0,0,0,0,0,0,8,0,1,0,0
が悪いので,8.72961779782441e-13,1,0,5,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
もいいですね,8.55124172315928e-13,0,1,2,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
もよい,8.49918261404524e-13,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
は感じです,8.31657780602699e-13,0,0,2,1,2,0,0,0,0,1,0,0,1,3,0,1,3,0,0,0,1,0,2,0,5,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,2,1,1,1,1,0,0,0,1,4,0,0,1,1,4,0,0,0
がよいです,8.25587994926443e-13,0,0,1,0,0,1,0,2,5,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
は良いと,8.21525225630729e-13,8,0,8,0,1,0,1,0,5,0,0,0,1,4,1,1,10,0,0,0,5,2,12,0,11,0,0,0,0,0,0,2,1,1,0,0,1,0,0,0,0,0,19,1,0,0,3,0,0,1,1,4,1,0,2,1,1,0,0,0
があります,8.18608175414151e-13,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,1,1,1,0,1,0,2,0,0,0,0,3,5,0,0,0,0,2,0,0
も悪くなく,8.1467374056747e-13,1,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
も良い,8.12629906825931e-13,1,0,4,0,0,1,1,0,1,0,0,0,1,1,0,0,8,0,0,1,2,0,1,0,2,0,0,0,0,0,0,0,2,0,0,1,2,0,1,0,1,0,10,0,1,0,0,1,0,0,1,6,0,0,1,0,0,3,2,0
のある,7.95781966162156e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,4,0,0,1,0,2,0,0,7,0,7,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0
も良いですね,7.91383682776904e-13,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
も気に入っています,7.90778953946561e-13,0,0,0,1,0,0,0,0,1,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,3,0,1,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0
もある,7.83602231860747e-13,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
もいいし,7.82554672718928e-13,0,0,0,2,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
はいいですね,7.7889428828445e-13,2,0,2,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1,0
も高く,7.66671408430585e-13,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,7,0,0,0,0,0,0,5,0,0,0,0,0,4,0,0,0,0,0,0,0,0
はいいです,7.64985794017713e-13,0,1,1,1,0,0,0,0,3,0,0,0,0,2,1,0,4,0,0,0,7,0,10,0,3,1,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,11,1,0,0,0,0,1,3,0,5,0,1,4,2,0,2,0,0
も良いと,7.6327752031942e-13,11,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,6,0,0,0,2,0,2,0,4,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,1,0,6,1,0,0,0,0,0,0,1,3,0,0,0,1,0,0,0,2
といい,7.61746207980496e-13,0,2,0,2,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,2,0,0,0,1,4,0,0,1,1,0,0,0,0
がイマイチ,7.50222299808004e-13,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
にある,7.44140675950772e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,2,0,0,0,0,0,1,0,0,8,0,1,1,3,1,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,1,1,0,6,0,0,1,0,1
があり,7.41510267849196e-13,0,0,0,1,0,0,0,1,0,0,0,1,0,2,0,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,1,1,2,1,0,0,0,1,0,4,1,0,5,1,0,4,0,1
にありません,7.38934638554509e-13,0,0,1,0,0,0,0,0,1,1,1,0,0,2,0,0,3,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,1,0,2,0,0,0,0,0,1,0,0,1,0,1
も満足しています,7.29143212485408e-13,1,0,1,4,0,0,0,0,0,0,0,0,1,2,0,0,2,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,11,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,2
は悪いです,7.22732138704413e-13,1,0,6,1,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
も良好,7.056187190091e-13,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
が高いので,7.01277606795745e-13,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,2,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0
もあります,6.93648677357376e-13,0,0,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,2,2,0,0,1,0,1,0,1
も良くて,6.8653955665043e-13,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
がなります,6.81907751969323e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,2,2,0,1,0,0
もありません,6.76699228967094e-13,0,0,0,1,0,0,0,0,1,1,0,0,0,5,0,0,1,1,0,0,8,0,1,0,1,0,0,0,0,0,3,1,0,1,0,0,0,0,0,0,1,0,6,2,0,0,0,0,1,1,0,0,1,0,1,1,1,0,0,1
は落ちますが,6.67269221881005e-13,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,5,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
で満足しています,6.63225270826911e-13,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,8,0,0,0,1,0,0,2,1,0,3,0,0,1,0,0,0,0
は良いのですが,6.63049113993825e-13,0,0,1,0,1,0,1,0,0,0,0,0,0,3,0,0,4,0,0,0,1,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
はありません,6.60671979886971e-13,0,0,9,1,0,0,1,1,4,0,0,0,0,9,1,0,11,1,0,4,6,0,11,0,0,0,0,0,0,0,1,1,0,2,0,0,2,0,2,0,3,0,18,1,0,0,1,1,1,6,0,2,6,2,8,2,9,1,1,6
は最高です,6.55332817965876e-13,0,0,1,2,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,1,4,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,7,0,2,0,0,0,0,0,1,4,2,0,0,0,0,0,0,0
も良いし,6.54270644786644e-13,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
がいいですね,6.54248388269137e-13,1,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,2,1,0,2,0,0,0,0,0
は良いようです,6.51104504791551e-13,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
が良くなりました,6.41597979993037e-13,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
を上げる,6.38263118518203e-13,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0
が好きです,6.35482829956459e-13,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,0,0,0,0,1,0,0
が違います,6.32223053789097e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
は方だと,6.27834002957752e-13,0,0,3,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
を考えて,6.2395142511697e-13,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
はいい,6.21000443704748e-13,1,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,2,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
が悪いのと,6.20215940067457e-13,0,0,3,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
がよいと,6.19650141164847e-13,0,0,0,0,0,0,0,0,1,0,0,0,0,3,1,1,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
が良いとは,6.15771894432612e-13,0,0,1,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
もあって,6.1497667873846e-13,0,0,0,1,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,3,0,0,0,0,1,0,0
が悪いのが,6.12459920937215e-13,0,0,3,0,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
がよいので,6.1129205898536e-13,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
は高い,6.08203342457339e-13,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,1,0,0,0,0,0
がよければ,6.06283674955164e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
も好きです,6.02983400327113e-13,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
もなく,6.00964767958416e-13,1,0,1,2,0,0,0,0,1,0,0,0,1,0,0,0,2,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,5,3,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0
はよく,5.98353870911844e-13,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
