"",weight,色のり,色乗り,評判,レスポンス,出来,持ち,バランス,気持ち,重量バランス,発色,相性,写り,視認性,ホールド感,携帯性,ホールド性,反応,質,ヌケ,カメラ,描写,音,描写力,操作性,位置,取り回し,もち,使い勝手,デザイン,感度,配置,レンズ,天気,補正,色,解像度,見た目,ボケ味,切れ,感触
も良いです,2.67437775485827e-12,0,2,0,0,0,5,4,0,0,4,3,0,0,4,2,0,1,0,0,0,3,0,0,9,0,1,1,1,2,0,1,0,0,1,0,0,0,2,0,1
が良い,2.6737314077932e-12,0,1,1,8,1,24,14,7,0,0,2,4,2,3,6,1,0,0,0,0,0,0,0,4,0,0,1,17,7,0,0,1,2,0,1,1,0,0,1,2
がいいです,2.64551224608332e-12,1,2,0,0,0,6,3,9,1,0,0,1,1,1,1,0,1,0,0,0,1,2,0,3,0,0,0,12,0,0,0,0,0,0,1,0,0,0,0,0
も良好です,2.6099547620618e-12,1,1,0,2,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,1,3,0,0,0,1,0,1,0,0,0,0,0,0,1,2,0,0
が悪い,2.52481224396008e-12,0,0,0,6,0,36,6,0,1,2,0,2,1,5,3,2,2,2,0,0,0,1,0,6,5,0,7,7,0,2,0,1,0,0,2,1,0,0,0,0
が悪いと,2.49074357619645e-12,0,1,0,0,0,6,4,0,0,0,0,1,1,0,2,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0
もいいです,2.26469938859376e-12,0,0,0,1,0,6,0,0,1,1,2,0,0,3,1,0,0,0,0,0,1,0,0,3,1,0,1,1,3,0,0,0,0,0,0,0,2,3,0,3
が良いのか,2.13398883037203e-12,0,0,1,0,2,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
が良いので,2.10684128928291e-12,0,0,6,1,0,2,2,0,0,1,1,1,0,3,1,1,0,0,0,1,2,0,1,2,0,1,0,3,2,1,0,0,0,0,1,0,0,0,0,0
は良好です,2.06994723536236e-12,0,1,0,0,0,0,3,0,1,1,0,1,0,9,3,3,0,0,0,0,0,0,0,6,0,0,0,5,1,0,0,0,0,0,1,0,0,0,0,0
がよい,2.06613073451493e-12,0,0,0,0,0,6,3,2,0,0,1,0,0,0,3,0,0,0,0,0,0,2,0,2,0,0,1,6,1,0,0,0,1,1,0,0,0,0,0,1
の高い,2.06329236408058e-12,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,5,0,0,0,0
がいいので,2.02844224543433e-12,0,0,2,1,0,6,0,1,0,0,0,2,0,1,5,0,0,0,0,0,1,0,2,2,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
がいい,1.95103467226951e-12,0,0,3,1,0,10,4,9,0,3,0,5,0,1,1,1,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,1,0,1,2,0,2,0,0,1
は良く,1.94262441783489e-12,0,0,1,1,0,2,3,0,0,0,2,2,2,1,4,0,0,0,0,0,3,1,1,2,0,0,0,1,0,0,0,1,0,2,0,1,0,0,0,0
もいいですね,1.89196434773454e-12,2,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
もよい,1.86779956620946e-12,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
が良くて,1.85179491021239e-12,0,1,0,1,0,2,1,0,0,0,0,2,0,1,1,0,0,0,1,1,2,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1
は良い,1.83909299627636e-12,1,0,0,1,0,4,2,0,0,0,0,3,0,7,3,1,0,0,1,0,1,0,1,2,0,0,0,1,2,0,0,1,0,0,2,1,0,0,0,0
が悪いです,1.8228027822917e-12,0,0,0,0,0,10,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,2,2,0,1,0,0,0,0,0,1,1,0,0,1
を考えると,1.78490561887777e-12,0,0,0,0,0,0,8,0,1,0,0,0,0,0,3,0,0,0,0,0,1,0,1,3,0,0,1,4,0,0,0,0,0,1,0,0,0,0,0,1
はいいと,1.7625804156346e-12,0,0,0,0,1,0,4,0,0,0,2,2,0,0,0,0,0,0,0,1,0,0,0,9,1,1,2,3,6,0,0,3,0,0,0,0,0,0,0,0
のある,1.72663598965746e-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,7,0,2,0,2,7,1
もいい,1.69813420599371e-12,0,0,2,0,0,0,2,0,0,1,0,3,0,3,0,0,0,0,0,0,1,0,0,5,0,0,0,1,2,1,1,3,0,0,2,0,1,2,0,0
も悪くなく,1.67289195375979e-12,1,0,0,0,0,0,1,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0
は感じです,1.6509576661625e-12,2,0,0,0,0,2,0,0,0,1,0,1,1,3,2,0,0,0,0,0,0,0,0,3,1,0,1,0,5,0,0,1,0,1,1,0,0,0,0,0
で満足しています,1.63674701462488e-12,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
が悪いので,1.63538456481579e-12,0,0,0,0,0,5,1,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
も良くて,1.62512365334291e-12,0,1,0,2,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
もいいし,1.62200035575923e-12,1,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,1,3,0,1,0,0,0,1,0,0,0,0,0
が良いと,1.60545196914622e-12,0,0,0,0,1,2,9,0,2,0,2,2,0,1,1,0,0,0,0,1,4,1,0,2,0,0,1,6,1,1,0,2,0,1,0,0,0,0,0,1
がいいと,1.60379752564617e-12,0,0,0,0,1,2,4,0,0,0,2,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,3,1,0,0,1,0,0,0,0,0,0,0,0
は良いです,1.60289767046425e-12,1,1,0,1,1,10,5,0,0,2,0,4,0,14,3,2,0,0,0,2,5,0,1,6,0,0,1,10,2,0,0,10,0,0,0,1,0,0,0,6
にある,1.59342004350129e-12,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,5,0,3,1,8,1,0,0,0,0,1,6,0,0,0,0,0,0,0,0
が感じます,1.58018603554875e-12,0,0,0,0,0,2,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0
も良いですね,1.53207758231934e-12,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0
がよいです,1.52844920595723e-12,0,0,1,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0
があり,1.52258467349336e-12,0,0,0,0,1,0,0,1,0,1,0,0,0,2,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,1,0,5,0,1,0,1,0,0,4,0
が良くない,1.51113482558326e-12,0,0,0,0,0,5,1,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
も良いので,1.4522523002416e-12,0,0,0,0,0,4,3,0,0,0,0,0,0,4,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1
もある,1.44426065086603e-12,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
は落ちますが,1.43497667317884e-12,0,0,0,0,0,1,0,0,0,0,0,0,1,0,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
も良好,1.43410888721836e-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1
が高い,1.42431817908537e-12,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0
も気に入っています,1.41901574495115e-12,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,0,0,0,0,0,3,0,0,0,1,0
も満足しています,1.40863706288568e-12,0,0,0,0,0,1,1,0,0,4,0,1,0,2,0,0,0,1,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0
といい,1.40375572351788e-12,0,2,0,0,0,0,0,0,0,2,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
は悪いです,1.4035053675261e-12,0,0,0,0,0,6,1,0,0,1,0,0,0,1,5,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
にありません,1.40254399109691e-12,0,0,0,0,0,1,0,0,1,0,0,2,1,2,1,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
は良いのですが,1.3970071915848e-12,1,0,0,1,0,1,0,0,0,0,0,1,0,3,5,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
は良いと,1.38757757351635e-12,1,0,0,1,0,8,8,0,0,0,1,5,0,4,12,0,2,0,0,1,0,0,1,10,0,0,1,5,11,0,0,2,0,1,1,0,0,0,0,1
はいいですね,1.36828905543295e-12,0,0,0,0,0,2,2,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,3,1,0,0,2,0,0,0,0,1,0,2,1,0,0,1,0,0
は最高です,1.34236599415758e-12,0,0,0,0,0,1,0,0,0,2,1,4,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,2,2,0,0,0,0,0,0,0,0,1,0,0
もあります,1.34017908400406e-12,1,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
も良いと,1.31861620104246e-12,1,0,0,0,0,1,11,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,6,0,0,0,1,4,0,0,0,0,1,0,0,0,0,0,1
があります,1.31750206333569e-12,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
がなります,1.29480662303824e-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,4,0,0,2,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0
もありません,1.29125581612019e-12,0,0,0,0,0,0,0,0,0,1,0,8,1,5,1,1,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,1,0,2,0,0,0,3,0,0
が悪いのと,1.29069894290421e-12,0,0,0,1,0,3,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
はいいです,1.28709338984171e-12,0,1,0,0,1,1,0,0,0,1,1,7,0,2,10,0,0,0,0,3,0,0,1,4,0,0,0,3,3,0,0,4,0,1,0,0,1,3,0,0
がよいので,1.28507807892526e-12,0,0,0,0,1,2,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
が良いとは,1.27219991503101e-12,1,0,0,0,0,1,0,0,0,0,0,1,0,1,3,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
は満足しています,1.26647779499412e-12,0,0,0,0,0,0,0,0,0,0,0,3,1,0,2,0,1,0,0,0,2,0,0,1,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0
になります,1.25075644697578e-12,0,0,0,0,0,0,1,2,0,3,0,3,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,1,0,0,3,0,0,5,0,1,0,0,0
は思います,1.24620290494924e-12,0,1,0,0,1,0,0,0,0,2,0,4,1,4,12,1,0,0,0,3,5,0,0,11,0,0,0,1,11,1,1,6,0,3,1,1,0,2,0,0
がイマイチ,1.23679464152895e-12,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0
は違いますが,1.23539111858483e-12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
もあり,1.2340543115683e-12,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,1,1,0,0,0
はありません,1.23056122899855e-12,0,0,0,1,0,9,0,1,0,1,1,6,0,9,11,1,0,0,0,6,4,0,2,11,0,0,0,4,0,0,0,8,0,1,0,2,0,1,0,2
は良いですが,1.22700528756022e-12,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,2,0,0,0,0,1,0,0,0,1,0,0
はよく,1.21722464352844e-12,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1
も良いし,1.21452075946401e-12,0,1,0,0,0,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0
は方だと,1.21199968711298e-12,0,0,0,0,0,3,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
が違います,1.19951961406605e-12,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
もいいので,1.17045222444459e-12,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
に満足しています,1.16763618740256e-12,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
は良かったです,1.16224325695907e-12,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
も良い,1.15645400219449e-12,0,0,1,1,0,4,1,0,0,0,0,2,0,1,1,0,0,0,0,0,1,0,0,8,0,0,0,1,2,0,0,1,0,0,1,1,0,0,0,2
が良かったので,1.14403627760147e-12,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
がよいと,1.14387215441756e-12,0,0,0,0,0,0,0,0,0,0,1,2,0,3,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
をします,1.13457798614097e-12,0,0,0,0,0,0,0,0,0,2,0,17,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
が良いという,1.12824684571981e-12,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
を考えて,1.12591115954727e-12,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
が悪いのが,1.11460630545605e-12,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0
もあって,1.11225783764365e-12,0,0,0,0,0,0,0,0,0,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
はいい,1.11089357318043e-12,0,0,0,1,0,1,1,0,0,0,0,1,0,2,0,0,0,0,0,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
は良いようです,1.10937842581857e-12,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
がよくない,1.10811739302497e-12,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
が薄い,1.10387429746707e-12,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
はもの,1.10110423587376e-12,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
も高く,1.09680736145208e-12,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,0,0,0,0
は感じました,1.09292512995006e-12,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
が高く,1.08564083986096e-12,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0
も好きです,1.06661799931357e-12,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0
はありませんでした,1.06310144051106e-12,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
がよければ,1.06024443741154e-12,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
がいいですね,1.04349770261763e-12,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,4,0,0,2,0,0,0,0,0,0,0,1
が悪いという,1.03938889692526e-12,0,0,0,0,0,3,0,0,0,0,1,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
を考えれば,1.03518197572369e-12,0,0,0,0,0,0,5,0,0,0,0,2,0,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
はよいです,1.01374714835357e-12,0,0,0,0,0,3,1,0,0,0,1,0,0,2,3,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0
は抜群です,1.00990076773304e-12,0,0,0,0,0,1,1,0,0,0,1,0,0,4,17,1,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
もいいですし,1.0021475870418e-12,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
をしました,1.00118831465455e-12,0,0,1,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
が甘い,1.00054766933407e-12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
が好きです,9.96135834894856e-13,0,0,0,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
がなる,9.94591828999857e-13,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,1,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
は好みです,9.94514970894971e-13,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,1,0,0,0,0
は感じますが,9.84399676186797e-13,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
が楽しめる,9.8275474097731e-13,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
で撮れます,9.8256655639164e-13,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
も悪くないです,9.81573036215443e-13,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
も悪い,9.78897853958805e-13,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
にあり,9.77756597608856e-13,0,0,0,0,0,1,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
もいいと,9.75904530289333e-13,0,0,0,0,0,0,0,0,0,1,0,1,0,2,1,0,0,0,0,0,2,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0
が悪かったので,9.72888571907617e-13,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
はありますが,9.71716616200732e-13,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,3,0,0,0,0,4,0,0,2,0,0,0,1,0,1,0,0
が良くなりました,9.69988740020946e-13,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
がありません,9.67285613454723e-13,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0
もきれいで,9.67155274007438e-13,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0
で決めました,9.67011082945161e-13,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0,2
が違う,9.66101042231203e-13,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
にはあります,9.65051624991886e-13,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0
にあります,9.64257014794766e-13,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,4,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0
はいまいち,9.63607364236839e-13,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
がよくて,9.63301888447868e-13,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
にない,9.62280312237609e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,1,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
もありますが,9.61921838766424e-13,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
をすると,9.60695244230919e-13,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
