"",weight,持ち,バランス,レスポンス,使い勝手,位置,もち,ホールド感,質,反応,操作性,発色,ホールド性,精度,携帯性,感度,AF精度,写り,色乗り,画質,色,視認性,デザイン,気持ち,重量バランス,条件,相性,色のり,音,評判,質感,目,フィーリング,解像感,コントラスト,・画質,感触,解像度,コストパフォーマンス,グリップ感,描写,性能,出来,重さ,天気,画像,気分,音質,ヌケ,描写力,操作感,背面液晶,映り,見た目,ISO感度,切れ,液晶,完成度,ボケ味,色合い,ISO,使用頻度,カメラ,レンズ,品質,ボケ具合,取り回し,ハンドリング,大きさ,AF,(?),補正,シャッター音,キレ,CP,機能性,①操作性,ボケ,バッテリー,傾向,評価
も良いです,1.79225886754101e-05,5,4,0,1,0,1,4,0,1,9,4,0,1,2,0,0,0,2,5,0,0,2,0,0,0,3,0,0,0,2,0,1,1,0,0,1,0,0,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0
もよく,1.77633737912657e-05,6,5,0,4,1,0,5,0,1,5,6,0,0,6,0,1,1,3,11,0,0,1,0,0,0,0,6,0,0,2,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
がいいです,1.66151015446857e-05,6,3,0,12,0,0,1,0,1,3,0,0,0,1,0,0,1,2,6,1,1,0,9,1,0,0,1,2,0,1,0,0,0,3,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
がよい,1.59102320836726e-05,6,3,0,6,0,1,0,0,0,2,0,0,1,3,0,0,0,0,1,0,0,1,2,0,1,1,0,2,0,1,0,0,0,0,1,1,0,3,0,0,4,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
が悪いと,1.53648733041241e-05,6,4,0,1,0,0,0,1,0,0,0,0,0,2,1,0,1,1,4,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
もいいです,1.50572828497387e-05,6,0,1,1,1,1,3,0,0,3,1,0,1,1,0,0,0,0,9,0,0,3,0,1,0,2,0,0,0,5,0,1,0,0,0,3,0,0,0,1,0,0,2,0,1,0,1,0,0,1,0,1,2,0,0,1,0,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
がいい,1.48525847154089e-05,10,4,1,1,0,1,1,0,0,1,3,1,0,1,0,0,5,0,9,2,0,1,9,0,0,0,0,0,3,4,0,0,0,0,2,1,0,1,1,1,2,0,2,0,0,1,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0
は良好です,1.46343229833484e-05,0,3,0,5,0,0,9,0,0,6,1,3,0,3,0,0,1,1,2,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
も良好です,1.39423897085819e-05,1,0,2,1,0,0,2,0,0,3,0,0,0,0,1,0,0,1,2,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
が良いので,1.38616556555732e-05,2,2,1,3,0,0,3,0,0,2,1,1,1,1,1,0,1,0,5,1,0,2,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
が悪いです,1.35351251813224e-05,10,2,0,2,0,2,0,0,0,2,0,0,0,1,1,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
が高い,1.3196281256814e-05,0,2,0,0,0,0,1,1,0,3,0,1,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,2,5,0,0,6,14,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11,0,0,2,11,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,4
がいいので,1.31475508894375e-05,6,0,1,1,1,1,1,0,0,2,0,0,0,5,0,0,2,0,1,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
は良く,1.30342462658823e-05,2,3,1,1,0,0,1,0,0,2,0,0,0,4,0,1,2,0,7,0,2,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
は良いです,1.28985293916135e-05,10,5,1,10,0,1,14,0,0,6,2,2,1,3,0,1,4,1,13,0,0,2,0,0,0,0,1,0,0,4,0,1,1,0,0,6,1,4,1,5,0,1,2,0,2,0,0,0,1,1,1,0,0,0,0,7,0,0,0,0,0,2,10,0,0,0,0,2,2,0,0,0,0,0,3,0,1,5,0,0
はいいと,1.27197333107348e-05,0,4,0,3,1,2,0,0,0,9,0,0,1,0,0,0,2,0,11,0,0,6,0,0,0,2,0,0,0,2,0,0,0,0,1,0,0,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
は良い,1.26564953173266e-05,4,2,1,1,0,0,7,0,0,2,0,1,0,3,0,0,3,0,7,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
の高い,1.26327396757607e-05,0,2,0,0,0,0,0,2,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,1,11,0,0,5,36,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,12
の悪い,1.20071666334284e-05,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,3,0,1,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
は良いと,1.18443873866697e-05,8,8,1,5,0,1,4,0,2,10,0,0,2,12,0,0,5,0,19,1,0,11,0,0,0,1,1,0,0,4,0,0,1,0,0,1,0,8,0,0,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,1,0,0,1,2,0,0,0,0,1,0,0,1,0,0,0,3,0,0,1,0,1
が良くない,1.17617497920956e-05,5,1,0,1,0,1,2,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
が良いと,1.16997839580036e-05,2,9,0,6,0,1,1,0,0,2,0,0,0,1,1,0,2,0,13,0,0,1,0,2,0,2,0,1,0,1,0,0,0,0,0,1,0,2,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
が悪いので,1.16636947969233e-05,5,1,0,0,0,1,0,0,0,0,0,0,0,2,0,2,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
が良くて,1.14780520801053e-05,2,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
も良い,1.14643262238757e-05,4,1,1,1,0,0,1,0,0,8,0,0,0,1,0,0,2,0,10,1,0,2,0,0,0,0,0,0,1,6,0,1,0,0,1,2,1,0,2,1,0,0,3,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
も良いので,1.14584525028333e-05,4,3,0,0,0,0,4,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0
が高いので,1.13528360995544e-05,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
を考えると,1.12299329615589e-05,0,8,0,4,0,1,0,0,0,3,0,0,0,3,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,10,0,1,12,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,0,0,1,0,0,0,1,0,0,0,0,0
はいいですね,1.11917398222465e-05,2,2,0,0,0,2,0,0,0,1,0,0,0,0,0,0,4,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,3,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0
も高く,1.10549638860421e-05,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,5,0,0,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
があります,1.07266510417343e-05,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3,0,0,4,0,0,1,0,0,0,0,2,0,2,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,1
が感じます,1.05882127257663e-05,2,3,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
がいいと,1.04779354692572e-05,2,4,0,3,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
は感じです,1.04487602330096e-05,2,0,0,0,1,1,3,0,0,3,1,0,0,2,0,0,1,0,2,1,1,5,0,0,0,0,2,0,0,4,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,1,4,0,0
にありません,1.04175787798932e-05,1,0,0,1,0,0,2,0,0,3,0,0,0,1,0,2,2,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
が高く,1.0236995914011e-05,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,2,1,0,0,8,4,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,4
があり,1.01719753955453e-05,0,0,0,0,0,0,2,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,2,0,4,0,0,8,1,0,0,1,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,1,5,0,0,0,0,1,1,1,1,0,1,0,0,0,2,0,4,0
もいい,1.00462547647873e-05,0,2,0,1,0,0,3,0,0,5,1,0,0,0,1,0,3,0,4,2,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,3,0,0,0,0,0,3,0,0,1,0,0,1,0,2,0,0,0
は高いです,9.97842134534874e-06,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,2
も悪くなく,9.97460031285452e-06,0,1,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,3,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
もいいですね,9.95233793973526e-06,2,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
のある,9.93056390072315e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,6,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,7,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,7,0,5,0,1,0,0,0,0,0
がなります,9.88833083630842e-06,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0
も良いと,9.78805653332658e-06,1,11,0,1,0,0,0,0,0,6,0,0,2,2,0,0,2,0,6,0,0,4,0,0,0,0,1,0,0,3,0,0,1,0,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0
がよいです,9.7789750416787e-06,1,0,0,5,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
は高い,9.67663190173621e-06,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
が高いです,9.61564994500517e-06,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
はいいです,9.61140254307764e-06,1,0,0,3,0,0,2,0,0,4,1,0,0,10,0,1,7,1,11,0,0,3,0,0,0,1,0,0,0,5,0,2,0,0,0,0,0,1,0,0,0,1,2,0,0,0,1,0,1,0,0,0,1,0,0,1,0,3,0,1,0,3,4,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,1
はありません,9.54690418129101e-06,9,0,1,4,0,0,9,0,0,11,1,1,1,11,0,1,6,0,18,0,0,0,1,0,0,1,0,0,0,2,0,0,0,0,0,2,2,0,1,4,1,0,1,0,3,0,2,0,2,0,0,0,0,0,0,1,0,1,0,1,1,6,8,0,0,0,0,2,6,0,1,0,0,0,1,0,0,9,0,0
も満足しています,9.43023919983778e-06,1,1,0,0,0,0,2,1,0,2,4,0,0,0,0,1,1,0,11,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,1,0,0,1,0,0,0,0,0
がイマイチ,9.2490068645154e-06,0,0,0,0,0,2,1,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
が違います,9.17764964849247e-06,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
にある,9.14313448321983e-06,0,0,0,0,8,0,0,0,0,1,0,0,1,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,1,0,1,0,0,0,0,0,3,1,0,0,0,0,0,2,0,0,0,0,0,0,6,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,3,0
になります,8.97397349552746e-06,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,5,5,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,5,2,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,3,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,4
もありません,8.90648751789147e-06,0,0,0,1,0,0,5,0,0,1,1,1,1,1,0,1,8,0,6,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,3,0,0,0,1,1,0,0,0,0,1,1,0,2,0,0,0,0,0,0,1,0,0
は悪いです,8.89879367152859e-06,6,1,0,0,0,0,1,0,0,3,1,0,0,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,3,0,0
は方だと,8.82774923784247e-06,3,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
も良いし,8.81315471161811e-06,3,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
が悪いのが,8.77165654231182e-06,3,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
にあります,8.71410346131874e-06,0,0,0,0,4,0,0,0,0,1,1,0,0,0,0,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
といい,8.67838060532447e-06,0,0,0,0,0,0,2,0,0,1,2,0,0,1,0,0,0,2,3,0,0,1,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
も良いですね,8.67507168655596e-06,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
