"",weight,持ち,位置,バランス,レスポンス,使い勝手,もち,反応,ホールド感,質,ホールド性,発色,操作性,感度,精度,AF精度,携帯性,視認性,色,色乗り,条件,重量バランス,写り,相性,色のり,気持ち,デザイン,音,画質,評判,目,フィーリング,解像感,質感,・画質,コントラスト,感触,解像度,グリップ感,天気,ヌケ,気分,音質,描写力,性能,出来,ISO感度,切れ,コストパフォーマンス,重さ,画像,背面液晶,描写,見た目,ISO,映り,操作感,完成度,使用頻度,ハンドリング,補正,ボケ味,品質,(?),大きさ,①操作性,ボケ具合,彩度,AF,CP,機能性
も良く,1.63477407899553e-05,7,0,6,6,4,0,0,6,1,0,3,12,0,1,1,12,2,1,5,0,0,6,3,0,0,7,1,14,0,0,1,2,5,0,1,0,1,0,0,1,0,0,1,3,0,0,1,1,2,0,0,6,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
がいいです,1.62246669981428e-05,6,0,3,0,12,0,1,1,0,0,0,3,0,0,0,1,1,1,2,0,1,1,0,1,9,0,2,6,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
がよい,1.58969811234747e-05,6,0,3,0,6,1,0,0,0,0,0,2,0,1,0,3,0,0,0,1,0,0,1,0,2,1,2,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,4,0,0,0,3,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
が高い,1.52521830101503e-05,0,0,2,0,0,0,0,1,1,1,0,3,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,0,5,0,6,0,0,0,0,0,1,2,0,0,0,14,0,0,0,0,0,2,0,0,11,11,0,0,0,1,0,0,0,0,3,0,1,1
が悪いです,1.51124968700936e-05,10,0,2,0,2,2,0,0,0,0,0,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
は良好です,1.49509948648677e-05,0,0,3,0,5,0,0,9,0,3,1,6,0,0,0,3,0,1,1,0,1,1,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
の悪い,1.4907524960135e-05,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,3,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
もいいです,1.48327665978431e-05,6,1,0,1,1,1,0,3,0,0,1,3,0,1,0,1,0,0,0,0,1,0,2,0,0,3,0,9,0,0,1,0,5,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,1,2,0,1,1,0,0,0,0,3,0,0,1,0,1,0,0,0,0
も良好です,1.47969223476597e-05,1,0,0,2,1,0,0,2,0,0,0,3,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0
がいい,1.3868196164061e-05,10,0,4,1,1,1,0,1,0,1,3,1,0,0,0,1,0,2,0,0,0,5,0,0,9,1,0,9,3,0,0,0,4,2,0,1,0,1,0,0,1,0,0,2,0,0,0,1,2,0,0,1,2,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0
は良いです,1.38631552013562e-05,10,0,5,1,10,1,0,14,0,2,2,6,0,1,1,3,0,0,1,0,0,4,0,1,0,2,0,13,0,0,1,1,4,0,0,6,1,1,0,0,0,0,1,0,1,0,0,4,2,2,1,5,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,2,0,3
の高い,1.35827663089291e-05,0,0,2,0,0,0,0,0,2,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,5,0,11,0,5,0,0,0,0,0,0,1,0,0,0,36,0,0,0,0,0,0,0,0,37,10,0,0,0,0,0,0,0,0,0,0,4,0
が悪いので,1.34682856916075e-05,5,0,1,0,0,1,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
はいいと,1.34451406084078e-05,0,1,4,0,3,2,0,0,0,0,0,9,0,1,0,0,0,0,0,0,0,2,2,0,0,6,0,11,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
が高いので,1.33738013739751e-05,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,1,0
は良い,1.33157895174988e-05,4,0,2,1,1,0,0,7,0,1,0,2,0,0,0,3,0,2,0,0,0,3,0,1,0,2,0,7,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
がいいので,1.32838863846607e-05,6,1,0,1,1,1,0,1,0,0,0,2,0,0,0,5,0,1,0,0,0,2,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
はいいですね,1.3205025742216e-05,2,0,2,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,1,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0
は良く,1.31855394971455e-05,2,0,3,1,1,0,0,1,0,0,0,2,0,0,1,4,2,0,0,0,0,2,2,0,0,0,1,7,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0
が良いので,1.31818216067746e-05,2,0,2,1,3,0,0,3,0,1,1,2,1,1,0,1,0,1,0,0,0,1,1,0,0,2,0,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
が良くて,1.31062299194434e-05,2,0,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
があります,1.2908387677664e-05,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,4,3,0,0,1,0,0,0,0,0,0,0,2,0,0,1,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
が良くない,1.28116126377046e-05,5,0,1,0,1,1,0,2,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
が感じます,1.24897981334034e-05,2,0,3,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
は高い,1.24800932931558e-05,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0
も高く,1.24149724334527e-05,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,5,0,7,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0
がなります,1.22583414117203e-05,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
も良いので,1.1987192898372e-05,4,0,3,0,0,0,0,4,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,2,0,0,1,0,0,0,2,0,0
は良いと,1.18103233234515e-05,8,0,8,1,5,1,2,4,0,0,0,10,0,2,0,12,0,1,0,0,0,5,1,1,0,11,0,19,0,0,0,1,4,0,0,1,0,0,0,0,0,0,1,3,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,3
がいいと,1.1787659335502e-05,2,0,4,0,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
が良いと,1.17561090643531e-05,2,0,9,0,6,1,0,1,0,0,0,2,1,0,0,1,0,0,0,0,2,2,2,0,0,1,1,13,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
が高く,1.14870421361295e-05,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,1,0,8,0,0,0,0,0,1,1,0,0,0,4,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,1,0,0,1
は高いです,1.14862718539143e-05,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,4,0,0,0,1,0,0,0,0,3,2,0,1,0,0,0,0,0,0,0,1,1,0
は感じです,1.1403572840796e-05,2,1,0,0,0,1,0,3,0,0,1,3,0,0,0,2,1,1,0,0,0,1,0,2,0,5,0,2,0,0,0,1,4,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0
を上げて,1.12684344555768e-05,0,0,0,1,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
もいいですね,1.12406890550224e-05,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
にありません,1.12110076162922e-05,1,0,0,0,1,0,0,2,0,0,0,3,0,0,2,1,1,0,0,0,1,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
があり,1.10725062407893e-05,0,0,0,0,0,0,0,2,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,8,4,0,1,0,1,0,0,0,0,0,0,0,1,0,4,0,4,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0
が高いです,1.10420406625887e-05,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0
がよいです,1.08974943511811e-05,1,0,0,0,5,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
がイマイチ,1.08903179427257e-05,0,0,0,0,0,2,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
を考えると,1.07694613974252e-05,0,0,8,0,4,1,0,0,0,0,0,3,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,12,0,0,0,10,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,8,0,0,0,0,0,1
も良い,1.05432168772638e-05,4,0,1,1,1,0,0,1,0,0,0,8,0,0,0,1,0,1,0,0,0,2,0,0,0,2,0,10,1,0,1,0,6,1,0,2,1,2,0,0,0,0,0,0,0,0,0,0,3,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0
になります,1.0520636174517e-05,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5,0,0,0,3,0,0,2,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,5,0,7,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
が悪いのが,1.04672527195586e-05,3,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
も悪くなく,1.03077715303297e-05,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
にあります,1.02528271675901e-05,0,4,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
もよい,1.01720085610565e-05,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
も良いですね,1.01614387594347e-05,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
は方だと,1.01333568457169e-05,3,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
が良いのか,1.00737735097509e-05,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
のある,1.00556256959376e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,2,0,0,1,2,0,0,0,0,0,4,0,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,7,2,0,0,1,0,0,0,0,0,1
がなる,9.9817818264166e-06,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
もいい,9.96385697305414e-06,0,0,2,0,1,0,0,3,0,0,1,5,1,0,0,0,0,2,0,0,0,3,0,0,0,2,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,1
はいいです,9.91525967368469e-06,1,0,0,0,3,0,0,2,0,0,1,4,0,0,1,10,0,0,1,0,0,7,1,0,0,3,0,11,0,0,2,0,5,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,2,0,0,0,1,1,0,0,0,0,0,1,3,0,0,2,0,0,0,0,0,1
もありません,9.85898946966452e-06,0,0,0,0,1,0,0,5,0,1,1,1,0,1,1,1,1,0,0,0,0,8,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,3,0,0,1,0,0,0,1,0,0
はありません,9.83749573059754e-06,9,0,0,1,4,0,0,9,0,1,1,11,0,1,1,11,0,0,0,0,0,6,1,0,1,0,0,18,0,0,0,0,2,0,0,2,2,1,0,0,0,2,2,1,0,0,0,0,1,3,0,4,0,1,0,0,0,1,0,1,1,0,0,2,0,0,0,6,0,1
にある,9.83556576127283e-06,0,8,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
がよいと,9.79137806461193e-06,0,0,0,0,1,1,0,3,0,0,0,1,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
が悪いのと,9.73402858228693e-06,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
も良いし,9.67550420971762e-06,3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
もあります,9.64780080229188e-06,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
を上げる,9.54130596235764e-06,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
は良いですが,9.53050436250313e-06,0,0,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
は良いようです,9.4532629678822e-06,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
にあり,9.35020202771896e-06,1,2,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
がよければ,9.31624593593387e-06,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
が低い,9.21960820286483e-06,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,5,0,4,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
は落ちますが,9.13016843690469e-06,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
といい,9.09220245968642e-06,0,0,0,0,0,0,0,2,0,0,2,1,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,3,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
も良くて,9.05476793602294e-06,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
