"",weight,の高い,が良く,が高い,も良く,の良い,もよく,も良いです,が良いです,が悪い,が高く,がよく,が高いです,も高く,が良い,がよい,が高いので,は良いです,もいいです,のよい,が悪く,が良いので,がいいです,がいい,のある,は良く,も良好です,が高いと,は高いと,がいいので,は高い,が悪いと,も高い,は良い,もいい,は良好です,はいいですね,があります,も良い,は良いと,は最高です,も良いので,も良いと,は高く,が良いと,は感じです,もあり,が良くて,を考えると,はいいです,といい,が悪いです,はいいと,があり,は良いのですが,も満足しています,もありません,はありません,が低い,は素晴らしいです,が悪いので,が感じます,は悪いです,がある,にありません,は高いです,に優れた,はあると,は満足しています,はしました,があると,はあります,もあります,もいいと,もいいですね,も悪くなく,の悪い,はよいと,はあり,も気に入っています,がいいと,が良くない,を考えれば,に優れ,も含めて,が違います,は最高ですね,も良いし,も高いです,は落ちますが,は抜群です,がよいと,は思いますが,はよいです,もあって,にある,を含め,はします,は良いですね,にあり,はいい
コストパフォーマンス,0.000109344837615129,36,1,14,1,5,1,0,0,0,4,0,4,4,5,3,2,4,0,0,0,0,0,1,0,0,0,6,24,1,2,0,3,0,1,0,3,0,0,8,9,0,2,0,2,0,0,0,10,1,1,0,1,0,0,0,0,0,0,3,0,0,0,0,0,4,33,1,0,0,0,0,0,1,3,0,0,2,0,0,0,0,3,2,2,0,3,0,1,0,2,2,0,0,0,0,3,0,1,0,0
携帯性,0.000109273922882696,0,2,1,12,11,6,2,5,3,0,0,0,1,6,3,1,3,1,0,2,1,1,1,0,4,0,1,0,5,0,2,0,3,0,3,0,0,1,12,1,1,2,0,1,2,0,1,3,10,1,1,0,0,5,0,1,11,0,1,2,0,5,0,1,0,5,0,2,4,1,1,0,1,1,1,0,2,0,0,1,0,3,3,0,0,0,1,0,3,17,1,2,3,0,0,0,0,1,1,0
ホールド感,0.000106793653899029,0,5,1,6,3,5,4,2,5,1,1,0,0,3,0,0,14,3,0,3,3,1,1,0,1,2,0,0,1,0,0,0,7,3,9,0,1,1,4,0,4,0,0,1,3,1,1,0,2,2,0,0,2,3,2,5,9,0,0,0,1,1,0,2,1,0,0,0,2,1,3,0,2,0,1,0,1,2,0,1,2,1,0,0,0,0,0,0,0,4,3,2,2,3,0,0,3,1,0,2
解像度,0.000104656254483901,5,0,6,1,0,1,0,0,1,8,0,2,7,1,0,2,1,0,0,0,0,0,0,2,1,0,0,0,0,0,2,2,1,0,0,0,0,1,0,0,0,0,4,0,0,1,0,0,0,0,1,0,1,0,0,0,2,4,0,1,0,0,3,0,2,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
レスポンス,0.000104448759456071,0,6,0,6,2,0,0,0,6,0,4,0,0,8,0,0,1,1,0,1,1,0,1,0,1,2,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
コントラスト,0.000101442060354224,11,0,5,1,1,0,0,0,0,1,1,0,5,1,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
視認性,9.97291092966659e-05,0,0,0,2,2,0,0,0,1,0,1,1,1,2,0,0,0,0,0,2,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
相性,9.96357453236815e-05,0,1,0,3,1,0,3,2,0,0,0,0,0,2,1,0,0,2,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0
描写,9.95359271696365e-05,0,1,0,6,2,0,3,0,0,0,0,0,0,0,0,0,5,1,0,0,2,1,1,0,3,1,0,0,1,0,0,0,1,1,0,0,0,1,0,1,1,0,0,4,0,0,2,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,1,0,2,0,0,5,0,2,0,0,0,0,4,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,5,0,1,0,0,1
色のり,9.53635689012518e-05,0,1,0,0,1,6,0,1,0,0,2,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
満足度,9.48844764972534e-05,45,0,7,0,0,0,0,0,0,2,0,16,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,10,0,13,0,3,0,0,0,0,0,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,68,0,2,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,0
感度,9.2507256308126e-05,2,2,0,0,1,0,0,0,2,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
画質,9.1843822986014e-05,0,6,0,14,2,11,5,6,12,0,1,0,0,24,1,0,13,9,1,0,5,6,9,0,7,2,0,0,1,0,4,0,7,4,2,2,1,10,19,7,0,6,2,13,2,1,2,2,11,3,4,11,1,4,11,6,18,1,4,2,0,3,0,3,0,1,0,8,3,1,6,0,2,1,3,2,1,8,3,1,1,2,0,1,2,1,2,0,5,1,0,7,2,0,3,0,7,5,1,3
評判,9.17700765626242e-05,3,0,0,0,14,0,0,0,0,0,1,0,0,1,0,0,0,0,3,0,6,0,3,0,1,0,0,0,2,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
質感,9.16734512594103e-05,5,5,9,5,1,2,2,2,1,6,1,2,4,4,1,0,4,5,0,0,0,1,4,2,0,2,2,2,0,2,0,0,0,0,1,1,3,6,4,4,0,3,0,1,4,3,1,0,5,4,0,2,4,1,1,0,2,1,1,0,1,0,1,0,2,0,0,0,0,2,6,2,1,0,1,0,0,1,2,0,0,0,0,3,1,0,0,2,1,0,0,1,1,0,1,0,1,1,0,0
もち,9.12208563528177e-05,0,0,0,0,0,0,1,1,7,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,1,0,1,1,0,0,2,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
使用頻度,9.11958024848076e-05,10,0,11,0,0,0,0,0,0,2,0,4,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ボケ味,9.07352878502853e-05,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,2,0,1,0,0,0,1,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
解像感,8.99961279082697e-05,1,0,2,2,0,1,1,0,1,2,0,2,0,0,0,0,1,0,0,1,0,0,0,6,0,0,1,2,0,1,0,3,0,0,0,0,4,0,1,0,0,1,1,0,1,3,0,0,0,3,0,0,8,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
完成度,8.94848164036275e-05,37,0,11,0,0,0,0,0,0,4,0,1,3,0,0,2,0,0,0,0,0,0,0,0,0,0,3,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
描写力,8.82885432923259e-05,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,2,1,0,1,0,1,0,0,4,1,1,0,0,2,0,0,1,1,0,0,3,0,0,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1,2,0,1,0,1,0,1,0,0,1,0,0,0,1,4,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,3,0,0,0,1,0
色,8.60833424089459e-05,0,0,0,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,1,1,1,2,0,0,0,0,0,1,0,0,0,2,2,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
見た目,8.54618269817593e-05,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1
質,8.53407846104008e-05,2,1,1,1,4,0,0,1,2,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ホールド性,8.4734210842805e-05,0,4,1,0,0,0,0,2,2,0,1,0,0,1,0,0,2,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
性能,8.33348254696569e-05,1,0,2,3,5,0,0,0,0,1,0,0,0,2,4,0,0,0,0,0,1,0,2,0,0,0,1,2,1,0,0,0,1,0,0,0,2,0,3,0,0,0,1,1,1,0,2,12,0,2,0,3,0,0,0,0,1,3,2,0,1,0,1,1,1,0,1,0,0,4,3,0,2,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0
操作感,8.30777380468211e-05,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,2,0,1,1,0,0,0,0,0,0,1,0,2,0,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
気持ち,8.25000404355892e-05,0,0,0,0,13,0,0,2,0,0,1,0,0,7,2,0,0,0,3,0,0,9,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
評価,8.20156377964604e-05,12,0,4,0,1,0,0,0,0,4,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
感触,8.06353328301297e-05,0,1,0,0,0,1,1,2,0,0,0,0,0,2,1,0,6,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,1,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
AF精度,7.84758408061495e-05,1,0,1,1,1,1,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,2,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
液晶,7.74117432515359e-05,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,2,1,0,1,0,0,2,0,0,0,1,2,1,0,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,2,0,1,2,0,0
重量バランス,7.51360667890788e-05,0,3,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
シャッター音,7.48475725679148e-05,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1
満足感,7.29629646386627e-05,7,0,3,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,10,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,6,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
色合い,7.20522259294883e-05,0,0,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0
機能性,7.17548577114689e-05,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,2,0,4,1,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,1,4,0,0,0
画像,6.96219328305866e-05,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,1,0,1,3,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
機動性,6.90682107050162e-05,2,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0
カメラ,6.8498410467503e-05,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,2,1,0,3,0,0,1,1,0,0,1,6,0,1,0,0,0,2,0,0,0,1,0,0,2,3,2,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,2,1,0,2
ボケ,6.80405342230938e-05,0,0,0,4,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
反応,6.77258800577026e-05,0,1,0,0,2,1,1,0,2,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
値段,6.66709830520428e-05,1,0,9,0,0,0,0,1,0,2,0,2,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,17,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
音,6.64207653278454e-05,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
画素数,6.61849777444918e-05,3,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
補正,6.61434247139989e-05,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,7,2,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,1,1,4,0,1,1,0,0,0,1,0,1,2,1,0,0,0,0,1,5,0,1,0,1,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
位置,6.59978840776942e-05,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,2,0
