"",weight,が悪い,が良く,の良い,が悪く,にあります,もよく,にあるので,にある,がよく,も満足しています,がいいです,が高い,のよい,も良く,は高いです,が良い,がよい,がなります,を上げて,はありません,がある,を上げると,が高く,にありません,があります,の高い,を上げた,も良いです,を上げても,は高い,の悪い,も悪くなく,もいいです,が良くなく,が遅い,が鈍い,を上げる,が良いです,が悪いと,は感じです
重量バランス,0.000650509536201812,1,3,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
画質,0.000648567248076002,12,6,2,0,3,11,1,3,1,11,6,0,1,14,0,24,1,0,0,18,0,0,0,3,1,0,0,5,0,0,2,3,9,0,0,0,1,6,4,2
視認性,0.000643584912557943,1,0,2,2,0,0,0,0,1,0,1,0,0,2,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
AF精度,0.000633692136658736,2,0,1,0,1,1,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
条件,0.000628997137374724,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0
写り,0.000620420586675656,2,4,7,0,0,1,0,2,0,1,1,0,1,4,0,4,0,0,0,6,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1
音,0.000612848736482173,1,0,0,1,0,0,0,0,0,0,2,0,0,1,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
携帯性,0.000591513020161066,3,2,11,2,0,6,0,0,0,0,1,1,0,12,0,6,3,0,0,11,0,0,0,1,0,0,0,2,0,0,0,1,1,0,0,0,0,5,2,2
色乗り,0.00058083346468199,0,2,2,0,0,3,0,0,0,0,2,0,2,5,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0
色のり,0.000560933758597115,0,1,1,0,0,6,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,2
目,0.000557689959599706,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
精度,0.00054873221515827,2,2,2,0,0,0,2,1,0,0,0,4,0,1,1,2,1,0,0,1,0,0,0,0,1,1,0,1,0,2,0,0,1,0,0,0,1,0,0,0
デザイン,0.000543347230315681,0,3,1,0,0,1,0,0,1,1,0,0,0,7,0,7,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,3,0,0,0,0,2,0,5
ISO感度,0.000533726500315004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,7,0,0,0,0,1,0,1,0,0,0,0,0,0,0,4,0,0,0
気持ち,0.00052435896126329,0,0,13,0,0,0,0,0,1,0,9,0,3,0,0,7,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
解像感,0.000501234805696972,1,0,0,1,1,1,0,0,0,0,0,2,0,2,0,0,0,0,0,0,2,0,2,0,4,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1
ISO,0.000495042262614909,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,5,1,0,3,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0
評判,0.00049300916011031,0,0,14,0,0,0,0,0,1,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,1,3,0,0,0,0,0,0,0,0,0
画像,0.000462383792560912,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,3,1,0,0,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
ヌケ,0.000461930732853144,0,2,5,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
フィーリング,0.000458968254316907,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
天気,0.000451882368597163,0,0,15,1,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
コントラスト,0.000418066679394914,0,0,1,0,0,0,0,0,1,0,3,5,0,1,0,1,0,0,0,0,0,1,1,0,0,11,0,0,0,1,0,0,0,0,0,0,3,0,0,1
気分,0.000414955287974956,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0
切れ,0.00041492791642292,0,3,4,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
音質,0.000413168123258283,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
彩度,0.00039737001987288,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
品質,0.000395695071923085,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
背面液晶,0.000391797063366609,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
①操作性,0.000391797063366609,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
グリップ感,0.000389521736673877,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
出来,0.000385476128637593,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0
・画質,0.000383770899528202,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
映り,0.000381618889225605,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ハンドリング,0.000372959780628598,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(?),0.000372869429911921,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
収納性,0.000364620210610559,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
価格,0.000362632974065138,0,0,0,0,0,0,0,0,0,1,0,9,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
相性,0.000361779926449388,0,1,1,0,0,0,0,0,0,0,0,0,0,3,0,2,1,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,2,0,0
描写,0.000357011670998513,0,1,2,0,0,0,0,5,0,0,1,0,0,6,1,0,0,1,0,4,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0
よい,0.000351108170705375,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
他,0.000345632588789181,0,0,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
キレ,0.000341649088227708,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
解像度,0.000339782602756815,1,0,0,0,0,1,0,0,0,0,0,6,0,1,2,1,0,0,0,2,3,0,8,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,2,0
完成度,0.000335963348640065,0,0,0,0,0,0,0,0,0,0,0,11,0,0,3,0,0,0,0,0,0,0,4,0,0,37,1,0,0,1,0,0,0,0,0,0,0,0,0,1
見え,0.000329069717583171,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
感触,0.000328417671005731,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,3,0,0,0,0,2,0,0
見た目,0.000327787664584003,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0
性能,0.000326052294842454,0,0,5,0,0,0,0,1,0,0,0,2,0,3,1,2,4,1,4,1,1,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
取り回し,0.000325178670024826,0,0,0,0,0,0,0,1,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
使用頻度,0.000319701196169732,0,0,0,0,0,0,0,0,0,0,0,11,0,0,2,0,0,0,0,1,0,0,2,0,0,10,0,0,0,2,0,0,0,0,0,0,0,0,0,0
配置,0.000318246562072731,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
カメラ,0.000317816561993261,0,0,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,6,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
取り付け位置,0.000317044176771863,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
全長,0.000317044176771863,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
大きさ,0.000313109055639251,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,2,0,2,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1
色合い,0.000312420764865087,0,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
満足感,0.000310986969697683,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,0,0,0,0,0,2,0,1,0,10,7,0,0,0,3,0,0,0,0,0,0,0,0,0,0
ボケ具合,0.00030950388248298,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0
機能性,0.000301541932139354,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
値段,0.000297088718622155,0,0,0,0,0,0,0,0,0,0,0,9,0,0,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
シャッター音,0.000296983279645067,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
補正,0.000296020837983119,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
腕,0.000292588469225657,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
逆,0.000291273067967099,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AF,0.000290841361603135,1,0,0,0,0,0,0,1,0,2,1,0,0,0,1,1,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0
コストパフォーマンス,0.000290254666276467,0,1,5,0,1,1,0,0,0,0,0,14,0,1,4,5,3,0,0,0,0,0,4,0,0,36,0,0,0,2,0,0,0,0,0,0,0,0,0,0
傾向,0.000288160999657713,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
レンズ,0.000287232822890127,1,1,5,0,1,0,1,6,0,0,0,0,0,1,1,1,0,2,0,8,5,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1
満足度,0.000284977932740301,0,0,0,0,0,0,0,0,0,0,0,7,0,0,68,0,0,0,0,1,0,0,2,0,0,45,0,0,0,13,0,0,0,0,0,0,0,0,0,0
機能,0.000277239620215803,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3,0,0,0,4,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
液晶,0.000276665510068983,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2
重さ,0.00027323665135468,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,3,1,1,0,1,3,0,0,1,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
ホールディング,0.000272892332054902,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
売れ行き,0.000271198387174343,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
掛かり,0.000271198387174343,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
付属ソフト,0.000271198387174343,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
記述,0.000271198387174343,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ボタン位置,0.000271198387174343,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
調子,0.000271198387174343,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
半押し,0.000271198387174343,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
構造,0.000271198387174343,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
応答性,0.000271198387174343,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
電力事情,0.000271198387174343,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
モチ,0.000271198387174343,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ライン,0.000271198387174343,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
都合,0.000271198387174343,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(視力,0.000271198387174343,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
始末,0.000271198387174343,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(9)携帯性,0.000271198387174343,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
工作精度,0.000271198387174343,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
製造品質,0.000271198387174343,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
少し分,0.000271198387174343,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
合わせ,0.000271198387174343,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
立て付け,0.000271198387174343,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
態度,0.000271198387174343,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
描写力,0.000264115848228918,0,0,0,0,0,0,0,3,0,0,0,1,1,1,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
・操作性,0.000263601057743749,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
画素数,0.000259348063168881,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0
シャッタースピード,0.000258377492726048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0
操作感,0.000258244604551375,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
画角,0.000253694210694161,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ホールド,0.000252809877569804,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
トータルバランス,0.000245301702622413,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
見栄え,0.000244419100995396,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
動作,0.000244334731269811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,1,0,0,0,0
利便性,0.0002439786734579,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
歩留まり,0.000243899079781718,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0
品,0.000240214761272399,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
ボケ味,0.000239964181080633,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,1,0,0
評価,0.000237675688595462,0,0,1,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,1,0,4,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
電池持ち,0.0002359020029298,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
感じ,0.000235441558952276,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,4,0,1,0,6,2,0,0,0,5,0,0,1,0,0,0,0,2,0,0,0,0,1,0,0
階調性,0.00023507849913564,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
手元,0.000230717717855472,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ボケ,0.000226801611673825,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
程度,0.000225602499929601,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
描写性能,0.000223193619990747,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
欠点,0.000219079373373572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
書き込み,0.000218706441096835,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
撮影,0.000208337392404412,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
手触り,0.000206772512970878,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
動画,0.000204808415435758,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
ピント精度,0.00020329932590077,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
手前,0.000200492382049844,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
バッテリー,0.000195663953471771,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,9,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,4
環境,0.000194210417879655,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
CP,0.000194173358386129,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
