"",weight,が悪い,が良い,が良く,の良い,が悪く,もよく,にあります,も良く,も良いです,もいいです,のよい,が良いです,がよい,が高い,の高い,がいいです,がよく,がいい,はいいです,はありません,も満足しています,にある,は良いです,は高いです,がある,になり,がなります,にあるので,になります,の悪い,は良いと,も悪くなく,があり,が良いと,が高いので,もなく,があります,も良い,がいいので,にあり,は高い,は思います,は感じです,が高く,を上げて,は抜群で,になる,がなる,にありません,が悪いのか,もありません,はいいと,を上げる,が悪いと,を上げると,が違います,はなく,は感じます,のある,を上げた,が好きです,にあると,もいいですね,は良い,を考えると,になりました,といい,が高いと,をした,にない,を考えれば,が良くなく,を上げても,に優れた,が遅い,は良いですが,はないので,は良く,があれば,がありますが,は高いと,がよいです,は好みです,もいい,は最高です,が絶妙です,も高い,が鈍い,が良くない,が悪くなる
発色,0.000297506375313727,2,0,3,1,0,6,1,3,4,1,1,0,0,0,0,0,1,3,1,1,4,0,2,0,0,0,0,0,3,0,0,1,1,0,0,2,0,0,0,0,0,2,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,1,2,0,1,0,1,1
反応,0.000293923072282808,2,0,1,2,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
携帯性,0.000283413092471288,3,6,2,11,2,6,0,12,2,1,0,5,3,1,0,1,0,1,10,11,0,0,3,0,0,0,0,0,0,0,12,1,0,1,1,1,0,1,5,1,0,12,2,0,0,1,0,0,1,0,1,0,0,2,0,0,0,1,0,0,0,1,1,3,3,0,1,1,2,0,3,0,0,5,0,0,1,4,0,0,0,0,0,0,1,0,0,0,0,0
精度,0.000281609484429887,2,2,2,2,0,0,0,1,1,1,0,0,1,4,1,0,0,0,0,1,0,1,1,1,0,0,0,2,0,0,2,0,0,0,3,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ホールド性,0.00027762115591789,2,1,4,0,1,0,0,0,0,0,0,2,0,1,0,0,1,1,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
感度,0.00026382913993651,2,0,2,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,13,0,0,0,0,0,0,0,6,1,11,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
写り,0.000261387471395112,2,4,4,7,0,1,0,4,0,0,1,1,0,0,0,1,0,5,7,6,1,2,4,0,0,0,0,0,3,0,5,1,0,2,0,0,0,2,2,4,0,4,1,0,0,0,3,0,2,0,8,2,0,1,0,4,1,1,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,1,3,4,0,0,0,0,0
AF精度,0.000258062105971614,2,0,0,1,0,1,1,1,0,0,0,0,0,1,1,0,0,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
画質,0.00025742026927807,12,24,6,2,0,11,3,14,5,9,1,6,1,0,0,6,1,9,11,18,11,3,13,0,0,0,0,1,5,2,19,3,1,13,0,5,1,10,1,1,0,28,2,0,0,0,3,1,3,0,6,11,1,4,0,2,0,8,0,0,0,2,1,7,2,1,3,0,0,1,2,0,0,1,0,1,0,7,1,0,0,0,1,4,7,0,0,0,1,5
デザイン,0.000251499791745889,0,7,3,1,0,1,0,7,2,3,0,2,1,0,0,0,1,1,3,0,1,0,2,0,0,0,0,0,1,0,11,1,0,1,0,0,0,2,0,0,0,11,5,0,0,0,0,0,0,0,1,6,0,0,0,0,1,5,1,0,6,1,0,2,0,1,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,4,2,2,0,0,0,0,0
色乗り,0.000247986728734691,0,1,2,2,0,3,0,5,2,0,2,1,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
気持ち,0.000247366874399035,0,7,0,13,0,0,0,0,0,0,3,2,2,0,0,9,1,9,0,1,0,0,0,0,0,2,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0
色,0.000246711249726795,2,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,5,0,1,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0
視認性,0.00024514814353011,1,2,0,2,2,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
相性,0.000237025872761838,0,2,1,1,0,0,0,3,3,2,0,2,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0
条件,0.000234986777750749,2,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
重量バランス,0.000228944647000646,1,0,3,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
音,0.00022140198907372,1,0,0,0,1,0,0,1,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
色のり,0.000220457369830991,0,0,1,1,0,6,0,0,0,0,1,1,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
評判,0.000220231782759128,0,1,0,14,0,0,0,0,0,0,3,0,0,0,3,0,1,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,0,0,0,0,0
質感,0.000210929957945966,1,4,5,1,0,2,0,5,2,5,0,2,1,9,5,1,1,4,5,2,1,1,4,2,1,1,1,0,0,0,4,1,4,1,0,1,3,6,0,0,2,2,4,6,0,1,0,0,0,0,0,2,0,0,0,1,0,2,2,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0,4,0,0,0,0,0
解像感,0.000199381045490469,1,0,0,0,1,1,1,2,1,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,8,0,0,1,4,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,1,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,3,0,0,0
フィーリング,0.000196106214865944,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
目,0.000194941931054256,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
解像度,0.000190383454302031,1,1,0,0,0,1,0,1,0,0,0,0,0,6,5,0,0,0,0,2,0,0,1,2,3,0,0,0,0,0,0,0,1,0,2,0,0,1,0,0,0,1,0,8,0,0,0,0,0,0,0,0,1,2,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,2,0,0,0
コントラスト,0.00019016733064625,0,1,0,1,0,0,0,1,0,0,0,0,0,5,11,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
感触,0.000182548694983084,0,2,1,0,0,1,0,0,1,3,0,2,1,0,0,0,0,1,0,2,0,0,6,0,0,0,0,0,0,0,1,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
・画質,0.000179850283224642,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
描写,0.000176840364954325,0,0,1,2,0,0,0,6,3,1,0,0,0,0,0,1,0,1,0,4,0,5,5,1,0,1,1,0,7,0,0,0,0,4,0,1,0,1,1,0,0,5,0,0,0,0,2,1,0,0,0,0,0,0,0,1,3,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,3,0,0,0,0,0,1,1,0,0,0,0,0
性能,0.000176224243951113,0,2,0,5,0,0,0,3,0,0,0,0,4,2,1,0,0,2,0,1,0,1,0,1,1,0,1,0,0,0,3,0,0,1,0,0,2,0,1,0,0,4,1,1,4,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,12,0,2,1,0,3,5,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0
コストパフォーマンス,0.000169711577114569,0,5,1,5,0,1,1,1,0,0,0,0,3,14,36,0,0,1,1,0,0,0,4,4,0,0,0,0,0,0,8,0,0,2,2,0,0,0,1,0,2,2,0,4,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,3,0,10,0,1,6,0,0,3,0,0,33,0,0,0,0,0,0,24,0,0,1,9,0,3,0,0,0
重さ,0.00016854070050781,0,3,0,0,0,0,0,2,0,2,0,0,1,0,0,1,0,2,2,1,0,1,2,0,3,1,1,0,0,0,0,0,4,0,0,0,2,3,0,0,0,1,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
グリップ感,0.00016852508917498,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
描写力,0.000166684143244223,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,2,0,3,1,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,4,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
出来,0.000165471623438133,0,1,0,5,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,4,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
気分,0.000164324371706376,1,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
天気,0.00016292960299438,0,2,0,15,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
操作感,0.000160508254973923,0,1,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
画像,0.00016031264703655,1,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,2,0,1,0,0,0,5,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,5,0,3,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ヌケ,0.000159005992070289,0,0,2,5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
音質,0.000157991460251315,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
見た目,0.000155048023296209,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
色合い,0.000154974489824955,0,0,0,1,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,3,1,0,0,0,2,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
完成度,0.000153227533651176,0,0,0,0,0,0,0,0,0,0,0,0,0,11,37,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,1,4,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0
ボケ味,0.000152683198220191,0,0,0,0,0,0,0,1,2,3,0,1,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0
背面液晶,0.000151298155521018,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
液晶,0.000150821119433163,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,2,7,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,1,5,2,0,0,0,1,0,0,1,1,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
映り,0.0001494278981079,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
満足度,0.000147208454157986,0,0,0,0,0,0,0,0,0,0,0,0,0,7,45,0,0,0,0,1,0,0,0,68,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,13,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,3,0,3,0,0,0
切れ,0.000145799304706102,0,1,3,4,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
使用頻度,0.00014415872737623,0,0,0,0,0,0,0,0,0,0,0,0,0,11,10,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
シャッター音,0.000142397334994998,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
ISO感度,0.00014027922497233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,7,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
補正,0.000137992426734479,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,1,1,0,0,1,5,0,0,0,0,0,1,0,1,1,0,3,0,0,0,0,0,3,1,0,0,0,0,0,0,0,2,0,0,0,0,0,2,2,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,5,1,0,0,0,0,0,0,0,0,0,0
